RawGPS
Time (UTC),Latitude,Longitude
2016-03-02 18:05:02,45.06804462,-64.46152056
2016-03-02 18:05:03,45.06803542,-64.46139959
2016-03-02 18:05:04,45.06802358,-64.46127684
2016-03-02 18:05:05,45.06801026,-64.46114286
2016-03-02 18:05:06,45.06799545,-64.4609991
2016-03-02 18:05:07,45.06798338,-64.46085727
2016-03-02 18:05:08,45.06797155,-64.46072067
2016-03-02 18:05:09,45.06796047,-64.46058801
2016-03-02 18:05:10,45.06795086,-64.46045818
2016-03-02 18:05:11,45.06793914,-64.46031217
2016-03-02 18:05:12,45.06792569,-64.46017067
2016-03-02 18:05:13,45.06790911,-64.46003317
2016-03-02 18:05:14,45.06789516,-64.45989608
2016-03-02 18:05:15,45.06788473,-64.45975313
2016-03-02 18:05:16,45.06787225,-64.45961251
2016-03-02 18:05:17,45.06785853,-64.45946945
2016-03-02 18:05:18,45.06784262,-64.4593225
2016-03-02 18:05:19,45.06782901,-64.4591721
2016-03-02 18:05:20,45.06781495,-64.45901863
2016-03-02 18:05:21,45.0678026,-64.45887393
2016-03-02 18:05:22,45.06778987,-64.45873663
2016-03-02 18:05:23,45.06777631,-64.45858755
2016-03-02 18:05:24,45.06776454,-64.45844277
2016-03-02 18:05:25,45.06775346,-64.45830135
2016-03-02 18:05:26,45.06774133,-64.45816804
2016-03-02 18:05:27,45.06772799,-64.45801951
2016-03-02 18:05:28,45.06771545,-64.45787766
2016-03-02 18:05:29,45.06770054,-64.4577267
2016-03-02 18:05:30,45.06768584,-64.45757775
2016-03-02 18:05:31,45.06767334,-64.45741333
2016-03-02 18:05:32,45.0676613,-64.45726434
2016-03-02 18:05:33,45.06764857,-64.45712079
2016-03-02 18:05:34,45.06763605,-64.45698341
2016-03-02 18:05:35,45.06762269,-64.45684005
2016-03-02 18:05:36,45.06760703,-64.45669661
2016-03-02 18:05:37,45.06759681,-64.4565606
2016-03-02 18:05:38,45.06758393,-64.45643606
2016-03-02 18:05:39,45.06757207,-64.45630626
2016-03-02 18:05:40,45.06756127,-64.45617959
2016-03-02 18:05:41,45.06754868,-64.45605651
2016-03-02 18:05:42,45.06753655,-64.45594188
2016-03-02 18:05:43,45.06752536,-64.45582743
2016-03-02 18:05:44,45.06751566,-64.4557109
2016-03-02 18:05:45,45.06750807,-64.45561952
2016-03-02 18:05:46,45.06749689,-64.45555439
2016-03-02 18:05:47,45.06748988,-64.4555155
2016-03-02 18:05:48,45.06745818,-64.45549035
2016-03-02 18:05:49,45.06742255,-64.45546989
2016-03-02 18:05:50,45.06739064,-64.45547653
2016-03-02 18:05:51,45.06735689,-64.45548546
2016-03-02 18:05:52,45.0673259,-64.45549569
2016-03-02 18:05:53,45.0672919,-64.45550296
2016-03-02 18:05:54,45.06725808,-64.45550683
