RawGPS
Time (UTC),Latitude,Longitude
2016-02-15 12:20:12.591000+00:00,42.35985802,-71.09435045
2016-02-15 12:20:15+00:00,42.3598611,-71.09436011
2016-02-15 12:20:16+00:00,42.35986585,-71.09436706
2016-02-15 12:20:17+00:00,42.35987169,-71.09437241
2016-02-15 12:20:18+00:00,42.35987506,-71.09437609
2016-02-15 12:20:19+00:00,42.35987233,-71.09437253
2016-02-15 12:20:20+00:00,42.35987242,-71.09437294
2016-02-15 12:20:21+00:00,42.35987241,-71.09437051
2016-02-15 12:20:22+00:00,42.35987243,-71.09437487
2016-02-15 12:20:23+00:00,42.35988445,-71.09439067
2016-02-15 12:20:24+00:00,42.35995295,-71.09445019
2016-02-15 12:20:25+00:00,42.36000078,-71.09452018
2016-02-15 12:20:26+00:00,42.36004349,-71.09456179
2016-02-15 12:20:27+00:00,42.36013804,-71.0947096
2016-02-15 12:20:28+00:00,42.3601846,-71.09479687
2016-02-15 12:20:29+00:00,42.36026734,-71.09492388
2016-02-15 12:20:30+00:00,42.36032273,-71.09501706
2016-02-15 12:20:31+00:00,42.36035873,-71.09511394
2016-02-15 12:20:32+00:00,42.36041573,-71.09520933
2016-02-15 12:20:33+00:00,42.36044955,-71.09527328
2016-02-15 12:20:34+00:00,42.3604646,-71.09531578
2016-02-15 12:20:35+00:00,42.36047225,-71.0953466
2016-02-15 12:20:36+00:00,42.36049261,-71.09537513
2016-02-15 12:20:37+00:00,42.36052094,-71.09541295
2016-02-15 12:20:38+00:00,42.36053515,-71.09544363
2016-02-15 12:20:39+00:00,42.36055369,-71.09548624
2016-02-15 12:20:40+00:00,42.36059756,-71.09553843
2016-02-15 12:20:41+00:00,42.36066306,-71.09557271
2016-02-15 12:20:42+00:00,42.36068942,-71.09561422
2016-02-15 12:20:43+00:00,42.36070144,-71.09563908
2016-02-15 12:20:44+00:00,42.36069644,-71.09563679
2016-02-15 12:20:45+00:00,42.36069921,-71.09565083
2016-02-15 12:20:46+00:00,42.36069673,-71.09565461
2016-02-15 12:20:47+00:00,42.36069412,-71.09565631
2016-02-15 12:20:48+00:00,42.36069397,-71.095655
2016-02-15 12:20:49+00:00,42.36068936,-71.09563166
2016-02-15 12:20:50+00:00,42.36068999,-71.09563688
2016-02-15 12:20:51+00:00,42.36068931,-71.09564535
2016-02-15 12:20:52+00:00,42.36067676,-71.09564272
2016-02-15 12:20:53+00:00,42.36067427,-71.09564454
2016-02-15 12:20:54+00:00,42.3606803,-71.09565302
2016-02-15 12:20:55+00:00,42.36067836,-71.0956568
2016-02-15 12:20:56+00:00,42.3606744,-71.09565621
2016-02-15 12:20:57+00:00,42.3606764,-71.095656
2016-02-15 12:20:58+00:00,42.36067909,-71.09565356
2016-02-15 12:20:59+00:00,42.3606822,-71.09565276
2016-02-15 12:21:00+00:00,42.36068336,-71.09565215
2016-02-15 12:21:01+00:00,42.36068763,-71.09565952
2016-02-15 12:21:02+00:00,42.36069524,-71.09567949
2016-02-15 12:21:03+00:00,42.36071367,-71.09572295
2016-02-15 12:21:04+00:00,42.36072362,-71.0957092
2016-02-15 12:21:05+00:00,42.36075361,-71.09575719
2016-02-15 12:21:06+00:00,42.36079212,-71.0958457
2016-02-15 12:21:07+00:00,42.36084069,-71.09593645
2016-02-15 12:21:08+00:00,42.36089824,-71.09604102
2016-02-15 12:21:09+00:00,42.36096027,-71.09614424
2016-02-15 12:21:10+00:00,42.36101189,-71.09624407
2016-02-15 12:21:11+00:00,42.36109047,-71.09636535
2016-02-15 12:21:12+00:00,42.36115314,-71.09647961
2016-02-15 12:21:13+00:00,42.36122243,-71.09655693
2016-02-15 12:21:14+00:00,42.36128849,-71.09670138
2016-02-15 12:21:15+00:00,42.36135164,-71.09685211
2016-02-15 12:21:16+00:00,42.36140646,-71.09696804
2016-02-15 12:21:17+00:00,42.36147051,-71.09707503
2016-02-15 12:21:18+00:00,42.36152832,-71.09717851
2016-02-15 12:21:19+00:00,42.36156199,-71.09725499
2016-02-15 12:21:20+00:00,42.36159926,-71.09732472
2016-02-15 12:21:21+00:00,42.36162412,-71.09738589
2016-02-15 12:21:22+00:00,42.36163746,-71.09741824
2016-02-15 12:21:23+00:00,42.36163644,-71.09744011
2016-02-15 12:21:24+00:00,42.3616391,-71.09744696
2016-02-15 12:21:25+00:00,42.36163837,-71.0974455
2016-02-15 12:21:26+00:00,42.36163905,-71.09744657
2016-02-15 12:21:27+00:00,42.36164095,-71.09744649
2016-02-15 12:21:28+00:00,42.36164421,-71.09745167
2016-02-15 12:21:29+00:00,42.3616466,-71.09745574
2016-02-15 12:21:31+00:00,42.36165151,-71.09746679
2016-02-15 12:21:32+00:00,42.36165284,-71.09746493
2016-02-15 12:21:33+00:00,42.3616574,-71.09746272
2016-02-15 12:21:34+00:00,42.36165714,-71.09746144
2016-02-15 12:21:35+00:00,42.36165763,-71.09746263
2016-02-15 12:21:36+00:00,42.36165782,-71.09746991
2016-02-15 12:21:37+00:00,42.36165984,-71.0974801
2016-02-15 12:21:38+00:00,42.36166136,-71.09748546
2016-02-15 12:21:39+00:00,42.36166285,-71.09748807
2016-02-15 12:21:40+00:00,42.361664,-71.09748998
2016-02-15 12:21:42+00:00,42.3616663,-71.09749515
2016-02-15 12:21:43+00:00,42.36166657,-71.09749667
2016-02-15 12:21:44+00:00,42.36166689,-71.09749855
2016-02-15 12:21:45+00:00,42.36166717,-71.09750073
2016-02-15 12:21:46+00:00,42.36166825,-71.09750361
2016-02-15 12:21:47+00:00,42.36166883,-71.09750521
2016-02-15 12:21:48+00:00,42.3616684,-71.09750592
2016-02-15 12:21:49+00:00,42.36168349,-71.09752711
2016-02-15 12:21:50+00:00,42.36170454,-71.09756986
2016-02-15 12:21:51+00:00,42.36172107,-71.09759636
2016-02-15 12:21:52+00:00,42.36176258,-71.09766042
2016-02-15 12:21:53+00:00,42.36179598,-71.09770088
2016-02-15 12:21:54+00:00,42.36182941,-71.09774366
2016-02-15 12:21:55+00:00,42.36190522,-71.09785974
2016-02-15 12:21:56+00:00,42.36196896,-71.09796152
2016-02-15 12:21:57+00:00,42.36203278,-71.09806708
2016-02-15 12:21:58+00:00,42.36209683,-71.09817046
2016-02-15 12:21:59+00:00,42.36217965,-71.09829233
2016-02-15 12:22:00+00:00,42.36225036,-71.09842103
2016-02-15 12:22:01+00:00,42.36231927,-71.09855047
2016-02-15 12:22:02+00:00,42.36239036,-71.09867284
2016-02-15 12:22:03+00:00,42.36247327,-71.09881604
2016-02-15 12:22:04+00:00,42.36254989,-71.09894566
2016-02-15 12:22:05+00:00,42.36263399,-71.09906613
2016-02-15 12:22:06+00:00,42.36270869,-71.09916867
2016-02-15 12:22:07+00:00,42.36277033,-71.09926061
2016-02-15 12:22:08+00:00,42.36281564,-71.0993405
2016-02-15 12:22:09+00:00,42.36283968,-71.09939392
2016-02-15 12:22:10+00:00,42.36286841,-71.09944339
2016-02-15 12:22:11+00:00,42.36285741,-71.09943561
2016-02-15 12:22:12+00:00,42.36286214,-71.09944068
2016-02-15 12:22:13+00:00,42.36286244,-71.09944256
2016-02-15 12:22:14+00:00,42.3628624,-71.09944438
2016-02-15 12:22:15+00:00,42.36286379,-71.09944546
2016-02-15 12:22:16+00:00,42.36286292,-71.09944828
2016-02-15 12:22:17+00:00,42.36286146,-71.09945217
2016-02-15 12:22:18+00:00,42.36286103,-71.0994558
2016-02-15 12:22:19+00:00,42.36286204,-71.09945446
2016-02-15 12:22:20+00:00,42.36286151,-71.09945484
2016-02-15 12:22:21+00:00,42.36286036,-71.09945429
2016-02-15 12:22:22+00:00,42.3628606,-71.09945412
2016-02-15 12:22:23+00:00,42.3628599,-71.09945514
2016-02-15 12:22:24+00:00,42.36286177,-71.09945806
2016-02-15 12:22:25+00:00,42.36286135,-71.09946411
2016-02-15 12:22:26+00:00,42.36285952,-71.09946268
2016-02-15 12:22:27+00:00,42.36285489,-71.09946089
2016-02-15 12:22:28+00:00,42.36285457,-71.09945937
2016-02-15 12:22:29+00:00,42.36285382,-71.09945815
2016-02-15 12:22:30+00:00,42.36285117,-71.0994562
2016-02-15 12:22:31+00:00,42.36284912,-71.09945616
2016-02-15 12:22:32+00:00,42.36285045,-71.09945752
2016-02-15 12:22:33+00:00,42.36285064,-71.09945799
2016-02-15 12:22:34+00:00,42.36285098,-71.09945641
