RawGPS
Time (UTC),Latitude,Longitude
2016-02-15 11:57:42+00:00,42.37419724,-71.11883093
2016-02-15 11:57:45+00:00,42.37438488,-71.11879092
2016-02-15 11:57:46+00:00,42.37441605,-71.11871464
2016-02-15 11:57:47+00:00,42.37451067,-71.11865869
2016-02-15 11:57:48+00:00,42.37459359,-71.11861952
2016-02-15 11:57:49+00:00,42.37467397,-71.1186026
2016-02-15 11:57:50+00:00,42.37476478,-71.1185856
2016-02-15 11:57:51+00:00,42.37484054,-71.11856483
2016-02-15 11:57:52+00:00,42.37494366,-71.11854717
2016-02-15 11:57:53+00:00,42.37504063,-71.11851967
2016-02-15 11:57:54+00:00,42.37513754,-71.11849145
2016-02-15 11:57:55+00:00,42.37524059,-71.11846501
2016-02-15 11:57:56+00:00,42.37533948,-71.11843206
2016-02-15 11:57:57+00:00,42.37543805,-71.11840815
2016-02-15 11:57:58+00:00,42.37552977,-71.11838059
2016-02-15 11:57:59+00:00,42.37561469,-71.11833738
2016-02-15 11:58:00+00:00,42.37569628,-71.11828267
2016-02-15 11:58:01+00:00,42.37575946,-71.11819551
2016-02-15 11:58:02+00:00,42.37582438,-71.11810078
2016-02-15 11:58:03+00:00,42.37585672,-71.1179829
2016-02-15 11:58:04+00:00,42.37589174,-71.11786679
2016-02-15 11:58:05+00:00,42.3759007,-71.11774231
2016-02-15 11:58:06+00:00,42.37589267,-71.11760859
2016-02-15 11:58:07+00:00,42.37588358,-71.1174768
2016-02-15 11:58:08+00:00,42.37587428,-71.11734184
2016-02-15 11:58:09+00:00,42.37586571,-71.11720789
2016-02-15 11:58:16+00:00,42.37567065,-71.11611303
2016-02-15 11:58:17+00:00,42.37557794,-71.11593014
2016-02-15 11:58:18+00:00,42.37553396,-71.11577128
2016-02-15 11:58:19+00:00,42.37542733,-71.11567953
2016-02-15 11:58:20+00:00,42.37542882,-71.11554472
2016-02-15 11:58:21+00:00,42.3753868,-71.11543698
2016-02-15 11:58:22+00:00,42.37533857,-71.11533452
2016-02-15 11:58:23+00:00,42.3752895,-71.115243
2016-02-15 11:58:24+00:00,42.37522878,-71.11514778
2016-02-15 11:58:25+00:00,42.375166,-71.11504456
2016-02-15 11:58:26+00:00,42.37509958,-71.11494571
2016-02-15 11:58:27+00:00,42.37503907,-71.11484557
2016-02-15 11:58:28+00:00,42.37498205,-71.11476392
2016-02-15 11:58:29+00:00,42.37493359,-71.11468814
2016-02-15 11:58:30+00:00,42.37488437,-71.11462642
2016-02-15 11:58:31+00:00,42.37483414,-71.1145821
2016-02-15 11:58:32+00:00,42.37479392,-71.11455652
2016-02-15 11:58:33+00:00,42.37474577,-71.11455083
2016-02-15 11:58:34+00:00,42.37470542,-71.1145625
2016-02-15 11:58:35+00:00,42.37468291,-71.11457405
2016-02-15 11:58:36+00:00,42.37467408,-71.11458759
2016-02-15 11:58:37+00:00,42.37466832,-71.11459345
2016-02-15 11:58:38+00:00,42.37466689,-71.11459371
2016-02-15 11:58:40+00:00,42.37466721,-71.11458417
2016-02-15 11:58:41+00:00,42.37466765,-71.11457947
2016-02-15 11:58:42+00:00,42.37466637,-71.11458237
2016-02-15 11:58:44+00:00,42.37466658,-71.11458835
2016-02-15 11:58:45+00:00,42.37466175,-71.11459015
2016-02-15 11:58:46+00:00,42.3746476,-71.11459348
2016-02-15 11:58:47+00:00,42.3746209,-71.11460043
2016-02-15 11:58:48+00:00,42.37459058,-71.11460713
2016-02-15 11:58:49+00:00,42.37451782,-71.11461635
2016-02-15 11:58:50+00:00,42.37445011,-71.11462295
2016-02-15 11:58:51+00:00,42.37437771,-71.11463298
2016-02-15 11:58:52+00:00,42.37429271,-71.11464297
2016-02-15 11:58:53+00:00,42.3742081,-71.11465294
2016-02-15 11:58:54+00:00,42.37410983,-71.11469105
2016-02-15 11:58:55+00:00,42.37400105,-71.11471993
2016-02-15 11:58:56+00:00,42.37389296,-71.11474898
2016-02-15 11:58:57+00:00,42.37378015,-71.11477493
2016-02-15 11:58:58+00:00,42.37366366,-71.11481659
2016-02-15 11:58:59+00:00,42.3735457,-71.11484505
2016-02-15 11:59:00+00:00,42.37342105,-71.11487337
2016-02-15 11:59:01+00:00,42.37329951,-71.1149092
2016-02-15 11:59:02+00:00,42.37316817,-71.11494366
2016-02-15 11:59:03+00:00,42.37304176,-71.11497152
2016-02-15 11:59:04+00:00,42.37292945,-71.11500912
2016-02-15 11:59:05+00:00,42.37282336,-71.11504172
2016-02-15 11:59:06+00:00,42.37272974,-71.11507702
2016-02-15 11:59:07+00:00,42.3726499,-71.11510421
2016-02-15 11:59:08+00:00,42.37258029,-71.11511434
2016-02-15 11:59:09+00:00,42.37252782,-71.11513177
2016-02-15 11:59:10+00:00,42.3724887,-71.11514797
2016-02-15 11:59:11+00:00,42.37245856,-71.11516481
2016-02-15 11:59:12+00:00,42.37246057,-71.11516661
2016-02-15 11:59:13+00:00,42.37245493,-71.11517619
2016-02-15 11:59:14+00:00,42.37245874,-71.11517791
2016-02-15 11:59:15+00:00,42.37245973,-71.11517862
2016-02-15 11:59:16+00:00,42.37246158,-71.11517645
2016-02-15 11:59:17+00:00,42.37246125,-71.11517504
2016-02-15 11:59:18+00:00,42.37246068,-71.11517555
2016-02-15 11:59:19+00:00,42.37244971,-71.11518417
2016-02-15 11:59:20+00:00,42.3724366,-71.11519647
2016-02-15 11:59:22+00:00,42.37239365,-71.1152393
2016-02-15 11:59:23+00:00,42.37237741,-71.11526541
2016-02-15 11:59:24+00:00,42.37235925,-71.11530137
2016-02-15 11:59:25+00:00,42.37234198,-71.11534664
2016-02-15 11:59:26+00:00,42.37232608,-71.11539862
2016-02-15 11:59:27+00:00,42.37231414,-71.11544994
2016-02-15 11:59:28+00:00,42.3723067,-71.11549209
2016-02-15 11:59:29+00:00,42.37230423,-71.11552105
2016-02-15 11:59:30+00:00,42.37230428,-71.11554039
2016-02-15 11:59:31+00:00,42.37230066,-71.11556397
2016-02-15 11:59:32+00:00,42.3722891,-71.11559657
2016-02-15 11:59:33+00:00,42.37226933,-71.1156379
2016-02-15 11:59:34+00:00,42.37224266,-71.1156818
2016-02-15 11:59:35+00:00,42.37220851,-71.11571829
2016-02-15 11:59:36+00:00,42.37216946,-71.11574268
2016-02-15 11:59:37+00:00,42.37212906,-71.11575494
2016-02-15 11:59:38+00:00,42.3720853,-71.11575679
2016-02-15 11:59:39+00:00,42.37203851,-71.11575043
2016-02-15 11:59:40+00:00,42.37194605,-71.11573763
2016-02-15 11:59:41+00:00,42.3718964,-71.11572185
2016-02-15 11:59:42+00:00,42.37185809,-71.1156998
2016-02-15 11:59:43+00:00,42.37181906,-71.11568242
2016-02-15 11:59:44+00:00,42.37176804,-71.11568458
2016-02-15 11:59:45+00:00,42.37172858,-71.11568505
2016-02-15 11:59:46+00:00,42.37169099,-71.11571386
2016-02-15 11:59:47+00:00,42.37164349,-71.11574257
2016-02-15 11:59:48+00:00,42.37160652,-71.11577879
2016-02-15 11:59:49+00:00,42.37155939,-71.11583312
2016-02-15 11:59:50+00:00,42.37150782,-71.11589546
2016-02-15 11:59:51+00:00,42.3714585,-71.11595882
2016-02-15 11:59:52+00:00,42.37140651,-71.11600876
2016-02-15 11:59:53+00:00,42.37136052,-71.11605007
2016-02-15 11:59:54+00:00,42.37131777,-71.11608104
2016-02-15 11:59:55+00:00,42.37128406,-71.11609736
2016-02-15 11:59:56+00:00,42.37126346,-71.11610955
2016-02-15 11:59:57+00:00,42.37125858,-71.11611463
2016-02-15 11:59:58+00:00,42.37125461,-71.11611758
2016-02-15 11:59:59+00:00,42.37125504,-71.11611852
2016-02-15 12:00:00+00:00,42.3712575,-71.11612087
2016-02-15 12:00:02+00:00,42.37126081,-71.11612228
2016-02-15 12:00:04+00:00,42.37126347,-71.11612347
2016-02-15 12:00:05+00:00,42.37126336,-71.11612384
2016-02-15 12:00:06+00:00,42.37126374,-71.11612534
2016-02-15 12:00:07+00:00,42.37126423,-71.11612597
2016-02-15 12:00:08+00:00,42.37126433,-71.11612815
2016-02-15 12:00:09+00:00,42.37126459,-71.11613004
2016-02-15 12:00:10+00:00,42.37125473,-71.11613603
2016-02-15 12:00:11+00:00,42.37123232,-71.1161445
2016-02-15 12:00:12+00:00,42.37120934,-71.11614402
2016-02-15 12:00:13+00:00,42.37118364,-71.11614948
2016-02-15 12:00:14+00:00,42.37115671,-71.11615098
2016-02-15 12:00:15+00:00,42.37112619,-71.11614431
2016-02-15 12:00:16+00:00,42.37109349,-71.11613136
2016-02-15 12:00:17+00:00,42.37105885,-71.11610905
2016-02-15 12:00:18+00:00,42.37101874,-71.11598796
2016-02-15 12:00:19+00:00,42.37098575,-71.11591192
2016-02-15 12:00:20+00:00,42.37095133,-71.1158259
2016-02-15 12:00:21+00:00,42.37090734,-71.11572074
2016-02-15 12:00:22+00:00,42.37086128,-71.11561286
2016-02-15 12:00:23+00:00,42.37081723,-71.11549487
2016-02-15 12:00:24+00:00,42.37077442,-71.11536903
2016-02-15 12:00:25+00:00,42.37073151,-71.11522906
2016-02-15 12:00:26+00:00,42.3706826,-71.11509739
2016-02-15 12:00:27+00:00,42.37062895,-71.11496427
2016-02-15 12:00:28+00:00,42.3705677,-71.1148315
2016-02-15 12:00:29+00:00,42.37051451,-71.11468131
2016-02-15 12:00:30+00:00,42.3704618,-71.11454004
2016-02-15 12:00:31+00:00,42.37040613,-71.11439686
2016-02-15 12:00:32+00:00,42.37035789,-71.11425233
2016-02-15 12:00:33+00:00,42.3702972,-71.11410788
2016-02-15 12:00:34+00:00,42.37024015,-71.11397507
2016-02-15 12:00:35+00:00,42.37019109,-71.11383182
2016-02-15 12:00:36+00:00,42.37013561,-71.11369295
2016-02-15 12:00:37+00:00,42.37009273,-71.11355648
2016-02-15 12:00:38+00:00,42.37004648,-71.11343201
2016-02-15 12:00:39+00:00,42.37002034,-71.11330342
2016-02-15 12:00:40+00:00,42.36997112,-71.11317373
2016-02-15 12:00:41+00:00,42.369907,-71.11301178
2016-02-15 12:00:42+00:00,42.36984567,-71.11285689
2016-02-15 12:00:43+00:00,42.36978269,-71.11271742
2016-02-15 12:00:44+00:00,42.36973262,-71.11256601
2016-02-15 12:00:45+00:00,42.36970126,-71.1123902
2016-02-15 12:00:46+00:00,42.36965429,-71.11222747
2016-02-15 12:00:47+00:00,42.36959976,-71.11207069
2016-02-15 12:00:48+00:00,42.36954417,-71.11190812
2016-02-15 12:00:49+00:00,42.36948561,-71.1117626
2016-02-15 12:00:50+00:00,42.36943198,-71.11161288
2016-02-15 12:00:51+00:00,42.36937993,-71.11146858
2016-02-15 12:00:52+00:00,42.36932561,-71.11134214
2016-02-15 12:00:53+00:00,42.36928988,-71.11121966
2016-02-15 12:00:54+00:00,42.36924515,-71.11111483
2016-02-15 12:00:55+00:00,42.36920918,-71.11100799
2016-02-15 12:00:56+00:00,42.36917104,-71.11092165
2016-02-15 12:00:57+00:00,42.36912497,-71.11081524
2016-02-15 12:00:58+00:00,42.36908578,-71.11072623
2016-02-15 12:00:59+00:00,42.36905638,-71.11065063
2016-02-15 12:01:00+00:00,42.36902405,-71.11058286
2016-02-15 12:01:01+00:00,42.3689999,-71.11055025
2016-02-15 12:01:02+00:00,42.36900094,-71.11055931
2016-02-15 12:01:03+00:00,42.36899285,-71.11055432
2016-02-15 12:01:04+00:00,42.36899072,-71.11055022
2016-02-15 12:01:05+00:00,42.36899268,-71.11054893
2016-02-15 12:01:06+00:00,42.36899611,-71.11055316
2016-02-15 12:01:07+00:00,42.36899971,-71.11055449
2016-02-15 12:01:08+00:00,42.36900419,-71.11055642
2016-02-15 12:01:09+00:00,42.36900769,-71.11055825
2016-02-15 12:01:10+00:00,42.36900772,-71.11055856
2016-02-15 12:01:11+00:00,42.36900245,-71.1105516
2016-02-15 12:01:12+00:00,42.36897695,-71.11048873
2016-02-15 12:01:13+00:00,42.36896041,-71.11043618
2016-02-15 12:01:14+00:00,42.3689234,-71.1103834
2016-02-15 12:01:15+00:00,42.36889445,-71.11029154
2016-02-15 12:01:16+00:00,42.36886032,-71.11016013
2016-02-15 12:01:17+00:00,42.3688196,-71.10999552
2016-02-15 12:01:18+00:00,42.368789,-71.10984069
2016-02-15 12:01:19+00:00,42.36874028,-71.10971882
2016-02-15 12:01:20+00:00,42.36869955,-71.1095941
2016-02-15 12:01:21+00:00,42.36864304,-71.10948257
2016-02-15 12:01:22+00:00,42.3686047,-71.10937488
2016-02-15 12:01:23+00:00,42.36855688,-71.10928347
2016-02-15 12:01:24+00:00,42.36851428,-71.10920282
2016-02-15 12:01:25+00:00,42.36847309,-71.10913315
2016-02-15 12:01:26+00:00,42.36844282,-71.10907941
2016-02-15 12:01:27+00:00,42.36841935,-71.1090376
2016-02-15 12:01:28+00:00,42.3684206,-71.10901528
2016-02-15 12:01:29+00:00,42.36842401,-71.10901187
2016-02-15 12:01:30+00:00,42.36841928,-71.10901712
2016-02-15 12:01:31+00:00,42.36841665,-71.10902008
2016-02-15 12:01:32+00:00,42.36841473,-71.10902232
2016-02-15 12:01:33+00:00,42.36841311,-71.10902397
2016-02-15 12:01:34+00:00,42.36841284,-71.10902331
2016-02-15 12:01:35+00:00,42.36841313,-71.10901344
2016-02-15 12:01:36+00:00,42.36839814,-71.10898618
2016-02-15 12:01:37+00:00,42.36838201,-71.10895204
2016-02-15 12:01:38+00:00,42.36837156,-71.10891179
2016-02-15 12:01:39+00:00,42.36834301,-71.10883855
2016-02-15 12:01:40+00:00,42.36831819,-71.10876693
2016-02-15 12:01:41+00:00,42.36828627,-71.10868417
2016-02-15 12:01:42+00:00,42.36824562,-71.10858707
2016-02-15 12:01:43+00:00,42.36819532,-71.10848397
2016-02-15 12:01:44+00:00,42.3681409,-71.10836624
2016-02-15 12:01:45+00:00,42.36808191,-71.10824214
2016-02-15 12:01:46+00:00,42.3680171,-71.10811669
2016-02-15 12:01:47+00:00,42.36795282,-71.10798937
2016-02-15 12:01:48+00:00,42.36788582,-71.10786527
2016-02-15 12:01:49+00:00,42.36781064,-71.10773157
2016-02-15 12:01:50+00:00,42.36772714,-71.10760766
2016-02-15 12:01:51+00:00,42.36764499,-71.10747632
2016-02-15 12:01:52+00:00,42.36757033,-71.10733979
2016-02-15 12:01:53+00:00,42.3674863,-71.10720159
2016-02-15 12:01:54+00:00,42.36739013,-71.107074
2016-02-15 12:01:55+00:00,42.36729603,-71.10693912
2016-02-15 12:01:56+00:00,42.36719812,-71.1067944
2016-02-15 12:01:57+00:00,42.3671022,-71.10664012
2016-02-15 12:01:58+00:00,42.36701022,-71.10649403
2016-02-15 12:01:59+00:00,42.36691538,-71.10635418
