RawGPS
Time (UTC),Latitude,Longitude
2016-01-20T18:14:41.000000Z,51.546459,-0.194544
2016-01-20T18:14:42.000000Z,51.546089,-0.196832
2016-01-20T18:14:43.000000Z,51.546129,-0.197244
2016-01-20T18:14:44.000000Z,51.546166,-0.197646
2016-01-20T18:14:45.000000Z,51.546229,-0.197923
2016-01-20T18:14:46.000000Z,51.54643,-0.198374
2016-01-20T18:14:47.000000Z,51.546425,-0.198576
2016-01-20T18:14:48.000000Z,51.546439,-0.19877
2016-01-20T18:14:49.000000Z,51.546456,-0.199014
2016-01-20T18:14:50.000000Z,51.546477,-0.199321
2016-01-20T18:14:51.000000Z,51.546492,-0.199531
2016-01-20T18:14:52.000000Z,51.54651,-0.199782
2016-01-20T18:14:53.000000Z,51.546529,-0.200058
2016-01-20T18:14:54.000000Z,51.546547,-0.200323
2016-01-20T18:14:55.000000Z,51.546569,-0.200631
2016-01-20T18:14:56.000000Z,51.546588,-0.20091
2016-01-20T18:14:57.000000Z,51.546607,-0.201181
2016-01-20T18:14:58.000000Z,51.546627,-0.201458
2016-01-20T18:14:59.000000Z,51.546648,-0.20176
2016-01-20T18:15:00.000000Z,51.546668,-0.202049
2016-01-20T18:15:01.000000Z,51.546688,-0.20234
2016-01-20T18:15:02.000000Z,51.54671,-0.202648
2016-01-20T18:15:03.000000Z,51.54673,-0.202938
2016-01-20T18:15:04.000000Z,51.546752,-0.203241
2016-01-20T18:15:05.000000Z,51.546772,-0.203537
2016-01-20T18:15:06.000000Z,51.546793,-0.203827
2016-01-20T18:15:07.000000Z,51.546811,-0.204097
2016-01-20T18:15:08.000000Z,51.546816,-0.204161
2016-01-20T18:15:09.000000Z,51.546855,-0.204696
2016-01-20T18:15:10.000000Z,51.546875,-0.20497
2016-01-20T18:15:11.000000Z,51.546897,-0.205269
2016-01-20T18:15:12.000000Z,51.546918,-0.205568
2016-01-20T18:15:13.000000Z,51.546941,-0.205876
2016-01-20T18:15:14.000000Z,51.546963,-0.206179
2016-01-20T18:15:15.000000Z,51.546984,-0.206476
2016-01-20T18:15:16.000000Z,51.547008,-0.206775
2016-01-20T18:15:17.000000Z,51.547033,-0.207063
2016-01-20T18:15:18.000000Z,51.54706,-0.207375
2016-01-20T18:15:19.000000Z,51.547087,-0.207652
2016-01-20T18:15:20.000000Z,51.547118,-0.207961
2016-01-20T18:15:21.000000Z,51.547151,-0.20827
2016-01-20T18:15:22.000000Z,51.547196,-0.208593
2016-01-20T18:15:23.000000Z,51.547242,-0.208914
2016-01-20T18:15:24.000000Z,51.547287,-0.209212
2016-01-20T18:15:25.000000Z,51.547334,-0.209522
2016-01-20T18:15:26.000000Z,51.54738,-0.209828
2016-01-20T18:15:27.000000Z,51.547427,-0.210135
2016-01-20T18:15:28.000000Z,51.547472,-0.210434
2016-01-20T18:15:29.000000Z,51.547478,-0.210473
2016-01-20T18:15:30.000000Z,51.547569,-0.211054
2016-01-20T18:15:31.000000Z,51.547617,-0.211363
2016-01-20T18:15:32.000000Z,51.547666,-0.21167
2016-01-20T18:15:33.000000Z,51.547712,-0.211965
2016-01-20T18:15:34.000000Z,51.547759,-0.212269
2016-01-20T18:15:35.000000Z,51.547806,-0.212567
2016-01-20T18:15:36.000000Z,51.547852,-0.212863
2016-01-20T18:15:37.000000Z,51.547898,-0.213153
2016-01-20T18:15:38.000000Z,51.547945,-0.213458
2016-01-20T18:15:39.000000Z,51.547993,-0.213762
2016-01-20T18:15:40.000000Z,51.548042,-0.214075
2016-01-20T18:15:41.000000Z,51.54809,-0.214385
2016-01-20T18:15:42.000000Z,51.548137,-0.214686
2016-01-20T18:15:43.000000Z,51.548182,-0.214984
2016-01-20T18:15:44.000000Z,51.548228,-0.215291
2016-01-20T18:15:45.000000Z,51.548274,-0.215604
2016-01-20T18:15:46.000000Z,51.548318,-0.2159
2016-01-20T18:15:47.000000Z,51.548363,-0.216206
2016-01-20T18:15:48.000000Z,51.548409,-0.216511
2016-01-20T18:15:49.000000Z,51.548452,-0.216804
2016-01-20T18:15:50.000000Z,51.548496,-0.217099
2016-01-20T18:15:51.000000Z,51.548541,-0.217405
2016-01-20T18:15:52.000000Z,51.548586,-0.217712
2016-01-20T18:15:53.000000Z,51.548633,-0.218028
2016-01-20T18:15:54.000000Z,51.548674,-0.218305
2016-01-20T18:15:55.000000Z,51.548674,-0.218305
2016-01-20T18:15:56.000000Z,51.548769,-0.218952
2016-01-20T18:15:57.000000Z,51.548813,-0.219254
2016-01-20T18:15:58.000000Z,51.54886,-0.219565
2016-01-20T18:15:59.000000Z,51.54891,-0.219877
2016-01-20T18:16:00.000000Z,51.54896,-0.22019
2016-01-20T18:16:01.000000Z,51.549008,-0.220493
2016-01-20T18:16:02.000000Z,51.549062,-0.220828
2016-01-20T18:16:03.000000Z,51.549064,-0.220837
2016-01-20T18:16:04.000000Z,51.54915,-0.221382
2016-01-20T18:16:05.000000Z,51.54921,-0.221755
2016-01-20T18:16:06.000000Z,51.549229,-0.221871
2016-01-20T18:16:07.000000Z,51.549307,-0.222381
2016-01-20T18:16:08.000000Z,51.549353,-0.222687
2016-01-20T18:16:09.000000Z,51.549402,-0.223004
2016-01-20T18:16:10.000000Z,51.549457,-0.223327
2016-01-20T18:16:11.000000Z,51.549509,-0.223635
2016-01-20T18:16:12.000000Z,51.549561,-0.223941
2016-01-20T18:16:13.000000Z,51.549617,-0.224275
2016-01-20T18:16:14.000000Z,51.54967,-0.224594
2016-01-20T18:16:15.000000Z,51.549717,-0.224905
2016-01-20T18:16:16.000000Z,51.549765,-0.225214
2016-01-20T18:16:17.000000Z,51.549816,-0.225547
2016-01-20T18:16:18.000000Z,51.549869,-0.225886
2016-01-20T18:16:19.000000Z,51.549919,-0.226213
2016-01-20T18:16:20.000000Z,51.549969,-0.22654
2016-01-20T18:16:21.000000Z,51.550018,-0.226853
2016-01-20T18:16:22.000000Z,51.550067,-0.227174
2016-01-20T18:16:23.000000Z,51.550118,-0.227508
2016-01-20T18:16:24.000000Z,51.550168,-0.227828
2016-01-20T18:16:25.000000Z,51.550169,-0.227836
2016-01-20T18:16:26.000000Z,51.550254,-0.228392
2016-01-20T18:16:27.000000Z,51.550322,-0.228833
2016-01-20T18:16:28.000000Z,51.550372,-0.229158
2016-01-20T18:16:29.000000Z,51.550424,-0.229499
2016-01-20T18:16:30.000000Z,51.550476,-0.229833
2016-01-20T18:16:31.000000Z,51.550532,-0.230174
2016-01-20T18:16:32.000000Z,51.550592,-0.230502
2016-01-20T18:16:33.000000Z,51.55065,-0.230821
2016-01-20T18:16:34.000000Z,51.550709,-0.231141
2016-01-20T18:16:35.000000Z,51.550764,-0.23147
2016-01-20T18:16:36.000000Z,51.550817,-0.231806
2016-01-20T18:16:37.000000Z,51.550871,-0.23215
2016-01-20T18:16:38.000000Z,51.550926,-0.232493
2016-01-20T18:16:39.000000Z,51.550973,-0.232796
2016-01-20T18:16:40.000000Z,51.551032,-0.233167
2016-01-20T18:16:41.000000Z,51.55108,-0.23347
2016-01-20T18:16:42.000000Z,51.551133,-0.233804
2016-01-20T18:16:43.000000Z,51.551178,-0.234093
2016-01-20T18:16:44.000000Z,51.551232,-0.234432
2016-01-20T18:16:45.000000Z,51.551287,-0.234781
2016-01-20T18:16:46.000000Z,51.551341,-0.235119
2016-01-20T18:16:47.000000Z,51.5514,-0.235494
2016-01-20T18:16:48.000000Z,51.55146,-0.235872
2016-01-20T18:16:49.000000Z,51.551515,-0.236221
2016-01-20T18:16:50.000000Z,51.55157,-0.236572
2016-01-20T18:16:51.000000Z,51.551627,-0.236929
2016-01-20T18:16:52.000000Z,51.55168,-0.237268
2016-01-20T18:16:53.000000Z,51.551738,-0.237631
2016-01-20T18:16:54.000000Z,51.551791,-0.237973
2016-01-20T18:16:55.000000Z,51.551853,-0.238364
2016-01-20T18:16:56.000000Z,51.551912,-0.238733
2016-01-20T18:16:57.000000Z,51.55194,-0.238909
2016-01-20T18:16:58.000000Z,51.55202,-0.239435
2016-01-20T18:16:59.000000Z,51.552072,-0.239774
2016-01-20T18:17:00.000000Z,51.552124,-0.24011
2016-01-20T18:17:01.000000Z,51.552179,-0.240471
2016-01-20T18:17:02.000000Z,51.552233,-0.240817
2016-01-20T18:17:03.000000Z,51.552288,-0.241178
2016-01-20T18:17:04.000000Z,51.552344,-0.241543
2016-01-20T18:17:05.000000Z,51.552405,-0.24194
2016-01-20T18:17:06.000000Z,51.55246,-0.242299
2016-01-20T18:17:07.000000Z,51.552514,-0.242649
2016-01-20T18:17:08.000000Z,51.552552,-0.242894
2016-01-20T18:17:09.000000Z,51.552628,-0.243404
2016-01-20T18:17:10.000000Z,51.55268,-0.243764
2016-01-20T18:17:11.000000Z,51.552733,-0.244133
2016-01-20T18:17:12.000000Z,51.552793,-0.244501
2016-01-20T18:17:13.000000Z,51.552854,-0.244851
2016-01-20T18:17:14.000000Z,51.552919,-0.245221
2016-01-20T18:17:15.000000Z,51.552992,-0.245586
2016-01-20T18:17:16.000000Z,51.553063,-0.245935
2016-01-20T18:17:17.000000Z,51.553137,-0.246297
2016-01-20T18:17:18.000000Z,51.553211,-0.246656
2016-01-20T18:17:19.000000Z,51.553284,-0.247
2016-01-20T18:17:20.000000Z,51.553298,-0.247058
2016-01-20T18:17:21.000000Z,51.553453,-0.247702
2016-01-20T18:17:22.000000Z,51.553541,-0.248044
2016-01-20T18:17:23.000000Z,51.553636,-0.248386
2016-01-20T18:17:24.000000Z,51.553721,-0.248693
2016-01-20T18:17:25.000000Z,51.553815,-0.249029
2016-01-20T18:17:26.000000Z,51.553905,-0.249355
2016-01-20T18:17:27.000000Z,51.553952,-0.249524
2016-01-20T18:17:28.000000Z,51.554102,-0.250067
2016-01-20T18:17:29.000000Z,51.554125,-0.250151
2016-01-20T18:17:30.000000Z,51.554282,-0.250737
2016-01-20T18:17:31.000000Z,51.554372,-0.251128
2016-01-20T18:17:32.000000Z,51.554464,-0.251483
2016-01-20T18:17:33.000000Z,51.554538,-0.251814
2016-01-20T18:17:34.000000Z,51.554613,-0.252155
2016-01-20T18:17:35.000000Z,51.554693,-0.252495
2016-01-20T18:17:36.000000Z,51.554782,-0.252823
2016-01-20T18:17:37.000000Z,51.554867,-0.253166
2016-01-20T18:17:38.000000Z,51.554939,-0.253504
2016-01-20T18:17:39.000000Z,51.555107,-0.253825
2016-01-20T18:17:40.000000Z,51.555195,-0.254157
2016-01-20T18:17:41.000000Z,51.55527,-0.254436
2016-01-20T18:17:42.000000Z,51.555363,-0.254783
2016-01-20T18:17:43.000000Z,51.555456,-0.255133
2016-01-20T18:17:44.000000Z,51.555547,-0.255474
2016-01-20T18:17:45.000000Z,51.555639,-0.25582
2016-01-20T18:17:46.000000Z,51.555732,-0.256155
2016-01-20T18:17:47.000000Z,51.555824,-0.256482
2016-01-20T18:17:48.000000Z,51.55592,-0.256822
2016-01-20T18:17:49.000000Z,51.556013,-0.257154
2016-01-20T18:17:50.000000Z,51.556108,-0.257492
2016-01-20T18:17:51.000000Z,51.556211,-0.25784
2016-01-20T18:17:52.000000Z,51.556311,-0.25817
2016-01-20T18:17:53.000000Z,51.556409,-0.258497
2016-01-20T18:17:54.000000Z,51.556505,-0.258813
2016-01-20T18:17:55.000000Z,51.556614,-0.259168
2016-01-20T18:17:56.000000Z,51.556725,-0.259511
2016-01-20T18:17:57.000000Z,51.556838,-0.259859
2016-01-20T18:17:58.000000Z,51.55695,-0.260205
2016-01-20T18:17:59.000000Z,51.55706,-0.260533
2016-01-20T18:18:00.000000Z,51.557171,-0.260839
2016-01-20T18:18:01.000000Z,51.557293,-0.261173
2016-01-20T18:18:02.000000Z,51.557417,-0.261516
2016-01-20T18:18:03.000000Z,51.557533,-0.261835
2016-01-20T18:18:04.000000Z,51.557657,-0.262144
2016-01-20T18:18:05.000000Z,51.557787,-0.262466
2016-01-20T18:18:06.000000Z,51.557914,-0.262778
2016-01-20T18:18:07.000000Z,51.558038,-0.263079
2016-01-20T18:18:08.000000Z,51.558172,-0.263402
2016-01-20T18:18:09.000000Z,51.558302,-0.263714
2016-01-20T18:18:10.000000Z,51.558434,-0.264034
2016-01-20T18:18:11.000000Z,51.558561,-0.264339
2016-01-20T18:18:12.000000Z,51.55869,-0.264653
2016-01-20T18:18:13.000000Z,51.558823,-0.264966
2016-01-20T18:18:14.000000Z,51.55896,-0.265279
2016-01-20T18:18:15.000000Z,51.559096,-0.265591
2016-01-20T18:18:16.000000Z,51.559228,-0.265893
2016-01-20T18:18:17.000000Z,51.559362,-0.266197
2016-01-20T18:18:18.000000Z,51.559496,-0.266504
2016-01-20T18:18:19.000000Z,51.559625,-0.266813
2016-01-20T18:18:20.000000Z,51.559753,-0.267123
2016-01-20T18:18:21.000000Z,51.559884,-0.267439
2016-01-20T18:18:22.000000Z,51.560012,-0.267751
2016-01-20T18:18:23.000000Z,51.560143,-0.268067
2016-01-20T18:18:24.000000Z,51.560273,-0.268382
2016-01-20T18:18:25.000000Z,51.560407,-0.268705
2016-01-20T18:18:26.000000Z,51.560531,-0.269005
2016-01-20T18:18:27.000000Z,51.560659,-0.269315
2016-01-20T18:18:28.000000Z,51.56078,-0.269643
2016-01-20T18:18:29.000000Z,51.560895,-0.269964
2016-01-20T18:18:30.000000Z,51.561016,-0.270303
2016-01-20T18:18:31.000000Z,51.561123,-0.270601
2016-01-20T18:18:32.000000Z,51.561239,-0.270924
2016-01-20T18:18:33.000000Z,51.561353,-0.271244
2016-01-20T18:18:34.000000Z,51.561462,-0.271564
2016-01-20T18:18:35.000000Z,51.561542,-0.271797
2016-01-20T18:18:36.000000Z,51.561618,-0.272023
2016-01-20T18:18:37.000000Z,51.561717,-0.272313
2016-01-20T18:18:38.000000Z,51.561816,-0.272615
2016-01-20T18:18:39.000000Z,51.561875,-0.272852
2016-01-20T18:18:40.000000Z,51.561925,-0.273053
2016-01-20T18:18:41.000000Z,51.561998,-0.273344
2016-01-20T18:18:42.000000Z,51.562081,-0.273679
2016-01-20T18:18:43.000000Z,51.562135,-0.273896
2016-01-20T18:18:44.000000Z,51.562211,-0.274201
2016-01-20T18:18:45.000000Z,51.562271,-0.274461
2016-01-20T18:18:46.000000Z,51.562324,-0.274742
2016-01-20T18:18:47.000000Z,51.562366,-0.274969
2016-01-20T18:18:48.000000Z,51.562407,-0.275189
2016-01-20T18:18:49.000000Z,51.562443,-0.275383
2016-01-20T18:18:50.000000Z,51.56248,-0.275578
2016-01-20T18:18:51.000000Z,51.562515,-0.275766
2016-01-20T18:18:52.000000Z,51.562567,-0.27605
2016-01-20T18:18:53.000000Z,51.562603,-0.276243
2016-01-20T18:18:54.000000Z,51.562641,-0.276448
2016-01-20T18:18:55.000000Z,51.562658,-0.276534
2016-01-20T18:18:56.000000Z,51.562701,-0.276768
2016-01-20T18:18:57.000000Z,51.562717,-0.276854
2016-01-20T18:18:58.000000Z,51.562743,-0.276993
2016-01-20T18:18:59.000000Z,51.562794,-0.277226
2016-01-20T18:19:00.000000Z,51.562831,-0.277388
2016-01-20T18:19:01.000000Z,51.562866,-0.27754
2016-01-20T18:19:02.000000Z,51.56291,-0.277735
2016-01-20T18:19:03.000000Z,51.562933,-0.277838
2016-01-20T18:19:04.000000Z,51.562956,-0.27791
2016-01-20T18:19:05.000000Z,51.56299,-0.278007
2016-01-20T18:19:06.000000Z,51.563029,-0.278121
2016-01-20T18:19:07.000000Z,51.563062,-0.278214
2016-01-20T18:19:08.000000Z,51.563103,-0.278334
2016-01-20T18:19:09.000000Z,51.56314,-0.278442
2016-01-20T18:19:10.000000Z,51.563177,-0.278548
2016-01-20T18:19:11.000000Z,51.563195,-0.278599
2016-01-20T18:19:12.000000Z,51.563226,-0.278689
2016-01-20T18:19:13.000000Z,51.563243,-0.27874
2016-01-20T18:19:14.000000Z,51.563266,-0.278806
2016-01-20T18:19:15.000000Z,51.563286,-0.278862
2016-01-20T18:19:16.000000Z,51.563286,-0.278862
2016-01-20T18:19:17.000000Z,51.563286,-0.278862
2016-01-20T18:19:18.000000Z,51.563286,-0.278862
2016-01-20T18:19:19.000000Z,51.563286,-0.278862
2016-01-20T18:19:20.000000Z,51.563286,-0.278862
2016-01-20T18:19:21.000000Z,51.563286,-0.278862
2016-01-20T18:19:22.000000Z,51.563286,-0.278862
2016-01-20T18:19:23.000000Z,51.563286,-0.278862
2016-01-20T18:19:24.000000Z,51.563286,-0.278862
2016-01-20T18:19:25.000000Z,51.563443,-0.279705
2016-01-20T18:19:26.000000Z,51.563443,-0.279705
2016-01-20T18:19:27.000000Z,51.563443,-0.279705
2016-01-20T18:19:28.000000Z,51.563443,-0.279705
2016-01-20T18:19:29.000000Z,51.563443,-0.279705
2016-01-20T18:19:30.000000Z,51.563443,-0.279705
2016-01-20T18:19:31.000000Z,51.563443,-0.279705
2016-01-20T18:19:32.000000Z,51.563443,-0.279705
2016-01-20T18:19:33.000000Z,51.563474,-0.279786
2016-01-20T18:19:34.000000Z,51.563474,-0.279786
2016-01-20T18:19:35.000000Z,51.563474,-0.279786
2016-01-20T18:19:36.000000Z,51.563474,-0.279786
2016-01-20T18:19:37.000000Z,51.563474,-0.279786
2016-01-20T18:19:38.000000Z,51.563474,-0.279786
2016-01-20T18:19:39.000000Z,51.56338,-0.279706
2016-01-20T18:19:40.000000Z,51.56338,-0.279706
2016-01-20T18:19:41.000000Z,51.56338,-0.279706
2016-01-20T18:19:42.000000Z,51.56338,-0.279706
2016-01-20T18:19:43.000000Z,51.56338,-0.279706
2016-01-20T18:19:44.000000Z,51.56338,-0.279706
2016-01-20T18:19:45.000000Z,51.56338,-0.279706
2016-01-20T18:19:46.000000Z,51.563566,-0.279788
2016-01-20T18:19:48.000000Z,51.563566,-0.279788
2016-01-20T18:19:49.000000Z,51.563592,-0.279789
2016-01-20T18:19:50.000000Z,51.563592,-0.279789
2016-01-20T18:19:51.000000Z,51.563592,-0.279789
2016-01-20T18:19:52.000000Z,51.563519,-0.279731
2016-01-20T18:19:53.000000Z,51.563519,-0.279731
2016-01-20T18:19:54.000000Z,51.563519,-0.279731
2016-01-20T18:19:55.000000Z,51.563519,-0.279731
2016-01-20T18:19:56.000000Z,51.563519,-0.279731
2016-01-20T18:19:57.000000Z,51.563519,-0.279731
2016-01-20T18:19:58.000000Z,51.563519,-0.279731
2016-01-20T18:19:59.000000Z,51.563519,-0.279731
2016-01-20T18:20:00.000000Z,51.563568,-0.279788
2016-01-20T18:20:01.000000Z,51.563568,-0.279788
2016-01-20T18:20:02.000000Z,51.563568,-0.279788
2016-01-20T18:20:03.000000Z,51.563568,-0.279788
2016-01-20T18:20:04.000000Z,51.563568,-0.279788
2016-01-20T18:20:05.000000Z,51.563568,-0.279788
2016-01-20T18:20:06.000000Z,51.563568,-0.279788
2016-01-20T18:20:07.000000Z,51.563568,-0.279788
2016-01-20T18:20:08.000000Z,51.563568,-0.279788
2016-01-20T18:20:09.000000Z,51.563584,-0.279804
2016-01-20T18:20:10.000000Z,51.563584,-0.279804
2016-01-20T18:20:11.000000Z,51.563584,-0.279804
2016-01-20T18:20:12.000000Z,51.563584,-0.279804
2016-01-20T18:20:13.000000Z,51.563584,-0.279804
2016-01-20T18:20:14.000000Z,51.563584,-0.279804
2016-01-20T18:20:15.000000Z,51.563584,-0.279804
2016-01-20T18:20:16.000000Z,51.563584,-0.279804
2016-01-20T18:20:17.000000Z,51.563584,-0.279804
2016-01-20T18:20:18.000000Z,51.563584,-0.279804
2016-01-20T18:20:19.000000Z,51.563584,-0.279804
2016-01-20T18:20:20.000000Z,51.563584,-0.279804
2016-01-20T18:20:21.000000Z,51.563584,-0.279804
2016-01-20T18:20:22.000000Z,51.563584,-0.279804
2016-01-20T18:20:23.000000Z,51.563584,-0.279804
2016-01-20T18:20:24.000000Z,51.563584,-0.279804
2016-01-20T18:20:25.000000Z,51.563584,-0.279804
2016-01-20T18:20:26.000000Z,51.563584,-0.279804
2016-01-20T18:20:27.000000Z,51.563584,-0.279804
