RawGPS
Time (UTC),Latitude,Longitude
2016-01-18T06:15:23.000000Z,51.587049,-0.367389
2016-01-18T06:15:24.000000Z,51.586843,-0.367265
2016-01-18T06:15:25.000000Z,51.586749,-0.367045
2016-01-18T06:15:26.000000Z,51.586641,-0.366793
2016-01-18T06:15:27.000000Z,51.586535,-0.366546
2016-01-18T06:15:28.000000Z,51.586431,-0.366302
2016-01-18T06:15:29.000000Z,51.586335,-0.366078
2016-01-18T06:15:30.000000Z,51.586237,-0.36585
2016-01-18T06:15:31.000000Z,51.586152,-0.365651
2016-01-18T06:15:32.000000Z,51.586068,-0.365455
2016-01-18T06:15:33.000000Z,51.585986,-0.365263
2016-01-18T06:15:34.000000Z,51.585911,-0.365089
2016-01-18T06:15:35.000000Z,51.585839,-0.364905
2016-01-18T06:15:36.000000Z,51.585773,-0.364733
2016-01-18T06:15:37.000000Z,51.585709,-0.364569
2016-01-18T06:15:38.000000Z,51.585649,-0.364414
2016-01-18T06:15:39.000000Z,51.585593,-0.36427
2016-01-18T06:15:40.000000Z,51.585543,-0.364139
2016-01-18T06:15:41.000000Z,51.5855,-0.364028
2016-01-18T06:15:42.000000Z,51.585455,-0.363913
2016-01-18T06:15:43.000000Z,51.585412,-0.363805
2016-01-18T06:15:44.000000Z,51.58538,-0.363722
2016-01-18T06:15:45.000000Z,51.585351,-0.363648
2016-01-18T06:15:46.000000Z,51.585316,-0.363559
2016-01-18T06:15:47.000000Z,51.585287,-0.363484
2016-01-18T06:15:48.000000Z,51.585264,-0.363427
2016-01-18T06:15:49.000000Z,51.585235,-0.363352
2016-01-18T06:15:50.000000Z,51.585213,-0.363296
2016-01-18T06:15:51.000000Z,51.585188,-0.363234
2016-01-18T06:15:52.000000Z,51.58517,-0.363187
2016-01-18T06:15:53.000000Z,51.585161,-0.363165
2016-01-18T06:15:54.000000Z,51.585154,-0.363146
2016-01-18T06:15:55.000000Z,51.585148,-0.363131
2016-01-18T06:15:56.000000Z,51.585146,-0.363126
2016-01-18T06:15:57.000000Z,51.585146,-0.363126
2016-01-18T06:15:58.000000Z,51.585146,-0.363126
2016-01-18T06:15:59.000000Z,51.585146,-0.363126
2016-01-18T06:16:00.000000Z,51.585146,-0.363126
2016-01-18T06:16:01.000000Z,51.585146,-0.363126
2016-01-18T06:16:02.000000Z,51.585146,-0.363126
2016-01-18T06:16:03.000000Z,51.585146,-0.363126
2016-01-18T06:16:04.000000Z,51.585146,-0.363126
2016-01-18T06:16:05.000000Z,51.585145,-0.363124
2016-01-18T06:16:06.000000Z,51.585146,-0.363126
2016-01-18T06:16:07.000000Z,51.585148,-0.363132
2016-01-18T06:16:08.000000Z,51.585148,-0.363132
2016-01-18T06:16:09.000000Z,51.585148,-0.363132
2016-01-18T06:16:10.000000Z,51.585148,-0.363132
2016-01-18T06:16:11.000000Z,51.585148,-0.363132
2016-01-18T06:16:12.000000Z,51.585148,-0.363132
2016-01-18T06:16:13.000000Z,51.585148,-0.363132
2016-01-18T06:16:14.000000Z,51.585159,-0.36316
