RawGPS
Time (UTC),Latitude,Longitude
2016-01-18T06:31:05.000000Z,51.550507,-0.229276
2016-01-18T06:31:06.000000Z,51.550493,-0.229156
2016-01-18T06:31:08.000000Z,51.550647,-0.228623
2016-01-18T06:31:09.000000Z,51.550592,-0.228275
2016-01-18T06:31:10.000000Z,51.550502,-0.227931
2016-01-18T06:31:11.000000Z,51.550455,-0.227658
2016-01-18T06:31:12.000000Z,51.550396,-0.227406
2016-01-18T06:31:13.000000Z,51.550348,-0.227123
2016-01-18T06:31:14.000000Z,51.550307,-0.226822
2016-01-18T06:31:15.000000Z,51.550279,-0.226572
2016-01-18T06:31:16.000000Z,51.550234,-0.226311
2016-01-18T06:31:17.000000Z,51.550189,-0.226054
2016-01-18T06:31:18.000000Z,51.550144,-0.225768
2016-01-18T06:31:19.000000Z,51.550095,-0.225486
2016-01-18T06:31:20.000000Z,51.550038,-0.225169
2016-01-18T06:31:21.000000Z,51.549983,-0.224873
2016-01-18T06:31:22.000000Z,51.549931,-0.22459
2016-01-18T06:31:23.000000Z,51.549889,-0.22429
2016-01-18T06:31:24.000000Z,51.549845,-0.224013
2016-01-18T06:31:25.000000Z,51.549792,-0.223722
2016-01-18T06:31:26.000000Z,51.549753,-0.223439
2016-01-18T06:31:27.000000Z,51.549709,-0.223144
2016-01-18T06:31:28.000000Z,51.549661,-0.222847
2016-01-18T06:31:29.000000Z,51.549602,-0.222546
2016-01-18T06:31:30.000000Z,51.549558,-0.222271
2016-01-18T06:31:31.000000Z,51.549505,-0.221979
2016-01-18T06:31:32.000000Z,51.549448,-0.221697
2016-01-18T06:31:33.000000Z,51.549403,-0.221402
2016-01-18T06:31:34.000000Z,51.549355,-0.221115
2016-01-18T06:31:35.000000Z,51.549309,-0.220824
2016-01-18T06:31:36.000000Z,51.549259,-0.220527
2016-01-18T06:31:37.000000Z,51.549214,-0.220249
2016-01-18T06:31:38.000000Z,51.549157,-0.21991
2016-01-18T06:31:39.000000Z,51.549103,-0.219567
2016-01-18T06:31:40.000000Z,51.54904,-0.219302
2016-01-18T06:31:41.000000Z,51.548986,-0.219031
2016-01-18T06:31:42.000000Z,51.548943,-0.218737
2016-01-18T06:31:43.000000Z,51.548896,-0.218454
