RawGPS
Time (UTC),Latitude,Longitude
2015-12-31 00:11:57+00:00,10.8447869,106.78621236
2015-12-31 00:13:57+00:00,10.84406679,106.78185463
2015-12-31 00:14:06+00:00,10.84427009,106.78168632
2015-12-31 00:14:07+00:00,10.84424752,106.78161972
2015-12-31 00:14:08+00:00,10.84420063,106.78159961
2015-12-31 00:14:09+00:00,10.84425707,106.78157504
2015-12-31 00:14:11+00:00,10.84424879,106.78152218
2015-12-31 00:14:12+00:00,10.84425473,106.78147569
2015-12-31 00:14:14+00:00,10.84427475,106.78141885
2015-12-31 00:14:16+00:00,10.84430157,106.78136202
2015-12-31 00:14:18+00:00,10.84434092,106.78129133
2015-12-31 00:14:20+00:00,10.84437547,106.78123203
2015-12-31 00:14:22+00:00,10.84443287,106.78115213
2015-12-31 00:14:23+00:00,10.84448006,106.78112263
2015-12-31 00:14:24+00:00,10.84448907,106.78104606
2015-12-31 00:14:26+00:00,10.84449257,106.7809599
2015-12-31 00:14:27+00:00,10.84452999,106.78092568
2015-12-31 00:14:28+00:00,10.844564,106.78089387
2015-12-31 00:14:29+00:00,10.84462596,106.78085749
2015-12-31 00:14:31+00:00,10.84466977,106.78078573
2015-12-31 00:14:32+00:00,10.84472143,106.78072822
2015-12-31 00:14:33+00:00,10.84472137,106.7806614
2015-12-31 00:14:34+00:00,10.84477841,106.78061105
2015-12-31 00:14:35+00:00,10.84484501,106.78056714
2015-12-31 00:14:36+00:00,10.84490232,106.78054126
2015-12-31 00:14:38+00:00,10.84493723,106.78050224
2015-12-31 00:14:42+00:00,10.8449958,106.78048823
2015-12-31 00:14:47+00:00,10.8450306,106.78044426
2015-12-31 00:14:49+00:00,10.84503377,106.78039044
2015-12-31 00:14:51+00:00,10.84506277,106.78033694
2015-12-31 00:14:53+00:00,10.84510973,106.78026706
2015-12-31 00:14:54+00:00,10.84513926,106.78022362
2015-12-31 00:14:55+00:00,10.84517401,106.78017877
2015-12-31 00:14:56+00:00,10.84519369,106.78010962
2015-12-31 00:14:57+00:00,10.84522547,106.7800442
2015-12-31 00:14:58+00:00,10.84525586,106.7799801
2015-12-31 00:14:59+00:00,10.84528607,106.77993887
2015-12-31 00:15:00+00:00,10.84532418,106.77988635
2015-12-31 00:15:01+00:00,10.8453465,106.77982929
2015-12-31 00:15:02+00:00,10.8453671,106.77976661
2015-12-31 00:15:03+00:00,10.84539935,106.77970228
2015-12-31 00:15:04+00:00,10.84543614,106.77964472
2015-12-31 00:15:05+00:00,10.84545855,106.77957542
2015-12-31 00:15:06+00:00,10.84549574,106.77949429
2015-12-31 00:15:07+00:00,10.84553401,106.77943671
2015-12-31 00:15:08+00:00,10.84556547,106.77936581
2015-12-31 00:15:09+00:00,10.84559622,106.77930502
2015-12-31 00:15:10+00:00,10.84563747,106.77920072
2015-12-31 00:15:11+00:00,10.84567167,106.77912858
2015-12-31 00:15:12+00:00,10.84572167,106.77906878
2015-12-31 00:15:13+00:00,10.84577329,106.77900747
2015-12-31 00:15:14+00:00,10.84582425,106.77894509
2015-12-31 00:15:15+00:00,10.84586338,106.77885162
2015-12-31 00:15:16+00:00,10.84589547,106.77878724
2015-12-31 00:15:17+00:00,10.84592309,106.77872605
2015-12-31 00:15:18+00:00,10.84596274,106.77865173
2015-12-31 00:15:19+00:00,10.84595218,106.77859733
2015-12-31 00:15:20+00:00,10.84598769,106.77854027
2015-12-31 00:15:21+00:00,10.84601373,106.77845598
2015-12-31 00:15:22+00:00,10.84604673,106.77838364
2015-12-31 00:15:23+00:00,10.84606685,106.77831537
2015-12-31 00:15:24+00:00,10.84608479,106.77824598
2015-12-31 00:15:25+00:00,10.84611869,106.77818622
2015-12-31 00:15:26+00:00,10.84613622,106.77813853
2015-12-31 00:15:27+00:00,10.84623295,106.77808627
2015-12-31 00:15:28+00:00,10.84627466,106.77803752
2015-12-31 00:15:29+00:00,10.84635266,106.77797893
2015-12-31 00:15:30+00:00,10.84637554,106.77792954
2015-12-31 00:15:31+00:00,10.84642373,106.77788445
2015-12-31 00:15:32+00:00,10.84638642,106.77784487
2015-12-31 00:15:33+00:00,10.84641204,106.7778035
2015-12-31 00:15:35+00:00,10.84644053,106.77773629
2015-12-31 00:15:36+00:00,10.8464443,106.77766737
2015-12-31 00:15:39+00:00,10.84651138,106.77761956
2015-12-31 00:15:41+00:00,10.84658825,106.77757449
2015-12-31 00:15:46+00:00,10.84656623,106.7775338
2015-12-31 00:15:49+00:00,10.8465721,106.77747733
2015-12-31 00:15:53+00:00,10.84664712,106.77750197
2015-12-31 00:15:54+00:00,10.84672719,106.77755491
2015-12-31 00:15:55+00:00,10.84670339,106.77750657
2015-12-31 00:15:56+00:00,10.8466995,106.77744724
2015-12-31 00:15:58+00:00,10.84691849,106.77737081
2015-12-31 00:15:59+00:00,10.84690877,106.77729256
2015-12-31 00:16:00+00:00,10.84694326,106.77724784
2015-12-31 00:16:01+00:00,10.84697555,106.77721045
2015-12-31 00:16:02+00:00,10.84690657,106.77712309
2015-12-31 00:16:04+00:00,10.84693797,106.77706348
2015-12-31 00:16:05+00:00,10.84697108,106.77701307
2015-12-31 00:16:06+00:00,10.84696812,106.7768941
2015-12-31 00:16:07+00:00,10.84701174,106.77685229
2015-12-31 00:16:08+00:00,10.84699687,106.77678688
2015-12-31 00:16:09+00:00,10.84701272,106.77673232
2015-12-31 00:16:10+00:00,10.84700548,106.7766297
2015-12-31 00:16:11+00:00,10.84703727,106.7765662
2015-12-31 00:16:12+00:00,10.84712169,106.77649727
