RawGPS
Time (UTC),Latitude,Longitude
2015-12-20 16:12:59.668000+00:00,47.028612,28.885523
2015-12-20 16:13:26+00:00,47.030978,28.882635
2015-12-20 16:13:27+00:00,47.030852,28.882606
2015-12-20 16:13:28+00:00,47.030858,28.88244
2015-12-20 16:13:29+00:00,47.030892,28.882294
2015-12-20 16:13:31+00:00,47.030829,28.882239
2015-12-20 16:13:32+00:00,47.030805,28.882134
2015-12-20 16:13:33+00:00,47.030743,28.882068
2015-12-20 16:13:34+00:00,47.030691,28.881956
2015-12-20 16:13:35+00:00,47.030615,28.881798
2015-12-20 16:13:40.143000+00:00,47.032176,28.880435
2015-12-20 16:13:42+00:00,47.030221,28.880751
2015-12-20 16:13:43+00:00,47.030161,28.880576
2015-12-20 16:13:44+00:00,47.030143,28.880428
2015-12-20 16:13:45+00:00,47.030095,28.880276
2015-12-20 16:13:46+00:00,47.030026,28.880089
2015-12-20 16:13:47+00:00,47.029982,28.879907
2015-12-20 16:13:48+00:00,47.029911,28.879733
2015-12-20 16:13:49+00:00,47.02984,28.879574
2015-12-20 16:13:50+00:00,47.029768,28.879405
2015-12-20 16:13:51+00:00,47.029701,28.879239
2015-12-20 16:13:52+00:00,47.029641,28.879072
2015-12-20 16:13:53+00:00,47.029584,28.878927
2015-12-20 16:13:54+00:00,47.029526,28.878762
2015-12-20 16:13:55+00:00,47.029484,28.878577
2015-12-20 16:13:56+00:00,47.029405,28.878393
2015-12-20 16:13:57+00:00,47.029372,28.878246
2015-12-20 16:13:58+00:00,47.029341,28.878098
2015-12-20 16:13:59+00:00,47.029284,28.877919
2015-12-20 16:14:00+00:00,47.029246,28.877751
2015-12-20 16:14:01+00:00,47.029216,28.877608
2015-12-20 16:14:02+00:00,47.029188,28.877484
2015-12-20 16:14:03+00:00,47.029143,28.877344
2015-12-20 16:14:04+00:00,47.02911,28.877215
2015-12-20 16:14:05+00:00,47.029068,28.87706
2015-12-20 16:14:06+00:00,47.029023,28.876918
2015-12-20 16:14:07+00:00,47.028996,28.876775
2015-12-20 16:14:08+00:00,47.028951,28.876648
2015-12-20 16:14:09+00:00,47.028902,28.8765
2015-12-20 16:14:10+00:00,47.028858,28.876357
2015-12-20 16:14:11+00:00,47.028838,28.876267
2015-12-20 16:14:12+00:00,47.028785,28.87615
2015-12-20 16:14:13+00:00,47.028746,28.875993
2015-12-20 16:14:14+00:00,47.028699,28.875833
2015-12-20 16:14:15+00:00,47.028639,28.875687
2015-12-20 16:14:16+00:00,47.028588,28.875525
2015-12-20 16:14:17+00:00,47.028525,28.875349
2015-12-20 16:14:18+00:00,47.028437,28.875152
2015-12-20 16:14:19+00:00,47.028371,28.874986
2015-12-20 16:14:20+00:00,47.028318,28.874825
2015-12-20 16:14:21+00:00,47.028263,28.874653
2015-12-20 16:14:22+00:00,47.028212,28.874492
2015-12-20 16:14:23+00:00,47.02815,28.874315
2015-12-20 16:14:24+00:00,47.028063,28.874161
2015-12-20 16:14:25+00:00,47.027982,28.874004
2015-12-20 16:14:26+00:00,47.02793,28.87384
2015-12-20 16:14:27+00:00,47.027866,28.87366
2015-12-20 16:14:28+00:00,47.027797,28.873469
2015-12-20 16:14:29+00:00,47.027728,28.873279
2015-12-20 16:14:30+00:00,47.027623,28.87308
2015-12-20 16:14:31+00:00,47.027556,28.872906
2015-12-20 16:14:32+00:00,47.027426,28.872694
2015-12-20 16:14:33+00:00,47.027348,28.872509
2015-12-20 16:14:34+00:00,47.027286,28.872304
2015-12-20 16:14:35+00:00,47.027227,28.872128
2015-12-20 16:14:36+00:00,47.027154,28.871958
2015-12-20 16:14:37+00:00,47.027081,28.87183
2015-12-20 16:14:38+00:00,47.027027,28.871662
2015-12-20 16:14:39+00:00,47.026963,28.871496
2015-12-20 16:14:40+00:00,47.026908,28.871366
2015-12-20 16:14:41+00:00,47.026828,28.871229
2015-12-20 16:14:42+00:00,47.026753,28.871057
2015-12-20 16:14:43+00:00,47.026679,28.870859
2015-12-20 16:14:44+00:00,47.026601,28.870687
2015-12-20 16:14:45+00:00,47.026529,28.870513
2015-12-20 16:14:46+00:00,47.026475,28.87037
2015-12-20 16:14:47+00:00,47.026415,28.870212
2015-12-20 16:14:48+00:00,47.026349,28.870045
2015-12-20 16:14:49+00:00,47.026292,28.86989
2015-12-20 16:14:50+00:00,47.02623,28.869731
2015-12-20 16:14:51+00:00,47.026149,28.869574
2015-12-20 16:14:52+00:00,47.02603,28.869439
2015-12-20 16:14:53+00:00,47.025932,28.869293
2015-12-20 16:14:54+00:00,47.025829,28.869156
2015-12-20 16:14:55+00:00,47.025725,28.869056
2015-12-20 16:14:56+00:00,47.025608,28.868958
2015-12-20 16:14:57+00:00,47.025486,28.868855
2015-12-20 16:14:58+00:00,47.025362,28.868732
2015-12-20 16:14:59+00:00,47.025245,28.868609
2015-12-20 16:15:00+00:00,47.025108,28.868499
2015-12-20 16:15:01+00:00,47.024991,28.86837
2015-12-20 16:15:02+00:00,47.024905,28.868216
2015-12-20 16:15:03+00:00,47.024811,28.86808
2015-12-20 16:15:04+00:00,47.024741,28.867964
2015-12-20 16:15:05+00:00,47.024673,28.867838
2015-12-20 16:15:06+00:00,47.024616,28.867741
2015-12-20 16:15:07+00:00,47.024563,28.867604
2015-12-20 16:15:08+00:00,47.024505,28.867504
2015-12-20 16:15:09+00:00,47.024451,28.867402
2015-12-20 16:15:10+00:00,47.024401,28.867289
2015-12-20 16:15:11+00:00,47.024352,28.867192
2015-12-20 16:15:12+00:00,47.024325,28.867138
2015-12-20 16:15:13+00:00,47.024275,28.867046
2015-12-20 16:15:14+00:00,47.024249,28.866962
2015-12-20 16:15:16+00:00,47.024205,28.866904
2015-12-20 16:15:22+00:00,47.024171,28.866836
2015-12-20 16:15:24+00:00,47.024131,28.866747
2015-12-20 16:15:25+00:00,47.024097,28.866685
2015-12-20 16:15:26+00:00,47.024056,28.866607
2015-12-20 16:15:27+00:00,47.024019,28.866541
2015-12-20 16:15:28+00:00,47.023967,28.866457
2015-12-20 16:15:29+00:00,47.023912,28.866379
2015-12-20 16:15:30+00:00,47.023858,28.866301
2015-12-20 16:15:31+00:00,47.023815,28.866225
2015-12-20 16:15:32+00:00,47.023746,28.866089
2015-12-20 16:15:33+00:00,47.023675,28.866009
2015-12-20 16:15:34+00:00,47.023607,28.865917
2015-12-20 16:15:35+00:00,47.023536,28.865796
2015-12-20 16:15:36+00:00,47.02346,28.86563
2015-12-20 16:15:37+00:00,47.023366,28.86545
2015-12-20 16:15:38+00:00,47.023313,28.865309
2015-12-20 16:15:39+00:00,47.023272,28.865168
2015-12-20 16:15:40+00:00,47.023233,28.865014
2015-12-20 16:15:41+00:00,47.02321,28.86483
2015-12-20 16:15:42+00:00,47.023208,28.864674
2015-12-20 16:15:43+00:00,47.023209,28.864517
2015-12-20 16:15:44+00:00,47.023178,28.864357
2015-12-20 16:15:45+00:00,47.02319,28.864226
2015-12-20 16:15:46+00:00,47.023228,28.864175
2015-12-20 16:15:47+00:00,47.023207,28.864039
2015-12-20 16:15:48+00:00,47.0232,28.863893
2015-12-20 16:15:49+00:00,47.023191,28.863779
2015-12-20 16:15:50+00:00,47.023196,28.863681
2015-12-20 16:15:51+00:00,47.023198,28.863605
2015-12-20 16:15:52+00:00,47.02322,28.863546
2015-12-20 16:15:54+00:00,47.023255,28.863421
2015-12-20 16:15:55+00:00,47.023267,28.863347
2015-12-20 16:15:56+00:00,47.02328,28.863259
2015-12-20 16:15:57+00:00,47.023312,28.863163
2015-12-20 16:15:58+00:00,47.023354,28.863094
2015-12-20 16:15:59+00:00,47.023391,28.863018
2015-12-20 16:16:00+00:00,47.023465,28.862932
2015-12-20 16:16:01+00:00,47.02353,28.862842
2015-12-20 16:16:02+00:00,47.023611,28.862768
2015-12-20 16:16:03+00:00,47.023711,28.862745
2015-12-20 16:16:04+00:00,47.023809,28.862684
2015-12-20 16:16:05+00:00,47.02389,28.862596
2015-12-20 16:16:06+00:00,47.023973,28.862516
2015-12-20 16:16:07+00:00,47.024037,28.862452
2015-12-20 16:16:08+00:00,47.024089,28.862381
2015-12-20 16:16:09+00:00,47.024144,28.862309
2015-12-20 16:16:10+00:00,47.024149,28.862243
2015-12-20 16:16:11+00:00,47.024159,28.86216
2015-12-20 16:16:12+00:00,47.024135,28.862102
