RawGPS
Time (UTC),Latitude,Longitude
2016-02-15 02:03:19.386000+00:00,42.34984188,-71.13113964
2016-02-15 02:03:21+00:00,42.34985773,-71.13111915
2016-02-15 02:03:22+00:00,42.34985749,-71.13112148
2016-02-15 02:03:23+00:00,42.34986684,-71.13109471
2016-02-15 02:03:24+00:00,42.34986464,-71.13109084
2016-02-15 02:03:25+00:00,42.34988595,-71.13104371
2016-02-15 02:03:26+00:00,42.34987193,-71.13104574
2016-02-15 02:03:27+00:00,42.34986985,-71.13104448
2016-02-15 02:03:28+00:00,42.34985206,-71.1310432
2016-02-15 02:03:29+00:00,42.34984761,-71.13103439
2016-02-15 02:03:30+00:00,42.34984076,-71.13100721
2016-02-15 02:03:31+00:00,42.34983527,-71.13099823
2016-02-15 02:03:32+00:00,42.34982323,-71.13097867
2016-02-15 02:03:33+00:00,42.34981355,-71.13097341
2016-02-15 02:03:34+00:00,42.34981536,-71.1309795
2016-02-15 02:03:35+00:00,42.34981456,-71.13097466
2016-02-15 02:03:36+00:00,42.34982511,-71.1309512
2016-02-15 02:03:37+00:00,42.34983756,-71.13092995
2016-02-15 02:03:38+00:00,42.34983812,-71.13093131
2016-02-15 02:03:39+00:00,42.34983944,-71.1309275
2016-02-15 02:03:40+00:00,42.34984286,-71.13092138
2016-02-15 02:03:41+00:00,42.34984303,-71.13091768
2016-02-15 02:03:42+00:00,42.34984921,-71.13092172
