RawGPS
Time (UTC),Latitude,Longitude
2015-12-19 13:19:30+00:00,46.925043,28.993273
2015-12-19 13:19:31+00:00,46.925116,28.993459
2015-12-19 13:19:32+00:00,46.925187,28.993639
2015-12-19 13:19:33+00:00,46.925254,28.993821
2015-12-19 13:19:34+00:00,46.925316,28.993994
2015-12-19 13:19:35+00:00,46.92538,28.994187
2015-12-19 13:19:36+00:00,46.925439,28.99439
2015-12-19 13:19:37+00:00,46.92551,28.994586
2015-12-19 13:19:38+00:00,46.925559,28.994799
2015-12-19 13:19:39+00:00,46.925601,28.995
2015-12-19 13:19:40+00:00,46.925644,28.995203
2015-12-19 13:19:41+00:00,46.925676,28.995397
2015-12-19 13:19:42+00:00,46.925717,28.9956
2015-12-19 13:19:43+00:00,46.925727,28.995812
2015-12-19 13:19:44+00:00,46.925744,28.996012
2015-12-19 13:19:45+00:00,46.925752,28.996213
2015-12-19 13:19:46+00:00,46.925761,28.996409
2015-12-19 13:19:47+00:00,46.925753,28.996616
2015-12-19 13:19:48+00:00,46.925749,28.996801
2015-12-19 13:19:49+00:00,46.925736,28.996989
2015-12-19 13:19:50+00:00,46.925725,28.997169
2015-12-19 13:19:51+00:00,46.925734,28.997343
2015-12-19 13:19:54.752000+00:00,46.923451,28.995362
2015-12-19 13:19:56+00:00,46.925711,28.997991
2015-12-19 13:19:57+00:00,46.925705,28.99806
2015-12-19 13:19:59+00:00,46.925703,28.99813
2015-12-19 13:20:13+00:00,46.925669,28.998181
2015-12-19 13:20:15+00:00,46.925676,28.998271
2015-12-19 13:20:17+00:00,46.92566,28.998396
2015-12-19 13:20:18+00:00,46.925662,28.998477
2015-12-19 13:20:19+00:00,46.925658,28.998566
2015-12-19 13:20:20+00:00,46.925657,28.998649
2015-12-19 13:20:21+00:00,46.92567,28.998734
2015-12-19 13:20:22+00:00,46.925667,28.998816
2015-12-19 13:20:23+00:00,46.92566,28.9989
2015-12-19 13:20:24+00:00,46.925667,28.999026
2015-12-19 13:20:25+00:00,46.92566,28.999133
2015-12-19 13:20:26+00:00,46.925648,28.999259
2015-12-19 13:20:27+00:00,46.925632,28.999379
2015-12-19 13:20:28+00:00,46.925622,28.999511
2015-12-19 13:20:29+00:00,46.925629,28.999647
2015-12-19 13:20:30+00:00,46.925617,28.9998
2015-12-19 13:20:31+00:00,46.925643,29.000023
2015-12-19 13:20:32+00:00,46.925634,29.000169
2015-12-19 13:20:38.975000+00:00,46.931809,28.979466
2015-12-19 13:20:40+00:00,46.9257,29.001617
2015-12-19 13:20:41+00:00,46.925687,29.001797
2015-12-19 13:20:42+00:00,46.925667,29.00197
2015-12-19 13:20:43+00:00,46.925654,29.00215
2015-12-19 13:20:44+00:00,46.925651,29.002335
2015-12-19 13:20:45+00:00,46.925646,29.002516
2015-12-19 13:20:46+00:00,46.92564,29.002716
2015-12-19 13:20:47+00:00,46.925643,29.002902
2015-12-19 13:20:48+00:00,46.925633,29.003103
2015-12-19 13:20:49+00:00,46.925626,29.00329
2015-12-19 13:20:50+00:00,46.925617,29.003479
2015-12-19 13:20:51+00:00,46.925595,29.003666
2015-12-19 13:20:52+00:00,46.925577,29.003855
2015-12-19 13:20:56.463000+00:00,46.925714,28.990761
2015-12-19 13:20:58+00:00,46.925513,29.004989
2015-12-19 13:20:59+00:00,46.925502,29.005184
2015-12-19 13:21:00+00:00,46.925495,29.005378
2015-12-19 13:21:01+00:00,46.925475,29.005575
2015-12-19 13:21:02+00:00,46.925464,29.005769
2015-12-19 13:21:03+00:00,46.925446,29.005963
2015-12-19 13:21:04+00:00,46.925433,29.006156
2015-12-19 13:21:05+00:00,46.925426,29.006354
2015-12-19 13:21:06+00:00,46.925415,29.006545
2015-12-19 13:21:07+00:00,46.925399,29.006736
2015-12-19 13:21:08+00:00,46.925385,29.006931
2015-12-19 13:21:09+00:00,46.925379,29.007116
2015-12-19 13:21:10+00:00,46.925365,29.007306
2015-12-19 13:21:11+00:00,46.925348,29.007492
2015-12-19 13:21:12+00:00,46.925329,29.007667
2015-12-19 13:21:15.574000+00:00,46.923451,28.995362
2015-12-19 13:21:17+00:00,46.925274,29.00847
2015-12-19 13:21:18+00:00,46.925267,29.008596
2015-12-19 13:21:19+00:00,46.925261,29.00871
2015-12-19 13:21:20+00:00,46.92526,29.008818
2015-12-19 13:21:21+00:00,46.925278,29.008889
2015-12-19 13:21:22+00:00,46.92528,29.008985
2015-12-19 13:21:23+00:00,46.925282,29.009075
2015-12-19 13:21:28+00:00,46.925229,29.009087
2015-12-19 13:21:30+00:00,46.92513,29.009018
2015-12-19 13:21:31+00:00,46.925089,29.008966
2015-12-19 13:21:40+00:00,46.925129,29.008931
2015-12-19 13:21:59+00:00,46.925088,29.009188
2015-12-19 13:22:00+00:00,46.925097,29.00934
2015-12-19 13:22:01+00:00,46.925098,29.009471
2015-12-19 13:22:02+00:00,46.925086,29.009604
2015-12-19 13:22:03+00:00,46.925056,29.009769
2015-12-19 13:22:04+00:00,46.924994,29.009882
2015-12-19 13:22:05+00:00,46.924904,29.00996
2015-12-19 13:22:06+00:00,46.924873,29.01016
2015-12-19 13:22:07+00:00,46.924824,29.010293
2015-12-19 13:22:08+00:00,46.924829,29.010442
2015-12-19 13:22:09+00:00,46.924825,29.010823
2015-12-19 13:22:10+00:00,46.924794,29.010982
2015-12-19 13:22:11+00:00,46.92485,29.011333
2015-12-19 13:22:12+00:00,46.924774,29.011645
