RawGPS
Time (UTC),Latitude,Longitude
2015-12-19 12:27:52+00:00,47.027551,28.847258
2015-12-19 12:27:58.760000+00:00,47.028543,28.84531
2015-12-19 12:28:23.007000+00:00,47.025511,28.844789
2015-12-19 12:28:25+00:00,47.024796,28.843593
2015-12-19 12:28:26+00:00,47.024706,28.843497
2015-12-19 12:28:27+00:00,47.02465,28.843402
2015-12-19 12:28:28+00:00,47.024591,28.843337
2015-12-19 12:28:29+00:00,47.024534,28.843276
2015-12-19 12:28:30+00:00,47.024477,28.843178
2015-12-19 12:28:31+00:00,47.024409,28.843077
2015-12-19 12:28:32+00:00,47.024378,28.842987
2015-12-19 12:28:33+00:00,47.024313,28.842925
2015-12-19 12:28:34+00:00,47.024256,28.842856
2015-12-19 12:28:35+00:00,47.024202,28.842787
2015-12-19 12:28:36+00:00,47.024162,28.842744
2015-12-19 12:28:37+00:00,47.024114,28.842696
2015-12-19 12:28:38+00:00,47.02406,28.842642
2015-12-19 12:28:40+00:00,47.023991,28.842571
2015-12-19 12:28:44+00:00,47.023967,28.842514
2015-12-19 12:28:46+00:00,47.02393,28.842468
2015-12-19 12:28:48+00:00,47.023894,28.842404
2015-12-19 12:28:50+00:00,47.023843,28.842352
2015-12-19 12:28:54+00:00,47.023811,28.842299
2015-12-19 12:29:03.318000+00:00,47.023635,28.842028
2015-12-19 12:29:23.317000+00:00,47.023594,28.841952
2015-12-19 12:29:25+00:00,47.02362,28.841955
2015-12-19 12:29:27+00:00,47.02357,28.841881
2015-12-19 12:29:29+00:00,47.023524,28.841814
2015-12-19 12:29:31+00:00,47.023442,28.841746
2015-12-19 12:29:32+00:00,47.023402,28.841698
2015-12-19 12:29:34+00:00,47.023354,28.841616
2015-12-19 12:29:41.202000+00:00,47.02348,28.841852
2015-12-19 12:29:46+00:00,47.023286,28.841523
2015-12-19 12:29:49+00:00,47.023261,28.84158
2015-12-19 12:29:53+00:00,47.023209,28.841571
2015-12-19 12:29:57+00:00,47.023161,28.841583
2015-12-19 12:30:03.667000+00:00,47.023993,28.84402
