RawGPS
Time (UTC),Latitude,Longitude
2016-01-24 09:22:23+00:00,51.5851823,-0.37968484
2016-01-24 09:22:25+00:00,51.58527194,-0.38003474
2016-01-24 09:22:27+00:00,51.58539646,-0.38031042
2016-01-24 09:22:29+00:00,51.58554179,-0.38058925
2016-01-24 09:22:31+00:00,51.5857093,-0.3808385
2016-01-24 09:22:33+00:00,51.58584601,-0.38112084
2016-01-24 09:22:35+00:00,51.58599624,-0.38140218
2016-01-24 09:22:37+00:00,51.58611818,-0.3816716
2016-01-24 09:22:39+00:00,51.58621238,-0.38185589
2016-01-24 09:22:41+00:00,51.58633216,-0.38191449
2016-01-24 09:22:43+00:00,51.58648155,-0.38187179
2016-01-24 09:22:45+00:00,51.58668416,-0.38184751
2016-01-24 09:22:47+00:00,51.58690431,-0.38183136
2016-01-24 09:22:49+00:00,51.587136,-0.38184725
2016-01-24 09:22:51+00:00,51.58735113,-0.38184368
2016-01-24 09:22:53+00:00,51.58757175,-0.38191436
2016-01-24 09:22:55+00:00,51.58783026,-0.38202813
2016-01-24 09:22:57+00:00,51.58807732,-0.3821545
2016-01-24 09:22:59+00:00,51.58830176,-0.38226328
2016-01-24 09:23:01+00:00,51.58850494,-0.38238497
2016-01-24 09:23:03+00:00,51.58864377,-0.38251817
2016-01-24 09:23:05+00:00,51.58869683,-0.38258751
2016-01-24 09:23:07+00:00,51.58871199,-0.38260966
2016-01-24 09:23:09+00:00,51.58873805,-0.38263751
2016-01-24 09:23:11+00:00,51.58880784,-0.38258865
2016-01-24 09:23:13+00:00,51.58889237,-0.38242614
2016-01-24 09:23:15+00:00,51.58898727,-0.38222811
2016-01-24 09:23:17+00:00,51.58911643,-0.38204105
2016-01-24 09:23:19+00:00,51.58930406,-0.38194514
2016-01-24 09:23:21+00:00,51.58951117,-0.3817949
2016-01-24 09:23:23+00:00,51.58972801,-0.3817061
2016-01-24 09:23:25+00:00,51.58992056,-0.38149573
2016-01-24 09:23:27+00:00,51.59007171,-0.38117852
2016-01-24 09:23:29+00:00,51.5902175,-0.38092518
2016-01-24 09:23:31+00:00,51.59033661,-0.38065508
2016-01-24 09:23:33+00:00,51.59044956,-0.38042849
2016-01-24 09:23:35+00:00,51.59052753,-0.38026734
2016-01-24 09:23:37+00:00,51.59054851,-0.38021089
2016-01-24 09:23:39+00:00,51.59057808,-0.38016451
2016-01-24 09:23:41+00:00,51.59065854,-0.38021228
2016-01-24 09:23:43+00:00,51.59075128,-0.38032261
2016-01-24 09:23:45+00:00,51.5908892,-0.38047276
2016-01-24 09:23:47+00:00,51.59103666,-0.3806196
2016-01-24 09:23:49+00:00,51.59122454,-0.38075695
2016-01-24 09:23:51+00:00,51.59139824,-0.38090278
2016-01-24 09:23:53+00:00,51.59155086,-0.3810816
2016-01-24 09:23:55+00:00,51.59172073,-0.38127295
2016-01-24 09:23:57+00:00,51.5918785,-0.38147334
2016-01-24 09:23:59+00:00,51.59205093,-0.3816875
2016-01-24 09:24:01+00:00,51.5922202,-0.38187141
2016-01-24 09:24:03+00:00,51.59242408,-0.38201885
2016-01-24 09:24:05+00:00,51.59263555,-0.38212573
2016-01-24 09:24:07+00:00,51.59283868,-0.38219536
2016-01-24 09:24:09+00:00,51.59304851,-0.3821955
2016-01-24 09:24:11+00:00,51.59325879,-0.38216009
2016-01-24 09:24:13+00:00,51.5934489,-0.38212911
2016-01-24 09:24:15+00:00,51.59362882,-0.38205132
2016-01-24 09:24:17+00:00,51.59384444,-0.38214948
2016-01-24 09:24:19+00:00,51.59393544,-0.38229132
2016-01-24 09:24:21+00:00,51.59400547,-0.38239918
2016-01-24 09:24:23+00:00,51.59407846,-0.38250371
2016-01-24 09:24:25+00:00,51.59417977,-0.38264605
2016-01-24 09:24:27+00:00,51.59426322,-0.38276337
2016-01-24 09:24:29+00:00,51.59434703,-0.3828462
2016-01-24 09:24:31+00:00,51.5944265,-0.38292171
2016-01-24 09:24:33+00:00,51.59452863,-0.38306988
2016-01-24 09:24:35+00:00,51.59464454,-0.3832398
2016-01-24 09:24:37+00:00,51.59473321,-0.38342228
2016-01-24 09:24:39+00:00,51.59485369,-0.38361531
2016-01-24 09:24:41+00:00,51.59494912,-0.38378589
2016-01-24 09:24:43+00:00,51.59502716,-0.38392876
2016-01-24 09:24:45+00:00,51.59508564,-0.38404464
2016-01-24 09:24:47+00:00,51.59515433,-0.38417729
2016-01-24 09:24:49+00:00,51.59523256,-0.3843275
2016-01-24 09:24:51+00:00,51.59531242,-0.3844852
2016-01-24 09:24:53+00:00,51.59540727,-0.38465266
2016-01-24 09:24:55+00:00,51.59549595,-0.38482481
2016-01-24 09:24:57+00:00,51.59559595,-0.3850302
2016-01-24 09:24:59+00:00,51.59569879,-0.38524744
2016-01-24 09:25:01+00:00,51.5957903,-0.38544879
2016-01-24 09:25:03+00:00,51.59589593,-0.38568112
2016-01-24 09:25:05+00:00,51.5959888,-0.38592044
2016-01-24 09:25:07+00:00,51.59608973,-0.38616813
2016-01-24 09:25:09+00:00,51.59619071,-0.38645917
2016-01-24 09:25:11+00:00,51.59629933,-0.38673269
2016-01-24 09:25:13+00:00,51.59637518,-0.38707963
2016-01-24 09:25:15+00:00,51.59647388,-0.38741222
2016-01-24 09:25:17+00:00,51.59655588,-0.38774855
2016-01-24 09:25:19+00:00,51.59670163,-0.38804845
2016-01-24 09:25:21+00:00,51.59680174,-0.38836101
2016-01-24 09:25:23+00:00,51.5969046,-0.3886566
2016-01-24 09:25:25+00:00,51.59702503,-0.38892416
2016-01-24 09:25:27+00:00,51.59715433,-0.38916899
2016-01-24 09:25:29+00:00,51.59729179,-0.38936115
2016-01-24 09:25:31+00:00,51.59743791,-0.38955783
2016-01-24 09:25:33+00:00,51.59758212,-0.3897917
2016-01-24 09:25:35+00:00,51.59771981,-0.3900346
2016-01-24 09:25:37+00:00,51.5978231,-0.39031056
2016-01-24 09:25:39+00:00,51.59790675,-0.3906379
2016-01-24 09:25:41+00:00,51.59797943,-0.39093679
2016-01-24 09:25:43+00:00,51.59805397,-0.39122586
2016-01-24 09:25:45+00:00,51.59813569,-0.39154763
2016-01-24 09:25:47+00:00,51.59820501,-0.39183013
2016-01-24 09:25:49+00:00,51.59830855,-0.39209026
2016-01-24 09:25:51+00:00,51.59841419,-0.39230676
2016-01-24 09:25:53+00:00,51.59853703,-0.39252718
2016-01-24 09:25:55+00:00,51.59854777,-0.39259191
2016-01-24 09:25:57+00:00,51.59857703,-0.39262874
2016-01-24 09:25:59+00:00,51.5985942,-0.39263867
2016-01-24 09:26:01+00:00,51.59859872,-0.3926424
2016-01-24 09:26:03+00:00,51.59859993,-0.39264412
2016-01-24 09:26:05+00:00,51.59860233,-0.39265157
2016-01-24 09:26:07+00:00,51.5986026,-0.39265445
2016-01-24 09:26:09+00:00,51.59860208,-0.39265385
2016-01-24 09:26:11+00:00,51.59861148,-0.39266543
2016-01-24 09:26:13+00:00,51.59864045,-0.39270677
2016-01-24 09:26:15+00:00,51.59867497,-0.39277941
2016-01-24 09:26:17+00:00,51.59873223,-0.39286225
2016-01-24 09:26:19+00:00,51.59879011,-0.39288682
2016-01-24 09:26:21+00:00,51.59886423,-0.39275549
2016-01-24 09:26:23+00:00,51.59893542,-0.39260538
2016-01-24 09:26:25+00:00,51.5990391,-0.39240583
2016-01-24 09:26:27+00:00,51.5991335,-0.39220896
2016-01-24 09:26:29+00:00,51.59925434,-0.39201807
