RawGPS
Time (UTC),Latitude,Longitude
2015-12-16 14:00:12.166000+00:00,47.015897,28.85423
2015-12-16 14:00:38+00:00,47.018589,28.852072
2015-12-16 14:00:39+00:00,47.018523,28.852061
2015-12-16 14:00:40+00:00,47.018526,28.85216
2015-12-16 14:00:42+00:00,47.018416,28.85209
2015-12-16 14:00:43+00:00,47.018494,28.852221
2015-12-16 14:00:46+00:00,47.018599,28.852385
2015-12-16 14:00:49+00:00,47.018565,28.852339
2015-12-16 14:00:50+00:00,47.018537,28.852272
2015-12-16 14:00:51+00:00,47.018445,28.852163
2015-12-16 14:00:52+00:00,47.018357,28.852057
2015-12-16 14:00:54+00:00,47.018421,28.852061
2015-12-16 14:00:55+00:00,47.018399,28.851997
2015-12-16 14:00:56+00:00,47.018457,28.851977
2015-12-16 14:00:57+00:00,47.018525,28.851962
2015-12-16 14:00:59+00:00,47.018584,28.851886
2015-12-16 14:01:01+00:00,47.018626,28.851836
2015-12-16 14:01:02+00:00,47.018685,28.851836
2015-12-16 14:01:03+00:00,47.018741,28.851814
2015-12-16 14:01:04+00:00,47.018793,28.851798
2015-12-16 14:01:05+00:00,47.018832,28.851754
2015-12-16 14:01:06+00:00,47.018814,28.85164
2015-12-16 14:01:08+00:00,47.018843,28.851517
2015-12-16 14:01:09+00:00,47.018942,28.851511
2015-12-16 14:01:10+00:00,47.01902,28.8515
2015-12-16 14:01:12+00:00,47.019076,28.851476
2015-12-16 14:01:14+00:00,47.019141,28.851457
2015-12-16 14:01:15+00:00,47.019147,28.851565
2015-12-16 14:01:18+00:00,47.019195,28.851594
2015-12-16 14:01:22+00:00,47.019305,28.851556
2015-12-16 14:01:24+00:00,47.019366,28.851583
2015-12-16 14:01:29+00:00,47.019409,28.851626
2015-12-16 14:01:35+00:00,47.019459,28.851607
2015-12-16 14:01:37+00:00,47.019503,28.851635
2015-12-16 14:01:38+00:00,47.019501,28.851562
2015-12-16 14:01:40+00:00,47.019549,28.851623
2015-12-16 14:01:44+00:00,47.01956,28.851715
2015-12-16 14:01:47+00:00,47.019585,28.851787
2015-12-16 14:01:49+00:00,47.019724,28.852002
2015-12-16 14:01:50+00:00,47.019751,28.852097
2015-12-16 14:01:51+00:00,47.019777,28.85217
2015-12-16 14:01:52+00:00,47.019841,28.852232
2015-12-16 14:01:53+00:00,47.019943,28.852388
2015-12-16 14:01:54+00:00,47.019977,28.852465
2015-12-16 14:01:55+00:00,47.020048,28.852575
2015-12-16 14:01:56+00:00,47.020088,28.852659
2015-12-16 14:01:57+00:00,47.020127,28.852718
2015-12-16 14:01:59+00:00,47.020169,28.852834
2015-12-16 14:02:00+00:00,47.020244,28.852947
2015-12-16 14:02:01+00:00,47.020276,28.853032
2015-12-16 14:02:02+00:00,47.020331,28.85305
2015-12-16 14:02:03+00:00,47.020458,28.853218
2015-12-16 14:02:04+00:00,47.020498,28.853296
2015-12-16 14:02:05+00:00,47.020566,28.853286
2015-12-16 14:02:06+00:00,47.020685,28.853485
2015-12-16 14:02:07+00:00,47.020763,28.853565
2015-12-16 14:02:08+00:00,47.020652,28.853494
2015-12-16 14:02:09+00:00,47.02071,28.853523
2015-12-16 14:02:10+00:00,47.020762,28.85354
2015-12-16 14:02:11+00:00,47.020839,28.853609
2015-12-16 14:02:12+00:00,47.020921,28.853619
2015-12-16 14:02:13+00:00,47.02097,28.853662
2015-12-16 14:02:14+00:00,47.021024,28.853701
2015-12-16 14:02:15+00:00,47.021079,28.853802
2015-12-16 14:02:16+00:00,47.021086,28.85392
2015-12-16 14:02:17+00:00,47.021155,28.853885
2015-12-16 14:02:18+00:00,47.021215,28.853917
2015-12-16 14:02:19+00:00,47.021308,28.853925
2015-12-16 14:02:20+00:00,47.02138,28.853982
2015-12-16 14:02:21+00:00,47.02137,28.854058
2015-12-16 14:02:23+00:00,47.021426,28.854146
