RawGPS
Time (UTC),Latitude,Longitude
2015-12-15 14:42:05.487000+00:00,51.588641,-0.382721
2015-12-15 14:42:07+00:00,51.588688,-0.38271
2015-12-15 14:42:09+00:00,51.588759,-0.382643
2015-12-15 14:42:10+00:00,51.588796,-0.382572
2015-12-15 14:42:11+00:00,51.588833,-0.382467
2015-12-15 14:42:13+00:00,51.588945,-0.382241
2015-12-15 14:42:14+00:00,51.589014,-0.382147
2015-12-15 14:42:16+00:00,51.589196,-0.382021
2015-12-15 14:42:17+00:00,51.589296,-0.381967
2015-12-15 14:42:18+00:00,51.589395,-0.381919
2015-12-15 14:42:19+00:00,51.589496,-0.381866
2015-12-15 14:42:20+00:00,51.589589,-0.381812
2015-12-15 14:42:22+00:00,51.589766,-0.381658
2015-12-15 14:42:23+00:00,51.589842,-0.381557
2015-12-15 14:42:24+00:00,51.58991,-0.38144
2015-12-15 14:42:25+00:00,51.589973,-0.381318
2015-12-15 14:42:26+00:00,51.590035,-0.381193
2015-12-15 14:42:27+00:00,51.590099,-0.381064
2015-12-15 14:42:28+00:00,51.590166,-0.380934
2015-12-15 14:42:29+00:00,51.59023,-0.38081
2015-12-15 14:42:30+00:00,51.590291,-0.380694
2015-12-15 14:42:31+00:00,51.590349,-0.380575
2015-12-15 14:42:32+00:00,51.590405,-0.380477
2015-12-15 14:42:33+00:00,51.590453,-0.380395
2015-12-15 14:42:35+00:00,51.590515,-0.380286
2015-12-15 14:42:54+00:00,51.590565,-0.380262
2015-12-15 14:42:57+00:00,51.590632,-0.380282
2015-12-15 14:42:59+00:00,51.590714,-0.380372
2015-12-15 14:43:00+00:00,51.590783,-0.380448
2015-12-15 14:43:01+00:00,51.590854,-0.380525
2015-12-15 14:43:02+00:00,51.590928,-0.380601
2015-12-15 14:43:03+00:00,51.590999,-0.380673
2015-12-15 14:43:04+00:00,51.591089,-0.380744
2015-12-15 14:43:06+00:00,51.59126,-0.380871
2015-12-15 14:43:07+00:00,51.591333,-0.380932
2015-12-15 14:43:08+00:00,51.591406,-0.381001
2015-12-15 14:43:09+00:00,51.591468,-0.381065
2015-12-15 14:43:10+00:00,51.591516,-0.381126
2015-12-15 14:43:11+00:00,51.591575,-0.381203
2015-12-15 14:43:12+00:00,51.591639,-0.381277
2015-12-15 14:43:13+00:00,51.591713,-0.381361
2015-12-15 14:43:14+00:00,51.591778,-0.381443
2015-12-15 14:43:15+00:00,51.591847,-0.381529
2015-12-15 14:43:16+00:00,51.591913,-0.381597
2015-12-15 14:43:17+00:00,51.591972,-0.381672
2015-12-15 14:43:18+00:00,51.592031,-0.38174
2015-12-15 14:43:19+00:00,51.592096,-0.38181
2015-12-15 14:43:20+00:00,51.592167,-0.38187
2015-12-15 14:43:21+00:00,51.592244,-0.381919
2015-12-15 14:43:23+00:00,51.592405,-0.382019
2015-12-15 14:43:24+00:00,51.592482,-0.382073
2015-12-15 14:43:25+00:00,51.59256,-0.382121
2015-12-15 14:43:26+00:00,51.592644,-0.382157
2015-12-15 14:43:27+00:00,51.592726,-0.382196
2015-12-15 14:43:28+00:00,51.592807,-0.382206
2015-12-15 14:43:29+00:00,51.592885,-0.382208
2015-12-15 14:43:30+00:00,51.592961,-0.382202
2015-12-15 14:43:31+00:00,51.593019,-0.382194
2015-12-15 14:43:33+00:00,51.593096,-0.382171
2015-12-15 14:43:35+00:00,51.593156,-0.382153
2015-12-15 14:43:38+00:00,51.593213,-0.382147
2015-12-15 14:43:42+00:00,51.593265,-0.382145
2015-12-15 14:43:44+00:00,51.593311,-0.382155
2015-12-15 14:43:46+00:00,51.593379,-0.38213
2015-12-15 14:43:48+00:00,51.593455,-0.382112
2015-12-15 14:43:50+00:00,51.593504,-0.382116
2015-12-15 14:43:54+00:00,51.593563,-0.382134
2015-12-15 14:43:56+00:00,51.593609,-0.382141
2015-12-15 14:43:59+00:00,51.593662,-0.382137
2015-12-15 14:44:03+00:00,51.593716,-0.382157
2015-12-15 14:44:10.564000+00:00,51.592285,-0.381636
2015-12-15 14:44:19+00:00,51.593759,-0.382191
2015-12-15 14:44:21+00:00,51.593806,-0.382224
2015-12-15 14:44:30.518000+00:00,51.593808,-0.382043
2015-12-15 14:44:49+00:00,51.593849,-0.382251
2015-12-15 14:44:50.493000+00:00,51.593858,-0.381995
2015-12-15 14:44:52+00:00,51.593891,-0.38228
2015-12-15 14:44:57+00:00,51.593942,-0.382323
2015-12-15 14:44:59+00:00,51.594002,-0.382426
2015-12-15 14:45:00+00:00,51.594039,-0.382479
2015-12-15 14:45:01+00:00,51.594087,-0.38254
2015-12-15 14:45:02+00:00,51.594143,-0.382603
2015-12-15 14:45:03+00:00,51.594202,-0.382674
2015-12-15 14:45:04+00:00,51.594258,-0.382744
2015-12-15 14:45:06+00:00,51.594344,-0.38283
2015-12-15 14:45:08+00:00,51.594381,-0.38289
2015-12-15 14:45:12+00:00,51.594412,-0.382953
2015-12-15 14:45:14+00:00,51.59447,-0.383007
2015-12-15 14:45:16+00:00,51.594527,-0.383051
2015-12-15 14:45:18+00:00,51.594578,-0.383065
2015-12-15 14:45:20+00:00,51.594617,-0.383021
2015-12-15 14:45:21+00:00,51.594651,-0.38296
2015-12-15 14:45:23+00:00,51.59474,-0.382806
2015-12-15 14:45:24+00:00,51.5948,-0.382736
2015-12-15 14:45:25+00:00,51.59487,-0.382668
2015-12-15 14:45:26+00:00,51.594961,-0.382603
2015-12-15 14:45:27+00:00,51.595041,-0.382544
2015-12-15 14:45:28+00:00,51.595115,-0.382479
2015-12-15 14:45:29+00:00,51.595203,-0.382427
2015-12-15 14:45:30+00:00,51.595284,-0.382389
2015-12-15 14:45:31+00:00,51.59536,-0.38237
2015-12-15 14:45:32+00:00,51.595437,-0.382357
2015-12-15 14:45:33+00:00,51.595507,-0.382343
2015-12-15 14:45:34+00:00,51.595563,-0.382347
2015-12-15 14:45:36+00:00,51.595624,-0.382314
2015-12-15 14:45:39+00:00,51.595639,-0.382239
2015-12-15 14:45:41+00:00,51.59565,-0.382144
2015-12-15 14:45:43+00:00,51.595659,-0.382043
2015-12-15 14:45:45+00:00,51.595686,-0.381903
2015-12-15 14:45:46+00:00,51.595708,-0.381833
2015-12-15 14:45:48+00:00,51.595768,-0.381695
2015-12-15 14:45:49+00:00,51.595802,-0.38164
2015-12-15 14:45:50+00:00,51.595824,-0.381577
2015-12-15 14:45:51+00:00,51.595842,-0.381495
2015-12-15 14:45:52+00:00,51.595858,-0.381422
2015-12-15 14:45:54+00:00,51.595873,-0.381319
2015-12-15 14:45:56+00:00,51.595842,-0.381263
2015-12-15 14:45:58+00:00,51.595772,-0.381244
2015-12-15 14:46:00+00:00,51.595708,-0.381222
2015-12-15 14:46:02+00:00,51.595628,-0.381168
2015-12-15 14:46:04+00:00,51.59555,-0.381149
2015-12-15 14:46:06+00:00,51.595486,-0.381132
2015-12-15 14:46:09+00:00,51.595428,-0.381185
2015-12-15 14:46:11+00:00,51.595393,-0.381279
2015-12-15 14:46:13+00:00,51.59537,-0.38141
2015-12-15 14:46:15+00:00,51.59536,-0.381534
2015-12-15 14:46:17+00:00,51.595386,-0.381606
2015-12-15 14:46:20+00:00,51.595439,-0.381634
2015-12-15 14:46:23+00:00,51.595485,-0.381602
2015-12-15 14:46:27+00:00,51.59549,-0.38153
2015-12-15 14:46:30.746000+00:00,51.595507,-0.381864
2015-12-15 14:46:32+00:00,51.5955,-0.381452
2015-12-15 14:46:51.419000+00:00,51.595348,-0.381872
2015-12-15 14:47:11.470000+00:00,51.595318,-0.381943
2015-12-15 14:47:17+00:00,51.595494,-0.381531
2015-12-15 14:47:21+00:00,51.595469,-0.381621
2015-12-15 14:47:26+00:00,51.595442,-0.381716
2015-12-15 14:47:27.967000+00:00,51.595318,-0.382131
2015-12-15 14:47:39+00:00,51.595438,-0.381801
2015-12-15 14:47:42+00:00,51.595427,-0.38171
2015-12-15 14:47:48+00:00,51.595469,-0.381619
2015-12-15 14:47:53.207000+00:00,51.595336,-0.382055
