RawGPS
Time (UTC),Latitude,Longitude
2015-12-19 12:12:41+00:00,51.568467,-0.348242
2015-12-19 12:12:43+00:00,51.568526,-0.348143
2015-12-19 12:12:45+00:00,51.568559,-0.348084
2015-12-19 12:12:47+00:00,51.568597,-0.348021
2015-12-19 12:12:53+00:00,51.568597,-0.347948
2015-12-19 12:13:03.705000+00:00,51.568559,-0.348224
2015-12-19 12:13:11+00:00,51.568633,-0.347891
2015-12-19 12:13:13+00:00,51.568704,-0.347798
2015-12-19 12:13:15+00:00,51.568831,-0.347682
2015-12-19 12:13:17+00:00,51.56895,-0.347511
2015-12-19 12:13:18+00:00,51.569,-0.347442
2015-12-19 12:13:20+00:00,51.569096,-0.347421
2015-12-19 12:13:22+00:00,51.56915,-0.347525
2015-12-19 12:13:24+00:00,51.569201,-0.347708
2015-12-19 12:13:26+00:00,51.569279,-0.347928
2015-12-19 12:13:28+00:00,51.569391,-0.348214
2015-12-19 12:13:30+00:00,51.569512,-0.348536
2015-12-19 12:13:32+00:00,51.569627,-0.348851
2015-12-19 12:13:34+00:00,51.56975,-0.349168
2015-12-19 12:13:36+00:00,51.569877,-0.349502
2015-12-19 12:13:38+00:00,51.570008,-0.349833
2015-12-19 12:13:40+00:00,51.570152,-0.350145
2015-12-19 12:13:42+00:00,51.570288,-0.350452
2015-12-19 12:13:44+00:00,51.570434,-0.35074
2015-12-19 12:13:46+00:00,51.570574,-0.351013
2015-12-19 12:13:48+00:00,51.570739,-0.351314
2015-12-19 12:13:50+00:00,51.570899,-0.351602
2015-12-19 12:13:52+00:00,51.571067,-0.351888
2015-12-19 12:13:54+00:00,51.571243,-0.352175
2015-12-19 12:13:56+00:00,51.571413,-0.352453
2015-12-19 12:13:58+00:00,51.571574,-0.352738
2015-12-19 12:14:00+00:00,51.571724,-0.352993
2015-12-19 12:14:02+00:00,51.571842,-0.353172
2015-12-19 12:14:04+00:00,51.571921,-0.353281
2015-12-19 12:14:08+00:00,51.571948,-0.353385
2015-12-19 12:14:20+00:00,51.571991,-0.353429
2015-12-19 12:14:23.382000+00:00,51.572169,-0.353308
2015-12-19 12:14:28+00:00,51.572031,-0.353492
2015-12-19 12:14:32+00:00,51.572076,-0.353617
2015-12-19 12:14:34+00:00,51.572097,-0.353765
2015-12-19 12:14:36+00:00,51.572165,-0.353927
2015-12-19 12:14:38+00:00,51.572291,-0.354022
2015-12-19 12:14:40+00:00,51.572423,-0.354135
2015-12-19 12:14:42+00:00,51.572546,-0.354325
2015-12-19 12:14:44+00:00,51.572683,-0.354537
2015-12-19 12:14:46+00:00,51.572834,-0.354719
2015-12-19 12:14:48+00:00,51.573,-0.354921
2015-12-19 12:14:50+00:00,51.573183,-0.355113
2015-12-19 12:14:52+00:00,51.573366,-0.355302
2015-12-19 12:14:54+00:00,51.573534,-0.355518
2015-12-19 12:14:56+00:00,51.573699,-0.355735
2015-12-19 12:14:58+00:00,51.573891,-0.355947
2015-12-19 12:15:00+00:00,51.574071,-0.356155
2015-12-19 12:15:02+00:00,51.574267,-0.356366
2015-12-19 12:15:04+00:00,51.574463,-0.356588
