RawGPS
Time (UTC),Latitude,Longitude
2015-12-19 12:11:27.639000+00:00,47.030259,28.883793
2015-12-19 12:12:38.333000+00:00,47.033676,28.89004
2015-12-19 12:12:40.307000+00:00,47.033846,28.889703
2015-12-19 12:12:41.327000+00:00,47.034037,28.889438
2015-12-19 12:12:42.327000+00:00,47.03409,28.889562
2015-12-19 12:12:43.327000+00:00,47.033735,28.889582
2015-12-19 12:12:44.327000+00:00,47.03382,28.889578
2015-12-19 12:12:45.327000+00:00,47.033964,28.889554
2015-12-19 12:12:46.327000+00:00,47.034035,28.889615
2015-12-19 12:12:50.328000+00:00,47.034375,28.889949
2015-12-19 12:13:00.288000+00:00,47.034443,28.889839
2015-12-19 12:13:04.308000+00:00,47.035165,28.890212
2015-12-19 12:13:10.310000+00:00,47.035116,28.889904
2015-12-19 12:13:13.328000+00:00,47.035027,28.889948
2015-12-19 12:13:14.328000+00:00,47.035067,28.890025
2015-12-19 12:13:15.328000+00:00,47.035157,28.889961
2015-12-19 12:13:17.304000+00:00,47.035624,28.88896
2015-12-19 12:13:18.305000+00:00,47.035391,28.889269
2015-12-19 12:13:20.305000+00:00,47.035387,28.889478
2015-12-19 12:13:22+00:00,47.035521,28.889631
2015-12-19 12:13:33+00:00,47.03544,28.889637
2015-12-19 12:13:56+00:00,47.035531,28.889702
2015-12-19 12:13:57+00:00,47.03561,28.889761
2015-12-19 12:13:58+00:00,47.035777,28.889961
2015-12-19 12:13:59+00:00,47.035835,28.889986
2015-12-19 12:14:00+00:00,47.035913,28.890017
2015-12-19 12:14:01+00:00,47.035988,28.890056
2015-12-19 12:14:02+00:00,47.036104,28.890072
2015-12-19 12:14:03+00:00,47.036195,28.890136
2015-12-19 12:14:04+00:00,47.036236,28.889961
2015-12-19 12:14:05+00:00,47.036266,28.889828
2015-12-19 12:14:06+00:00,47.036338,28.889749
2015-12-19 12:14:07+00:00,47.036413,28.889689
2015-12-19 12:14:08+00:00,47.036466,28.88962
2015-12-19 12:14:09+00:00,47.03649,28.889427
2015-12-19 12:14:10+00:00,47.036523,28.889342
2015-12-19 12:14:11+00:00,47.036557,28.889253
2015-12-19 12:14:12+00:00,47.036595,28.889074
2015-12-19 12:14:13+00:00,47.036628,28.888984
2015-12-19 12:14:14+00:00,47.03666,28.888861
2015-12-19 12:14:15+00:00,47.036686,28.888742
2015-12-19 12:14:16+00:00,47.036707,28.888604
2015-12-19 12:14:17+00:00,47.036778,28.88863
2015-12-19 12:14:47+00:00,47.037542,28.886675
2015-12-19 12:14:48+00:00,47.037589,28.886557
2015-12-19 12:14:49+00:00,47.037581,28.886364
2015-12-19 12:14:50+00:00,47.037636,28.886253
2015-12-19 12:14:51+00:00,47.037702,28.886125
2015-12-19 12:14:52+00:00,47.037753,28.885979
2015-12-19 12:14:53+00:00,47.037815,28.88587
2015-12-19 12:14:54+00:00,47.037853,28.885782
2015-12-19 12:15:00+00:00,47.038163,28.884946
2015-12-19 12:15:03+00:00,47.038333,28.884925
2015-12-19 12:15:05+00:00,47.038432,28.884865
2015-12-19 12:15:06+00:00,47.038389,28.884729
2015-12-19 12:15:07+00:00,47.038428,28.884684
2015-12-19 12:15:08+00:00,47.038552,28.884476
2015-12-19 12:15:09+00:00,47.038583,28.884371
2015-12-19 12:15:11+00:00,47.038359,28.884086
2015-12-19 12:15:13+00:00,47.038535,28.883687
2015-12-19 12:15:14+00:00,47.038524,28.883566
2015-12-19 12:15:16+00:00,47.038701,28.883371
2015-12-19 12:15:17+00:00,47.038745,28.883295
2015-12-19 12:15:18+00:00,47.038767,28.883182
2015-12-19 12:15:19+00:00,47.038891,28.883051
2015-12-19 12:15:20+00:00,47.039105,28.882893
2015-12-19 12:15:21+00:00,47.039156,28.882797
2015-12-19 12:15:22+00:00,47.039207,28.8827
2015-12-19 12:15:23+00:00,47.03924,28.882559
2015-12-19 12:15:24+00:00,47.039255,28.882385
2015-12-19 12:15:25+00:00,47.039255,28.882317
2015-12-19 12:15:26+00:00,47.039217,28.882251
2015-12-19 12:15:27+00:00,47.039285,28.882198
2015-12-19 12:15:28+00:00,47.03927,28.88235
2015-12-19 12:15:31+00:00,47.039331,28.882342
2015-12-19 12:15:35+00:00,47.039376,28.882285
2015-12-19 12:15:38+00:00,47.039539,28.88221
2015-12-19 12:15:39+00:00,47.039589,28.882156
2015-12-19 12:15:40+00:00,47.039576,28.882079
2015-12-19 12:15:41+00:00,47.039631,28.882022
2015-12-19 12:15:42+00:00,47.03971,28.881869
2015-12-19 12:15:43+00:00,47.039796,28.881706
2015-12-19 12:15:44+00:00,47.039804,28.881447
2015-12-19 12:15:45+00:00,47.039911,28.881267
2015-12-19 12:15:46+00:00,47.039957,28.881163
2015-12-19 12:15:47+00:00,47.039966,28.881008
2015-12-19 12:15:48+00:00,47.039955,28.88086
2015-12-19 12:15:49+00:00,47.039987,28.880712
2015-12-19 12:15:50+00:00,47.040008,28.88058
2015-12-19 12:15:51+00:00,47.040085,28.880476
2015-12-19 12:15:52+00:00,47.040149,28.880353
2015-12-19 12:15:59.004000+00:00,47.039794,28.880823
2015-12-19 12:16:01+00:00,47.04064,28.878769
2015-12-19 12:16:02+00:00,47.040694,28.878542
2015-12-19 12:16:03+00:00,47.040829,28.878437
2015-12-19 12:16:04+00:00,47.04094,28.87823
2015-12-19 12:16:05+00:00,47.041001,28.878031
2015-12-19 12:16:06+00:00,47.041063,28.877814
2015-12-19 12:16:07+00:00,47.041133,28.877508
2015-12-19 12:16:08+00:00,47.041189,28.877254
2015-12-19 12:16:09+00:00,47.0413,28.877091
2015-12-19 12:16:10+00:00,47.041376,28.87686
2015-12-19 12:16:11+00:00,47.041424,28.876585
2015-12-19 12:16:12+00:00,47.04147,28.876346
2015-12-19 12:16:15.503000+00:00,47.030259,28.883793
2015-12-19 12:16:26+00:00,47.042267,28.87232
2015-12-19 12:16:27+00:00,47.042306,28.871998
2015-12-19 12:16:28+00:00,47.042472,28.871822
2015-12-19 12:16:29+00:00,47.042468,28.871476
2015-12-19 12:16:30+00:00,47.042522,28.871202
2015-12-19 12:16:31+00:00,47.042538,28.870934
2015-12-19 12:16:32+00:00,47.042564,28.870638
2015-12-19 12:16:39.134000+00:00,47.04315,28.867816
2015-12-19 12:16:58.202000+00:00,47.030259,28.883793
2015-12-19 12:17:41.709000+00:00,47.043071,28.867995
2015-12-19 12:18:18.229000+00:00,47.030259,28.883793
2015-12-19 12:22:49+00:00,47.03704,28.85018
2015-12-19 12:22:50+00:00,47.036967,28.850072
2015-12-19 12:22:51+00:00,47.036893,28.849958
2015-12-19 12:22:53+00:00,47.036844,28.84988
2015-12-19 12:22:54+00:00,47.036883,28.849807
2015-12-19 12:22:55+00:00,47.036985,28.849933
2015-12-19 12:22:56+00:00,47.036969,28.850003
2015-12-19 12:22:57+00:00,47.036917,28.849945
2015-12-19 12:22:59+00:00,47.036873,28.850199
2015-12-19 12:23:01+00:00,47.036818,28.850205
2015-12-19 12:23:04+00:00,47.036873,28.850249
2015-12-19 12:23:10+00:00,47.036891,28.850176
2015-12-19 12:23:11+00:00,47.036836,28.850099
2015-12-19 12:23:13+00:00,47.036745,28.849979
