RawGPS
Time (UTC),Latitude,Longitude
2015-12-19 10:23:49.942000+00:00,51.586226,-0.382351
2015-12-19 10:23:52+00:00,51.587394,-0.385172
2015-12-19 10:24:00+00:00,51.587434,-0.385244
2015-12-19 10:24:02+00:00,51.587521,-0.385266
2015-12-19 10:24:04+00:00,51.587626,-0.385173
2015-12-19 10:24:06+00:00,51.58775,-0.385006
2015-12-19 10:24:08+00:00,51.587875,-0.384791
2015-12-19 10:24:10+00:00,51.588001,-0.384557
2015-12-19 10:24:12+00:00,51.588088,-0.384362
2015-12-19 10:24:14+00:00,51.588155,-0.384289
2015-12-19 10:24:16+00:00,51.588235,-0.384337
2015-12-19 10:24:18+00:00,51.588318,-0.384491
2015-12-19 10:24:20+00:00,51.58835,-0.384742
2015-12-19 10:24:22+00:00,51.58838,-0.385047
2015-12-19 10:24:24+00:00,51.588411,-0.3854
2015-12-19 10:24:26+00:00,51.588425,-0.385774
2015-12-19 10:24:28+00:00,51.588437,-0.38614
2015-12-19 10:24:30+00:00,51.588458,-0.386476
2015-12-19 10:24:32+00:00,51.588502,-0.386788
2015-12-19 10:24:34+00:00,51.588601,-0.387046
2015-12-19 10:24:36+00:00,51.588742,-0.387187
2015-12-19 10:24:38+00:00,51.588854,-0.387258
2015-12-19 10:24:40+00:00,51.588986,-0.387254
2015-12-19 10:24:42+00:00,51.589155,-0.387195
2015-12-19 10:24:44+00:00,51.589336,-0.387118
2015-12-19 10:24:46+00:00,51.589494,-0.387044
2015-12-19 10:24:48+00:00,51.589574,-0.387008
2015-12-19 10:24:50+00:00,51.589617,-0.386986
2015-12-19 10:24:52+00:00,51.589707,-0.386968
2015-12-19 10:24:54+00:00,51.589819,-0.386959
2015-12-19 10:24:56+00:00,51.589986,-0.386959
2015-12-19 10:24:58+00:00,51.590149,-0.387023
2015-12-19 10:25:00+00:00,51.590322,-0.387093
2015-12-19 10:25:02+00:00,51.590488,-0.387117
2015-12-19 10:25:04+00:00,51.590649,-0.387092
2015-12-19 10:25:06+00:00,51.590803,-0.387051
2015-12-19 10:25:08+00:00,51.590925,-0.38703
2015-12-19 10:25:10+00:00,51.590999,-0.38702
2015-12-19 10:25:12+00:00,51.591086,-0.386997
2015-12-19 10:25:14+00:00,51.591186,-0.386996
2015-12-19 10:25:16+00:00,51.591339,-0.387077
2015-12-19 10:25:18+00:00,51.591506,-0.387125
2015-12-19 10:25:20+00:00,51.591667,-0.387167
2015-12-19 10:25:22+00:00,51.591802,-0.387195
2015-12-19 10:25:24+00:00,51.591933,-0.387237
2015-12-19 10:25:26+00:00,51.592083,-0.387256
2015-12-19 10:25:28+00:00,51.592237,-0.387241
2015-12-19 10:25:30+00:00,51.592342,-0.387219
2015-12-19 10:25:34+00:00,51.592372,-0.387151
2015-12-19 10:25:38+00:00,51.592377,-0.387011
2015-12-19 10:25:40+00:00,51.592392,-0.386935
2015-12-19 10:25:42+00:00,51.592358,-0.386872
2015-12-19 10:25:53.391000+00:00,51.59215,-0.387274
2015-12-19 10:26:00+00:00,51.592341,-0.386959
2015-12-19 10:26:10.953000+00:00,51.585546,-0.383896
2015-12-19 10:26:30+00:00,51.592316,-0.386899
2015-12-19 10:26:33.490000+00:00,51.59215,-0.387274
2015-12-19 10:26:36+00:00,51.592325,-0.386817
2015-12-19 10:26:42+00:00,51.592351,-0.386881
