RawGPS
Time (UTC),Latitude,Longitude
2016-02-14 21:37:31+00:00,42.36364101,-71.08556437
2016-02-14 21:37:32+00:00,42.3636523,-71.08555873
2016-02-14 21:37:33+00:00,42.36366754,-71.08555511
2016-02-14 21:37:34+00:00,42.36368544,-71.08555163
2016-02-14 21:37:35+00:00,42.36367878,-71.08556982
2016-02-14 21:37:36+00:00,42.36366965,-71.08559428
2016-02-14 21:37:37+00:00,42.36364909,-71.08562903
2016-02-14 21:37:38+00:00,42.36363428,-71.08566648
2016-02-14 21:37:39+00:00,42.3636267,-71.0857034
2016-02-14 21:37:40+00:00,42.36362318,-71.085739
2016-02-14 21:37:41+00:00,42.36361859,-71.08577496
2016-02-14 21:37:42+00:00,42.3636034,-71.08581202
2016-02-14 21:37:44+00:00,42.36357682,-71.08587894
2016-02-14 21:37:45+00:00,42.36356982,-71.08590788
2016-02-14 21:37:46+00:00,42.36356115,-71.08593585
2016-02-14 21:37:47+00:00,42.36355148,-71.08596439
2016-02-14 21:37:48+00:00,42.36353572,-71.08599064
2016-02-14 21:37:49+00:00,42.36351802,-71.08601567
2016-02-14 21:37:50+00:00,42.36350081,-71.08603932
2016-02-14 21:37:51+00:00,42.36348285,-71.08606181
2016-02-14 21:37:52+00:00,42.36346198,-71.08608195
2016-02-14 21:37:54+00:00,42.36339977,-71.08611918
2016-02-14 21:37:55+00:00,42.36337221,-71.08613614
2016-02-14 21:37:56+00:00,42.36335555,-71.08615285
2016-02-14 21:37:57+00:00,42.36334683,-71.08617017
2016-02-14 21:37:58+00:00,42.36334642,-71.08618767
2016-02-14 21:37:59+00:00,42.36334461,-71.08620458
2016-02-14 21:38:00+00:00,42.36333838,-71.08622442
2016-02-14 21:38:01+00:00,42.36332868,-71.08624411
2016-02-14 21:38:02+00:00,42.36331814,-71.08626331
2016-02-14 21:38:03+00:00,42.36331419,-71.08627946
2016-02-14 21:38:04+00:00,42.36331483,-71.08629218
2016-02-14 21:38:05+00:00,42.36331382,-71.08630749
2016-02-14 21:38:07+00:00,42.36329272,-71.08634393
2016-02-14 21:38:08+00:00,42.36326971,-71.08636509
2016-02-14 21:38:09+00:00,42.36324322,-71.08638586
2016-02-14 21:38:10+00:00,42.36320517,-71.08643248
2016-02-14 21:38:11+00:00,42.36322762,-71.08643778
2016-02-14 21:38:12+00:00,42.36321939,-71.08645135
2016-02-14 21:38:13+00:00,42.36320503,-71.0864644
2016-02-14 21:38:14+00:00,42.36318003,-71.08647894
2016-02-14 21:38:16+00:00,42.3631359,-71.08651009
2016-02-14 21:38:17+00:00,42.36311469,-71.08652668
2016-02-14 21:38:18+00:00,42.36308715,-71.08653992
2016-02-14 21:38:19+00:00,42.36307102,-71.0865526
2016-02-14 21:38:20+00:00,42.36305488,-71.08656546
2016-02-14 21:38:21+00:00,42.36303954,-71.0865829
2016-02-14 21:38:22+00:00,42.36302715,-71.08659884
2016-02-14 21:38:23+00:00,42.36301767,-71.08661967
2016-02-14 21:38:24+00:00,42.3629846,-71.08663107
2016-02-14 21:38:25+00:00,42.36297287,-71.08664686
2016-02-14 21:38:26+00:00,42.36295519,-71.0866627
2016-02-14 21:38:27+00:00,42.36293395,-71.08667794
2016-02-14 21:38:28+00:00,42.36291853,-71.08668829
2016-02-14 21:38:29+00:00,42.36289078,-71.08670373
2016-02-14 21:38:30+00:00,42.36287568,-71.08672395
2016-02-14 21:38:32+00:00,42.36285144,-71.08676569
2016-02-14 21:38:33+00:00,42.36284696,-71.08678779
