RawGPS
Time (UTC),Latitude,Longitude
2015-12-07 02:50:33+00:00,51.608808,-0.369599
2015-12-07 02:50:34+00:00,51.608777,-0.369852
2015-12-07 02:50:35+00:00,51.608761,-0.370004
2015-12-07 02:50:36+00:00,51.60873,-0.370179
2015-12-07 02:50:37+00:00,51.608706,-0.370345
2015-12-07 02:50:38+00:00,51.608679,-0.37051
2015-12-07 02:50:39+00:00,51.608661,-0.370664
2015-12-07 02:50:40+00:00,51.608634,-0.37083
2015-12-07 02:50:41+00:00,51.60861,-0.370979
2015-12-07 02:50:42+00:00,51.608591,-0.371103
2015-12-07 02:50:43+00:00,51.608574,-0.371215
2015-12-07 02:50:44+00:00,51.608554,-0.371315
2015-12-07 02:50:45+00:00,51.608533,-0.371411
2015-12-07 02:50:46+00:00,51.60851,-0.371509
2015-12-07 02:50:47+00:00,51.608489,-0.37161
2015-12-07 02:50:48+00:00,51.608463,-0.371708
2015-12-07 02:50:49+00:00,51.608439,-0.371805
2015-12-07 02:50:50+00:00,51.608414,-0.371893
2015-12-07 02:50:51+00:00,51.608394,-0.371966
2015-12-07 02:50:52+00:00,51.608379,-0.372019
2015-12-07 02:50:53+00:00,51.60837,-0.37205
2015-12-07 02:50:54+00:00,51.608361,-0.372076
2015-12-07 02:50:55+00:00,51.608355,-0.372089
2015-12-07 02:50:56+00:00,51.60835,-0.372101
2015-12-07 02:50:57+00:00,51.60835,-0.3721
2015-12-07 02:50:58+00:00,51.608348,-0.372096
2015-12-07 02:50:59+00:00,51.608347,-0.372096
2015-12-07 02:51:01+00:00,51.608347,-0.372095
2015-12-07 02:51:02+00:00,51.608348,-0.372094
2015-12-07 02:51:03+00:00,51.608348,-0.372094
2015-12-07 02:51:04+00:00,51.608349,-0.372093
2015-12-07 02:51:05+00:00,51.608348,-0.372091
2015-12-07 02:51:06+00:00,51.608348,-0.372089
2015-12-07 02:51:07+00:00,51.608349,-0.372089
2015-12-07 02:51:09+00:00,51.608349,-0.37209
2015-12-07 02:51:10+00:00,51.608349,-0.372089
2015-12-07 02:51:11+00:00,51.608349,-0.372089
2015-12-07 02:51:12+00:00,51.608342,-0.372111
2015-12-07 02:51:13+00:00,51.608331,-0.372154
2015-12-07 02:51:14+00:00,51.608316,-0.372214
2015-12-07 02:51:16+00:00,51.608278,-0.372344
2015-12-07 02:51:17+00:00,51.608258,-0.372402
2015-12-07 02:51:18+00:00,51.608236,-0.372462
2015-12-07 02:51:19+00:00,51.608216,-0.372522
2015-12-07 02:51:20+00:00,51.608193,-0.372581
