RawGPS
Time (UTC),Latitude,Longitude
2015-12-07 10:40:44+00:00,51.54728,-0.181785
2015-12-07 10:40:45+00:00,51.547193,-0.182043
2015-12-07 10:40:46+00:00,51.546375,-0.182171
2015-12-07 10:40:47+00:00,51.546334,-0.182571
2015-12-07 10:40:48+00:00,51.546318,-0.183003
2015-12-07 10:40:49+00:00,51.546729,-0.186217
2015-12-07 10:40:50+00:00,51.546714,-0.186706
2015-12-07 10:40:51+00:00,51.546689,-0.187064
2015-12-07 10:40:52+00:00,51.546682,-0.187312
2015-12-07 10:40:53+00:00,51.546657,-0.187413
2015-12-07 10:40:54+00:00,51.54666,-0.187604
2015-12-07 10:40:55+00:00,51.546654,-0.187926
2015-12-07 10:40:56+00:00,51.546661,-0.188043
2015-12-07 10:40:57+00:00,51.546721,-0.188233
2015-12-07 10:40:58+00:00,51.546721,-0.188486
2015-12-07 10:40:59+00:00,51.546724,-0.188754
2015-12-07 10:41:00+00:00,51.546737,-0.189011
2015-12-07 10:41:01+00:00,51.546732,-0.189248
2015-12-07 10:41:02+00:00,51.546746,-0.189527
2015-12-07 10:41:04+00:00,51.546744,-0.190038
2015-12-07 10:41:05+00:00,51.546741,-0.190313
2015-12-07 10:41:06+00:00,51.546738,-0.190581
2015-12-07 10:41:07+00:00,51.54673,-0.190853
2015-12-07 10:41:08+00:00,51.546671,-0.191106
2015-12-07 10:41:09+00:00,51.546668,-0.19138
2015-12-07 10:41:10+00:00,51.546673,-0.191678
2015-12-07 10:41:11+00:00,51.546667,-0.191942
2015-12-07 10:41:12+00:00,51.546662,-0.192218
2015-12-07 10:41:13+00:00,51.546655,-0.1925
2015-12-07 10:41:14+00:00,51.546625,-0.192759
2015-12-07 10:41:15+00:00,51.5466,-0.193028
2015-12-07 10:41:16+00:00,51.546583,-0.193293
2015-12-07 10:41:17+00:00,51.546576,-0.193576
2015-12-07 10:41:18+00:00,51.546553,-0.193855
2015-12-07 10:41:19+00:00,51.546535,-0.194119
2015-12-07 10:41:20+00:00,51.546516,-0.194396
2015-12-07 10:41:21+00:00,51.546496,-0.194671
2015-12-07 10:41:22+00:00,51.546476,-0.194956
2015-12-07 10:41:23+00:00,51.546458,-0.195241
2015-12-07 10:41:24+00:00,51.546436,-0.195521
2015-12-07 10:41:25+00:00,51.54644,-0.195784
2015-12-07 10:41:26+00:00,51.546411,-0.196044
2015-12-07 10:41:27+00:00,51.546398,-0.196344
2015-12-07 10:41:28+00:00,51.546382,-0.196625
2015-12-07 10:41:29+00:00,51.546383,-0.196909
2015-12-07 10:41:30+00:00,51.546391,-0.197189
2015-12-07 10:41:31+00:00,51.54641,-0.197481
2015-12-07 10:41:32+00:00,51.546424,-0.197767
2015-12-07 10:41:33+00:00,51.546433,-0.198028
2015-12-07 10:41:34+00:00,51.546442,-0.198326
2015-12-07 10:41:35+00:00,51.546466,-0.198623
2015-12-07 10:41:36+00:00,51.546483,-0.198912
2015-12-07 10:41:37+00:00,51.546497,-0.199197
2015-12-07 10:41:38+00:00,51.546521,-0.199494
2015-12-07 10:41:39+00:00,51.546542,-0.199792
2015-12-07 10:41:40+00:00,51.546556,-0.200097
2015-12-07 10:41:41+00:00,51.546583,-0.200391
2015-12-07 10:41:42+00:00,51.546604,-0.20069
2015-12-07 10:41:43+00:00,51.54662,-0.201012
2015-12-07 10:41:44+00:00,51.546642,-0.201323
2015-12-07 10:41:45+00:00,51.546657,-0.201638
2015-12-07 10:41:46+00:00,51.546676,-0.201947
2015-12-07 10:41:47+00:00,51.546698,-0.202266
2015-12-07 10:41:48+00:00,51.546721,-0.202579
2015-12-07 10:41:49+00:00,51.546739,-0.202894
2015-12-07 10:41:50+00:00,51.546758,-0.203204
2015-12-07 10:41:51+00:00,51.546781,-0.2035
2015-12-07 10:41:52+00:00,51.546803,-0.20379
2015-12-07 10:41:53+00:00,51.546824,-0.204091
2015-12-07 10:41:54+00:00,51.546839,-0.204379
2015-12-07 10:41:55+00:00,51.546877,-0.204727
2015-12-07 10:41:56+00:00,51.546892,-0.205025
2015-12-07 10:41:57+00:00,51.546909,-0.205319
2015-12-07 10:41:58+00:00,51.546933,-0.20563
2015-12-07 10:41:59+00:00,51.546956,-0.20594
2015-12-07 10:42:00+00:00,51.546968,-0.206249
2015-12-07 10:42:01+00:00,51.546999,-0.206586
2015-12-07 10:42:02+00:00,51.547029,-0.206914
2015-12-07 10:42:03+00:00,51.547041,-0.207214
2015-12-07 10:42:04+00:00,51.547085,-0.207548
2015-12-07 10:42:05+00:00,51.547111,-0.20787
2015-12-07 10:42:06+00:00,51.547167,-0.208209
2015-12-07 10:42:07+00:00,51.547205,-0.208509
2015-12-07 10:42:08+00:00,51.547233,-0.208839
2015-12-07 10:42:09+00:00,51.547278,-0.209168
2015-12-07 10:42:10+00:00,51.547333,-0.209535
2015-12-07 10:42:11+00:00,51.547367,-0.209916
2015-12-07 10:42:12+00:00,51.547403,-0.210199
2015-12-07 10:42:13+00:00,51.547452,-0.210579
2015-12-07 10:42:14+00:00,51.547503,-0.210832
2015-12-07 10:42:15+00:00,51.547557,-0.211139
2015-12-07 10:42:16+00:00,51.547602,-0.211506
2015-12-07 10:42:17+00:00,51.547641,-0.211839
2015-12-07 10:42:18+00:00,51.5477,-0.212165
2015-12-07 10:42:19+00:00,51.54775,-0.212492
2015-12-07 10:42:20+00:00,51.547799,-0.212807
2015-12-07 10:42:21+00:00,51.54786,-0.213102
2015-12-07 10:42:22+00:00,51.547896,-0.213388
2015-12-07 10:42:23+00:00,51.54796,-0.213669
2015-12-07 10:42:24+00:00,51.547994,-0.213973
2015-12-07 10:42:25+00:00,51.548045,-0.214266
2015-12-07 10:42:26+00:00,51.548085,-0.214596
2015-12-07 10:42:36.191000+00:00,51.54769,-0.218614
2015-12-07 10:42:42+00:00,51.548804,-0.2196
2015-12-07 10:42:43+00:00,51.548823,-0.219928
2015-12-07 10:42:44+00:00,51.548827,-0.220137
2015-12-07 10:42:45+00:00,51.548793,-0.220186
2015-12-07 10:42:48+00:00,51.548891,-0.221098
2015-12-07 10:42:49+00:00,51.548888,-0.221381
2015-12-07 10:42:51+00:00,51.549174,-0.222102
2015-12-07 10:42:52+00:00,51.549208,-0.222412
2015-12-07 10:42:53+00:00,51.549296,-0.222863
2015-12-07 10:42:54+00:00,51.549448,-0.22329
2015-12-07 10:42:55+00:00,51.549568,-0.223673
2015-12-07 10:42:56+00:00,51.549628,-0.224045
2015-12-07 10:42:57+00:00,51.54969,-0.22442
2015-12-07 10:42:58+00:00,51.549733,-0.224883
2015-12-07 10:42:59+00:00,51.549787,-0.225188
2015-12-07 10:43:01+00:00,51.549901,-0.225845
2015-12-07 10:43:02+00:00,51.549908,-0.22623
2015-12-07 10:43:03+00:00,51.54991,-0.226693
2015-12-07 10:43:05+00:00,51.550058,-0.227177
2015-12-07 10:43:06+00:00,51.550135,-0.22755
2015-12-07 10:43:07+00:00,51.550183,-0.227885
2015-12-07 10:43:08+00:00,51.550238,-0.228211
2015-12-07 10:43:09+00:00,51.550327,-0.228842
2015-12-07 10:43:10+00:00,51.550397,-0.229179
2015-12-07 10:43:11+00:00,51.550464,-0.229528
2015-12-07 10:43:12+00:00,51.550532,-0.229928
2015-12-07 10:43:13+00:00,51.550566,-0.230122
2015-12-07 10:43:14+00:00,51.550615,-0.230492
2015-12-07 10:43:15+00:00,51.550685,-0.230852
2015-12-07 10:43:17+00:00,51.550801,-0.231597
2015-12-07 10:43:18+00:00,51.550859,-0.232024
2015-12-07 10:43:19+00:00,51.550903,-0.232349
2015-12-07 10:43:21+00:00,51.550992,-0.232974
2015-12-07 10:43:22+00:00,51.551085,-0.23355
2015-12-07 10:43:23+00:00,51.551143,-0.233935
2015-12-07 10:43:25+00:00,51.551199,-0.234557
2015-12-07 10:43:26+00:00,51.551255,-0.234915
2015-12-07 10:43:27+00:00,51.551316,-0.235255
2015-12-07 10:43:28+00:00,51.551378,-0.23561
2015-12-07 10:43:29+00:00,51.551449,-0.235961
2015-12-07 10:43:30+00:00,51.551519,-0.236317
2015-12-07 10:43:31+00:00,51.551576,-0.236671
2015-12-07 10:43:32+00:00,51.551661,-0.237161
2015-12-07 10:43:33+00:00,51.551725,-0.237507
2015-12-07 10:43:34+00:00,51.551788,-0.237889
2015-12-07 10:43:35+00:00,51.551842,-0.238228
2015-12-07 10:43:37+00:00,51.551945,-0.238925
2015-12-07 10:43:38+00:00,51.552005,-0.239305
2015-12-07 10:43:39+00:00,51.552075,-0.239666
2015-12-07 10:43:40+00:00,51.552138,-0.240015
2015-12-07 10:43:41+00:00,51.552202,-0.240308
2015-12-07 10:43:42+00:00,51.552263,-0.240714
2015-12-07 10:43:43+00:00,51.552309,-0.241086
2015-12-07 10:43:45+00:00,51.552419,-0.241811
2015-12-07 10:43:46+00:00,51.552489,-0.242216
2015-12-07 10:43:47+00:00,51.552565,-0.24264
2015-12-07 10:43:48+00:00,51.55262,-0.243027
2015-12-07 10:43:49+00:00,51.552671,-0.243397
2015-12-07 10:43:50+00:00,51.552724,-0.243752
2015-12-07 10:43:51+00:00,51.552782,-0.244224
2015-12-07 10:43:53+00:00,51.552877,-0.244956
2015-12-07 10:43:54+00:00,51.552946,-0.24526
2015-12-07 10:43:55+00:00,51.553026,-0.245617
2015-12-07 10:43:58+00:00,51.553232,-0.246617
2015-12-07 10:43:59+00:00,51.553295,-0.246957
2015-12-07 10:44:01+00:00,51.553442,-0.247537
2015-12-07 10:44:02+00:00,51.553546,-0.247878
2015-12-07 10:44:03+00:00,51.553565,-0.248072
2015-12-07 10:44:05+00:00,51.553721,-0.248684
2015-12-07 10:44:06+00:00,51.553771,-0.248962
2015-12-07 10:44:07+00:00,51.553819,-0.24913
2015-12-07 10:44:08.524000+00:00,51.554185,-0.249904
2015-12-07 10:44:10+00:00,51.554159,-0.250203
2015-12-07 10:44:11+00:00,51.554201,-0.250943
2015-12-07 10:44:12+00:00,51.554255,-0.251239
2015-12-07 10:44:13+00:00,51.554339,-0.251512
2015-12-07 10:44:14+00:00,51.554443,-0.251863
2015-12-07 10:44:15+00:00,51.554652,-0.252279
2015-12-07 10:44:17+00:00,51.554795,-0.252832
2015-12-07 10:44:20+00:00,51.555037,-0.253798
2015-12-07 10:44:22+00:00,51.55522,-0.254524
2015-12-07 10:44:23+00:00,51.555315,-0.254841
