RawGPS
Time (UTC),Latitude,Longitude
2015-12-07 11:04:15+00:00,51.590164,-0.381037
2015-12-07 11:04:16+00:00,51.590107,-0.381149
2015-12-07 11:04:17+00:00,51.590061,-0.381266
2015-12-07 11:04:18+00:00,51.589992,-0.381385
2015-12-07 11:04:19+00:00,51.589935,-0.381481
2015-12-07 11:04:21+00:00,51.589774,-0.381668
2015-12-07 11:04:22+00:00,51.589706,-0.381726
2015-12-07 11:04:23+00:00,51.589626,-0.381768
2015-12-07 11:04:25+00:00,51.589479,-0.381866
2015-12-07 11:04:26+00:00,51.589405,-0.381915
2015-12-07 11:04:27+00:00,51.589319,-0.381939
2015-12-07 11:04:29+00:00,51.589152,-0.38203
2015-12-07 11:04:30+00:00,51.589093,-0.382096
2015-12-07 11:04:31+00:00,51.589029,-0.382156
2015-12-07 11:04:33+00:00,51.588936,-0.382318
2015-12-07 11:04:34+00:00,51.588901,-0.382408
2015-12-07 11:04:35+00:00,51.588858,-0.382461
2015-12-07 11:04:36+00:00,51.588806,-0.382513
2015-12-07 11:04:37+00:00,51.588736,-0.382586
2015-12-07 11:04:38+00:00,51.588688,-0.382566
2015-12-07 11:04:39+00:00,51.588661,-0.382481
2015-12-07 11:04:41+00:00,51.588577,-0.382385
2015-12-07 11:04:42+00:00,51.588516,-0.382359
2015-12-07 11:04:43+00:00,51.58847,-0.382315
2015-12-07 11:04:45+00:00,51.588315,-0.382206
2015-12-07 11:04:46+00:00,51.588217,-0.382173
2015-12-07 11:04:47+00:00,51.588135,-0.382152
2015-12-07 11:04:48+00:00,51.588009,-0.382136
2015-12-07 11:04:49+00:00,51.587896,-0.382108
2015-12-07 11:04:50+00:00,51.587792,-0.382091
2015-12-07 11:04:51+00:00,51.587701,-0.382044
2015-12-07 11:04:53+00:00,51.587504,-0.381946
2015-12-07 11:04:54+00:00,51.587389,-0.381902
2015-12-07 11:04:55+00:00,51.587283,-0.381887
2015-12-07 11:04:56+00:00,51.587183,-0.381884
2015-12-07 11:04:57+00:00,51.587065,-0.381864
2015-12-07 11:04:58+00:00,51.586956,-0.381865
2015-12-07 11:04:59+00:00,51.586855,-0.381833
2015-12-07 11:05:01+00:00,51.586686,-0.381821
2015-12-07 11:05:02+00:00,51.586623,-0.38178
2015-12-07 11:05:03+00:00,51.586543,-0.381774
2015-12-07 11:05:04+00:00,51.586481,-0.381787
2015-12-07 11:05:05+00:00,51.586413,-0.38178
2015-12-07 11:05:06+00:00,51.586377,-0.381804
2015-12-07 11:05:07+00:00,51.586335,-0.381812
2015-12-07 11:05:09+00:00,51.586269,-0.381825
2015-12-07 11:05:10+00:00,51.586238,-0.381812
2015-12-07 11:05:11+00:00,51.586228,-0.381791
2015-12-07 11:05:12+00:00,51.586213,-0.381752
2015-12-07 11:05:14+00:00,51.58619,-0.381676
2015-12-07 11:05:15+00:00,51.586174,-0.381639
2015-12-07 11:05:16+00:00,51.586168,-0.381624
2015-12-07 11:05:17+00:00,51.586152,-0.381606
2015-12-07 11:05:18+00:00,51.586141,-0.381594
2015-12-07 11:05:19+00:00,51.586118,-0.381587
2015-12-07 11:05:20+00:00,51.586085,-0.381599
2015-12-07 11:05:21+00:00,51.586044,-0.38164
2015-12-07 11:05:22+00:00,51.586018,-0.381703
2015-12-07 11:05:24+00:00,51.585954,-0.381778
2015-12-07 11:05:25+00:00,51.585913,-0.38183
2015-12-07 11:05:26+00:00,51.585866,-0.381879
2015-12-07 11:05:27+00:00,51.585816,-0.381921
2015-12-07 11:05:28+00:00,51.585717,-0.381909
2015-12-07 11:05:29+00:00,51.585631,-0.381924
2015-12-07 11:05:30+00:00,51.585551,-0.381931
2015-12-07 11:05:31+00:00,51.585459,-0.381952
2015-12-07 11:05:32+00:00,51.585387,-0.381962
2015-12-07 11:05:33+00:00,51.585304,-0.381975
2015-12-07 11:05:34+00:00,51.585208,-0.381995
2015-12-07 11:05:36+00:00,51.585014,-0.382055
2015-12-07 11:05:37+00:00,51.584912,-0.382038
2015-12-07 11:05:38+00:00,51.584814,-0.382047
2015-12-07 11:05:39+00:00,51.584702,-0.382032
2015-12-07 11:05:40+00:00,51.584607,-0.38204
2015-12-07 11:05:41+00:00,51.584504,-0.382038
2015-12-07 11:05:42+00:00,51.584415,-0.382056
2015-12-07 11:05:43+00:00,51.584311,-0.382065
2015-12-07 11:05:45+00:00,51.584084,-0.382125
2015-12-07 11:05:46+00:00,51.583979,-0.382135
2015-12-07 11:05:47+00:00,51.583866,-0.382144
2015-12-07 11:05:48+00:00,51.58376,-0.382175
2015-12-07 11:05:49+00:00,51.583664,-0.38217
2015-12-07 11:05:50+00:00,51.583571,-0.382128
2015-12-07 11:05:51+00:00,51.583484,-0.382106
2015-12-07 11:05:53+00:00,51.583314,-0.382007
2015-12-07 11:05:54+00:00,51.583254,-0.381941
2015-12-07 11:05:55+00:00,51.583195,-0.381893
2015-12-07 11:05:56+00:00,51.583159,-0.381839
2015-12-07 11:05:57+00:00,51.58311,-0.381803
2015-12-07 11:05:58+00:00,51.583101,-0.381799
2015-12-07 11:05:59+00:00,51.583072,-0.381784
2015-12-07 11:06:00+00:00,51.583057,-0.381778
2015-12-07 11:06:01+00:00,51.583069,-0.381786
2015-12-07 11:06:02+00:00,51.583067,-0.381787
2015-12-07 11:06:03+00:00,51.583068,-0.381786
