RawGPS
Time (UTC),Latitude,Longitude
2015-12-18 17:53:39+00:00,51.586787,-0.375407
2015-12-18 17:53:41+00:00,51.587163,-0.375567
2015-12-18 17:53:43+00:00,51.58757,-0.375703
2015-12-18 17:53:45+00:00,51.587979,-0.375931
2015-12-18 17:53:47+00:00,51.58822,-0.376161
2015-12-18 17:53:49+00:00,51.588456,-0.376351
2015-12-18 17:53:51+00:00,51.588625,-0.376494
2015-12-18 17:53:53+00:00,51.588828,-0.376569
2015-12-18 17:53:55+00:00,51.58903,-0.376606
2015-12-18 17:53:57+00:00,51.589168,-0.376646
2015-12-18 17:53:59+00:00,51.589245,-0.376661
2015-12-18 17:54:05+00:00,51.589299,-0.376657
2015-12-18 17:54:06.742000+00:00,51.588141,-0.375925
2015-12-18 17:54:25+00:00,51.589372,-0.376703
2015-12-18 17:54:27+00:00,51.589445,-0.376648
2015-12-18 17:54:29+00:00,51.589454,-0.376444
2015-12-18 17:54:31+00:00,51.58948,-0.376196
2015-12-18 17:54:33+00:00,51.589519,-0.375933
2015-12-18 17:54:35+00:00,51.58955,-0.375677
2015-12-18 17:54:37+00:00,51.58962,-0.375566
2015-12-18 17:54:39+00:00,51.589721,-0.375609
2015-12-18 17:54:41+00:00,51.589826,-0.375797
2015-12-18 17:54:43+00:00,51.589928,-0.376027
2015-12-18 17:54:45+00:00,51.590051,-0.376275
2015-12-18 17:54:47+00:00,51.590171,-0.376556
2015-12-18 17:54:49+00:00,51.590282,-0.376839
2015-12-18 17:54:51+00:00,51.590405,-0.377114
2015-12-18 17:54:53+00:00,51.590531,-0.377394
2015-12-18 17:54:55+00:00,51.590656,-0.377676
2015-12-18 17:54:57+00:00,51.590778,-0.377955
2015-12-18 17:54:59+00:00,51.5909,-0.378231
2015-12-18 17:55:01+00:00,51.591021,-0.378499
2015-12-18 17:55:03+00:00,51.591123,-0.378755
2015-12-18 17:55:05+00:00,51.591213,-0.37899
2015-12-18 17:55:07+00:00,51.591303,-0.379207
2015-12-18 17:55:09+00:00,51.591379,-0.379362
2015-12-18 17:55:11+00:00,51.591463,-0.379518
2015-12-18 17:55:13+00:00,51.59154,-0.379682
2015-12-18 17:55:15+00:00,51.591595,-0.379781
2015-12-18 17:55:21+00:00,51.591606,-0.379853
2015-12-18 17:55:23+00:00,51.591649,-0.379928
2015-12-18 17:55:25+00:00,51.591697,-0.380038
2015-12-18 17:55:27.003000+00:00,51.591315,-0.379233
2015-12-18 17:55:29+00:00,51.591757,-0.380244
2015-12-18 17:55:41+00:00,51.591735,-0.380316
2015-12-18 17:55:47.033000+00:00,51.591634,-0.380082
2015-12-18 17:56:27.070000+00:00,51.591455,-0.380541
2015-12-18 17:57:46.643000+00:00,51.58259,-0.382744
2015-12-18 17:58:10.359000+00:00,51.591456,-0.38054
2015-12-18 17:58:30.464000+00:00,51.591499,-0.380403
2015-12-18 17:58:50+00:00,51.591718,-0.380389
2015-12-18 17:58:52+00:00,51.591698,-0.380458
2015-12-18 17:58:54+00:00,51.591656,-0.380556
2015-12-18 17:58:56+00:00,51.591596,-0.380678
2015-12-18 17:58:58+00:00,51.591554,-0.380766
2015-12-18 17:59:01+00:00,51.591504,-0.380834
2015-12-18 17:59:03+00:00,51.59143,-0.380856
2015-12-18 17:59:05+00:00,51.591342,-0.380763
2015-12-18 17:59:06+00:00,51.591299,-0.380711
2015-12-18 17:59:07+00:00,51.591252,-0.380677
2015-12-18 17:59:09+00:00,51.591181,-0.380602
2015-12-18 17:59:11+00:00,51.591134,-0.38055
2015-12-18 17:59:18+00:00,51.591081,-0.380493
2015-12-18 17:59:20+00:00,51.59103,-0.380436
2015-12-18 17:59:23+00:00,51.590972,-0.380387
2015-12-18 17:59:29+00:00,51.590885,-0.380307
2015-12-18 17:59:31+00:00,51.59084,-0.380263
2015-12-18 17:59:33+00:00,51.590798,-0.380227
2015-12-18 17:59:35+00:00,51.590744,-0.380213
2015-12-18 17:59:43+00:00,51.590666,-0.380178
2015-12-18 17:59:47+00:00,51.590617,-0.380132
2015-12-18 17:59:49+00:00,51.590553,-0.380071
2015-12-18 17:59:51+00:00,51.590502,-0.380131
2015-12-18 17:59:53+00:00,51.590415,-0.380301
2015-12-18 17:59:55+00:00,51.590321,-0.380523
2015-12-18 17:59:57+00:00,51.590221,-0.380754
2015-12-18 17:59:59+00:00,51.590109,-0.381006
2015-12-18 18:00:00.024000+00:00,51.590334,-0.380216
2015-12-18 18:00:03+00:00,51.589855,-0.381516
2015-12-18 18:00:05+00:00,51.589696,-0.381686
2015-12-18 18:00:07+00:00,51.589499,-0.381797
2015-12-18 18:00:09+00:00,51.589291,-0.3819
2015-12-18 18:00:11+00:00,51.58911,-0.38201
2015-12-18 18:00:13+00:00,51.588962,-0.382147
2015-12-18 18:00:15+00:00,51.588852,-0.382338
2015-12-18 18:00:17+00:00,51.588767,-0.3825
2015-12-18 18:00:19+00:00,51.588685,-0.382468
2015-12-18 18:00:20.097000+00:00,51.588658,-0.382819
2015-12-18 18:00:23+00:00,51.588391,-0.382306
2015-12-18 18:00:25+00:00,51.588187,-0.382228
2015-12-18 18:00:27+00:00,51.587973,-0.382134
2015-12-18 18:00:29+00:00,51.587773,-0.382047
2015-12-18 18:00:31+00:00,51.58757,-0.381929
2015-12-18 18:00:33+00:00,51.587401,-0.381854
2015-12-18 18:00:35+00:00,51.58725,-0.381746
2015-12-18 18:00:37+00:00,51.587023,-0.381837
2015-12-18 18:00:39+00:00,51.586818,-0.381845
2015-12-18 18:00:41+00:00,51.586637,-0.381822
2015-12-18 18:00:43+00:00,51.586472,-0.381806
2015-12-18 18:00:45+00:00,51.586339,-0.381824
2015-12-18 18:00:47+00:00,51.586262,-0.381841
2015-12-18 18:00:51+00:00,51.58619,-0.381834
2015-12-18 18:00:53+00:00,51.58614,-0.381746
2015-12-18 18:00:55+00:00,51.586115,-0.381672
2015-12-18 18:01:00.225000+00:00,51.585983,-0.381399
2015-12-18 18:01:03+00:00,51.586078,-0.381616
2015-12-18 18:01:05+00:00,51.586009,-0.381644
2015-12-18 18:01:07+00:00,51.58591,-0.381805
2015-12-18 18:01:09+00:00,51.585802,-0.381954
2015-12-18 18:01:11+00:00,51.585658,-0.381996
2015-12-18 18:01:13+00:00,51.585564,-0.382006
2015-12-18 18:01:17+00:00,51.585485,-0.382018
2015-12-18 18:01:19+00:00,51.585382,-0.382008
2015-12-18 18:01:21+00:00,51.585327,-0.382016
2015-12-18 18:01:25+00:00,51.58527,-0.382039
2015-12-18 18:01:27+00:00,51.585201,-0.382069
2015-12-18 18:01:29+00:00,51.585084,-0.382083
2015-12-18 18:01:31+00:00,51.584941,-0.382076
2015-12-18 18:01:33+00:00,51.584758,-0.382081
2015-12-18 18:01:35+00:00,51.584575,-0.382078
2015-12-18 18:01:37+00:00,51.584381,-0.382082
2015-12-18 18:01:39+00:00,51.584203,-0.382103
2015-12-18 18:01:41+00:00,51.584032,-0.382117
2015-12-18 18:01:42.109000+00:00,51.585353,-0.381879
2015-12-18 18:01:45+00:00,51.583673,-0.382163
2015-12-18 18:01:47+00:00,51.583509,-0.382138
2015-12-18 18:01:49+00:00,51.583381,-0.382092
2015-12-18 18:01:51+00:00,51.583293,-0.382055
2015-12-18 18:01:53+00:00,51.583199,-0.381987
2015-12-18 18:01:55+00:00,51.583073,-0.381892
2015-12-18 18:01:57+00:00,51.582944,-0.381789
2015-12-18 18:01:59+00:00,51.582857,-0.381641
2015-12-18 18:02:01+00:00,51.582822,-0.381452
2015-12-18 18:02:03+00:00,51.582793,-0.381279
2015-12-18 18:02:05+00:00,51.582777,-0.381119
2015-12-18 18:02:07+00:00,51.582732,-0.380917
2015-12-18 18:02:09+00:00,51.582679,-0.380678
2015-12-18 18:02:11+00:00,51.582633,-0.380394
2015-12-18 18:02:13+00:00,51.582583,-0.380106
2015-12-18 18:02:15+00:00,51.582553,-0.379849
2015-12-18 18:02:17+00:00,51.582574,-0.379609
2015-12-18 18:02:19+00:00,51.582647,-0.379389
2015-12-18 18:02:21+00:00,51.582707,-0.379178
2015-12-18 18:02:23+00:00,51.582826,-0.378924
2015-12-18 18:02:25+00:00,51.582892,-0.378747
2015-12-18 18:02:27+00:00,51.582947,-0.378606
2015-12-18 18:02:29+00:00,51.582986,-0.378524
2015-12-18 18:02:31+00:00,51.583015,-0.378445
2015-12-18 18:02:35+00:00,51.583005,-0.378351
2015-12-18 18:02:37+00:00,51.582989,-0.378281
2015-12-18 18:03:02.639000+00:00,51.582971,-0.37858
2015-12-18 18:03:23.699000+00:00,51.582928,-0.378668
2015-12-18 18:03:35.558000+00:00,51.58292,-0.378746
2015-12-18 18:03:54.805000+00:00,51.58298,-0.378579
2015-12-18 18:04:14.969000+00:00,51.582932,-0.378685
2015-12-18 18:04:35.031000+00:00,51.583004,-0.378525
2015-12-18 18:05:17.403000+00:00,51.58295,-0.378649
2015-12-18 18:05:57.529000+00:00,51.583001,-0.378536
2015-12-18 18:06:17.554000+00:00,51.583084,-0.378366
2015-12-18 18:06:57.655000+00:00,51.582973,-0.37858
2015-12-18 18:07:37.672000+00:00,51.583035,-0.378435
2015-12-18 18:07:57.767000+00:00,51.583084,-0.378376
2015-12-18 18:08:17.788000+00:00,51.582961,-0.378614
2015-12-18 18:09:42.887000+00:00,51.582996,-0.378543
2015-12-18 18:10:44.199000+00:00,51.582958,-0.378631
2015-12-18 18:14:12.971000+00:00,51.583001,-0.378547
2015-12-18 18:20:26.028000+00:00,51.582937,-0.378672
