RawGPS
Time (UTC),Latitude,Longitude
2016-02-17 01:11:08+00:00,42.36510176,-71.10009888
2016-02-17 01:11:11+00:00,42.36511597,-71.10011749
2016-02-17 01:11:12+00:00,42.36512211,-71.10012062
2016-02-17 01:11:13+00:00,42.36512854,-71.10012848
2016-02-17 01:11:14+00:00,42.3651309,-71.10013042
2016-02-17 01:11:15+00:00,42.36512954,-71.10013172
2016-02-17 01:11:16+00:00,42.36512371,-71.10012859
2016-02-17 01:11:17+00:00,42.3650874,-71.10013906
2016-02-17 01:11:18+00:00,42.36507402,-71.10013487
2016-02-17 01:11:19+00:00,42.36504964,-71.10013202
2016-02-17 01:11:20+00:00,42.36504388,-71.10012769
2016-02-17 01:11:21+00:00,42.36504438,-71.10012055
2016-02-17 01:11:22+00:00,42.36503215,-71.10011056
2016-02-17 01:11:23+00:00,42.36499733,-71.10008431
2016-02-17 01:11:24+00:00,42.36497236,-71.10010728
2016-02-17 01:11:25+00:00,42.36494953,-71.1001109
2016-02-17 01:11:26+00:00,42.36490134,-71.10015917
2016-02-17 01:11:27+00:00,42.36485359,-71.10019985
2016-02-17 01:11:28+00:00,42.36481493,-71.10023391
2016-02-17 01:11:29+00:00,42.36478398,-71.10026427
2016-02-17 01:11:30+00:00,42.36476918,-71.10028965
2016-02-17 01:11:31+00:00,42.36475169,-71.10031035
2016-02-17 01:11:32+00:00,42.36474929,-71.10032605
2016-02-17 01:11:33+00:00,42.36474071,-71.10033453
2016-02-17 01:11:34+00:00,42.36472603,-71.10033587
2016-02-17 01:11:35+00:00,42.3647043,-71.10033187
2016-02-17 01:11:36+00:00,42.36468283,-71.1003023
2016-02-17 01:11:37+00:00,42.36465477,-71.1002523
2016-02-17 01:11:38+00:00,42.36462093,-71.10019317
2016-02-17 01:11:39+00:00,42.36458774,-71.10012882
2016-02-17 01:11:40+00:00,42.36455399,-71.10007105
2016-02-17 01:11:41+00:00,42.364507,-71.10000831
2016-02-17 01:11:42+00:00,42.36446623,-71.09992701
2016-02-17 01:11:43+00:00,42.36441835,-71.09984702
2016-02-17 01:11:44+00:00,42.36433857,-71.09975079
2016-02-17 01:11:45+00:00,42.36428956,-71.09968042
2016-02-17 01:11:46+00:00,42.36425301,-71.09962677
2016-02-17 01:11:47+00:00,42.3642356,-71.09959531
2016-02-17 01:11:48+00:00,42.36422875,-71.09958731
2016-02-17 01:11:49+00:00,42.36422723,-71.09958146
2016-02-17 01:11:50+00:00,42.36421545,-71.09954882
2016-02-17 01:11:51+00:00,42.36421811,-71.09950487
2016-02-17 01:11:52+00:00,42.36423791,-71.09946256
2016-02-17 01:11:53+00:00,42.36427337,-71.09941878
2016-02-17 01:11:54+00:00,42.36431802,-71.0993802
2016-02-17 01:11:55+00:00,42.36436537,-71.09934737
2016-02-17 01:11:56+00:00,42.36443999,-71.09930594
2016-02-17 01:11:57+00:00,42.36451546,-71.09926738
2016-02-17 01:11:58+00:00,42.36459714,-71.0992271
2016-02-17 01:11:59+00:00,42.36467915,-71.09918467
2016-02-17 01:12:00+00:00,42.36475169,-71.09914993
2016-02-17 01:12:01+00:00,42.36481634,-71.09911838
2016-02-17 01:12:02+00:00,42.36486559,-71.09909267
2016-02-17 01:12:03+00:00,42.36491995,-71.09906521
2016-02-17 01:12:04+00:00,42.36496221,-71.09903444
2016-02-17 01:12:05+00:00,42.36503049,-71.09899617
2016-02-17 01:12:06+00:00,42.36509639,-71.09896148
2016-02-17 01:12:07+00:00,42.36516282,-71.09891761
2016-02-17 01:12:08+00:00,42.36522901,-71.09887595
2016-02-17 01:12:09+00:00,42.36529461,-71.09883734
2016-02-17 01:12:10+00:00,42.3653568,-71.0987906
2016-02-17 01:12:11+00:00,42.36542192,-71.09875622
2016-02-17 01:12:12+00:00,42.36548723,-71.09870854
2016-02-17 01:12:13+00:00,42.36555791,-71.09867426
2016-02-17 01:12:14+00:00,42.36562332,-71.0986383
2016-02-17 01:12:15+00:00,42.3656855,-71.09859552
2016-02-17 01:12:16+00:00,42.36576089,-71.09855857
2016-02-17 01:12:17+00:00,42.36583627,-71.09851947
2016-02-17 01:12:18+00:00,42.36590581,-71.09847058
2016-02-17 01:12:19+00:00,42.36598649,-71.09842462
2016-02-17 01:12:20+00:00,42.36606882,-71.09838406
2016-02-17 01:12:21+00:00,42.36614629,-71.09833155
2016-02-17 01:12:22+00:00,42.3662398,-71.09827791
2016-02-17 01:12:23+00:00,42.3663267,-71.09822677
2016-02-17 01:12:24+00:00,42.36640572,-71.0981741
2016-02-17 01:12:25+00:00,42.36648655,-71.0981422
2016-02-17 01:12:26+00:00,42.36657017,-71.09809689
2016-02-17 01:12:27+00:00,42.36664364,-71.09805785
2016-02-17 01:12:28+00:00,42.36670856,-71.09803297
2016-02-17 01:12:29+00:00,42.36677153,-71.09799888
2016-02-17 01:12:30+00:00,42.36683088,-71.09797238
2016-02-17 01:12:31+00:00,42.36689536,-71.09794363
2016-02-17 01:12:32+00:00,42.36696701,-71.09790575
2016-02-17 01:12:33+00:00,42.36703867,-71.09785636
2016-02-17 01:12:34+00:00,42.3671259,-71.09781082
2016-02-17 01:12:35+00:00,42.36721034,-71.09776572
2016-02-17 01:12:36+00:00,42.36729102,-71.09771385
2016-02-17 01:12:37+00:00,42.36737273,-71.09766362
2016-02-17 01:12:38+00:00,42.36744419,-71.09762248
2016-02-17 01:12:39+00:00,42.36751048,-71.09758874
2016-02-17 01:12:40+00:00,42.36757035,-71.09757019
2016-02-17 01:12:41+00:00,42.36762843,-71.09754092
2016-02-17 01:12:42+00:00,42.36764306,-71.09751947
2016-02-17 01:12:43+00:00,42.3676576,-71.09750917
2016-02-17 01:12:44+00:00,42.36765342,-71.09749166
2016-02-17 01:12:45+00:00,42.36764707,-71.09748687
2016-02-17 01:12:46+00:00,42.36764821,-71.09748876
2016-02-17 01:12:47+00:00,42.36764659,-71.09748974
2016-02-17 01:12:48+00:00,42.36764471,-71.09749004
2016-02-17 01:12:50+00:00,42.36764486,-71.09749182
2016-02-17 01:12:52+00:00,42.36764178,-71.09749252
2016-02-17 01:12:53+00:00,42.36763942,-71.09749329
2016-02-17 01:12:54+00:00,42.36764035,-71.0974929
2016-02-17 01:12:55+00:00,42.36764052,-71.09749275
2016-02-17 01:12:56+00:00,42.36764037,-71.09749284
2016-02-17 01:12:57+00:00,42.36764039,-71.09749272
