RawGPS
Time (UTC),Latitude,Longitude
2015-12-16 05:56:03.273000+00:00,10.799816,106.676476
2015-12-16 05:57:25.219000+00:00,10.796671,106.67795
2015-12-16 05:58:25.217000+00:00,10.793506,106.679793
2015-12-16 06:08:15+00:00,10.773883,106.689366
2015-12-16 06:08:18+00:00,10.773927,106.689349
2015-12-16 07:02:34+00:00,10.773432,106.689304
2015-12-16 07:02:36+00:00,10.773446,106.689245
2015-12-16 07:02:38+00:00,10.773502,106.689261
2015-12-16 07:02:46+00:00,10.773452,106.689257
2015-12-16 07:05:29+00:00,10.773495,106.689208
2015-12-16 07:05:30+00:00,10.773512,106.689136
2015-12-16 07:05:31+00:00,10.773537,106.689057
2015-12-16 07:05:32+00:00,10.773553,106.688989
2015-12-16 07:05:33+00:00,10.773599,106.688917
2015-12-16 07:05:34+00:00,10.77365,106.688853
2015-12-16 07:05:35+00:00,10.773683,106.688805
2015-12-16 07:05:37+00:00,10.773726,106.688749
2015-12-16 07:05:39+00:00,10.773753,106.688693
2015-12-16 07:05:41+00:00,10.773808,106.688664
2015-12-16 07:05:42+00:00,10.773801,106.688713
2015-12-16 07:05:49+00:00,10.773834,106.68868
2015-12-16 07:05:55+00:00,10.773876,106.688634
2015-12-16 07:05:59+00:00,10.773899,106.688592
2015-12-16 07:06:02+00:00,10.773904,106.688538
2015-12-16 07:06:04+00:00,10.773908,106.688463
2015-12-16 07:06:05+00:00,10.773936,106.688397
2015-12-16 07:06:06+00:00,10.773944,106.688352
2015-12-16 07:06:08+00:00,10.773997,106.688286
2015-12-16 07:06:09+00:00,10.774023,106.688248
2015-12-16 07:06:12+00:00,10.774096,106.688235
2015-12-16 07:06:13+00:00,10.774123,106.688151
2015-12-16 07:06:15+00:00,10.774175,106.688082
2015-12-16 07:06:17+00:00,10.7743,106.687984
2015-12-16 07:06:18+00:00,10.774436,106.687883
2015-12-16 07:06:20+00:00,10.774498,106.687816
2015-12-16 07:06:29+00:00,10.774495,106.687761
