RawGPS
Time (UTC),Latitude,Longitude
2015-12-20 09:59:24.572000+00:00,46.884498,29.235467
2015-12-20 10:00:06.819000+00:00,46.881432,29.235782
2015-12-20 10:01:28.691000+00:00,46.881129,29.244718
2015-12-20 10:01:50.618000+00:00,46.881432,29.235782
2015-12-20 10:03:15.679000+00:00,46.882195,29.229498
2015-12-20 10:04:15.798000+00:00,46.885906,29.222125
2015-12-20 10:05:15.890000+00:00,46.882195,29.229498
2015-12-20 10:05:35.904000+00:00,46.887233,29.212629
2015-12-20 10:06:17.196000+00:00,46.882195,29.229498
2015-12-20 10:06:57.347000+00:00,46.89072,29.191829
2015-12-20 10:10:18.195000+00:00,46.890118,29.192802
2015-12-20 10:15:00.363000+00:00,46.900097,29.132104
2015-12-20 10:15:02.352000+00:00,46.900245,29.131594
2015-12-20 10:15:05+00:00,46.900349,29.131209
2015-12-20 10:15:06+00:00,46.900421,29.131045
2015-12-20 10:15:07+00:00,46.900484,29.130846
2015-12-20 10:15:08+00:00,46.900541,29.130651
2015-12-20 10:15:09+00:00,46.900592,29.130467
2015-12-20 10:15:10+00:00,46.900642,29.130259
2015-12-20 10:15:11+00:00,46.90067,29.130069
2015-12-20 10:15:12+00:00,46.900717,29.12989
2015-12-20 10:15:13+00:00,46.90076,29.129696
2015-12-20 10:15:14+00:00,46.900816,29.129512
2015-12-20 10:15:15+00:00,46.900864,29.129333
2015-12-20 10:15:16+00:00,46.900916,29.129146
2015-12-20 10:15:17+00:00,46.900985,29.128948
2015-12-20 10:15:18+00:00,46.901033,29.128763
2015-12-20 10:15:19+00:00,46.901082,29.128603
2015-12-20 10:15:20+00:00,46.901135,29.128455
2015-12-20 10:15:21+00:00,46.901184,29.128318
2015-12-20 10:15:22+00:00,46.901222,29.128178
2015-12-20 10:15:23+00:00,46.901264,29.128048
2015-12-20 10:15:24+00:00,46.901299,29.127925
2015-12-20 10:15:25+00:00,46.901328,29.127841
2015-12-20 10:15:26+00:00,46.901356,29.12775
2015-12-20 10:15:27+00:00,46.90138,29.127682
2015-12-20 10:15:41+00:00,46.901394,29.127618
2015-12-20 10:15:42+00:00,46.90143,29.127492
2015-12-20 10:15:43+00:00,46.901456,29.127422
2015-12-20 10:15:44+00:00,46.901484,29.127326
2015-12-20 10:15:45+00:00,46.901508,29.127235
2015-12-20 10:15:46+00:00,46.901517,29.127141
2015-12-20 10:15:47+00:00,46.90155,29.127055
2015-12-20 10:15:48+00:00,46.901578,29.126945
2015-12-20 10:15:49+00:00,46.901614,29.126808
2015-12-20 10:15:50+00:00,46.901665,29.126696
2015-12-20 10:15:51+00:00,46.901707,29.126566
2015-12-20 10:15:52+00:00,46.901741,29.126421
2015-12-20 10:15:53+00:00,46.901774,29.126281
2015-12-20 10:15:54+00:00,46.901819,29.126144
2015-12-20 10:15:55+00:00,46.90185,29.125999
2015-12-20 10:15:56+00:00,46.901905,29.12583
2015-12-20 10:15:57+00:00,46.901945,29.125649
2015-12-20 10:15:58+00:00,46.901985,29.125485
2015-12-20 10:15:59+00:00,46.902062,29.125316
2015-12-20 10:16:00+00:00,46.902095,29.125125
2015-12-20 10:16:01+00:00,46.902125,29.124944
2015-12-20 10:16:02+00:00,46.902172,29.124745
2015-12-20 10:16:03+00:00,46.902222,29.124578
2015-12-20 10:16:04+00:00,46.902281,29.124394
2015-12-20 10:16:05+00:00,46.902334,29.124183
2015-12-20 10:16:06+00:00,46.902385,29.123985
2015-12-20 10:16:07+00:00,46.902442,29.123806
2015-12-20 10:16:08+00:00,46.902496,29.123614
2015-12-20 10:16:09+00:00,46.902562,29.123375
2015-12-20 10:16:10+00:00,46.902621,29.123154
2015-12-20 10:16:11+00:00,46.902703,29.122971
2015-12-20 10:16:12+00:00,46.902766,29.122752
2015-12-20 10:16:13+00:00,46.902829,29.122539
2015-12-20 10:16:14+00:00,46.902888,29.122331
2015-12-20 10:16:15+00:00,46.902953,29.1221
2015-12-20 10:16:16+00:00,46.903021,29.121879
2015-12-20 10:16:17+00:00,46.903077,29.121651
2015-12-20 10:16:18+00:00,46.903146,29.121417
2015-12-20 10:16:19+00:00,46.903199,29.121197
2015-12-20 10:16:20+00:00,46.903259,29.120975
2015-12-20 10:16:21+00:00,46.903318,29.120761
2015-12-20 10:16:22+00:00,46.903387,29.120554
2015-12-20 10:16:23+00:00,46.903446,29.120323
2015-12-20 10:16:24+00:00,46.903514,29.120109
2015-12-20 10:16:25+00:00,46.903572,29.1199
2015-12-20 10:16:26+00:00,46.903628,29.119675
2015-12-20 10:16:27+00:00,46.903679,29.119448
2015-12-20 10:16:28+00:00,46.903753,29.119221
2015-12-20 10:16:29+00:00,46.903812,29.118994
2015-12-20 10:16:30+00:00,46.903855,29.118766
2015-12-20 10:16:31+00:00,46.903922,29.118552
2015-12-20 10:16:32+00:00,46.903979,29.118347
2015-12-20 10:16:33+00:00,46.90406,29.118158
2015-12-20 10:16:34+00:00,46.904127,29.117926
2015-12-20 10:16:35+00:00,46.904182,29.11769
2015-12-20 10:16:36+00:00,46.904247,29.117474
2015-12-20 10:16:37+00:00,46.904301,29.117243
2015-12-20 10:16:38+00:00,46.904386,29.117042
2015-12-20 10:16:39+00:00,46.904447,29.11682
2015-12-20 10:16:40+00:00,46.904509,29.116585
2015-12-20 10:16:41+00:00,46.904577,29.116363
2015-12-20 10:16:42+00:00,46.904645,29.116134
2015-12-20 10:16:43+00:00,46.904696,29.115889
2015-12-20 10:16:44+00:00,46.904756,29.11565
2015-12-20 10:16:45+00:00,46.904838,29.115426
2015-12-20 10:16:46+00:00,46.904893,29.115197
2015-12-20 10:16:47+00:00,46.904965,29.114978
2015-12-20 10:16:48+00:00,46.905028,29.114729
2015-12-20 10:16:49+00:00,46.905094,29.114492
2015-12-20 10:16:50+00:00,46.905139,29.11426
2015-12-20 10:16:51+00:00,46.905208,29.114011
2015-12-20 10:16:52+00:00,46.905275,29.113788
2015-12-20 10:16:53+00:00,46.905336,29.113568
2015-12-20 10:16:54+00:00,46.905407,29.113333
2015-12-20 10:16:55+00:00,46.905476,29.113119
2015-12-20 10:16:56+00:00,46.905538,29.112917
2015-12-20 10:16:57+00:00,46.905602,29.112676
2015-12-20 10:16:58+00:00,46.905677,29.112457
2015-12-20 10:16:59+00:00,46.905732,29.112226
2015-12-20 10:17:00+00:00,46.905793,29.111997
2015-12-20 10:17:01+00:00,46.905882,29.111772
2015-12-20 10:17:02+00:00,46.905964,29.111562
2015-12-20 10:17:03+00:00,46.906008,29.111338
2015-12-20 10:17:04+00:00,46.906073,29.111089
2015-12-20 10:17:05+00:00,46.906115,29.110858
2015-12-20 10:17:06+00:00,46.906189,29.110614
2015-12-20 10:17:08+00:00,46.906306,29.110162
2015-12-20 10:17:09+00:00,46.906365,29.109957
2015-12-20 10:17:10+00:00,46.906415,29.10975
2015-12-20 10:17:11+00:00,46.906462,29.109532
2015-12-20 10:17:12+00:00,46.906544,29.10927
2015-12-20 10:17:13+00:00,46.906611,29.109047
2015-12-20 10:17:14+00:00,46.906676,29.108837
2015-12-20 10:17:15+00:00,46.906747,29.108633
2015-12-20 10:17:16+00:00,46.906792,29.10842
2015-12-20 10:17:17+00:00,46.906848,29.108198
2015-12-20 10:17:18+00:00,46.906931,29.107952
2015-12-20 10:17:19+00:00,46.906976,29.107729
2015-12-20 10:17:20+00:00,46.907061,29.107524
2015-12-20 10:17:21+00:00,46.907116,29.107302
2015-12-20 10:17:22+00:00,46.90717,29.107099
2015-12-20 10:17:23+00:00,46.907233,29.106913
2015-12-20 10:17:24+00:00,46.907277,29.106719
2015-12-20 10:17:25+00:00,46.90733,29.10649
2015-12-20 10:17:26+00:00,46.907395,29.106268
2015-12-20 10:17:27+00:00,46.907449,29.106038
2015-12-20 10:17:28+00:00,46.907516,29.105824
2015-12-20 10:17:29+00:00,46.907589,29.105624
2015-12-20 10:17:30+00:00,46.907647,29.105421
2015-12-20 10:17:31+00:00,46.907711,29.105186
2015-12-20 10:17:32+00:00,46.907792,29.104942
2015-12-20 10:17:33+00:00,46.90785,29.104704
2015-12-20 10:17:34+00:00,46.90791,29.104489
2015-12-20 10:17:35+00:00,46.907973,29.104292
2015-12-20 10:17:36+00:00,46.908047,29.10409
2015-12-20 10:17:37+00:00,46.908109,29.103856
2015-12-20 10:17:38+00:00,46.908159,29.103629
2015-12-20 10:17:39+00:00,46.908227,29.103396
2015-12-20 10:17:40+00:00,46.908277,29.103189
2015-12-20 10:17:41+00:00,46.908332,29.102971
2015-12-20 10:17:42+00:00,46.908389,29.102752
2015-12-20 10:17:43+00:00,46.908449,29.102528
2015-12-20 10:17:44+00:00,46.908487,29.102326
2015-12-20 10:17:45+00:00,46.908552,29.102128
2015-12-20 10:17:46+00:00,46.908609,29.101907
2015-12-20 10:17:47+00:00,46.908666,29.101678
2015-12-20 10:17:48+00:00,46.908729,29.101463
2015-12-20 10:17:49+00:00,46.908803,29.101256
2015-12-20 10:17:50+00:00,46.908861,29.101033
2015-12-20 10:17:51+00:00,46.908901,29.100825
2015-12-20 10:17:52+00:00,46.908959,29.100619
2015-12-20 10:17:53+00:00,46.909018,29.100434
2015-12-20 10:17:54+00:00,46.909086,29.100187
2015-12-20 10:17:55+00:00,46.909132,29.099965
2015-12-20 10:17:56+00:00,46.909196,29.099761
2015-12-20 10:17:57+00:00,46.909253,29.099554
2015-12-20 10:17:58+00:00,46.909294,29.099345
2015-12-20 10:17:59+00:00,46.909348,29.099177
2015-12-20 10:18:00+00:00,46.909403,29.099012
2015-12-20 10:18:01+00:00,46.909494,29.098825
2015-12-20 10:18:02+00:00,46.909573,29.098631
2015-12-20 10:18:03+00:00,46.909617,29.098408
2015-12-20 10:18:04+00:00,46.909721,29.098195
2015-12-20 10:18:05+00:00,46.909762,29.097972
2015-12-20 10:18:06+00:00,46.909809,29.097786
2015-12-20 10:18:07+00:00,46.909833,29.097581
2015-12-20 10:18:08+00:00,46.909898,29.097431
2015-12-20 10:18:09+00:00,46.909932,29.097294
2015-12-20 10:18:10+00:00,46.909996,29.097143
2015-12-20 10:18:11+00:00,46.910049,29.096966
2015-12-20 10:18:12+00:00,46.910098,29.096828
2015-12-20 10:18:13+00:00,46.910147,29.096687
2015-12-20 10:18:14+00:00,46.910189,29.096532
2015-12-20 10:18:15+00:00,46.910235,29.096334
2015-12-20 10:18:16+00:00,46.9103,29.096127
2015-12-20 10:18:17+00:00,46.910321,29.095953
2015-12-20 10:18:18+00:00,46.910399,29.095789
2015-12-20 10:18:19+00:00,46.910411,29.095688
2015-12-20 10:18:20+00:00,46.910433,29.095604
2015-12-20 10:18:21+00:00,46.910415,29.095687
2015-12-20 10:18:22+00:00,46.910347,29.095781
2015-12-20 10:18:24+00:00,46.9103,29.095834
2015-12-20 10:18:27+00:00,46.910342,29.09579
2015-12-20 10:18:29+00:00,46.910367,29.095718
2015-12-20 10:18:31+00:00,46.910389,29.095655
2015-12-20 10:18:33+00:00,46.910427,29.095575
2015-12-20 10:18:34+00:00,46.910434,29.095504
2015-12-20 10:18:35+00:00,46.910437,29.095421
2015-12-20 10:18:36+00:00,46.910484,29.095217
2015-12-20 10:18:37+00:00,46.91054,29.095057
2015-12-20 10:18:38+00:00,46.910598,29.094934
2015-12-20 10:18:39+00:00,46.910627,29.094802
2015-12-20 10:18:40+00:00,46.910658,29.09464
2015-12-20 10:18:41+00:00,46.910706,29.094491
