RawGPS
Time (UTC),Latitude,Longitude
2016-01-21 14:40:29+00:00,51.58383659,-0.37368376
2016-01-21 14:40:31+00:00,51.58375323,-0.37360687
2016-01-21 14:40:33+00:00,51.58361627,-0.37361969
2016-01-21 14:40:35+00:00,51.58347377,-0.37357527
2016-01-21 14:40:37+00:00,51.58332942,-0.3735187
2016-01-21 14:40:39+00:00,51.58317841,-0.37345643
2016-01-21 14:40:41+00:00,51.58299212,-0.37334134
2016-01-21 14:40:43+00:00,51.58280632,-0.3731892
2016-01-21 14:40:45+00:00,51.58259885,-0.37301277
2016-01-21 14:40:47+00:00,51.58237122,-0.37285571
2016-01-21 14:40:49+00:00,51.58213784,-0.37270717
2016-01-21 14:40:51+00:00,51.5819138,-0.37257607
2016-01-21 14:40:53+00:00,51.58168434,-0.37245358
2016-01-21 14:40:55+00:00,51.581464,-0.37233231
2016-01-21 14:40:57+00:00,51.58124944,-0.3722165
2016-01-21 14:40:59+00:00,51.58104466,-0.37212116
2016-01-21 14:41:01+00:00,51.58082877,-0.37200872
2016-01-21 14:41:03+00:00,51.58061303,-0.37190687
2016-01-21 14:41:05+00:00,51.58039876,-0.37181901
2016-01-21 14:41:07+00:00,51.58017891,-0.37172338
2016-01-21 14:41:09+00:00,51.57997138,-0.37163922
2016-01-21 14:41:11+00:00,51.57975385,-0.37158074
2016-01-21 14:41:13+00:00,51.57953252,-0.37153411
2016-01-21 14:41:15+00:00,51.5793041,-0.37150986
2016-01-21 14:41:17+00:00,51.57906558,-0.37148962
2016-01-21 14:41:19+00:00,51.57883768,-0.37146754
2016-01-21 14:41:21+00:00,51.57861442,-0.37143937
2016-01-21 14:41:23+00:00,51.57838942,-0.37140992
2016-01-21 14:41:25+00:00,51.5781669,-0.37137827
2016-01-21 14:41:27+00:00,51.57796984,-0.37132564
2016-01-21 14:41:29+00:00,51.57778101,-0.37127065
2016-01-21 14:41:31+00:00,51.57761222,-0.37120901
2016-01-21 14:41:33+00:00,51.57750364,-0.37117045
2016-01-21 14:41:35+00:00,51.57747581,-0.37116138
2016-01-21 14:41:37+00:00,51.57748729,-0.37116411
2016-01-21 14:41:39+00:00,51.57749527,-0.37116939
2016-01-21 14:41:41+00:00,51.57750204,-0.3711708
2016-01-21 14:41:43+00:00,51.57750695,-0.37117097
2016-01-21 14:41:45+00:00,51.57750902,-0.37117151
2016-01-21 14:41:47+00:00,51.57751112,-0.37117237
2016-01-21 14:41:49+00:00,51.57751133,-0.37117234
2016-01-21 14:41:51+00:00,51.57751141,-0.37117227
2016-01-21 14:41:53+00:00,51.57751142,-0.37117229
2016-01-21 14:41:55+00:00,51.57751147,-0.37117233
2016-01-21 14:41:57+00:00,51.57751153,-0.37117227
2016-01-21 14:41:59+00:00,51.57751159,-0.37117222
2016-01-21 14:42:01+00:00,51.57751164,-0.37117217
2016-01-21 14:42:03+00:00,51.57751164,-0.37117205
2016-01-21 14:42:05+00:00,51.57751161,-0.37117194
2016-01-21 14:42:07+00:00,51.57751158,-0.37117183
2016-01-21 14:42:09+00:00,51.5775116,-0.37117175
2016-01-21 14:42:11+00:00,51.57751152,-0.37117161
2016-01-21 14:42:13+00:00,51.5775115,-0.37117154
2016-01-21 14:42:15+00:00,51.57751144,-0.37117141
2016-01-21 14:42:17+00:00,51.57751146,-0.37117135
2016-01-21 14:42:19+00:00,51.57751147,-0.37117131
2016-01-21 14:42:21+00:00,51.57751142,-0.3711712
2016-01-21 14:42:23+00:00,51.57751137,-0.37117117
2016-01-21 14:42:25+00:00,51.57751139,-0.37117109
2016-01-21 14:42:27+00:00,51.57751134,-0.37117098
2016-01-21 14:42:29+00:00,51.57751131,-0.37117086
2016-01-21 14:42:31+00:00,51.5775113,-0.37117075
2016-01-21 14:42:33+00:00,51.57751127,-0.37117066
2016-01-21 14:42:35+00:00,51.57751122,-0.37117059
2016-01-21 14:42:37+00:00,51.57751119,-0.37117054
2016-01-21 14:42:39+00:00,51.57751112,-0.37117047
2016-01-21 14:42:41+00:00,51.57751107,-0.37117046
2016-01-21 14:42:43+00:00,51.57751102,-0.37117039
2016-01-21 14:42:45+00:00,51.57751101,-0.37117037
2016-01-21 14:42:47+00:00,51.57751098,-0.37117029
2016-01-21 14:42:49+00:00,51.57751096,-0.37117024
2016-01-21 14:42:51+00:00,51.57751088,-0.37117012
2016-01-21 14:42:53+00:00,51.57751082,-0.37117009
2016-01-21 14:42:55+00:00,51.57751079,-0.37117005
2016-01-21 14:42:57+00:00,51.57751076,-0.37117004
2016-01-21 14:42:59+00:00,51.57747583,-0.37115921
2016-01-21 14:43:01+00:00,51.57742962,-0.37115155
2016-01-21 14:43:03+00:00,51.57741818,-0.37114324
2016-01-21 14:43:05+00:00,51.57741672,-0.37114549
2016-01-21 14:43:07+00:00,51.57741508,-0.37114376
2016-01-21 14:43:09+00:00,51.57741501,-0.37114306
2016-01-21 14:43:11+00:00,51.577418,-0.37114135
2016-01-21 14:43:13+00:00,51.57741778,-0.37114025
2016-01-21 14:43:15+00:00,51.57741775,-0.37114011
2016-01-21 14:43:17+00:00,51.57741771,-0.37114007
2016-01-21 14:43:19+00:00,51.57741763,-0.37114002
2016-01-21 14:43:21+00:00,51.57741761,-0.37114001
2016-01-21 14:43:23+00:00,51.57741755,-0.37113996
2016-01-21 14:43:25+00:00,51.57741748,-0.37113992
2016-01-21 14:43:27+00:00,51.5774174,-0.37113986
2016-01-21 14:43:29+00:00,51.57741737,-0.37113981
2016-01-21 14:43:31+00:00,51.57741728,-0.37113975
2016-01-21 14:43:33+00:00,51.57741723,-0.37113974
2016-01-21 14:43:35+00:00,51.57741717,-0.37113969
2016-01-21 14:43:37+00:00,51.5774103,-0.37113453
2016-01-21 14:43:39+00:00,51.57740326,-0.37113304
2016-01-21 14:43:41+00:00,51.5774025,-0.37113846
2016-01-21 14:43:43+00:00,51.57740005,-0.37113977
2016-01-21 14:43:45+00:00,51.57740023,-0.37113802
2016-01-21 14:43:47+00:00,51.57740068,-0.37113686
2016-01-21 14:43:49+00:00,51.57740146,-0.37113613
2016-01-21 14:43:51+00:00,51.57740161,-0.37113529
2016-01-21 14:43:53+00:00,51.5774017,-0.37113527
2016-01-21 14:43:55+00:00,51.57740163,-0.37113521
2016-01-21 14:43:57+00:00,51.57740156,-0.37113518
2016-01-21 14:43:59+00:00,51.57740155,-0.37113517
2016-01-21 14:44:00+00:00,51.57740155,-0.37113519
2016-01-21 14:44:01+00:00,51.5774015,-0.3711352
2016-01-21 14:44:02+00:00,51.57740148,-0.37113523
2016-01-21 14:44:03+00:00,51.5773957,-0.37113297
2016-01-21 14:44:04+00:00,51.57739048,-0.37113201
2016-01-21 14:44:05+00:00,51.5773869,-0.37112971
2016-01-21 14:44:06+00:00,51.57738331,-0.37112789
2016-01-21 14:44:07+00:00,51.57738394,-0.37112545
2016-01-21 14:44:08+00:00,51.57738604,-0.37112381
2016-01-21 14:44:09+00:00,51.57738661,-0.37112303
2016-01-21 14:44:10+00:00,51.57738495,-0.37112012
2016-01-21 14:44:11+00:00,51.57738556,-0.37111895
2016-01-21 14:44:12+00:00,51.57738756,-0.37111765
2016-01-21 14:44:13+00:00,51.57738556,-0.37111996
2016-01-21 14:44:14+00:00,51.57738866,-0.37112233
2016-01-21 14:44:15+00:00,51.57738917,-0.37112042
2016-01-21 14:44:16+00:00,51.57738995,-0.3711198
2016-01-21 14:44:17+00:00,51.5773906,-0.3711195
2016-01-21 14:44:18+00:00,51.57739089,-0.37112135
2016-01-21 14:44:19+00:00,51.57739192,-0.37112179
2016-01-21 14:44:20+00:00,51.57739169,-0.37112063
2016-01-21 14:44:21+00:00,51.57739168,-0.37112062
2016-01-21 14:44:22+00:00,51.57739181,-0.37112033
2016-01-21 14:44:23+00:00,51.57739188,-0.37112033
2016-01-21 14:44:24+00:00,51.57739188,-0.37112033
2016-01-21 14:44:25+00:00,51.57739185,-0.37112034
2016-01-21 14:44:26+00:00,51.57739184,-0.37112035
2016-01-21 14:44:27+00:00,51.57739184,-0.37112035
2016-01-21 14:44:28+00:00,51.57739185,-0.37112035
2016-01-21 14:44:29+00:00,51.57739184,-0.37112035
2016-01-21 14:44:31+00:00,51.57739183,-0.37112037
2016-01-21 14:44:33+00:00,51.57739185,-0.3711204
2016-01-21 14:44:35+00:00,51.57739189,-0.37112044
2016-01-21 14:44:37+00:00,51.57739189,-0.37112044
2016-01-21 14:44:39+00:00,51.57739192,-0.37112043
2016-01-21 14:44:41+00:00,51.57739223,-0.37112095
2016-01-21 14:44:43+00:00,51.57739226,-0.37112095
2016-01-21 14:44:45+00:00,51.57735006,-0.37108051
2016-01-21 14:44:47+00:00,51.57730918,-0.37096839
2016-01-21 14:44:49+00:00,51.57729704,-0.37079016
2016-01-21 14:44:51+00:00,51.57734476,-0.37057245
2016-01-21 14:44:53+00:00,51.57738852,-0.37032604
2016-01-21 14:44:55+00:00,51.57743687,-0.37009663
2016-01-21 14:44:57+00:00,51.57747177,-0.36990492
2016-01-21 14:44:59+00:00,51.57750076,-0.36969921
2016-01-21 14:45:01+00:00,51.57752312,-0.36954632
2016-01-21 14:45:03+00:00,51.57754537,-0.36947699
2016-01-21 14:45:05+00:00,51.57754608,-0.36947225
2016-01-21 14:45:07+00:00,51.57753351,-0.36947308
2016-01-21 14:45:09+00:00,51.57752311,-0.36947425
2016-01-21 14:45:11+00:00,51.57751341,-0.3694813
2016-01-21 14:45:13+00:00,51.57750919,-0.36948795
2016-01-21 14:45:15+00:00,51.57751316,-0.36944654
2016-01-21 14:45:17+00:00,51.57753183,-0.36934793
2016-01-21 14:45:19+00:00,51.57754243,-0.36923374
2016-01-21 14:45:21+00:00,51.57752815,-0.36907424
2016-01-21 14:45:23+00:00,51.57747508,-0.36891747
2016-01-21 14:45:25+00:00,51.57739219,-0.3688315
2016-01-21 14:45:27+00:00,51.57729477,-0.36886421
2016-01-21 14:45:29+00:00,51.57719972,-0.36895657
2016-01-21 14:45:31+00:00,51.57707959,-0.36907227
2016-01-21 14:45:33+00:00,51.57694158,-0.36919719
2016-01-21 14:45:35+00:00,51.57680091,-0.36931905
2016-01-21 14:45:37+00:00,51.57664552,-0.36945757
2016-01-21 14:45:39+00:00,51.57648934,-0.36960691
2016-01-21 14:45:41+00:00,51.57633517,-0.36974682
2016-01-21 14:45:43+00:00,51.57617346,-0.36990476
2016-01-21 14:45:45+00:00,51.57599127,-0.37004294
2016-01-21 14:45:47+00:00,51.57583804,-0.37014993
2016-01-21 14:45:49+00:00,51.57572009,-0.37023306
2016-01-21 14:45:51+00:00,51.5756371,-0.37026573
2016-01-21 14:45:53+00:00,51.57559854,-0.37029759
2016-01-21 14:45:55+00:00,51.57559221,-0.37028872
2016-01-21 14:45:57+00:00,51.57559528,-0.37028339
2016-01-21 14:45:59+00:00,51.57560109,-0.37029148
2016-01-21 14:46:01+00:00,51.57560787,-0.37030372
2016-01-21 14:46:03+00:00,51.57561173,-0.37031164
2016-01-21 14:46:05+00:00,51.57561087,-0.37031731
2016-01-21 14:46:07+00:00,51.57561526,-0.37031756
2016-01-21 14:46:09+00:00,51.57560568,-0.37032356
2016-01-21 14:46:11+00:00,51.57555938,-0.37033373
2016-01-21 14:46:13+00:00,51.5754857,-0.370367
2016-01-21 14:46:15+00:00,51.57538941,-0.37041465
2016-01-21 14:46:17+00:00,51.57526161,-0.37046982
2016-01-21 14:46:19+00:00,51.57510717,-0.37054362
2016-01-21 14:46:21+00:00,51.57494374,-0.37059589
2016-01-21 14:46:23+00:00,51.57479138,-0.37068666
2016-01-21 14:46:25+00:00,51.5746732,-0.37074274
2016-01-21 14:46:27+00:00,51.57454573,-0.37079997
2016-01-21 14:46:29+00:00,51.57443315,-0.37086693
2016-01-21 14:46:31+00:00,51.57431367,-0.37092289
2016-01-21 14:46:33+00:00,51.57420046,-0.37097577
2016-01-21 14:46:35+00:00,51.57408568,-0.37102107
2016-01-21 14:46:37+00:00,51.57397292,-0.3710622
2016-01-21 14:46:39+00:00,51.57384134,-0.37110071
2016-01-21 14:46:41+00:00,51.57368237,-0.37115043
2016-01-21 14:46:43+00:00,51.57350471,-0.37120893
2016-01-21 14:46:45+00:00,51.57333319,-0.3712236
2016-01-21 14:46:47+00:00,51.57317281,-0.37123704
2016-01-21 14:46:49+00:00,51.57302072,-0.37126501
2016-01-21 14:46:51+00:00,51.5728767,-0.37127739
2016-01-21 14:46:53+00:00,51.57273513,-0.37126599
2016-01-21 14:46:55+00:00,51.57262632,-0.371251
2016-01-21 14:46:57+00:00,51.57253697,-0.37125805
2016-01-21 14:46:59+00:00,51.57238843,-0.37123705
2016-01-21 14:47:01+00:00,51.57218639,-0.37121578
2016-01-21 14:47:03+00:00,51.57196916,-0.37118013
2016-01-21 14:47:05+00:00,51.57174908,-0.37111818
2016-01-21 14:47:07+00:00,51.571524,-0.37104917
2016-01-21 14:47:09+00:00,51.57128227,-0.37096849
2016-01-21 14:47:11+00:00,51.57105657,-0.37087382
2016-01-21 14:47:13+00:00,51.57082879,-0.37078083
2016-01-21 14:47:15+00:00,51.57059923,-0.37064887
2016-01-21 14:47:17+00:00,51.57037598,-0.37051729
2016-01-21 14:47:19+00:00,51.57015331,-0.37035517
2016-01-21 14:47:21+00:00,51.56993551,-0.37019545
2016-01-21 14:47:23+00:00,51.56972455,-0.37003481
2016-01-21 14:47:25+00:00,51.56952328,-0.36987972
2016-01-21 14:47:27+00:00,51.56932564,-0.36971888
2016-01-21 14:47:29+00:00,51.56912342,-0.36955606
2016-01-21 14:47:31+00:00,51.56892564,-0.36939536
2016-01-21 14:47:33+00:00,51.56873309,-0.36925404
2016-01-21 14:47:35+00:00,51.5685446,-0.36910921
2016-01-21 14:47:37+00:00,51.56835054,-0.36895592
2016-01-21 14:47:39+00:00,51.5681504,-0.36880338
2016-01-21 14:47:41+00:00,51.56795047,-0.3686588
2016-01-21 14:47:43+00:00,51.56775439,-0.36851122
2016-01-21 14:47:45+00:00,51.56755058,-0.36836481
2016-01-21 14:47:47+00:00,51.56736311,-0.36821317
2016-01-21 14:47:49+00:00,51.56718281,-0.36806816
2016-01-21 14:47:51+00:00,51.56701926,-0.36793934
2016-01-21 14:47:53+00:00,51.56687403,-0.36782916
2016-01-21 14:47:55+00:00,51.56673883,-0.36771989
2016-01-21 14:47:57+00:00,51.56662284,-0.36763377
2016-01-21 14:47:59+00:00,51.56652499,-0.36756337
2016-01-21 14:48:01+00:00,51.56640887,-0.36745939
2016-01-21 14:48:03+00:00,51.56627263,-0.36734969
2016-01-21 14:48:05+00:00,51.56612757,-0.36721124
2016-01-21 14:48:07+00:00,51.56599162,-0.36709768
2016-01-21 14:48:09+00:00,51.56587749,-0.36700849
2016-01-21 14:48:11+00:00,51.56578194,-0.36696078
2016-01-21 14:48:13+00:00,51.56567848,-0.36688527
2016-01-21 14:48:15+00:00,51.56556454,-0.36679704
2016-01-21 14:48:17+00:00,51.56546278,-0.36672309
2016-01-21 14:48:19+00:00,51.56539521,-0.36665074
2016-01-21 14:48:21+00:00,51.56532657,-0.36658133
2016-01-21 14:48:23+00:00,51.56524755,-0.36651844
2016-01-21 14:48:25+00:00,51.56515113,-0.36645539
2016-01-21 14:48:27+00:00,51.56503123,-0.36637713
2016-01-21 14:48:29+00:00,51.56490663,-0.36626045
2016-01-21 14:48:31+00:00,51.56478334,-0.36613508
2016-01-21 14:48:33+00:00,51.56467569,-0.36605018
2016-01-21 14:48:35+00:00,51.56460298,-0.36598911
2016-01-21 14:48:37+00:00,51.56455115,-0.36595462
2016-01-21 14:48:39+00:00,51.56452423,-0.36591939
2016-01-21 14:48:41+00:00,51.56451048,-0.36590458
2016-01-21 14:48:43+00:00,51.56451074,-0.36588919
2016-01-21 14:48:45+00:00,51.56450648,-0.36588495
2016-01-21 14:48:47+00:00,51.56450331,-0.36587562
2016-01-21 14:48:49+00:00,51.56450318,-0.36586768
2016-01-21 14:48:51+00:00,51.56451,-0.36586434
2016-01-21 14:48:53+00:00,51.5645092,-0.36586291
2016-01-21 14:48:55+00:00,51.56451038,-0.36586205
2016-01-21 14:48:57+00:00,51.56451178,-0.36585963
2016-01-21 14:48:59+00:00,51.56451229,-0.36585841
2016-01-21 14:49:01+00:00,51.56451228,-0.36585827
2016-01-21 14:49:03+00:00,51.56451224,-0.36585819
2016-01-21 14:49:05+00:00,51.56451225,-0.36585794
2016-01-21 14:49:07+00:00,51.56451212,-0.36585769
2016-01-21 14:49:09+00:00,51.56451205,-0.36585761
2016-01-21 14:49:11+00:00,51.56451198,-0.36585745
2016-01-21 14:49:13+00:00,51.56451183,-0.36585635
2016-01-21 14:49:15+00:00,51.56451108,-0.36584958
2016-01-21 14:49:17+00:00,51.56446198,-0.36580968
2016-01-21 14:49:19+00:00,51.56438186,-0.36574761
2016-01-21 14:49:21+00:00,51.56428929,-0.36567768
2016-01-21 14:49:23+00:00,51.56419059,-0.36559574
2016-01-21 14:49:25+00:00,51.56408569,-0.36550907
2016-01-21 14:49:27+00:00,51.56394077,-0.3654035
2016-01-21 14:49:29+00:00,51.56376125,-0.36527795
2016-01-21 14:49:31+00:00,51.56356131,-0.36514217
2016-01-21 14:49:33+00:00,51.56334062,-0.36500617
2016-01-21 14:49:35+00:00,51.56311669,-0.36488638
2016-01-21 14:49:37+00:00,51.56288294,-0.36480389
2016-01-21 14:49:39+00:00,51.56264316,-0.36473653
2016-01-21 14:49:41+00:00,51.56242995,-0.36471353
2016-01-21 14:49:43+00:00,51.56219829,-0.36474343
2016-01-21 14:49:45+00:00,51.56197003,-0.36478229
2016-01-21 14:49:47+00:00,51.56174301,-0.36483988
2016-01-21 14:49:49+00:00,51.56151625,-0.36492167
2016-01-21 14:49:51+00:00,51.56128979,-0.36503113
2016-01-21 14:49:53+00:00,51.56106351,-0.36512146
2016-01-21 14:49:55+00:00,51.56083408,-0.36517865
2016-01-21 14:49:57+00:00,51.56059313,-0.36520696
2016-01-21 14:49:59+00:00,51.56034687,-0.36515661
2016-01-21 14:50:01+00:00,51.56011939,-0.36508687
2016-01-21 14:50:03+00:00,51.55989561,-0.36498225
2016-01-21 14:50:05+00:00,51.55967671,-0.36484095
2016-01-21 14:50:07+00:00,51.55946508,-0.36463839
2016-01-21 14:50:09+00:00,51.55927134,-0.36439533
2016-01-21 14:50:11+00:00,51.55907655,-0.36411502
2016-01-21 14:50:13+00:00,51.55890604,-0.36383462
2016-01-21 14:50:15+00:00,51.55874487,-0.36355131
2016-01-21 14:50:17+00:00,51.55857913,-0.36329746
2016-01-21 14:50:19+00:00,51.55839404,-0.36306571
2016-01-21 14:50:21+00:00,51.5582051,-0.36285758
2016-01-21 14:50:23+00:00,51.55803752,-0.36270034
2016-01-21 14:50:25+00:00,51.55790164,-0.36260063
2016-01-21 14:50:27+00:00,51.55780757,-0.36252451
2016-01-21 14:50:29+00:00,51.55775696,-0.36247437
2016-01-21 14:50:31+00:00,51.55769474,-0.36240478
2016-01-21 14:50:33+00:00,51.55762032,-0.36231373
2016-01-21 14:50:35+00:00,51.55759078,-0.36223861
2016-01-21 14:50:37+00:00,51.55759195,-0.36222961
2016-01-21 14:50:39+00:00,51.55760131,-0.36222061
2016-01-21 14:50:41+00:00,51.55760596,-0.36222008
2016-01-21 14:50:43+00:00,51.55760901,-0.36222328
2016-01-21 14:50:45+00:00,51.55761373,-0.36222825
2016-01-21 14:50:47+00:00,51.55761503,-0.36222685
2016-01-21 14:50:49+00:00,51.5576153,-0.36222705
2016-01-21 14:50:51+00:00,51.5576154,-0.36222697
2016-01-21 14:50:53+00:00,51.55760888,-0.36222065
2016-01-21 14:50:55+00:00,51.55759097,-0.36214968
2016-01-21 14:50:57+00:00,51.55760519,-0.36201188
2016-01-21 14:50:59+00:00,51.55767171,-0.36182092
2016-01-21 14:51:01+00:00,51.55781048,-0.36161368
2016-01-21 14:51:03+00:00,51.55796679,-0.36141862
2016-01-21 14:51:05+00:00,51.55812042,-0.36122361
2016-01-21 14:51:07+00:00,51.55825943,-0.36105656
2016-01-21 14:51:09+00:00,51.55835245,-0.36094392
2016-01-21 14:51:11+00:00,51.55839309,-0.36088927
2016-01-21 14:51:13+00:00,51.5584086,-0.36086375
2016-01-21 14:51:15+00:00,51.55840528,-0.3608619
2016-01-21 14:51:17+00:00,51.55841459,-0.36085095
2016-01-21 14:51:19+00:00,51.55849396,-0.36076231
2016-01-21 14:51:21+00:00,51.55858688,-0.36063084
2016-01-21 14:51:23+00:00,51.55870572,-0.36043848
2016-01-21 14:51:25+00:00,51.5588671,-0.36022711
2016-01-21 14:51:27+00:00,51.55904791,-0.35999126
2016-01-21 14:51:29+00:00,51.55924473,-0.35975214
2016-01-21 14:51:31+00:00,51.55944738,-0.35953135
2016-01-21 14:51:33+00:00,51.55964441,-0.35932027
2016-01-21 14:51:35+00:00,51.55983452,-0.35912635
2016-01-21 14:51:37+00:00,51.56000217,-0.35894286
2016-01-21 14:51:39+00:00,51.56015895,-0.35877941
2016-01-21 14:51:41+00:00,51.56032911,-0.3585927
2016-01-21 14:51:43+00:00,51.56051241,-0.35839682
2016-01-21 14:51:45+00:00,51.56069553,-0.35818606
2016-01-21 14:51:47+00:00,51.56087461,-0.35799736
2016-01-21 14:51:49+00:00,51.5610358,-0.35781822
2016-01-21 14:51:51+00:00,51.56117645,-0.35765054
2016-01-21 14:51:53+00:00,51.5613168,-0.35749418
2016-01-21 14:51:55+00:00,51.56144075,-0.35734416
2016-01-21 14:51:57+00:00,51.56156006,-0.35719922
2016-01-21 14:51:59+00:00,51.56166258,-0.3570814
2016-01-21 14:52:01+00:00,51.56173973,-0.35699499
2016-01-21 14:52:03+00:00,51.56178946,-0.35694178
2016-01-21 14:52:05+00:00,51.56182474,-0.35690558
2016-01-21 14:52:07+00:00,51.56188601,-0.35684218
2016-01-21 14:52:09+00:00,51.56197493,-0.35675926
2016-01-21 14:52:11+00:00,51.56207398,-0.35664583
2016-01-21 14:52:13+00:00,51.56218861,-0.35653144
2016-01-21 14:52:15+00:00,51.5622844,-0.35641429
2016-01-21 14:52:17+00:00,51.56238438,-0.35630522
2016-01-21 14:52:19+00:00,51.56245368,-0.35620547
2016-01-21 14:52:21+00:00,51.56251774,-0.35611147
2016-01-21 14:52:23+00:00,51.56258305,-0.35603527
2016-01-21 14:52:25+00:00,51.56263497,-0.35596933
2016-01-21 14:52:27+00:00,51.56267014,-0.35591884
2016-01-21 14:52:29+00:00,51.56268627,-0.35591401
2016-01-21 14:52:31+00:00,51.56269405,-0.35590251
2016-01-21 14:52:33+00:00,51.56274825,-0.35585581
2016-01-21 14:52:35+00:00,51.56284143,-0.35577622
2016-01-21 14:52:37+00:00,51.5629584,-0.35566091
2016-01-21 14:52:39+00:00,51.56307424,-0.35552018
2016-01-21 14:52:41+00:00,51.56316505,-0.3554251
2016-01-21 14:52:43+00:00,51.56322271,-0.35537527
2016-01-21 14:52:45+00:00,51.5632582,-0.35533841
2016-01-21 14:52:47+00:00,51.5633164,-0.35526809
2016-01-21 14:52:49+00:00,51.56339223,-0.35518591
2016-01-21 14:52:51+00:00,51.56344609,-0.35509626
2016-01-21 14:52:53+00:00,51.56349172,-0.35501267
2016-01-21 14:52:55+00:00,51.56356006,-0.35495274
2016-01-21 14:52:57+00:00,51.56363923,-0.35486863
2016-01-21 14:52:59+00:00,51.56372739,-0.35477177
2016-01-21 14:53:01+00:00,51.56380139,-0.35465855
2016-01-21 14:53:03+00:00,51.5638696,-0.3545621
2016-01-21 14:53:05+00:00,51.56392937,-0.35449278
2016-01-21 14:53:07+00:00,51.56397225,-0.3544416
2016-01-21 14:53:09+00:00,51.56399217,-0.35441573
2016-01-21 14:53:11+00:00,51.56399185,-0.35441796
2016-01-21 14:53:13+00:00,51.56399041,-0.35441744
2016-01-21 14:53:15+00:00,51.56397499,-0.35441861
2016-01-21 14:53:17+00:00,51.5639725,-0.35441958
2016-01-21 14:53:19+00:00,51.56397341,-0.35442036
2016-01-21 14:53:21+00:00,51.56396836,-0.35441979
2016-01-21 14:53:23+00:00,51.56398278,-0.35440518
2016-01-21 14:53:25+00:00,51.56403421,-0.35433987
2016-01-21 14:53:27+00:00,51.56410709,-0.3542594
2016-01-21 14:53:29+00:00,51.5641953,-0.35417133
2016-01-21 14:53:31+00:00,51.56428146,-0.35406571
2016-01-21 14:53:33+00:00,51.56435558,-0.35390137
2016-01-21 14:53:35+00:00,51.56443242,-0.35374247
2016-01-21 14:53:37+00:00,51.5645396,-0.35354775
2016-01-21 14:53:39+00:00,51.56464158,-0.35334227
2016-01-21 14:53:41+00:00,51.56475149,-0.35311095
2016-01-21 14:53:43+00:00,51.5648541,-0.35287157
2016-01-21 14:53:45+00:00,51.56497575,-0.35264791
2016-01-21 14:53:47+00:00,51.56512203,-0.35245763
2016-01-21 14:53:49+00:00,51.56525752,-0.35229329
2016-01-21 14:53:51+00:00,51.56540273,-0.35211404
2016-01-21 14:53:53+00:00,51.56558536,-0.35189597
2016-01-21 14:53:55+00:00,51.56576946,-0.35165822
2016-01-21 14:53:57+00:00,51.5659493,-0.35142733
2016-01-21 14:53:59+00:00,51.56612448,-0.35119208
2016-01-21 14:54:01+00:00,51.5663064,-0.35098405
2016-01-21 14:54:03+00:00,51.5664909,-0.35076496
2016-01-21 14:54:05+00:00,51.56665249,-0.35053008
2016-01-21 14:54:07+00:00,51.56679461,-0.35033425
