RawGPS
Time (UTC),Latitude,Longitude
2015-12-20 17:23:14.203000+00:00,47.006187,28.864294
2015-12-20 17:23:35.067000+00:00,47.001899,28.86065
2015-12-20 17:23:48.998000+00:00,46.996805,28.864921
2015-12-20 17:23:55.070000+00:00,46.998532,28.865682
2015-12-20 17:23:57.002000+00:00,46.996197,28.865053
2015-12-20 17:24:02.002000+00:00,46.996313,28.865056
2015-12-20 17:24:03.002000+00:00,46.996172,28.865164
2015-12-20 17:24:06.003000+00:00,46.996079,28.865371
2015-12-20 17:24:41.996000+00:00,46.993691,28.867851
2015-12-20 17:24:43.996000+00:00,46.993904,28.867547
2015-12-20 17:24:45.996000+00:00,46.994038,28.867453
2015-12-20 17:24:47.996000+00:00,46.994104,28.867518
2015-12-20 17:24:48.996000+00:00,46.993924,28.867458
2015-12-20 17:24:49.996000+00:00,46.99414,28.867732
2015-12-20 17:24:50.996000+00:00,46.994067,28.867682
2015-12-20 17:24:51.997000+00:00,46.993822,28.867462
2015-12-20 17:24:53.002000+00:00,46.993879,28.867376
2015-12-20 17:24:54.997000+00:00,46.994024,28.86752
2015-12-20 17:24:56.997000+00:00,46.993798,28.867716
2015-12-20 17:24:58.987000+00:00,46.993735,28.867926
2015-12-20 17:24:59.988000+00:00,46.993829,28.867883
2015-12-20 17:25:05+00:00,46.993887,28.867925
2015-12-20 17:25:09+00:00,46.993936,28.867902
