RawGPS
Time (UTC),Latitude,Longitude
2015-12-29 10:54:58+00:00,10.82369823,106.75960068
2015-12-29 10:54:59+00:00,10.82374292,106.75957862
2015-12-29 10:55:00+00:00,10.82380099,106.75957468
2015-12-29 10:55:03+00:00,10.8238481,106.75962909
2015-12-29 10:55:04+00:00,10.82393343,106.75964334
2015-12-29 10:55:05+00:00,10.82409954,106.75959517
2015-12-29 10:55:06+00:00,10.82415061,106.75963515
2015-12-29 10:55:07+00:00,10.82418475,106.75970517
2015-12-29 10:55:08+00:00,10.82425309,106.75972009
2015-12-29 10:55:09+00:00,10.82430383,106.75975191
2015-12-29 10:55:10+00:00,10.82434383,106.75980069
2015-12-29 10:55:11+00:00,10.82439444,106.7598549
2015-12-29 10:55:12+00:00,10.82444715,106.75988685
2015-12-29 10:55:13+00:00,10.82450732,106.75993336
2015-12-29 10:55:14+00:00,10.82457893,106.75996499
2015-12-29 10:55:15+00:00,10.82464782,106.76001231
2015-12-29 10:55:16+00:00,10.82471736,106.76004334
2015-12-29 10:55:17+00:00,10.82478445,106.76008516
2015-12-29 10:55:18+00:00,10.82484535,106.76012563
2015-12-29 10:55:19+00:00,10.82490474,106.76016682
2015-12-29 10:55:20+00:00,10.82497107,106.76020925
2015-12-29 10:55:21+00:00,10.82502088,106.76023891
2015-12-29 10:55:22+00:00,10.82507538,106.76025743
2015-12-29 10:55:23+00:00,10.82513523,106.76029692
2015-12-29 10:55:24+00:00,10.82519492,106.76034237
2015-12-29 10:55:25+00:00,10.82524314,106.76038701
2015-12-29 10:55:26+00:00,10.82530347,106.76041892
2015-12-29 10:55:28+00:00,10.82540739,106.76045252
2015-12-29 10:55:30+00:00,10.82547373,106.76050571
