RawGPS
Time (UTC),Latitude,Longitude
2015-12-29 11:23:39+00:00,10.84978059,106.78956089
2015-12-29 11:24:06+00:00,10.85052818,106.78954321
2015-12-29 11:24:07+00:00,10.85048358,106.78956936
2015-12-29 11:24:09+00:00,10.85045451,106.78960736
2015-12-29 11:24:22+00:00,10.85043728,106.78956117
2015-12-29 11:24:33+00:00,10.85043145,106.78950999
2015-12-29 11:24:35+00:00,10.85042369,106.78945836
2015-12-29 11:24:37+00:00,10.85040864,106.78938464
2015-12-29 11:24:38+00:00,10.85039118,106.78933133
2015-12-29 11:24:40+00:00,10.85039341,106.78924634
2015-12-29 11:24:42+00:00,10.8504127,106.78916208
2015-12-29 11:24:43+00:00,10.85041855,106.78911252
2015-12-29 11:24:45+00:00,10.850399,106.78904861
2015-12-29 11:24:47+00:00,10.85034179,106.78898336
2015-12-29 11:24:48+00:00,10.85030485,106.78895418
2015-12-29 11:24:49+00:00,10.8502609,106.78892452
2015-12-29 11:24:50+00:00,10.85020877,106.78890498
2015-12-29 11:24:52+00:00,10.85012119,106.78886524
2015-12-29 11:24:53+00:00,10.85007689,106.78884282
2015-12-29 11:24:54+00:00,10.85002692,106.78882026
2015-12-29 11:24:55+00:00,10.84997341,106.78878624
2015-12-29 11:24:56+00:00,10.84993179,106.78875762
2015-12-29 11:24:57+00:00,10.84988825,106.78872585
2015-12-29 11:24:58+00:00,10.84986312,106.78866424
2015-12-29 11:24:59+00:00,10.84983883,106.78862113
2015-12-29 11:25:00+00:00,10.84982849,106.78857146
2015-12-29 11:25:01+00:00,10.84985612,106.78850185
2015-12-29 11:25:02+00:00,10.84987765,106.7884355
2015-12-29 11:25:03+00:00,10.8498959,106.7883845
2015-12-29 11:25:04+00:00,10.84990714,106.78832155
2015-12-29 11:25:05+00:00,10.84992162,106.78826232
2015-12-29 11:25:06+00:00,10.84993411,106.78820207
2015-12-29 11:25:07+00:00,10.84994906,106.78813564
2015-12-29 11:25:08+00:00,10.84996604,106.78807818
2015-12-29 11:25:09+00:00,10.84997626,106.78802805
2015-12-29 11:25:10+00:00,10.8499857,106.78798232
2015-12-29 11:25:12+00:00,10.85000328,106.78791462
2015-12-29 11:25:14+00:00,10.8500228,106.78782221
2015-12-29 11:25:16+00:00,10.85003101,106.78775618
2015-12-29 11:25:19+00:00,10.85002419,106.7876989
2015-12-29 11:25:24+00:00,10.84998952,106.78766411
2015-12-29 11:25:26+00:00,10.84993489,106.78762556
2015-12-29 11:25:28+00:00,10.8498474,106.78759383
2015-12-29 11:25:29+00:00,10.84979449,106.78758113
2015-12-29 11:25:30+00:00,10.84974012,106.78756661
2015-12-29 11:25:31+00:00,10.84968636,106.78754419
2015-12-29 11:25:32+00:00,10.84962625,106.78752279
2015-12-29 11:25:33+00:00,10.84955599,106.78750299
2015-12-29 11:25:34+00:00,10.8494867,106.78749183
2015-12-29 11:25:35+00:00,10.84940779,106.78748324
2015-12-29 11:25:36+00:00,10.8493561,106.78746118
2015-12-29 11:25:37+00:00,10.84928061,106.78744668
2015-12-29 11:25:38+00:00,10.84921464,106.78743313
2015-12-29 11:25:39+00:00,10.84915588,106.78739967
2015-12-29 11:25:40+00:00,10.84908267,106.7873881
2015-12-29 11:25:41+00:00,10.84902008,106.7873686
2015-12-29 11:25:42+00:00,10.84895339,106.78735368
2015-12-29 11:25:43+00:00,10.84889179,106.78734661
2015-12-29 11:25:44+00:00,10.84882444,106.78733958
2015-12-29 11:25:45+00:00,10.84874422,106.78732396
2015-12-29 11:25:46+00:00,10.84866792,106.78729384
2015-12-29 11:25:47+00:00,10.8486119,106.787277
2015-12-29 11:25:48+00:00,10.84855959,106.78727638
2015-12-29 11:25:49+00:00,10.84849588,106.78725847
2015-12-29 11:25:50+00:00,10.84843815,106.78724257
2015-12-29 11:25:51+00:00,10.84837909,106.78723511
2015-12-29 11:25:52+00:00,10.84832233,106.78723602
2015-12-29 11:25:53+00:00,10.84825525,106.78722448
2015-12-29 11:25:54+00:00,10.8481987,106.78720381
2015-12-29 11:25:55+00:00,10.84815237,106.78718835
2015-12-29 11:25:56+00:00,10.84810118,106.78717622
2015-12-29 11:25:57+00:00,10.84804025,106.78716427
2015-12-29 11:25:58+00:00,10.84798379,106.78715436
2015-12-29 11:25:59+00:00,10.84793391,106.78714622
2015-12-29 11:26:00+00:00,10.84785977,106.78712193
2015-12-29 11:26:01+00:00,10.84780093,106.78708923
2015-12-29 11:26:02+00:00,10.84773759,106.78707093
2015-12-29 11:26:03+00:00,10.8476864,106.78705457
2015-12-29 11:26:05+00:00,10.84758606,106.78702543
2015-12-29 11:26:06+00:00,10.84753711,106.78700119
2015-12-29 11:26:07+00:00,10.84748594,106.78698869
2015-12-29 11:26:09+00:00,10.84740213,106.78696116
2015-12-29 11:26:10+00:00,10.84734542,106.78694561
2015-12-29 11:26:11+00:00,10.84728738,106.7869394
2015-12-29 11:26:12+00:00,10.8472242,106.78692074
2015-12-29 11:26:13+00:00,10.84716325,106.78690951
2015-12-29 11:26:14+00:00,10.84709764,106.78691086
2015-12-29 11:26:15+00:00,10.84702356,106.78688203
2015-12-29 11:26:16+00:00,10.84696366,106.78686535
2015-12-29 11:26:17+00:00,10.84689487,106.78684233
2015-12-29 11:26:18+00:00,10.8468276,106.78683033
2015-12-29 11:26:19+00:00,10.84677076,106.7868134
2015-12-29 11:26:20+00:00,10.84671377,106.7868036
2015-12-29 11:26:21+00:00,10.84666545,106.78679859
2015-12-29 11:26:22+00:00,10.84661709,106.7867947
2015-12-29 11:26:24+00:00,10.84652986,106.78678517
