RawGPS
Time (UTC),Latitude,Longitude
2015-12-04 12:05:13+00:00,51.568103,-0.351631
2015-12-04 12:05:14+00:00,51.568078,-0.351573
2015-12-04 12:05:15+00:00,51.568053,-0.351506
2015-12-04 12:05:16+00:00,51.568025,-0.351419
2015-12-04 12:05:17+00:00,51.567997,-0.351335
2015-12-04 12:05:18+00:00,51.567972,-0.351252
2015-12-04 12:05:19+00:00,51.567948,-0.351186
2015-12-04 12:05:20+00:00,51.567931,-0.351137
2015-12-04 12:05:22+00:00,51.567909,-0.351074
2015-12-04 12:05:23+00:00,51.567898,-0.351045
2015-12-04 12:05:24+00:00,51.567883,-0.351
2015-12-04 12:05:26+00:00,51.567843,-0.350902
2015-12-04 12:05:27+00:00,51.567823,-0.350853
2015-12-04 12:05:28+00:00,51.567801,-0.350804
2015-12-04 12:05:30+00:00,51.567759,-0.350745
2015-12-04 12:05:31+00:00,51.567724,-0.35075
2015-12-04 12:05:32+00:00,51.567683,-0.350766
2015-12-04 12:05:33+00:00,51.567652,-0.350783
2015-12-04 12:05:34+00:00,51.567634,-0.350794
2015-12-04 12:05:35+00:00,51.567613,-0.350803
2015-12-04 12:05:36+00:00,51.567587,-0.350812
2015-12-04 12:05:37+00:00,51.567556,-0.350823
2015-12-04 12:05:38+00:00,51.567525,-0.350836
2015-12-04 12:05:39+00:00,51.56749,-0.350848
2015-12-04 12:05:40+00:00,51.567453,-0.350862
2015-12-04 12:05:42+00:00,51.567375,-0.350884
2015-12-04 12:05:43+00:00,51.567322,-0.350878
2015-12-04 12:05:44+00:00,51.567267,-0.350843
2015-12-04 12:05:45+00:00,51.56723,-0.350776
2015-12-04 12:05:46+00:00,51.567212,-0.35071
2015-12-04 12:05:47+00:00,51.5672,-0.350664
2015-12-04 12:05:48+00:00,51.567197,-0.350642
2015-12-04 12:05:50+00:00,51.567195,-0.350624
2015-12-04 12:05:51+00:00,51.567196,-0.350629
2015-12-04 12:05:52+00:00,51.567197,-0.350633
2015-12-04 12:05:53+00:00,51.567197,-0.350637
2015-12-04 12:05:54+00:00,51.567198,-0.350645
2015-12-04 12:05:55+00:00,51.567199,-0.35065
2015-12-04 12:05:56+00:00,51.567202,-0.350653
2015-12-04 12:05:58+00:00,51.567193,-0.350613
2015-12-04 12:05:59+00:00,51.567183,-0.350557
2015-12-04 12:06:00+00:00,51.567176,-0.3505
2015-12-04 12:06:01+00:00,51.567166,-0.350429
2015-12-04 12:06:02+00:00,51.567157,-0.350371
2015-12-04 12:06:03+00:00,51.567148,-0.350331
2015-12-04 12:06:04+00:00,51.567143,-0.350312
2015-12-04 12:06:06+00:00,51.567142,-0.350296
2015-12-04 12:06:07+00:00,51.567143,-0.350293
2015-12-04 12:06:08+00:00,51.567153,-0.350298
2015-12-04 12:06:10+00:00,51.567157,-0.350293
2015-12-04 12:06:11+00:00,51.567157,-0.350292
2015-12-04 12:06:12+00:00,51.567155,-0.350292
2015-12-04 12:06:13+00:00,51.567154,-0.350289
2015-12-04 12:06:14+00:00,51.567155,-0.350293
2015-12-04 12:06:15+00:00,51.567158,-0.35029
2015-12-04 12:06:16+00:00,51.56716,-0.350287
2015-12-04 12:06:17+00:00,51.567159,-0.350288
2015-12-04 12:06:18+00:00,51.567159,-0.350287
2015-12-04 12:06:19+00:00,51.56716,-0.350288
2015-12-04 12:06:20+00:00,51.56716,-0.350288
2015-12-04 12:06:22+00:00,51.56716,-0.350287
2015-12-04 12:06:23+00:00,51.56716,-0.350287
