RawGPS
Time (UTC),Latitude,Longitude
2015-12-16 18:15:07+00:00,51.585564,-0.374774
2015-12-16 18:15:09+00:00,51.585593,-0.374643
2015-12-16 18:15:18+00:00,51.58565,-0.374604
2015-12-16 18:15:20+00:00,51.585715,-0.374605
2015-12-16 18:15:21+00:00,51.58577,-0.374633
2015-12-16 18:15:22+00:00,51.585829,-0.374658
2015-12-16 18:15:23+00:00,51.585886,-0.374684
2015-12-16 18:15:24+00:00,51.585948,-0.374714
2015-12-16 18:15:26+00:00,51.586111,-0.374787
2015-12-16 18:15:27+00:00,51.586204,-0.374835
2015-12-16 18:15:28+00:00,51.586294,-0.374877
2015-12-16 18:15:29+00:00,51.586376,-0.37492
2015-12-16 18:15:30+00:00,51.586467,-0.374975
2015-12-16 18:15:31+00:00,51.586556,-0.375033
2015-12-16 18:15:32+00:00,51.586648,-0.375095
2015-12-16 18:15:33+00:00,51.586729,-0.375161
2015-12-16 18:15:35+00:00,51.586919,-0.375283
2015-12-16 18:15:36+00:00,51.587023,-0.37534
2015-12-16 18:15:37+00:00,51.587126,-0.375394
2015-12-16 18:15:38+00:00,51.587217,-0.375435
2015-12-16 18:15:39+00:00,51.587296,-0.37547
2015-12-16 18:15:40+00:00,51.587372,-0.375507
2015-12-16 18:15:41+00:00,51.587429,-0.375532
2015-12-16 18:15:43+00:00,51.587511,-0.375543
2015-12-16 18:15:45+00:00,51.587574,-0.375581
2015-12-16 18:15:46+00:00,51.587632,-0.375605
2015-12-16 18:15:47+00:00,51.58768,-0.375623
2015-12-16 18:15:48+00:00,51.587741,-0.375659
2015-12-16 18:15:49+00:00,51.587801,-0.375694
2015-12-16 18:15:50+00:00,51.587878,-0.375748
2015-12-16 18:15:52+00:00,51.58805,-0.375922
2015-12-16 18:15:53+00:00,51.588148,-0.376032
2015-12-16 18:15:54+00:00,51.588237,-0.376134
2015-12-16 18:15:56+00:00,51.588422,-0.376343
2015-12-16 18:15:57+00:00,51.588522,-0.376421
