RawGPS
Time (UTC),Latitude,Longitude
2015-12-07 02:04:31+00:00,51.586954,-0.375332
2015-12-07 02:04:32+00:00,51.58709,-0.375363
2015-12-07 02:04:33+00:00,51.587219,-0.37541
2015-12-07 02:04:34+00:00,51.587342,-0.375437
2015-12-07 02:04:36+00:00,51.587592,-0.375561
2015-12-07 02:04:37+00:00,51.587712,-0.375624
2015-12-07 02:04:38+00:00,51.587825,-0.375696
2015-12-07 02:04:39+00:00,51.587915,-0.375788
2015-12-07 02:04:40+00:00,51.588009,-0.375883
2015-12-07 02:04:41+00:00,51.588089,-0.375991
2015-12-07 02:04:42+00:00,51.588163,-0.376091
2015-12-07 02:04:44+00:00,51.588312,-0.376268
2015-12-07 02:04:45+00:00,51.588389,-0.376333
2015-12-07 02:04:46+00:00,51.588474,-0.376411
2015-12-07 02:04:47+00:00,51.588558,-0.376478
2015-12-07 02:04:48+00:00,51.588644,-0.376517
2015-12-07 02:04:49+00:00,51.588723,-0.376543
2015-12-07 02:04:50+00:00,51.588805,-0.376568
2015-12-07 02:04:51+00:00,51.588877,-0.37659
2015-12-07 02:04:52+00:00,51.588944,-0.376609
2015-12-07 02:04:53+00:00,51.589004,-0.376628
2015-12-07 02:04:54+00:00,51.589059,-0.376647
2015-12-07 02:04:55+00:00,51.589109,-0.376664
2015-12-07 02:04:56+00:00,51.589149,-0.376675
2015-12-07 02:04:57+00:00,51.589174,-0.376681
2015-12-07 02:04:58+00:00,51.58919,-0.376693
2015-12-07 02:05:00+00:00,51.589227,-0.376706
2015-12-07 02:05:01+00:00,51.589252,-0.376712
2015-12-07 02:05:02+00:00,51.589291,-0.37672
2015-12-07 02:05:03+00:00,51.589332,-0.376717
2015-12-07 02:05:04+00:00,51.589372,-0.376711
2015-12-07 02:05:05+00:00,51.589394,-0.376627
2015-12-07 02:05:06+00:00,51.589411,-0.376542
2015-12-07 02:05:07+00:00,51.58942,-0.376423
2015-12-07 02:05:08+00:00,51.589432,-0.376298
2015-12-07 02:05:09+00:00,51.589457,-0.376177
2015-12-07 02:05:10+00:00,51.589482,-0.376052
2015-12-07 02:05:11+00:00,51.589502,-0.375908
2015-12-07 02:05:12+00:00,51.589526,-0.375767
2015-12-07 02:05:13+00:00,51.589552,-0.375603
2015-12-07 02:05:14+00:00,51.589576,-0.375444
2015-12-07 02:05:15+00:00,51.589594,-0.375289
2015-12-07 02:05:16+00:00,51.589622,-0.375132
2015-12-07 02:05:17+00:00,51.589659,-0.374982
2015-12-07 02:05:18+00:00,51.589693,-0.374853
2015-12-07 02:05:20+00:00,51.589773,-0.374608
2015-12-07 02:05:21+00:00,51.589828,-0.374495
2015-12-07 02:05:22+00:00,51.589892,-0.374391
2015-12-07 02:05:24+00:00,51.590047,-0.374227
2015-12-07 02:05:25+00:00,51.590136,-0.374151
2015-12-07 02:05:26+00:00,51.59023,-0.374069
2015-12-07 02:05:27+00:00,51.590323,-0.374007
2015-12-07 02:05:28+00:00,51.590412,-0.373953
2015-12-07 02:05:29+00:00,51.590494,-0.373905
2015-12-07 02:05:30+00:00,51.590576,-0.373846
2015-12-07 02:05:31+00:00,51.590657,-0.373794
2015-12-07 02:05:32+00:00,51.590726,-0.373752
2015-12-07 02:05:33+00:00,51.59079,-0.373696
2015-12-07 02:05:34+00:00,51.590857,-0.373652
2015-12-07 02:05:36+00:00,51.590956,-0.373511
2015-12-07 02:05:37+00:00,51.590989,-0.373416
2015-12-07 02:05:38+00:00,51.591017,-0.37331
2015-12-07 02:05:40+00:00,51.590989,-0.373087
2015-12-07 02:05:41+00:00,51.590963,-0.372971
2015-12-07 02:05:42+00:00,51.590937,-0.372869
2015-12-07 02:05:44+00:00,51.590902,-0.372703
2015-12-07 02:05:45+00:00,51.590885,-0.372603
2015-12-07 02:05:46+00:00,51.590871,-0.372509
2015-12-07 02:05:48+00:00,51.590815,-0.372213
2015-12-07 02:05:49+00:00,51.590798,-0.37207
2015-12-07 02:05:50+00:00,51.590779,-0.371915
2015-12-07 02:05:51+00:00,51.590767,-0.371763
2015-12-07 02:05:52+00:00,51.59074,-0.371621
2015-12-07 02:05:53+00:00,51.590729,-0.371465
2015-12-07 02:05:54+00:00,51.590711,-0.371304
2015-12-07 02:05:56+00:00,51.590683,-0.370966
2015-12-07 02:05:57+00:00,51.590677,-0.37078
2015-12-07 02:05:58+00:00,51.590685,-0.370604
2015-12-07 02:06:00+00:00,51.590688,-0.370253
2015-12-07 02:06:01+00:00,51.590693,-0.370088
2015-12-07 02:06:02+00:00,51.590693,-0.369924
2015-12-07 02:06:04+00:00,51.590693,-0.369612
2015-12-07 02:06:05+00:00,51.590687,-0.369455
2015-12-07 02:06:06+00:00,51.590681,-0.369296
2015-12-07 02:06:08+00:00,51.590671,-0.368971
2015-12-07 02:06:09+00:00,51.590662,-0.368806
2015-12-07 02:06:10+00:00,51.590654,-0.368643
2015-12-07 02:06:11+00:00,51.590643,-0.368489
2015-12-07 02:06:12+00:00,51.59064,-0.368368
2015-12-07 02:06:13+00:00,51.590628,-0.368275
2015-12-07 02:06:14+00:00,51.590629,-0.368181
2015-12-07 02:06:15+00:00,51.590627,-0.368091
2015-12-07 02:06:16+00:00,51.590623,-0.36799
2015-12-07 02:06:17+00:00,51.590614,-0.36782
2015-12-07 02:06:18+00:00,51.590612,-0.367663
2015-12-07 02:06:20+00:00,51.5906,-0.367307
2015-12-07 02:06:21+00:00,51.59059,-0.367114
2015-12-07 02:06:22+00:00,51.590582,-0.366889
2015-12-07 02:06:23+00:00,51.590559,-0.36666
