RawGPS
Time (UTC),Latitude,Longitude
2015-12-16 14:24:24.689000+00:00,51.567673,-0.351577
2015-12-16 14:24:26+00:00,51.567739,-0.351544
2015-12-16 14:24:28+00:00,51.567807,-0.351532
2015-12-16 14:24:38+00:00,51.567865,-0.351542
2015-12-16 14:24:40+00:00,51.567918,-0.351593
2015-12-16 14:24:42+00:00,51.567951,-0.351685
2015-12-16 14:24:44+00:00,51.567986,-0.351789
2015-12-16 14:24:46+00:00,51.56801,-0.351888
2015-12-16 14:24:48+00:00,51.568036,-0.351992
2015-12-16 14:24:50+00:00,51.568082,-0.352084
2015-12-16 14:24:52+00:00,51.568114,-0.352168
2015-12-16 14:24:55+00:00,51.568148,-0.352252
2015-12-16 14:24:58+00:00,51.568205,-0.352278
2015-12-16 14:25:08+00:00,51.568254,-0.35225
2015-12-16 14:25:12+00:00,51.568307,-0.352231
2015-12-16 14:25:14+00:00,51.568373,-0.352211
2015-12-16 14:25:16+00:00,51.568423,-0.352153
2015-12-16 14:25:19+00:00,51.56841,-0.352059
2015-12-16 14:25:21+00:00,51.568379,-0.351991
2015-12-16 14:25:23+00:00,51.568335,-0.351881
2015-12-16 14:25:25+00:00,51.568287,-0.351749
2015-12-16 14:25:26+00:00,51.568255,-0.351664
2015-12-16 14:25:27+00:00,51.568219,-0.351564
2015-12-16 14:25:28+00:00,51.568177,-0.351458
2015-12-16 14:25:29+00:00,51.568139,-0.351355
2015-12-16 14:25:30+00:00,51.568106,-0.351253
2015-12-16 14:25:33+00:00,51.568007,-0.351007
2015-12-16 14:25:35+00:00,51.567942,-0.350946
2015-12-16 14:25:37+00:00,51.567877,-0.350938
2015-12-16 14:25:39+00:00,51.567807,-0.350861
2015-12-16 14:25:40+00:00,51.567772,-0.350808
2015-12-16 14:25:41+00:00,51.567733,-0.350771
2015-12-16 14:25:42+00:00,51.567685,-0.350776
2015-12-16 14:25:43+00:00,51.567625,-0.350809
2015-12-16 14:25:44+00:00,51.567566,-0.350839
2015-12-16 14:25:45+00:00,51.567514,-0.350857
2015-12-16 14:25:46+00:00,51.567463,-0.350881
2015-12-16 14:25:47+00:00,51.567417,-0.350897
2015-12-16 14:25:48+00:00,51.567369,-0.350914
2015-12-16 14:25:49+00:00,51.567311,-0.350876
2015-12-16 14:25:50+00:00,51.567265,-0.350825
2015-12-16 14:25:51+00:00,51.567227,-0.350744
2015-12-16 14:25:52+00:00,51.567199,-0.350638
2015-12-16 14:25:53+00:00,51.567182,-0.350533
2015-12-16 14:25:54+00:00,51.567174,-0.350445
2015-12-16 14:25:55+00:00,51.567171,-0.350366
2015-12-16 14:25:56+00:00,51.56717,-0.350287
2015-12-16 14:25:57+00:00,51.567172,-0.3502
2015-12-16 14:25:58+00:00,51.567174,-0.350107
2015-12-16 14:25:59+00:00,51.567192,-0.350022
2015-12-16 14:26:00+00:00,51.567219,-0.349924
2015-12-16 14:26:02+00:00,51.56729,-0.349799
2015-12-16 14:26:03+00:00,51.567323,-0.349739
2015-12-16 14:26:09+00:00,51.567365,-0.349697
2015-12-16 14:26:12+00:00,51.567417,-0.349652
2015-12-16 14:26:14+00:00,51.567479,-0.349547
2015-12-16 14:26:15+00:00,51.567517,-0.349491
2015-12-16 14:26:16+00:00,51.567556,-0.349443
2015-12-16 14:26:18+00:00,51.567619,-0.349374
2015-12-16 14:26:20+00:00,51.567656,-0.349328
2015-12-16 14:26:32+00:00,51.56768,-0.349253
2015-12-16 14:26:43+00:00,51.567728,-0.349163
2015-12-16 14:26:44+00:00,51.567766,-0.349115
2015-12-16 14:26:46+00:00,51.567827,-0.349004
2015-12-16 14:26:48+00:00,51.5679,-0.3489
2015-12-16 14:26:49+00:00,51.567942,-0.348842
2015-12-16 14:26:50+00:00,51.567989,-0.348779
2015-12-16 14:26:52+00:00,51.568077,-0.348662
2015-12-16 14:26:53+00:00,51.568117,-0.348603
2015-12-16 14:26:54+00:00,51.568145,-0.348541
2015-12-16 14:26:55+00:00,51.568185,-0.34849
2015-12-16 14:26:56+00:00,51.568222,-0.348436
2015-12-16 14:26:58+00:00,51.568267,-0.348349
2015-12-16 14:27:00+00:00,51.568297,-0.348276
2015-12-16 14:27:23+00:00,51.56831,-0.348197
2015-12-16 14:27:25+00:00,51.568371,-0.3481
2015-12-16 14:27:26+00:00,51.568415,-0.348046
2015-12-16 14:27:27+00:00,51.568463,-0.347983
2015-12-16 14:27:28+00:00,51.568509,-0.347916
2015-12-16 14:27:29+00:00,51.568562,-0.347838
2015-12-16 14:27:30+00:00,51.56863,-0.347754
2015-12-16 14:27:31+00:00,51.568706,-0.34769
2015-12-16 14:27:33+00:00,51.568865,-0.347552
2015-12-16 14:27:35+00:00,51.568967,-0.34741
2015-12-16 14:27:37+00:00,51.569031,-0.347402
2015-12-16 14:27:39+00:00,51.569092,-0.347515
2015-12-16 14:27:40+00:00,51.569126,-0.347605
2015-12-16 14:27:41+00:00,51.569161,-0.347708
2015-12-16 14:27:42+00:00,51.569194,-0.347805
2015-12-16 14:27:43+00:00,51.569255,-0.34795
2015-12-16 14:27:44+00:00,51.569299,-0.348078
2015-12-16 14:27:45+00:00,51.569345,-0.348201
2015-12-16 14:27:46+00:00,51.569414,-0.348367
2015-12-16 14:27:47+00:00,51.569468,-0.348513
2015-12-16 14:27:48+00:00,51.569522,-0.348663
2015-12-16 14:27:49+00:00,51.569576,-0.348819
2015-12-16 14:27:51+00:00,51.56969,-0.349129
2015-12-16 14:27:52+00:00,51.569747,-0.349276
2015-12-16 14:27:53+00:00,51.569807,-0.34942
2015-12-16 14:27:54+00:00,51.569868,-0.349567
2015-12-16 14:27:55+00:00,51.569929,-0.349706
2015-12-16 14:27:56+00:00,51.569995,-0.349858
2015-12-16 14:27:57+00:00,51.570051,-0.35
2015-12-16 14:27:58+00:00,51.570116,-0.350143
2015-12-16 14:27:59+00:00,51.570178,-0.350295
2015-12-16 14:28:01+00:00,51.570304,-0.350581
2015-12-16 14:28:02+00:00,51.570369,-0.350715
2015-12-16 14:28:03+00:00,51.570437,-0.350855
2015-12-16 14:28:04+00:00,51.570508,-0.350986
2015-12-16 14:28:05+00:00,51.57058,-0.35112
2015-12-16 14:28:06+00:00,51.570655,-0.351254
