RawGPS
Time (UTC),Latitude,Longitude
2015-12-19 11:46:36+00:00,51.567547,-0.351439
2015-12-19 11:46:38+00:00,51.567495,-0.351462
2015-12-19 11:46:40+00:00,51.567452,-0.351493
2015-12-19 11:46:42+00:00,51.567412,-0.35157
2015-12-19 11:46:44+00:00,51.567393,-0.351659
2015-12-19 11:46:48+00:00,51.567482,-0.351696
2015-12-19 11:46:50+00:00,51.567533,-0.351665
2015-12-19 11:46:53.300000+00:00,51.567625,-0.35108
2015-12-19 11:47:02+00:00,51.567586,-0.351632
2015-12-19 11:47:14+00:00,51.567659,-0.351608
2015-12-19 11:47:16+00:00,51.567727,-0.351589
2015-12-19 11:47:18+00:00,51.56781,-0.351562
2015-12-19 11:47:20+00:00,51.567854,-0.351528
2015-12-19 11:47:24+00:00,51.567922,-0.351553
2015-12-19 11:47:28+00:00,51.567962,-0.351652
2015-12-19 11:47:30+00:00,51.567997,-0.351735
2015-12-19 11:47:32+00:00,51.568024,-0.351802
2015-12-19 11:47:34+00:00,51.568055,-0.351894
2015-12-19 11:47:36+00:00,51.568098,-0.351976
2015-12-19 11:47:38+00:00,51.568133,-0.352059
2015-12-19 11:47:40+00:00,51.56817,-0.352154
2015-12-19 11:47:42+00:00,51.56821,-0.352232
2015-12-19 11:47:44+00:00,51.568291,-0.352281
2015-12-19 11:47:46+00:00,51.568379,-0.352249
2015-12-19 11:47:48+00:00,51.568466,-0.352216
2015-12-19 11:47:50+00:00,51.568498,-0.352142
2015-12-19 11:47:54+00:00,51.568466,-0.352057
2015-12-19 11:47:58+00:00,51.568413,-0.351942
2015-12-19 11:48:02+00:00,51.56839,-0.351879
2015-12-19 11:48:08+00:00,51.568339,-0.351764
2015-12-19 11:48:10+00:00,51.568274,-0.351587
2015-12-19 11:48:12+00:00,51.568209,-0.351377
2015-12-19 11:48:14+00:00,51.568139,-0.351148
2015-12-19 11:48:16+00:00,51.568065,-0.350981
2015-12-19 11:48:18+00:00,51.568009,-0.350939
2015-12-19 11:48:20+00:00,51.567958,-0.350977
2015-12-19 11:48:26+00:00,51.567912,-0.350961
2015-12-19 11:48:28+00:00,51.567869,-0.350858
2015-12-19 11:48:30+00:00,51.5678,-0.350794
2015-12-19 11:48:32+00:00,51.567734,-0.350837
2015-12-19 11:48:34+00:00,51.567746,-0.35098
2015-12-19 11:48:36+00:00,51.567794,-0.351122
2015-12-19 11:48:38+00:00,51.567842,-0.351259
2015-12-19 11:48:40+00:00,51.567895,-0.351384
2015-12-19 11:48:42+00:00,51.567926,-0.351478
2015-12-19 11:48:44+00:00,51.56795,-0.351552
2015-12-19 11:48:46+00:00,51.567969,-0.351641
2015-12-19 11:48:48+00:00,51.567997,-0.351732
2015-12-19 11:48:50+00:00,51.568042,-0.351843
2015-12-19 11:48:52+00:00,51.568089,-0.351965
2015-12-19 11:48:54+00:00,51.568129,-0.35207
2015-12-19 11:48:56+00:00,51.568165,-0.352178
2015-12-19 11:48:58+00:00,51.568204,-0.352259
2015-12-19 11:49:00+00:00,51.568264,-0.35228
2015-12-19 11:49:02+00:00,51.568309,-0.352283
2015-12-19 11:49:04+00:00,51.568368,-0.352252
2015-12-19 11:49:06+00:00,51.568442,-0.352231
2015-12-19 11:49:10+00:00,51.568481,-0.352158
2015-12-19 11:49:14+00:00,51.568473,-0.352087
2015-12-19 11:49:17.682000+00:00,51.568362,-0.351607
2015-12-19 11:49:24+00:00,51.568443,-0.35202
2015-12-19 11:49:38+00:00,51.568409,-0.351928
2015-12-19 11:49:42+00:00,51.568374,-0.351806
2015-12-19 11:49:52+00:00,51.568344,-0.351714
2015-12-19 11:49:57.720000+00:00,51.568307,-0.351563
2015-12-19 11:50:17.802000+00:00,51.568058,-0.351025
2015-12-19 11:50:37.874000+00:00,51.568138,-0.351281
2015-12-19 11:50:58+00:00,51.568296,-0.351712
2015-12-19 11:51:17.986000+00:00,51.568033,-0.351464
2015-12-19 11:51:38+00:00,51.568343,-0.35168
2015-12-19 11:51:57.953000+00:00,51.568245,-0.351672
2015-12-19 11:52:06+00:00,51.568366,-0.351778
2015-12-19 11:52:12+00:00,51.568404,-0.351843
2015-12-19 11:52:16+00:00,51.568456,-0.351901
