RawGPS
Time (UTC),Latitude,Longitude
2015-12-08 03:13:22+00:00,51.569422,-0.348306
2015-12-08 03:13:23+00:00,51.569467,-0.34845
2015-12-08 03:13:24+00:00,51.569509,-0.348618
2015-12-08 03:13:25+00:00,51.569566,-0.348767
2015-12-08 03:13:27+00:00,51.569675,-0.349054
2015-12-08 03:13:28+00:00,51.569726,-0.349209
2015-12-08 03:13:29+00:00,51.569785,-0.34936
2015-12-08 03:13:31+00:00,51.569905,-0.349649
2015-12-08 03:13:32+00:00,51.569966,-0.3498
2015-12-08 03:13:33+00:00,51.570026,-0.349936
2015-12-08 03:13:35+00:00,51.570155,-0.35022
2015-12-08 03:13:36+00:00,51.570219,-0.350361
2015-12-08 03:13:37+00:00,51.570283,-0.350494
2015-12-08 03:13:38+00:00,51.570351,-0.35063
2015-12-08 03:13:39+00:00,51.570417,-0.350765
2015-12-08 03:13:40+00:00,51.570484,-0.35089
2015-12-08 03:13:41+00:00,51.57055,-0.351016
2015-12-08 03:13:43+00:00,51.570679,-0.351261
2015-12-08 03:13:44+00:00,51.570744,-0.351387
2015-12-08 03:13:45+00:00,51.570813,-0.351514
2015-12-08 03:13:46+00:00,51.57088,-0.351641
2015-12-08 03:13:47+00:00,51.570949,-0.351762
2015-12-08 03:13:48+00:00,51.571025,-0.351889
2015-12-08 03:13:49+00:00,51.571095,-0.352009
2015-12-08 03:13:50+00:00,51.571171,-0.352136
2015-12-08 03:13:52+00:00,51.57133,-0.352377
2015-12-08 03:13:53+00:00,51.571403,-0.352497
2015-12-08 03:13:54+00:00,51.571479,-0.352628
2015-12-08 03:13:55+00:00,51.57155,-0.352754
2015-12-08 03:13:56+00:00,51.57163,-0.352869
2015-12-08 03:13:57+00:00,51.571706,-0.352994
2015-12-08 03:13:58+00:00,51.571778,-0.35311
2015-12-08 03:14:00+00:00,51.57191,-0.353342
2015-12-08 03:14:01+00:00,51.571971,-0.353429
2015-12-08 03:14:02+00:00,51.572014,-0.353515
2015-12-08 03:14:03+00:00,51.572048,-0.353591
2015-12-08 03:14:04+00:00,51.572061,-0.353697
2015-12-08 03:14:05+00:00,51.572065,-0.353806
2015-12-08 03:14:06+00:00,51.572098,-0.353906
2015-12-08 03:14:07+00:00,51.572147,-0.353984
2015-12-08 03:14:08+00:00,51.57221,-0.354041
2015-12-08 03:14:09+00:00,51.572282,-0.35408
2015-12-08 03:14:10+00:00,51.57236,-0.354121
2015-12-08 03:14:12+00:00,51.572505,-0.354284
2015-12-08 03:14:13+00:00,51.572577,-0.354396
2015-12-08 03:14:14+00:00,51.572658,-0.354507
2015-12-08 03:14:15+00:00,51.572749,-0.354624
2015-12-08 03:14:16+00:00,51.572844,-0.354742
2015-12-08 03:14:17+00:00,51.572941,-0.354864
2015-12-08 03:14:18+00:00,51.573035,-0.354968
2015-12-08 03:14:20+00:00,51.573218,-0.355174
2015-12-08 03:14:21+00:00,51.57331,-0.355284
2015-12-08 03:14:22+00:00,51.573405,-0.355385
2015-12-08 03:14:23+00:00,51.573501,-0.355496
2015-12-08 03:14:24+00:00,51.573597,-0.355605
