RawGPS
Time (UTC),Latitude,Longitude
2015-12-04 11:46:10.074000+00:00,51.583867,-0.372963
2015-12-04 11:46:11.340000+00:00,51.584082,-0.377275
2015-12-04 11:46:13+00:00,51.583967,-0.372402
2015-12-04 11:46:14+00:00,51.584003,-0.372245
2015-12-04 11:46:15+00:00,51.584038,-0.372043
2015-12-04 11:46:16+00:00,51.58406,-0.371857
2015-12-04 11:46:18+00:00,51.584125,-0.37148
2015-12-04 11:46:19+00:00,51.584158,-0.371296
2015-12-04 11:46:20+00:00,51.584186,-0.371106
2015-12-04 11:46:21+00:00,51.584216,-0.370938
2015-12-04 11:46:22+00:00,51.584244,-0.370764
2015-12-04 11:46:23+00:00,51.584279,-0.37058
2015-12-04 11:46:24+00:00,51.584303,-0.370391
2015-12-04 11:46:25+00:00,51.584325,-0.370205
2015-12-04 11:46:27+00:00,51.584389,-0.369825
2015-12-04 11:46:28+00:00,51.584417,-0.369638
2015-12-04 11:46:29+00:00,51.584448,-0.369452
2015-12-04 11:46:30+00:00,51.58447,-0.369282
2015-12-04 11:46:31+00:00,51.58449,-0.369105
2015-12-04 11:46:32+00:00,51.584512,-0.368936
2015-12-04 11:46:33+00:00,51.584522,-0.368772
2015-12-04 11:46:35+00:00,51.584506,-0.368468
2015-12-04 11:46:36+00:00,51.584464,-0.368323
2015-12-04 11:46:37+00:00,51.584413,-0.368202
2015-12-04 11:46:38+00:00,51.584332,-0.368093
2015-12-04 11:46:39+00:00,51.584243,-0.367989
2015-12-04 11:46:40+00:00,51.584148,-0.367877
2015-12-04 11:46:41+00:00,51.584056,-0.367774
2015-12-04 11:46:42+00:00,51.583955,-0.367651
2015-12-04 11:46:43+00:00,51.583864,-0.367538
2015-12-04 11:46:44+00:00,51.583775,-0.367436
2015-12-04 11:46:45+00:00,51.583682,-0.36734
2015-12-04 11:46:46+00:00,51.583603,-0.367245
2015-12-04 11:46:47+00:00,51.58352,-0.36715
2015-12-04 11:46:48+00:00,51.583438,-0.36705
2015-12-04 11:46:50+00:00,51.583254,-0.366843
2015-12-04 11:46:51+00:00,51.583164,-0.366733
2015-12-04 11:46:52+00:00,51.583073,-0.36662
2015-12-04 11:46:53+00:00,51.582973,-0.366509
2015-12-04 11:46:54+00:00,51.58288,-0.366399
2015-12-04 11:46:55+00:00,51.582793,-0.366277
2015-12-04 11:46:56+00:00,51.582698,-0.366172
2015-12-04 11:46:58+00:00,51.582517,-0.365962
2015-12-04 11:46:59+00:00,51.58243,-0.365861
2015-12-04 11:47:00+00:00,51.582345,-0.36576
2015-12-04 11:47:01+00:00,51.582267,-0.365664
2015-12-04 11:47:02+00:00,51.58219,-0.365574
2015-12-04 11:47:03+00:00,51.582116,-0.365489
