RawGPS
Time (UTC),Latitude,Longitude
2015-12-18 17:00:52.007000+00:00,47.039446,28.881201
2015-12-18 17:01:12.246000+00:00,47.039429,28.881265
2015-12-18 17:01:21.367000+00:00,47.039534,28.882262
2015-12-18 17:01:22.367000+00:00,47.039521,28.882113
2015-12-18 17:01:24.367000+00:00,47.039504,28.88197
2015-12-18 17:01:25.367000+00:00,47.039558,28.881533
2015-12-18 17:01:32.325000+00:00,47.039484,28.881348
2015-12-18 17:01:33.368000+00:00,47.040238,28.87967
2015-12-18 17:01:34.368000+00:00,47.040276,28.879488
2015-12-18 17:01:35.368000+00:00,47.040536,28.879294
2015-12-18 17:01:36.368000+00:00,47.040382,28.879231
2015-12-18 17:01:37.368000+00:00,47.040616,28.879298
2015-12-18 17:01:38.368000+00:00,47.040654,28.878919
2015-12-18 17:01:39.368000+00:00,47.040721,28.87818
2015-12-18 17:01:40.369000+00:00,47.040846,28.878004
2015-12-18 17:01:41.369000+00:00,47.040764,28.877923
2015-12-18 17:01:45.369000+00:00,47.041006,28.8772
2015-12-18 17:01:46.369000+00:00,47.041086,28.877061
2015-12-18 17:01:52.357000+00:00,47.039904,28.881041
2015-12-18 17:01:53.370000+00:00,47.041374,28.874836
2015-12-18 17:02:09.372000+00:00,47.042446,28.870402
2015-12-18 17:02:20.373000+00:00,47.043126,28.869085
2015-12-18 17:02:21.373000+00:00,47.043272,28.86924
2015-12-18 17:02:22.373000+00:00,47.043823,28.869058
2015-12-18 17:02:23.373000+00:00,47.043403,28.868966
2015-12-18 17:02:24.373000+00:00,47.04368,28.868823
2015-12-18 17:02:28.373000+00:00,47.0429,28.868556
2015-12-18 17:02:29.374000+00:00,47.043207,28.86856
2015-12-18 17:02:33.374000+00:00,47.043052,28.868482
2015-12-18 17:02:34.374000+00:00,47.04293,28.868357
2015-12-18 17:02:35.374000+00:00,47.042853,28.868553
2015-12-18 17:02:36.374000+00:00,47.042771,28.868621
2015-12-18 17:02:38.374000+00:00,47.043021,28.86886
2015-12-18 17:02:39.375000+00:00,47.04289,28.868768
2015-12-18 17:02:40.375000+00:00,47.043083,28.868815
2015-12-18 17:02:41.375000+00:00,47.043236,28.868728
2015-12-18 17:02:42.375000+00:00,47.043323,28.868769
2015-12-18 17:02:44.375000+00:00,47.043671,28.868694
2015-12-18 17:02:45.375000+00:00,47.043422,28.86875
2015-12-18 17:02:46.375000+00:00,47.043292,28.868914
2015-12-18 17:02:49.376000+00:00,47.043006,28.868782
2015-12-18 17:02:50.376000+00:00,47.04309,28.868699
2015-12-18 17:02:52.376000+00:00,47.043463,28.868951
2015-12-18 17:02:53.376000+00:00,47.04352,28.868675
2015-12-18 17:02:54.376000+00:00,47.043503,28.868515
2015-12-18 17:02:55.376000+00:00,47.043491,28.868449
2015-12-18 17:02:56.376000+00:00,47.043299,28.868314
2015-12-18 17:02:57.376000+00:00,47.043365,28.868281
2015-12-18 17:02:59.377000+00:00,47.043362,28.868394
2015-12-18 17:03:00.377000+00:00,47.042996,28.868459
2015-12-18 17:03:01.377000+00:00,47.0431,28.868398
2015-12-18 17:03:02.377000+00:00,47.0432,28.868495
2015-12-18 17:03:03.377000+00:00,47.043053,28.868517
2015-12-18 17:03:04.377000+00:00,47.043242,28.868527
2015-12-18 17:03:05.377000+00:00,47.04316,28.868487
2015-12-18 17:03:06.377000+00:00,47.043165,28.868665
2015-12-18 17:03:07.377000+00:00,47.043013,28.868443
2015-12-18 17:03:08.378000+00:00,47.043227,28.868485
2015-12-18 17:03:09.378000+00:00,47.04321,28.868553
2015-12-18 17:03:10.378000+00:00,47.04328,28.868379
2015-12-18 17:03:11.378000+00:00,47.043114,28.868273
2015-12-18 17:03:12.378000+00:00,47.043182,28.867717
2015-12-18 17:03:13.378000+00:00,47.043257,28.867831
