RawGPS
Time (UTC),Latitude,Longitude
2015-12-17 14:23:14+00:00,51.591928,-0.373779
2015-12-17 14:23:15+00:00,51.591808,-0.373739
2015-12-17 14:23:16+00:00,51.591694,-0.373693
2015-12-17 14:23:17+00:00,51.591578,-0.373651
2015-12-17 14:23:18+00:00,51.591469,-0.373607
2015-12-17 14:23:19+00:00,51.591367,-0.373562
2015-12-17 14:23:20+00:00,51.591263,-0.373514
2015-12-17 14:23:21+00:00,51.591189,-0.373461
2015-12-17 14:23:22+00:00,51.591128,-0.373419
2015-12-17 14:23:24+00:00,51.591067,-0.373375
2015-12-17 14:23:35.864000+00:00,51.591751,-0.373621
2015-12-17 14:23:37+00:00,51.591029,-0.373333
2015-12-17 14:23:39+00:00,51.590943,-0.373319
2015-12-17 14:23:40+00:00,51.59091,-0.373373
2015-12-17 14:23:41+00:00,51.59088,-0.373444
2015-12-17 14:23:43+00:00,51.590777,-0.373603
2015-12-17 14:23:44+00:00,51.590706,-0.373674
2015-12-17 14:23:45+00:00,51.590629,-0.373743
2015-12-17 14:23:46+00:00,51.590537,-0.373804
2015-12-17 14:23:47+00:00,51.590438,-0.373859
2015-12-17 14:23:48+00:00,51.590339,-0.37392
2015-12-17 14:23:49+00:00,51.590237,-0.373985
2015-12-17 14:23:51+00:00,51.59004,-0.374126
2015-12-17 14:23:52+00:00,51.589949,-0.374218
2015-12-17 14:23:53+00:00,51.589861,-0.374332
2015-12-17 14:23:54+00:00,51.589786,-0.374448
2015-12-17 14:23:55+00:00,51.589724,-0.374583
2015-12-17 14:23:56+00:00,51.589677,-0.374723
2015-12-17 14:23:57+00:00,51.589636,-0.37488
2015-12-17 14:23:58+00:00,51.589601,-0.375041
2015-12-17 14:23:59+00:00,51.589581,-0.375193
2015-12-17 14:24:01+00:00,51.589524,-0.375529
2015-12-17 14:24:02+00:00,51.589499,-0.375695
2015-12-17 14:24:03+00:00,51.589476,-0.375838
2015-12-17 14:24:05+00:00,51.589434,-0.376132
2015-12-17 14:24:06+00:00,51.589418,-0.376248
2015-12-17 14:24:07+00:00,51.589404,-0.376347
2015-12-17 14:24:08+00:00,51.589391,-0.376425
2015-12-17 14:24:10+00:00,51.589322,-0.376544
2015-12-17 14:24:12+00:00,51.589186,-0.376549
2015-12-17 14:24:13+00:00,51.589109,-0.376543
2015-12-17 14:24:14+00:00,51.589018,-0.376514
2015-12-17 14:24:15+00:00,51.588928,-0.376492
2015-12-17 14:24:16+00:00,51.588831,-0.376466
2015-12-17 14:24:17+00:00,51.588726,-0.376433
2015-12-17 14:24:18+00:00,51.588625,-0.376391
2015-12-17 14:24:20+00:00,51.588423,-0.37625
2015-12-17 14:24:21+00:00,51.588321,-0.376141
2015-12-17 14:24:22+00:00,51.588222,-0.376029
2015-12-17 14:24:23+00:00,51.588128,-0.375919
2015-12-17 14:24:24+00:00,51.588031,-0.37582
2015-12-17 14:24:25+00:00,51.587936,-0.375731
2015-12-17 14:24:26+00:00,51.587835,-0.375654
2015-12-17 14:24:27+00:00,51.587729,-0.37559
2015-12-17 14:24:29+00:00,51.587522,-0.375485
2015-12-17 14:24:30+00:00,51.587412,-0.375439
2015-12-17 14:24:31+00:00,51.587295,-0.375393
2015-12-17 14:24:32+00:00,51.587181,-0.375334
2015-12-17 14:24:33+00:00,51.587072,-0.375278
2015-12-17 14:24:34+00:00,51.586961,-0.375224
2015-12-17 14:24:35+00:00,51.586856,-0.375159
2015-12-17 14:24:36+00:00,51.586763,-0.375086
2015-12-17 14:24:37+00:00,51.586682,-0.375018
