RawGPS
Time (UTC),Latitude,Longitude
2015-12-19 13:17:56+00:00,46.919459,28.975801
2015-12-19 13:18:02.478000+00:00,46.92577,28.967839
2015-12-19 13:18:22.419000+00:00,46.919744,28.978015
2015-12-19 13:18:24.394000+00:00,46.921033,28.981098
2015-12-19 13:18:26+00:00,46.921141,28.981407
2015-12-19 13:18:27+00:00,46.921193,28.98164
2015-12-19 13:18:28+00:00,46.92124,28.981824
2015-12-19 13:18:29+00:00,46.921326,28.982003
2015-12-19 13:18:30+00:00,46.921395,28.982204
2015-12-19 13:18:31+00:00,46.921457,28.982397
2015-12-19 13:18:32+00:00,46.921538,28.982602
2015-12-19 13:18:33+00:00,46.921612,28.982804
2015-12-19 13:18:34+00:00,46.921676,28.983001
2015-12-19 13:18:35+00:00,46.921738,28.983216
2015-12-19 13:18:36+00:00,46.921805,28.983416
2015-12-19 13:18:37+00:00,46.921859,28.983613
2015-12-19 13:18:38+00:00,46.921936,28.983817
2015-12-19 13:18:39+00:00,46.922001,28.984023
2015-12-19 13:18:40+00:00,46.922063,28.984203
2015-12-19 13:18:41+00:00,46.922137,28.984397
2015-12-19 13:18:42+00:00,46.922205,28.984597
2015-12-19 13:18:43+00:00,46.922268,28.984791
2015-12-19 13:18:44+00:00,46.922333,28.984979
2015-12-19 13:18:45+00:00,46.92239,28.985169
2015-12-19 13:18:46+00:00,46.92245,28.985363
2015-12-19 13:18:47+00:00,46.922517,28.985541
2015-12-19 13:18:48+00:00,46.92258,28.985731
2015-12-19 13:18:49+00:00,46.922638,28.985914
2015-12-19 13:18:50+00:00,46.922698,28.986092
2015-12-19 13:18:51+00:00,46.922755,28.986277
2015-12-19 13:18:52+00:00,46.922811,28.986459
2015-12-19 13:18:53+00:00,46.922866,28.986644
2015-12-19 13:18:54+00:00,46.922927,28.986819
2015-12-19 13:18:55+00:00,46.922991,28.986984
2015-12-19 13:18:56+00:00,46.923052,28.987152
2015-12-19 13:18:57+00:00,46.923118,28.987321
2015-12-19 13:18:58+00:00,46.923191,28.987476
2015-12-19 13:18:59+00:00,46.923245,28.987646
2015-12-19 13:19:00+00:00,46.923292,28.987805
2015-12-19 13:19:01+00:00,46.923344,28.987973
2015-12-19 13:19:02+00:00,46.923393,28.988147
2015-12-19 13:19:03+00:00,46.92345,28.988324
2015-12-19 13:19:04+00:00,46.92351,28.988508
2015-12-19 13:19:05+00:00,46.923577,28.988683
2015-12-19 13:19:11.983000+00:00,46.923451,28.995362
