RawGPS
Time (UTC),Latitude,Longitude
2015-12-19 13:22:37.397000+00:00,46.925714,28.990761
2015-12-19 13:22:50+00:00,46.924261,29.019138
2015-12-19 13:22:52+00:00,46.924298,29.019605
2015-12-19 13:23:38.261000+00:00,46.922046,29.032678
2015-12-19 13:23:58.345000+00:00,46.925714,28.990761
2015-12-19 13:24:29+00:00,46.920941,29.031179
2015-12-19 13:24:30+00:00,46.920851,29.031268
2015-12-19 13:24:31+00:00,46.920919,29.031515
2015-12-19 13:24:32+00:00,46.920867,29.031615
2015-12-19 13:24:33+00:00,46.920846,29.031785
2015-12-19 13:24:34+00:00,46.920769,29.031945
2015-12-19 13:24:35+00:00,46.920639,29.031964
2015-12-19 13:24:36+00:00,46.920648,29.032136
2015-12-19 13:24:37+00:00,46.920633,29.032296
2015-12-19 13:24:38+00:00,46.920548,29.032351
2015-12-19 13:24:39+00:00,46.920483,29.032399
2015-12-19 13:24:40+00:00,46.920473,29.032525
2015-12-19 13:24:41+00:00,46.920458,29.032686
2015-12-19 13:24:42+00:00,46.92042,29.032791
2015-12-19 13:24:43+00:00,46.920363,29.032859
2015-12-19 13:24:44+00:00,46.920271,29.033018
2015-12-19 13:24:45+00:00,46.920188,29.033147
2015-12-19 13:24:46+00:00,46.920187,29.033288
2015-12-19 13:24:47+00:00,46.920126,29.033342
2015-12-19 13:24:49+00:00,46.92003,29.033584
2015-12-19 13:24:50+00:00,46.919968,29.033705
2015-12-19 13:24:51+00:00,46.920007,29.033891
2015-12-19 13:24:52+00:00,46.919972,29.033997
2015-12-19 13:24:54+00:00,46.91991,29.034071
2015-12-19 13:24:56+00:00,46.919874,29.034171
2015-12-19 13:24:58+00:00,46.919834,29.03423
2015-12-19 13:24:59+00:00,46.919794,29.0342
2015-12-19 13:25:04+00:00,46.919727,29.034245
2015-12-19 13:25:12+00:00,46.91968,29.034206
2015-12-19 13:25:23+00:00,46.919608,29.03417
2015-12-19 13:25:24+00:00,46.919574,29.034287
2015-12-19 13:25:25+00:00,46.919477,29.03431
2015-12-19 13:25:26+00:00,46.919499,29.034208
2015-12-19 13:25:27+00:00,46.919583,29.034268
2015-12-19 13:25:28+00:00,46.919629,29.034204
2015-12-19 13:25:30+00:00,46.919685,29.034155
2015-12-19 13:25:32+00:00,46.919778,29.03419
2015-12-19 13:25:35+00:00,46.919823,29.034217
2015-12-19 13:25:41+00:00,46.919901,29.034321
2015-12-19 13:25:42+00:00,46.91992,29.034449
2015-12-19 13:25:44+00:00,46.919869,29.034568
2015-12-19 13:25:45+00:00,46.919816,29.034654
2015-12-19 13:25:46+00:00,46.919726,29.034802
2015-12-19 13:25:47+00:00,46.919686,29.034917
2015-12-19 13:25:48+00:00,46.919633,29.035053
2015-12-19 13:25:50+00:00,46.919605,29.035546
2015-12-19 13:25:51+00:00,46.919543,29.035727
2015-12-19 13:25:52+00:00,46.919621,29.035871
2015-12-19 13:25:53+00:00,46.91953,29.03606
2015-12-19 13:25:54+00:00,46.919498,29.036246
2015-12-19 13:25:55+00:00,46.919409,29.036396
2015-12-19 13:25:56+00:00,46.919366,29.036568
2015-12-19 13:25:57+00:00,46.919298,29.036763
2015-12-19 13:25:58+00:00,46.919232,29.036943
2015-12-19 13:25:59+00:00,46.919218,29.037196
2015-12-19 13:26:00+00:00,46.919165,29.037357
2015-12-19 13:26:01+00:00,46.919138,29.037499
2015-12-19 13:26:02+00:00,46.919089,29.037647
2015-12-19 13:26:03+00:00,46.919024,29.037799
2015-12-19 13:26:04+00:00,46.918983,29.037939
2015-12-19 13:26:05+00:00,46.918927,29.038084
2015-12-19 13:26:07+00:00,46.918859,29.038236
2015-12-19 13:26:08+00:00,46.918832,29.038329
