RawGPS
Time (UTC),Latitude,Longitude
2015-12-19 11:12:53+00:00,51.59174,-0.387126
2015-12-19 11:12:55+00:00,51.591615,-0.387099
2015-12-19 11:12:57+00:00,51.59149,-0.387071
2015-12-19 11:12:59+00:00,51.591351,-0.387042
2015-12-19 11:13:01+00:00,51.591199,-0.387015
2015-12-19 11:13:03+00:00,51.59105,-0.386977
2015-12-19 11:13:05+00:00,51.590911,-0.386969
2015-12-19 11:13:07+00:00,51.590757,-0.387003
2015-12-19 11:13:09+00:00,51.590605,-0.387034
2015-12-19 11:13:11+00:00,51.590478,-0.38703
2015-12-19 11:13:13+00:00,51.590342,-0.387028
2015-12-19 11:13:15+00:00,51.590193,-0.386984
2015-12-19 11:13:17+00:00,51.590052,-0.386918
2015-12-19 11:13:19+00:00,51.589938,-0.386903
2015-12-19 11:13:21+00:00,51.589811,-0.386912
2015-12-19 11:13:23+00:00,51.589698,-0.38693
2015-12-19 11:13:25+00:00,51.589597,-0.386963
2015-12-19 11:13:27+00:00,51.589473,-0.38703
2015-12-19 11:13:29+00:00,51.589301,-0.387102
2015-12-19 11:13:31+00:00,51.589126,-0.387164
2015-12-19 11:13:33+00:00,51.588982,-0.38721
2015-12-19 11:13:35+00:00,51.588861,-0.387218
2015-12-19 11:13:37+00:00,51.58872,-0.387166
2015-12-19 11:13:39+00:00,51.58858,-0.386982
2015-12-19 11:13:41+00:00,51.588501,-0.386687
2015-12-19 11:13:43+00:00,51.588482,-0.386315
2015-12-19 11:13:45+00:00,51.588459,-0.385926
2015-12-19 11:13:47+00:00,51.588435,-0.385538
2015-12-19 11:13:49+00:00,51.588416,-0.385163
2015-12-19 11:13:51+00:00,51.588395,-0.384779
2015-12-19 11:13:53+00:00,51.588354,-0.38448
2015-12-19 11:13:55+00:00,51.58828,-0.384287
2015-12-19 11:13:57+00:00,51.588228,-0.384214
2015-12-19 11:14:02.087000+00:00,51.588077,-0.384416
2015-12-19 11:14:09+00:00,51.588192,-0.3841
2015-12-19 11:14:11+00:00,51.588232,-0.383944
2015-12-19 11:14:13+00:00,51.588315,-0.383755
2015-12-19 11:14:15+00:00,51.588407,-0.3835
2015-12-19 11:14:17+00:00,51.588524,-0.383234
2015-12-19 11:14:19+00:00,51.588627,-0.382966
2015-12-19 11:14:21+00:00,51.588711,-0.382746
2015-12-19 11:14:23+00:00,51.588762,-0.382608
2015-12-19 11:14:25+00:00,51.588737,-0.382493
2015-12-19 11:14:27+00:00,51.588639,-0.382422
2015-12-19 11:14:29+00:00,51.588489,-0.38232
2015-12-19 11:14:31+00:00,51.588293,-0.382218
2015-12-19 11:14:33+00:00,51.588076,-0.382102
2015-12-19 11:14:35+00:00,51.587856,-0.381992
2015-12-19 11:14:37+00:00,51.587648,-0.381899
2015-12-19 11:14:39+00:00,51.587461,-0.381816
2015-12-19 11:14:41+00:00,51.587249,-0.381787
2015-12-19 11:14:43+00:00,51.587006,-0.381783
2015-12-19 11:14:45+00:00,51.586763,-0.381774
2015-12-19 11:14:47+00:00,51.586543,-0.381768
2015-12-19 11:14:49+00:00,51.586377,-0.381784
2015-12-19 11:14:51+00:00,51.586291,-0.381812
2015-12-19 11:14:55+00:00,51.586209,-0.381798
2015-12-19 11:14:57+00:00,51.586152,-0.381687
2015-12-19 11:14:59+00:00,51.586072,-0.381511
2015-12-19 11:15:01+00:00,51.585967,-0.381298
2015-12-19 11:15:03+00:00,51.585844,-0.381085
2015-12-19 11:15:05+00:00,51.585709,-0.380837
2015-12-19 11:15:07+00:00,51.585559,-0.380553
2015-12-19 11:15:09+00:00,51.585414,-0.380251
2015-12-19 11:15:11+00:00,51.585288,-0.379923
2015-12-19 11:15:13+00:00,51.585169,-0.379576
2015-12-19 11:15:15+00:00,51.585067,-0.379235
2015-12-19 11:15:17+00:00,51.58498,-0.378878
2015-12-19 11:15:19+00:00,51.584888,-0.378499
2015-12-19 11:15:21+00:00,51.5848,-0.37812
2015-12-19 11:15:23+00:00,51.584712,-0.377761
2015-12-19 11:15:25+00:00,51.584627,-0.377391
2015-12-19 11:15:27+00:00,51.584544,-0.37702
2015-12-19 11:15:29+00:00,51.584461,-0.376645
2015-12-19 11:15:31+00:00,51.584378,-0.376267
2015-12-19 11:15:33+00:00,51.584296,-0.375877
2015-12-19 11:15:35+00:00,51.584211,-0.375497
2015-12-19 11:15:37+00:00,51.584129,-0.37513
2015-12-19 11:15:39+00:00,51.58406,-0.374778
2015-12-19 11:15:41+00:00,51.583982,-0.374425
2015-12-19 11:15:43+00:00,51.583904,-0.374118
2015-12-19 11:15:45+00:00,51.583845,-0.373924
2015-12-19 11:15:47+00:00,51.583814,-0.373739
2015-12-19 11:15:49+00:00,51.583804,-0.373477
2015-12-19 11:15:51+00:00,51.583838,-0.373203
2015-12-19 11:15:53+00:00,51.583892,-0.372887
2015-12-19 11:15:55+00:00,51.583943,-0.372525
2015-12-19 11:15:57+00:00,51.584002,-0.372146
2015-12-19 11:15:59+00:00,51.584063,-0.371777
2015-12-19 11:16:01+00:00,51.584124,-0.371427
2015-12-19 11:16:03+00:00,51.584174,-0.371099
2015-12-19 11:16:05+00:00,51.58423,-0.370752
2015-12-19 11:16:07+00:00,51.584285,-0.370407
2015-12-19 11:16:09+00:00,51.584337,-0.370058
2015-12-19 11:16:11+00:00,51.584392,-0.369688
2015-12-19 11:16:13+00:00,51.584454,-0.369324
2015-12-19 11:16:15+00:00,51.584513,-0.368971
2015-12-19 11:16:17+00:00,51.584519,-0.368644
2015-12-19 11:16:19+00:00,51.584446,-0.368329
2015-12-19 11:16:21+00:00,51.584299,-0.368087
2015-12-19 11:16:23+00:00,51.584121,-0.36786
2015-12-19 11:16:25+00:00,51.583938,-0.367627
2015-12-19 11:16:27+00:00,51.583746,-0.367391
2015-12-19 11:16:29+00:00,51.583558,-0.367167
2015-12-19 11:16:31+00:00,51.58337,-0.366953
2015-12-19 11:16:33+00:00,51.583172,-0.36672
2015-12-19 11:16:35+00:00,51.582968,-0.366473
2015-12-19 11:16:37+00:00,51.582778,-0.366242
2015-12-19 11:16:39+00:00,51.582585,-0.366012
2015-12-19 11:16:41+00:00,51.58241,-0.365799
2015-12-19 11:16:43+00:00,51.582248,-0.365614
2015-12-19 11:16:45+00:00,51.582109,-0.365439
2015-12-19 11:16:47+00:00,51.582014,-0.365314
2015-12-19 11:16:49+00:00,51.58195,-0.365236
2015-12-19 11:16:51+00:00,51.58188,-0.365147
2015-12-19 11:16:53+00:00,51.581799,-0.365058
2015-12-19 11:16:55+00:00,51.5817,-0.364936
2015-12-19 11:16:57+00:00,51.581596,-0.364811
2015-12-19 11:16:59+00:00,51.581479,-0.36468
2015-12-19 11:17:01+00:00,51.581337,-0.364523
2015-12-19 11:17:03+00:00,51.581163,-0.36435
2015-12-19 11:17:05+00:00,51.580983,-0.364143
2015-12-19 11:17:07+00:00,51.580806,-0.363932
2015-12-19 11:17:09+00:00,51.580628,-0.363729
2015-12-19 11:17:11+00:00,51.58044,-0.363525
2015-12-19 11:17:13+00:00,51.580254,-0.363302
