RawGPS
Time (UTC),Latitude,Longitude
2015-12-19 13:30:05+00:00,46.916768,29.056948
2015-12-19 13:30:06+00:00,46.916793,29.057026
2015-12-19 13:30:07+00:00,46.916706,29.05713
2015-12-19 13:30:08+00:00,46.916705,29.057225
2015-12-19 13:30:09+00:00,46.916715,29.057334
2015-12-19 13:30:10+00:00,46.916744,29.057435
2015-12-19 13:30:11+00:00,46.916784,29.057585
2015-12-19 13:30:12+00:00,46.916827,29.057751
2015-12-19 13:30:13+00:00,46.916849,29.057914
2015-12-19 13:30:14+00:00,46.916916,29.058076
2015-12-19 13:30:15+00:00,46.916977,29.058232
2015-12-19 13:30:16+00:00,46.917025,29.058386
2015-12-19 13:30:17+00:00,46.917078,29.058535
2015-12-19 13:30:18+00:00,46.917134,29.058688
2015-12-19 13:30:19+00:00,46.917191,29.058851
2015-12-19 13:30:20+00:00,46.917251,29.059019
2015-12-19 13:30:21+00:00,46.91731,29.059179
2015-12-19 13:30:22+00:00,46.917367,29.059334
2015-12-19 13:30:23+00:00,46.917424,29.059512
2015-12-19 13:30:24+00:00,46.917473,29.059656
2015-12-19 13:30:25+00:00,46.917535,29.0598
2015-12-19 13:30:26+00:00,46.917593,29.059947
2015-12-19 13:30:27+00:00,46.917657,29.060103
2015-12-19 13:30:29.967000+00:00,46.918669,29.050833
2015-12-19 13:30:31+00:00,46.917911,29.060807
2015-12-19 13:30:32+00:00,46.91798,29.061004
2015-12-19 13:30:33+00:00,46.91806,29.06121
2015-12-19 13:30:34+00:00,46.918142,29.061415
2015-12-19 13:30:35+00:00,46.918216,29.061609
2015-12-19 13:30:36+00:00,46.918293,29.061801
2015-12-19 13:30:37+00:00,46.918362,29.062
2015-12-19 13:30:38+00:00,46.918438,29.062196
2015-12-19 13:30:39+00:00,46.918511,29.062385
2015-12-19 13:30:40+00:00,46.918585,29.062583
2015-12-19 13:30:41+00:00,46.918659,29.062776
2015-12-19 13:30:42+00:00,46.918733,29.062963
2015-12-19 13:30:43+00:00,46.918809,29.063163
2015-12-19 13:30:44+00:00,46.918882,29.063358
2015-12-19 13:30:45+00:00,46.918957,29.063555
2015-12-19 13:30:46+00:00,46.919034,29.063759
2015-12-19 13:30:47+00:00,46.919108,29.063962
2015-12-19 13:30:48+00:00,46.919201,29.064163
2015-12-19 13:30:49+00:00,46.919285,29.064372
2015-12-19 13:30:50+00:00,46.919358,29.064573
2015-12-19 13:30:51+00:00,46.919426,29.064782
2015-12-19 13:30:52+00:00,46.91949,29.06499
2015-12-19 13:30:53+00:00,46.919551,29.06519
2015-12-19 13:30:54+00:00,46.919615,29.065395
2015-12-19 13:30:55+00:00,46.919646,29.065612
2015-12-19 13:30:56+00:00,46.919688,29.06582
2015-12-19 13:30:57+00:00,46.919721,29.066022
2015-12-19 13:30:58+00:00,46.919757,29.066239
2015-12-19 13:30:59+00:00,46.919781,29.066454
2015-12-19 13:31:00+00:00,46.919811,29.06667
2015-12-19 13:31:01+00:00,46.919828,29.066877
2015-12-19 13:31:02+00:00,46.919839,29.067096
