RawGPS
Time (UTC),Latitude,Longitude
2015-12-31 00:26:40+00:00,10.81889365,106.75811292
2015-12-31 00:26:41+00:00,10.81884508,106.75809405
2015-12-31 00:26:42+00:00,10.81876418,106.75809484
2015-12-31 00:26:43+00:00,10.81868129,106.75806202
2015-12-31 00:26:44+00:00,10.81860624,106.75797946
2015-12-31 00:26:45+00:00,10.81852393,106.75796461
2015-12-31 00:26:46+00:00,10.81843295,106.75792118
2015-12-31 00:26:47+00:00,10.81836115,106.75790923
2015-12-31 00:26:48+00:00,10.81827105,106.75788028
2015-12-31 00:26:49+00:00,10.81821157,106.75787563
2015-12-31 00:26:50+00:00,10.81812305,106.75785544
2015-12-31 00:26:51+00:00,10.81801654,106.75779159
2015-12-31 00:26:52+00:00,10.81793561,106.75780202
2015-12-31 00:26:53+00:00,10.81784543,106.75780631
2015-12-31 00:26:54+00:00,10.81775943,106.75782803
2015-12-31 00:26:55+00:00,10.81766424,106.75781842
2015-12-31 00:26:56+00:00,10.81755987,106.75778268
2015-12-31 00:26:57+00:00,10.81747257,106.75775403
2015-12-31 00:26:58+00:00,10.817376,106.75770646
2015-12-31 00:26:59+00:00,10.81728058,106.75769573
2015-12-31 00:27:00+00:00,10.8171855,106.75766838
