RawGPS
Time (UTC),Latitude,Longitude
2016-02-15 16:54:32+00:00,43.91102255,-79.25771525
2016-02-15 16:54:33+00:00,43.91095469,-79.25771047
2016-02-15 16:54:34+00:00,43.91096048,-79.2576911
2016-02-15 16:54:35+00:00,43.91093727,-79.2577345
2016-02-15 16:54:36+00:00,43.91092446,-79.25774278
2016-02-15 16:54:37+00:00,43.91092157,-79.25774773
2016-02-15 16:54:38+00:00,43.91091637,-79.25778118
2016-02-15 16:54:39+00:00,43.91091936,-79.25777594
2016-02-15 16:54:40+00:00,43.91092769,-79.25778447
2016-02-15 16:54:41+00:00,43.91091926,-79.2577944
2016-02-15 16:54:42+00:00,43.91092491,-79.25777684
2016-02-15 16:54:43+00:00,43.910938,-79.25778119
2016-02-15 16:54:44+00:00,43.91094682,-79.25776504
2016-02-15 16:54:45+00:00,43.91092999,-79.25776347
2016-02-15 16:54:46+00:00,43.91092063,-79.25774127
2016-02-15 16:54:47+00:00,43.91096021,-79.25774042
2016-02-15 16:54:48+00:00,43.9109598,-79.25773628
2016-02-15 16:54:49+00:00,43.91096006,-79.25772704
2016-02-15 16:54:50+00:00,43.91097437,-79.25772345
