RawGPS
Time (UTC),Latitude,Longitude
2015-12-15 14:30:18+00:00,51.586254,-0.382044
2015-12-15 14:30:19+00:00,51.586274,-0.381979
2015-12-15 14:30:20+00:00,51.586327,-0.38192
2015-12-15 14:30:21+00:00,51.586372,-0.381881
2015-12-15 14:30:22+00:00,51.586459,-0.381868
2015-12-15 14:30:24+00:00,51.586572,-0.38186
2015-12-15 14:30:26+00:00,51.586639,-0.381863
2015-12-15 14:30:28+00:00,51.586685,-0.381846
2015-12-15 14:30:30+00:00,51.586733,-0.38177
2015-12-15 14:30:32+00:00,51.586755,-0.381654
2015-12-15 14:30:34+00:00,51.586757,-0.381512
2015-12-15 14:30:35+00:00,51.586756,-0.38144
2015-12-15 14:30:36+00:00,51.58676,-0.381336
2015-12-15 14:30:37+00:00,51.586757,-0.381239
2015-12-15 14:30:38+00:00,51.58675,-0.381138
2015-12-15 14:30:39+00:00,51.586748,-0.381031
2015-12-15 14:30:40+00:00,51.586742,-0.38093
2015-12-15 14:30:41+00:00,51.586737,-0.380829
2015-12-15 14:30:42+00:00,51.586731,-0.380733
2015-12-15 14:30:43+00:00,51.586727,-0.380634
2015-12-15 14:30:44+00:00,51.586723,-0.380543
2015-12-15 14:30:45+00:00,51.586721,-0.380463
2015-12-15 14:30:47+00:00,51.586699,-0.380369
2015-12-15 14:30:49+00:00,51.586662,-0.380318
2015-12-15 14:30:52+00:00,51.586593,-0.380338
2015-12-15 14:30:55+00:00,51.586534,-0.380355
2015-12-15 14:30:59+00:00,51.586482,-0.38038
2015-12-15 14:31:01.709000+00:00,51.58645,-0.38054
2015-12-15 14:31:34+00:00,51.586538,-0.380372
