RawGPS
Time (UTC),Latitude,Longitude
2015-12-16 13:29:05+00:00,51.583854,-0.374
2015-12-16 13:29:06+00:00,51.583802,-0.373883
2015-12-16 13:29:07+00:00,51.583785,-0.373771
2015-12-16 13:29:08+00:00,51.583766,-0.373683
2015-12-16 13:29:09+00:00,51.583732,-0.373625
2015-12-16 13:29:11+00:00,51.583638,-0.373601
2015-12-16 13:29:13+00:00,51.583498,-0.373619
2015-12-16 13:29:14+00:00,51.583406,-0.373597
2015-12-16 13:29:15+00:00,51.58331,-0.373562
2015-12-16 13:29:16+00:00,51.583214,-0.373521
2015-12-16 13:29:17+00:00,51.583118,-0.373464
2015-12-16 13:29:18+00:00,51.58302,-0.373398
2015-12-16 13:29:19+00:00,51.582909,-0.373325
2015-12-16 13:29:21+00:00,51.582688,-0.373154
2015-12-16 13:29:22+00:00,51.58258,-0.373067
2015-12-16 13:29:23+00:00,51.582476,-0.372983
2015-12-16 13:29:24+00:00,51.582359,-0.372904
2015-12-16 13:29:25+00:00,51.582248,-0.372835
2015-12-16 13:29:26+00:00,51.582146,-0.372775
2015-12-16 13:29:27+00:00,51.582041,-0.372712
2015-12-16 13:29:29+00:00,51.581818,-0.372586
2015-12-16 13:29:30+00:00,51.581706,-0.372521
2015-12-16 13:29:31+00:00,51.581601,-0.372457
2015-12-16 13:29:33+00:00,51.581379,-0.372322
2015-12-16 13:29:34+00:00,51.581263,-0.37225
2015-12-16 13:29:35+00:00,51.581159,-0.372202
2015-12-16 13:29:36+00:00,51.581048,-0.372149
2015-12-16 13:29:37+00:00,51.580941,-0.372092
2015-12-16 13:29:38+00:00,51.580822,-0.37203
2015-12-16 13:29:39+00:00,51.580723,-0.37199
2015-12-16 13:29:41+00:00,51.580511,-0.371891
2015-12-16 13:29:42+00:00,51.580399,-0.37185
2015-12-16 13:29:43+00:00,51.580281,-0.371793
2015-12-16 13:29:45+00:00,51.580068,-0.371696
2015-12-16 13:29:46+00:00,51.579962,-0.371642
2015-12-16 13:29:47+00:00,51.579858,-0.371597
2015-12-16 13:29:49+00:00,51.57964,-0.37154
2015-12-16 13:29:50+00:00,51.579529,-0.371526
2015-12-16 13:29:51+00:00,51.579411,-0.371505
2015-12-16 13:29:52+00:00,51.579294,-0.371488
2015-12-16 13:29:53+00:00,51.579185,-0.371469
2015-12-16 13:29:54+00:00,51.579076,-0.371459
2015-12-16 13:29:55+00:00,51.578957,-0.371445
2015-12-16 13:29:56+00:00,51.578846,-0.371439
2015-12-16 13:29:57+00:00,51.578733,-0.371437
2015-12-16 13:29:58+00:00,51.578622,-0.37142
2015-12-16 13:29:59+00:00,51.578514,-0.371408
2015-12-16 13:30:00+00:00,51.578401,-0.371386
2015-12-16 13:30:01+00:00,51.578293,-0.371374
2015-12-16 13:30:02+00:00,51.578182,-0.371359
2015-12-16 13:30:03+00:00,51.578068,-0.371336
2015-12-16 13:30:05+00:00,51.577862,-0.37129
2015-12-16 13:30:06+00:00,51.577764,-0.371265
2015-12-16 13:30:07+00:00,51.577671,-0.371234
2015-12-16 13:30:09+00:00,51.577509,-0.37119
2015-12-16 13:30:10+00:00,51.577435,-0.371167
2015-12-16 13:30:12+00:00,51.57738,-0.371131
