RawGPS
Time (UTC),Latitude,Longitude
2015-12-19 13:08:08+00:00,46.95836,28.900417
2015-12-19 13:08:09+00:00,46.958249,28.900595
2015-12-19 13:08:10+00:00,46.958118,28.900693
2015-12-19 13:08:11+00:00,46.958047,28.900942
2015-12-19 13:08:12+00:00,46.957931,28.901159
2015-12-19 13:08:13+00:00,46.957796,28.901398
2015-12-19 13:08:14+00:00,46.957662,28.901501
2015-12-19 13:08:15+00:00,46.957564,28.901687
2015-12-19 13:08:16+00:00,46.957427,28.901923
2015-12-19 13:08:17+00:00,46.957204,28.902159
2015-12-19 13:08:18+00:00,46.95694,28.902452
2015-12-19 13:08:19+00:00,46.956788,28.902611
2015-12-19 13:08:20+00:00,46.956663,28.902825
2015-12-19 13:08:21+00:00,46.956539,28.903051
2015-12-19 13:08:22+00:00,46.956388,28.903273
2015-12-19 13:08:23+00:00,46.956263,28.903466
2015-12-19 13:08:24+00:00,46.956128,28.903688
2015-12-19 13:08:25+00:00,46.955996,28.903898
2015-12-19 13:08:26+00:00,46.955828,28.904135
2015-12-19 13:08:27+00:00,46.955703,28.904344
2015-12-19 13:08:28+00:00,46.95559,28.904561
2015-12-19 13:08:29+00:00,46.95546,28.904761
2015-12-19 13:08:30+00:00,46.955331,28.904961
2015-12-19 13:08:31+00:00,46.955254,28.905121
2015-12-19 13:08:32+00:00,46.955121,28.90533
2015-12-19 13:08:35.771000+00:00,46.986484,28.901057
2015-12-19 13:08:37+00:00,46.954528,28.906454
2015-12-19 13:08:38+00:00,46.954438,28.906696
2015-12-19 13:08:39+00:00,46.95428,28.906918
2015-12-19 13:08:40+00:00,46.9542,28.907035
2015-12-19 13:08:41+00:00,46.954144,28.907302
2015-12-19 13:08:42+00:00,46.954039,28.907509
2015-12-19 13:08:43+00:00,46.953952,28.907593
2015-12-19 13:08:44+00:00,46.953808,28.907636
2015-12-19 13:08:45+00:00,46.95372,28.907844
2015-12-19 13:08:46+00:00,46.953611,28.908031
2015-12-19 13:08:47+00:00,46.953481,28.908231
2015-12-19 13:08:48+00:00,46.953372,28.908421
2015-12-19 13:08:49+00:00,46.95326,28.908599
2015-12-19 13:08:50+00:00,46.953128,28.908758
2015-12-19 13:08:51+00:00,46.953025,28.908919
2015-12-19 13:08:52+00:00,46.952915,28.90907
2015-12-19 13:08:53+00:00,46.952802,28.909239
2015-12-19 13:08:54+00:00,46.952705,28.909395
2015-12-19 13:08:55+00:00,46.952599,28.909541
2015-12-19 13:08:56+00:00,46.952495,28.909729
2015-12-19 13:08:57+00:00,46.952392,28.909918
2015-12-19 13:08:58+00:00,46.95229,28.91009
2015-12-19 13:08:59+00:00,46.952187,28.910252
2015-12-19 13:09:00+00:00,46.952083,28.910398
2015-12-19 13:09:01+00:00,46.951977,28.910562
2015-12-19 13:09:02+00:00,46.951865,28.910728
2015-12-19 13:09:03+00:00,46.951761,28.910882
2015-12-19 13:09:04+00:00,46.951638,28.911072
2015-12-19 13:09:06+00:00,46.951416,28.911369
2015-12-19 13:09:07+00:00,46.951314,28.911522
2015-12-19 13:09:08+00:00,46.951224,28.911682
2015-12-19 13:09:09+00:00,46.951134,28.911807
2015-12-19 13:09:10+00:00,46.95105,28.911919
2015-12-19 13:09:11+00:00,46.950969,28.912035
2015-12-19 13:09:12+00:00,46.950896,28.912147
2015-12-19 13:09:13+00:00,46.950828,28.912257
2015-12-19 13:09:14+00:00,46.950778,28.912344
2015-12-19 13:09:15+00:00,46.950726,28.91242
2015-12-19 13:09:16+00:00,46.950673,28.912496
2015-12-19 13:09:17+00:00,46.95062,28.912582
2015-12-19 13:09:18+00:00,46.950551,28.912624
2015-12-19 13:09:19+00:00,46.950523,28.912696
2015-12-19 13:09:20+00:00,46.950463,28.912758
2015-12-19 13:09:22+00:00,46.950414,28.912841
2015-12-19 13:09:24+00:00,46.950341,28.91293
2015-12-19 13:09:26+00:00,46.950262,28.913063
2015-12-19 13:09:28+00:00,46.950239,28.913124
2015-12-19 13:09:44+00:00,46.950182,28.91318
2015-12-19 13:09:45+00:00,46.95014,28.913275
2015-12-19 13:09:46+00:00,46.950092,28.91335
2015-12-19 13:09:47+00:00,46.950047,28.91342
2015-12-19 13:09:48+00:00,46.950001,28.913486
2015-12-19 13:09:49+00:00,46.949945,28.913572
2015-12-19 13:09:50+00:00,46.949876,28.913647
2015-12-19 13:09:51+00:00,46.949815,28.913746
2015-12-19 13:09:52+00:00,46.949756,28.913839
2015-12-19 13:09:53+00:00,46.949674,28.913954
2015-12-19 13:09:54+00:00,46.94959,28.914092
2015-12-19 13:09:55+00:00,46.949525,28.91423
2015-12-19 13:09:56+00:00,46.949504,28.914435
2015-12-19 13:09:57+00:00,46.949417,28.914547
2015-12-19 13:09:58+00:00,46.949354,28.914679
2015-12-19 13:09:59+00:00,46.949233,28.914837
2015-12-19 13:10:00+00:00,46.949134,28.915018
2015-12-19 13:10:01+00:00,46.949041,28.915195
2015-12-19 13:10:02+00:00,46.948891,28.915355
2015-12-19 13:10:03+00:00,46.948773,28.915544
2015-12-19 13:10:04+00:00,46.948667,28.915727
2015-12-19 13:10:05+00:00,46.948548,28.915892
2015-12-19 13:10:06+00:00,46.94846,28.916069
2015-12-19 13:10:07+00:00,46.948341,28.916258
2015-12-19 13:10:08+00:00,46.948226,28.91643
2015-12-19 13:10:09+00:00,46.948121,28.916612
2015-12-19 13:10:10+00:00,46.947989,28.916833
2015-12-19 13:10:11+00:00,46.947863,28.917031
2015-12-19 13:10:12+00:00,46.947738,28.917221
2015-12-19 13:10:13+00:00,46.947619,28.917436
2015-12-19 13:10:14+00:00,46.947503,28.917619
2015-12-19 13:10:15+00:00,46.947378,28.917821
2015-12-19 13:10:16+00:00,46.947257,28.918007
2015-12-19 13:10:17+00:00,46.947148,28.918212
2015-12-19 13:10:18+00:00,46.947022,28.918395
2015-12-19 13:10:19+00:00,46.946892,28.918601
2015-12-19 13:10:20+00:00,46.946766,28.918783
2015-12-19 13:10:21+00:00,46.946658,28.918957
2015-12-19 13:10:22+00:00,46.946534,28.919135
2015-12-19 13:10:23+00:00,46.946424,28.919296
2015-12-19 13:10:24+00:00,46.946326,28.919484
2015-12-19 13:10:25+00:00,46.946215,28.91965
2015-12-19 13:10:26+00:00,46.946088,28.91981
2015-12-19 13:10:27+00:00,46.945995,28.919988
2015-12-19 13:10:28+00:00,46.945873,28.920144
2015-12-19 13:10:29+00:00,46.945779,28.92032
2015-12-19 13:10:30+00:00,46.945672,28.920484
2015-12-19 13:10:31+00:00,46.945558,28.920659
2015-12-19 13:10:32+00:00,46.945461,28.920821
2015-12-19 13:10:33+00:00,46.94536,28.920978
2015-12-19 13:10:34+00:00,46.945262,28.921125
2015-12-19 13:10:35+00:00,46.945169,28.921292
2015-12-19 13:10:36+00:00,46.945073,28.921443
2015-12-19 13:10:37+00:00,46.944988,28.921613
2015-12-19 13:10:38+00:00,46.94488,28.92177
2015-12-19 13:10:39+00:00,46.944774,28.921919
2015-12-19 13:10:40+00:00,46.944681,28.922085
