RawGPS
Time (UTC),Latitude,Longitude
2016-02-02 08:34:22+00:00,28.918741,117.672189
2016-02-02 08:34:24+00:00,28.918664,117.67151
2016-02-02 08:34:26+00:00,28.91859,117.671194
2016-02-02 08:34:27+00:00,28.918385,117.670584
2016-02-02 08:34:28+00:00,28.918204,117.670312
2016-02-02 08:34:30+00:00,28.917947,117.669659
2016-02-02 08:34:31+00:00,28.917813,117.669329
2016-02-02 08:34:33+00:00,28.917546,117.668642
2016-02-02 08:34:35+00:00,28.9174,117.6683
2016-02-02 08:34:36+00:00,28.917069,117.667658
2016-02-02 08:34:38+00:00,28.91691,117.667332
2016-02-02 08:34:39+00:00,28.916574,117.666707
2016-02-02 08:34:41+00:00,28.916407,117.666411
2016-02-02 08:34:42+00:00,28.91624,117.666116
2016-02-02 08:34:43+00:00,28.916065,117.665824
2016-02-02 08:34:44+00:00,28.91589,117.665539
2016-02-02 08:34:45+00:00,28.915734,117.66527
2016-02-02 08:34:46+00:00,28.915546,117.665009
2016-02-02 08:34:47+00:00,28.915377,117.664748
2016-02-02 08:34:48+00:00,28.915199,117.664486
2016-02-02 08:34:49+00:00,28.915032,117.664237
2016-02-02 08:34:50+00:00,28.914863,117.663996
2016-02-02 08:34:51+00:00,28.914679,117.663748
2016-02-02 08:34:52+00:00,28.914486,117.663495
2016-02-02 08:34:53+00:00,28.914287,117.663247
2016-02-02 08:34:54+00:00,28.914093,117.662992
2016-02-02 08:34:55+00:00,28.913894,117.662752
2016-02-02 08:34:56+00:00,28.913695,117.662504
2016-02-02 08:34:57+00:00,28.913486,117.662263
2016-02-02 08:34:58+00:00,28.913265,117.662031
2016-02-02 08:34:59+00:00,28.913056,117.661808
2016-02-02 08:35:00+00:00,28.912831,117.66159
2016-02-02 08:35:01+00:00,28.912377,117.661131
2016-02-02 08:35:03+00:00,28.912152,117.660898
2016-02-02 08:35:04+00:00,28.911926,117.660672
2016-02-02 08:35:05+00:00,28.911698,117.660457
2016-02-02 08:35:06+00:00,28.911474,117.66024
2016-02-02 08:35:07+00:00,28.911246,117.660015
2016-02-02 08:35:08+00:00,28.911019,117.659795
2016-02-02 08:35:09+00:00,28.910797,117.659587
2016-02-02 08:35:10+00:00,28.910575,117.659374
2016-02-02 08:35:11+00:00,28.910355,117.659157
2016-02-02 08:35:12+00:00,28.910134,117.658947
2016-02-02 08:35:13+00:00,28.909927,117.658736
2016-02-02 08:35:14+00:00,28.909716,117.658527
2016-02-02 08:35:15+00:00,28.90951,117.658326
2016-02-02 08:35:16+00:00,28.909092,117.657925
2016-02-02 08:35:18+00:00,28.908885,117.657732
2016-02-02 08:35:19+00:00,28.908678,117.657541
2016-02-02 08:35:20+00:00,28.90847,117.657338
2016-02-02 08:35:21+00:00,28.908265,117.657142
2016-02-02 08:35:22+00:00,28.90806,117.656947
2016-02-02 08:35:23+00:00,28.907856,117.656757
2016-02-02 08:35:24+00:00,28.907459,117.656387
2016-02-02 08:35:26+00:00,28.90726,117.656202
2016-02-02 08:35:27+00:00,28.906872,117.655818
2016-02-02 08:35:29+00:00,28.906673,117.655642
2016-02-02 08:35:30+00:00,28.906478,117.655452
2016-02-02 08:35:31+00:00,28.906279,117.655255
2016-02-02 08:35:32+00:00,28.906083,117.655055
2016-02-02 08:35:33+00:00,28.905691,117.654655
2016-02-02 08:35:34+00:00,28.905492,117.654457
2016-02-02 08:35:36+00:00,28.905298,117.654253
2016-02-02 08:35:37+00:00,28.90491,117.653857
2016-02-02 08:35:39+00:00,28.90472,117.653652
2016-02-02 08:35:40+00:00,28.904528,117.653451
2016-02-02 08:35:41+00:00,28.904337,117.653246
2016-02-02 08:35:42+00:00,28.903981,117.652833
2016-02-02 08:35:43+00:00,28.903808,117.652623
2016-02-02 08:35:45+00:00,28.903631,117.652399
2016-02-02 08:35:46+00:00,28.903283,117.651961
2016-02-02 08:35:48+00:00,28.903107,117.651738
2016-02-02 08:35:49+00:00,28.902941,117.651515
2016-02-02 08:35:50+00:00,28.902778,117.651283
2016-02-02 08:35:51+00:00,28.902453,117.650805
2016-02-02 08:35:53+00:00,28.902298,117.650574
2016-02-02 08:35:54+00:00,28.902148,117.650335
2016-02-02 08:35:55+00:00,28.901987,117.650081
2016-02-02 08:35:56+00:00,28.901825,117.649828
2016-02-02 08:35:57+00:00,28.901514,117.649308
2016-02-02 08:35:58+00:00,28.901358,117.649048
2016-02-02 08:36:00+00:00,28.901059,117.648534
2016-02-02 08:36:02+00:00,28.900906,117.648284
2016-02-02 08:36:03+00:00,28.900767,117.648014
2016-02-02 08:36:04+00:00,28.900496,117.647462
2016-02-02 08:36:06+00:00,28.900235,117.646914
2016-02-02 08:36:07+00:00,28.9001,117.646632
2016-02-02 08:36:09+00:00,28.899976,117.646356
2016-02-02 08:36:10+00:00,28.899852,117.646067
2016-02-02 08:36:11+00:00,28.899734,117.645773
2016-02-02 08:36:12+00:00,28.899621,117.645468
2016-02-02 08:36:13+00:00,28.899512,117.645173
2016-02-02 08:36:14+00:00,28.899411,117.644882
2016-02-02 08:36:15+00:00,28.899311,117.644585
2016-02-02 08:36:16+00:00,28.899107,117.644001
2016-02-02 08:36:18+00:00,28.899005,117.643707
2016-02-02 08:36:19+00:00,28.898901,117.643415
2016-02-02 08:36:20+00:00,28.898799,117.643111
2016-02-02 08:36:21+00:00,28.898686,117.642807
2016-02-02 08:36:22+00:00,28.89848,117.64219
2016-02-02 08:36:24+00:00,28.898371,117.641881
2016-02-02 08:36:25+00:00,28.898274,117.641579
2016-02-02 08:36:26+00:00,28.898169,117.64127
2016-02-02 08:36:27+00:00,28.897958,117.640665
2016-02-02 08:36:29+00:00,28.897854,117.640361
2016-02-02 08:36:30+00:00,28.897643,117.639757
2016-02-02 08:36:32+00:00,28.897542,117.639455
2016-02-02 08:36:33+00:00,28.897439,117.639153
2016-02-02 08:36:34+00:00,28.897225,117.638553
2016-02-02 08:36:36+00:00,28.897123,117.638263
2016-02-02 08:36:37+00:00,28.896917,117.637681
2016-02-02 08:36:38+00:00,28.896819,117.637395
2016-02-02 08:36:39+00:00,28.896729,117.637123
2016-02-02 08:36:40+00:00,28.896631,117.636856
2016-02-02 08:36:41+00:00,28.896543,117.636584
2016-02-02 08:36:42+00:00,28.896449,117.636326
2016-02-02 08:36:44+00:00,28.89626,117.635814
2016-02-02 08:36:46+00:00,28.89607,117.635311
2016-02-02 08:36:48+00:00,28.895888,117.634783
2016-02-02 08:36:49+00:00,28.895783,117.634517
2016-02-02 08:36:51+00:00,28.895562,117.633971
2016-02-02 08:36:52+00:00,28.895446,117.633699
2016-02-02 08:36:54+00:00,28.895197,117.633139
2016-02-02 08:36:56+00:00,28.894915,117.632574
2016-02-02 08:36:58+00:00,28.89461,117.632006
2016-02-02 08:36:59+00:00,28.894464,117.631724
2016-02-02 08:37:01+00:00,28.894158,117.631158
2016-02-02 08:37:03+00:00,28.893817,117.630599
2016-02-02 08:37:04+00:00,28.893644,117.630331
2016-02-02 08:37:06+00:00,28.893305,117.629818
2016-02-02 08:37:07+00:00,28.893126,117.62956
2016-02-02 08:37:09+00:00,28.89279,117.629046
2016-02-02 08:37:11+00:00,28.892605,117.628783
2016-02-02 08:37:12+00:00,28.892225,117.628261
2016-02-02 08:37:13+00:00,28.892032,117.628009
2016-02-02 08:37:15+00:00,28.891645,117.627498
2016-02-02 08:37:16+00:00,28.891446,117.627246
2016-02-02 08:37:18+00:00,28.891033,117.626741
2016-02-02 08:37:20+00:00,28.89081,117.626512
2016-02-02 08:37:21+00:00,28.890388,117.626035
2016-02-02 08:37:22+00:00,28.890188,117.625798
2016-02-02 08:37:24+00:00,28.889774,117.625329
2016-02-02 08:37:25+00:00,28.889568,117.625086
2016-02-02 08:37:26+00:00,28.889349,117.624837
2016-02-02 08:37:27+00:00,28.889139,117.624587
2016-02-02 08:37:28+00:00,28.888921,117.624339
2016-02-02 08:37:30+00:00,28.888471,117.623846
2016-02-02 08:37:31+00:00,28.888245,117.62359
2016-02-02 08:37:33+00:00,28.887823,117.623097
2016-02-02 08:37:34+00:00,28.887614,117.622854
2016-02-02 08:37:36+00:00,28.887204,117.622385
2016-02-02 08:37:37+00:00,28.886996,117.622151
2016-02-02 08:37:39+00:00,28.886583,117.621685
2016-02-02 08:37:41+00:00,28.886375,117.62145
2016-02-02 08:37:42+00:00,28.886161,117.62121
2016-02-02 08:37:43+00:00,28.885949,117.620961
2016-02-02 08:37:44+00:00,28.885734,117.620713
2016-02-02 08:37:45+00:00,28.885517,117.620476
2016-02-02 08:37:46+00:00,28.885307,117.620224
2016-02-02 08:37:47+00:00,28.885091,117.619978
2016-02-02 08:37:48+00:00,28.884874,117.619736
2016-02-02 08:37:49+00:00,28.884669,117.619499
2016-02-02 08:37:50+00:00,28.884459,117.619266
2016-02-02 08:37:51+00:00,28.884258,117.619031
2016-02-02 08:37:52+00:00,28.884054,117.618796
2016-02-02 08:37:53+00:00,28.883843,117.618553
2016-02-02 08:37:54+00:00,28.883628,117.618308
2016-02-02 08:37:55+00:00,28.883412,117.618061
2016-02-02 08:37:56+00:00,28.883189,117.617818
2016-02-02 08:37:57+00:00,28.882975,117.617562
2016-02-02 08:37:58+00:00,28.882742,117.617312
2016-02-02 08:37:59+00:00,28.882518,117.61705
2016-02-02 08:38:00+00:00,28.882296,117.616801
2016-02-02 08:38:01+00:00,28.882072,117.616554
2016-02-02 08:38:02+00:00,28.88185,117.61631
2016-02-02 08:38:03+00:00,28.88163,117.616056
2016-02-02 08:38:04+00:00,28.881409,117.615817
2016-02-02 08:38:05+00:00,28.881194,117.615553
2016-02-02 08:38:06+00:00,28.880986,117.615302
2016-02-02 08:38:07+00:00,28.880781,117.615048
2016-02-02 08:38:08+00:00,28.880583,117.614788
2016-02-02 08:38:09+00:00,28.880389,117.614532
2016-02-02 08:38:10+00:00,28.880206,117.614268
2016-02-02 08:38:11+00:00,28.879845,117.613735
2016-02-02 08:38:12+00:00,28.879672,117.613468
2016-02-02 08:38:14+00:00,28.879496,117.613205
2016-02-02 08:38:15+00:00,28.879331,117.612933
2016-02-02 08:38:16+00:00,28.878993,117.612404
2016-02-02 08:38:18+00:00,28.878683,117.611857
2016-02-02 08:38:19+00:00,28.878538,117.611591
2016-02-02 08:38:21+00:00,28.878258,117.611067
2016-02-02 08:38:22+00:00,28.878128,117.610818
2016-02-02 08:38:24+00:00,28.877885,117.610333
2016-02-02 08:38:25+00:00,28.877769,117.610105
2016-02-02 08:38:27+00:00,28.877566,117.609663
2016-02-02 08:38:28+00:00,28.877462,117.609462
2016-02-02 08:38:30+00:00,28.877292,117.60905
2016-02-02 08:38:31+00:00,28.877195,117.608849
2016-02-02 08:38:33+00:00,28.877012,117.608404
2016-02-02 08:38:34+00:00,28.876912,117.608175
2016-02-02 08:38:36+00:00,28.87671,117.607674
2016-02-02 08:38:37+00:00,28.876604,117.60742
2016-02-02 08:38:39+00:00,28.876389,117.606945
2016-02-02 08:38:41+00:00,28.876279,117.606681
2016-02-02 08:38:42+00:00,28.876053,117.606136
2016-02-02 08:38:43+00:00,28.875946,117.605867
2016-02-02 08:38:45+00:00,28.875726,117.605345
2016-02-02 08:38:46+00:00,28.875617,117.60508
2016-02-02 08:38:48+00:00,28.875412,117.604552
2016-02-02 08:38:49+00:00,28.875304,117.604285
2016-02-02 08:38:51+00:00,28.875093,117.603785
2016-02-02 08:38:52+00:00,28.874996,117.603553
2016-02-02 08:38:54+00:00,28.874799,117.603074
2016-02-02 08:38:55+00:00,28.874702,117.602839
2016-02-02 08:38:57+00:00,28.8745,117.60235
2016-02-02 08:38:58+00:00,28.874401,117.6021
2016-02-02 08:39:00+00:00,28.874197,117.6016
2016-02-02 08:39:01+00:00,28.874094,117.601345
2016-02-02 08:39:03+00:00,28.873982,117.601083
2016-02-02 08:39:04+00:00,28.873757,117.600538
2016-02-02 08:39:06+00:00,28.873537,117.600002
2016-02-02 08:39:08+00:00,28.87343,117.599733
2016-02-02 08:39:09+00:00,28.873205,117.599195
2016-02-02 08:39:11+00:00,28.873093,117.598924
2016-02-02 08:39:12+00:00,28.872857,117.598376
2016-02-02 08:39:13+00:00,28.872731,117.598107
2016-02-02 08:39:15+00:00,28.87249,117.597564
2016-02-02 08:39:16+00:00,28.872371,117.597285
2016-02-02 08:39:18+00:00,28.872131,117.596755
2016-02-02 08:39:19+00:00,28.872013,117.596493
2016-02-02 08:39:20+00:00,28.871888,117.596235
2016-02-02 08:39:21+00:00,28.871762,117.595984
2016-02-02 08:39:22+00:00,28.87163,117.595723
2016-02-02 08:39:24+00:00,28.871359,117.595212
2016-02-02 08:39:25+00:00,28.871227,117.594968
2016-02-02 08:39:26+00:00,28.871089,117.594711
2016-02-02 08:39:28+00:00,28.870801,117.594214
2016-02-02 08:39:30+00:00,28.870495,117.593736
2016-02-02 08:39:31+00:00,28.870332,117.593493
2016-02-02 08:39:33+00:00,28.870001,117.593005
2016-02-02 08:39:34+00:00,28.869827,117.592756
2016-02-02 08:39:36+00:00,28.869661,117.592514
2016-02-02 08:39:37+00:00,28.869305,117.591985
2016-02-02 08:39:39+00:00,28.86893,117.591447
2016-02-02 08:39:40+00:00,28.868727,117.591188
2016-02-02 08:39:42+00:00,28.868526,117.590931
2016-02-02 08:39:43+00:00,28.868152,117.590417
2016-02-02 08:39:45+00:00,28.867976,117.590168
2016-02-02 08:39:46+00:00,28.867793,117.589917
2016-02-02 08:39:47+00:00,28.8676,117.589659
2016-02-02 08:39:48+00:00,28.867417,117.589402
2016-02-02 08:39:49+00:00,28.867236,117.589145
2016-02-02 08:39:50+00:00,28.866884,117.588661
2016-02-02 08:39:51+00:00,28.866713,117.588416
2016-02-02 08:39:52+00:00,28.866543,117.58817
2016-02-02 08:39:54+00:00,28.866173,117.587686
2016-02-02 08:39:55+00:00,28.865989,117.587438
2016-02-02 08:39:57+00:00,28.86563,117.586945
2016-02-02 08:39:58+00:00,28.865447,117.586689
2016-02-02 08:40:00+00:00,28.865082,117.586159
2016-02-02 08:40:02+00:00,28.864922,117.585901
2016-02-02 08:40:03+00:00,28.864597,117.585389
2016-02-02 08:40:04+00:00,28.864448,117.585115
RawGPS
Time (UTC),Latitude,Longitude
2016-02-02 08:34:22+00:00,28.918741,117.672189
2016-02-02 08:34:24+00:00,28.918664,117.67151
2016-02-02 08:34:26+00:00,28.91859,117.671194
2016-02-02 08:34:27+00:00,28.918385,117.670584
2016-02-02 08:34:28+00:00,28.918204,117.670312
2016-02-02 08:34:30+00:00,28.917947,117.669659
2016-02-02 08:34:31+00:00,28.917813,117.669329
2016-02-02 08:34:33+00:00,28.917546,117.668642
2016-02-02 08:34:35+00:00,28.9174,117.6683
2016-02-02 08:34:36+00:00,28.917069,117.667658
