RawGPS
Time (UTC),Latitude,Longitude
2016-02-15 11:16:23+00:00,42.3622117,-71.08090107
2016-02-15 11:16:25+00:00,42.3620276,-71.08092005
2016-02-15 11:16:26+00:00,42.36207813,-71.08082377
2016-02-15 11:16:27+00:00,42.36211967,-71.08023095
2016-02-15 11:16:28+00:00,42.36195835,-71.08020067
2016-02-15 11:16:29+00:00,42.36191497,-71.08005049
2016-02-15 11:16:30+00:00,42.3619511,-71.07990775
2016-02-15 11:16:31+00:00,42.36195303,-71.0798064
2016-02-15 11:16:32+00:00,42.36193371,-71.07971178
2016-02-15 11:16:33+00:00,42.36188759,-71.07963275
2016-02-15 11:16:34+00:00,42.36186111,-71.07954235
2016-02-15 11:16:35+00:00,42.3618293,-71.07943574
2016-02-15 11:16:36+00:00,42.3618522,-71.07929438
2016-02-15 11:16:37+00:00,42.36183416,-71.07918043
2016-02-15 11:16:38+00:00,42.3618277,-71.07906815
2016-02-15 11:16:39+00:00,42.36181603,-71.07896117
2016-02-15 11:16:40+00:00,42.36180022,-71.0788506
2016-02-15 11:16:41+00:00,42.36178154,-71.07875273
2016-02-15 11:16:42+00:00,42.36177082,-71.07863734
2016-02-15 11:16:43+00:00,42.36176461,-71.07852389
2016-02-15 11:16:44+00:00,42.36175652,-71.07840676
2016-02-15 11:16:45+00:00,42.36174531,-71.0782955
2016-02-15 11:16:46+00:00,42.36174192,-71.0781739
2016-02-15 11:16:47+00:00,42.36173495,-71.07806062
2016-02-15 11:16:48+00:00,42.36171839,-71.07793147
2016-02-15 11:16:49+00:00,42.36170664,-71.0778059
2016-02-15 11:16:50+00:00,42.36169899,-71.07768817
2016-02-15 11:16:51+00:00,42.36168627,-71.07756392
2016-02-15 11:16:52+00:00,42.36168421,-71.07744415
2016-02-15 11:16:53+00:00,42.36167389,-71.07731842
2016-02-15 11:16:54+00:00,42.36166371,-71.07719986
2016-02-15 11:16:55+00:00,42.36165475,-71.07706905
2016-02-15 11:16:56+00:00,42.36164268,-71.07694677
2016-02-15 11:16:57+00:00,42.36163202,-71.07681951
2016-02-15 11:16:58+00:00,42.3616258,-71.07669514
2016-02-15 11:16:59+00:00,42.3616219,-71.07657064
2016-02-15 11:17:00+00:00,42.36161606,-71.07644401
2016-02-15 11:17:01+00:00,42.36160601,-71.07631142
2016-02-15 11:17:02+00:00,42.36159287,-71.07618657
2016-02-15 11:17:03+00:00,42.36158599,-71.07605843
2016-02-15 11:17:04+00:00,42.36158216,-71.07592397
2016-02-15 11:17:05+00:00,42.36157402,-71.07579734
2016-02-15 11:17:06+00:00,42.36156527,-71.07566647
2016-02-15 11:17:07+00:00,42.36155231,-71.0755315
2016-02-15 11:17:08+00:00,42.36153814,-71.07539551
2016-02-15 11:17:09+00:00,42.36152759,-71.0752586
2016-02-15 11:17:10+00:00,42.36151409,-71.07511914
2016-02-15 11:17:11+00:00,42.36150043,-71.07498753
2016-02-15 11:17:12+00:00,42.36148751,-71.07484673
2016-02-15 11:17:13+00:00,42.36147526,-71.07470704
2016-02-15 11:17:14+00:00,42.3614631,-71.07456358
2016-02-15 11:17:15+00:00,42.36144641,-71.07442824
2016-02-15 11:17:16+00:00,42.36143878,-71.07428049
2016-02-15 11:17:17+00:00,42.36142613,-71.07413647
2016-02-15 11:17:18+00:00,42.3614144,-71.07399076
2016-02-15 11:17:19+00:00,42.36139565,-71.07384741
2016-02-15 11:17:20+00:00,42.36138525,-71.07370191
2016-02-15 11:17:21+00:00,42.36137521,-71.07355855
2016-02-15 11:17:22+00:00,42.36136233,-71.07342853
2016-02-15 11:17:23+00:00,42.36135016,-71.07330589
2016-02-15 11:17:24+00:00,42.36134078,-71.07318424
2016-02-15 11:17:25+00:00,42.36133098,-71.07306764
2016-02-15 11:17:26+00:00,42.3613161,-71.07295049
2016-02-15 11:17:27+00:00,42.36130258,-71.07283871
2016-02-15 11:17:28+00:00,42.36129611,-71.07272833
2016-02-15 11:17:29+00:00,42.36129436,-71.07261437
2016-02-15 11:17:30+00:00,42.3612873,-71.07251157
2016-02-15 11:17:31+00:00,42.36126545,-71.07241653
2016-02-15 11:17:32+00:00,42.36126024,-71.07231578
2016-02-15 11:17:33+00:00,42.36125781,-71.07222132
2016-02-15 11:17:34+00:00,42.3612536,-71.07213177
2016-02-15 11:17:35+00:00,42.36124752,-71.0720477
2016-02-15 11:17:36+00:00,42.36124089,-71.0719684
2016-02-15 11:17:37+00:00,42.36123459,-71.0719004
2016-02-15 11:17:38+00:00,42.36122769,-71.0718405
2016-02-15 11:17:39+00:00,42.3612261,-71.07179793
2016-02-15 11:17:40+00:00,42.3612251,-71.07175857
2016-02-15 11:17:41+00:00,42.36122181,-71.07172444
2016-02-15 11:17:42+00:00,42.36122233,-71.07169325
2016-02-15 11:17:43+00:00,42.36121985,-71.07165463
2016-02-15 11:17:44+00:00,42.36123324,-71.07161125
2016-02-15 11:17:45+00:00,42.36124692,-71.07156911
2016-02-15 11:17:46+00:00,42.36125148,-71.07154333
2016-02-15 11:17:47+00:00,42.36125274,-71.07153404
2016-02-15 11:17:48+00:00,42.36125312,-71.07153545
2016-02-15 11:17:49+00:00,42.36125514,-71.07154144
2016-02-15 11:17:50+00:00,42.36125567,-71.07154486
2016-02-15 11:17:52+00:00,42.36126133,-71.07155864
2016-02-15 11:17:53+00:00,42.36126147,-71.07155968
2016-02-15 11:17:54+00:00,42.36126215,-71.07155996
2016-02-15 11:17:56+00:00,42.36126145,-71.07156448
2016-02-15 11:17:57+00:00,42.36126094,-71.07156484
2016-02-15 11:17:58+00:00,42.36126065,-71.07156496
2016-02-15 11:17:59+00:00,42.36126069,-71.07156493
2016-02-15 11:18:00+00:00,42.36126066,-71.07156497
2016-02-15 11:18:01+00:00,42.36126067,-71.07156498
2016-02-15 11:18:02+00:00,42.36126066,-71.0715651
2016-02-15 11:18:03+00:00,42.36126066,-71.07156518
2016-02-15 11:18:04+00:00,42.36126065,-71.07156518
2016-02-15 11:18:05+00:00,42.36126065,-71.07156518
2016-02-15 11:18:06+00:00,42.36126066,-71.07156517
2016-02-15 11:18:07+00:00,42.36126066,-71.07156518
2016-02-15 11:18:08+00:00,42.36126067,-71.0715652
2016-02-15 11:18:09+00:00,42.36126067,-71.07156524
2016-02-15 11:18:10+00:00,42.36126066,-71.07156526
2016-02-15 11:18:11+00:00,42.36126065,-71.07156529
2016-02-15 11:18:12+00:00,42.36126065,-71.07156529
2016-02-15 11:18:13+00:00,42.36126064,-71.0715653
2016-02-15 11:18:14+00:00,42.36126063,-71.07156529
2016-02-15 11:18:15+00:00,42.36126057,-71.07156522
2016-02-15 11:18:16+00:00,42.36126056,-71.07156522
2016-02-15 11:18:17+00:00,42.36126056,-71.07156523
2016-02-15 11:18:18+00:00,42.36126056,-71.07156524
2016-02-15 11:18:19+00:00,42.36126034,-71.07156514
2016-02-15 11:18:21+00:00,42.36125947,-71.07156394
2016-02-15 11:18:22+00:00,42.36125925,-71.07156332
2016-02-15 11:18:23+00:00,42.36125792,-71.07154709
2016-02-15 11:18:25+00:00,42.36124816,-71.07141553
2016-02-15 11:18:26+00:00,42.36124164,-71.07133886
2016-02-15 11:18:27+00:00,42.36123721,-71.07126154
2016-02-15 11:18:28+00:00,42.36123335,-71.07118236
2016-02-15 11:18:29+00:00,42.36122788,-71.07111144
2016-02-15 11:18:30+00:00,42.36122096,-71.07104364
2016-02-15 11:18:31+00:00,42.36121229,-71.07098217
2016-02-15 11:18:32+00:00,42.36117739,-71.07083882
2016-02-15 11:18:33+00:00,42.36115233,-71.0707654
2016-02-15 11:18:34+00:00,42.361148,-71.07067372
2016-02-15 11:18:35+00:00,42.3611539,-71.07056121
2016-02-15 11:18:36+00:00,42.36113419,-71.07044704
2016-02-15 11:18:37+00:00,42.36113176,-71.07033849
