RawGPS
Time (UTC),Latitude,Longitude
2016-01-19 14:25:50+00:00,30.702157,76.850103
2016-01-19 14:25:51+00:00,30.702113,76.850107
2016-01-19 14:25:52+00:00,30.702022,76.850042
2016-01-19 14:25:53+00:00,30.701909,76.850039
2016-01-19 14:25:54+00:00,30.701799,76.850027
2016-01-19 14:25:55+00:00,30.70168,76.850022
2016-01-19 14:25:56+00:00,30.701558,76.850009
2016-01-19 14:25:57+00:00,30.701432,76.850003
2016-01-19 14:25:58+00:00,30.7013,76.849997
2016-01-19 14:25:59+00:00,30.701168,76.84999
2016-01-19 14:26:00+00:00,30.701037,76.849971
2016-01-19 14:26:01+00:00,30.700898,76.849963
2016-01-19 14:26:02+00:00,30.700764,76.849955
2016-01-19 14:26:03+00:00,30.700636,76.849949
2016-01-19 14:26:04+00:00,30.700507,76.849948
2016-01-19 14:26:05+00:00,30.700387,76.849953
2016-01-19 14:26:06+00:00,30.700267,76.849948
2016-01-19 14:26:07+00:00,30.700149,76.849947
2016-01-19 14:26:08+00:00,30.700044,76.849952
2016-01-19 14:26:09+00:00,30.699938,76.849953
2016-01-19 14:26:10+00:00,30.699834,76.849957
2016-01-19 14:26:11+00:00,30.699743,76.849943
2016-01-19 14:26:12+00:00,30.699645,76.849955
2016-01-19 14:26:13+00:00,30.69955,76.84996
2016-01-19 14:26:14+00:00,30.69946,76.849968
2016-01-19 14:26:15+00:00,30.699376,76.84998
2016-01-19 14:26:16+00:00,30.699304,76.849981
2016-01-19 14:26:17+00:00,30.69924,76.849986
2016-01-19 14:26:18+00:00,30.699185,76.849988
2016-01-19 14:26:19+00:00,30.699154,76.849987
2016-01-19 14:26:20+00:00,30.699135,76.849985
2016-01-19 14:26:21+00:00,30.699117,76.849981
2016-01-19 14:26:22+00:00,30.6991,76.849982
2016-01-19 14:26:23+00:00,30.699092,76.84998
2016-01-19 14:26:24+00:00,30.699085,76.849979
2016-01-19 14:26:25+00:00,30.699072,76.849988
2016-01-19 14:26:26+00:00,30.699058,76.849997
2016-01-19 14:26:27+00:00,30.699048,76.849998
2016-01-19 14:26:28+00:00,30.699032,76.850001
2016-01-19 14:26:29+00:00,30.699012,76.849999
2016-01-19 14:26:30+00:00,30.698993,76.850002
2016-01-19 14:26:31+00:00,30.698972,76.849997
2016-01-19 14:26:32+00:00,30.698957,76.849994
2016-01-19 14:26:33+00:00,30.698943,76.849992
2016-01-19 14:26:34+00:00,30.698928,76.84999
2016-01-19 14:26:35+00:00,30.698918,76.849994
2016-01-19 14:26:36+00:00,30.698913,76.849995
2016-01-19 14:26:37+00:00,30.698912,76.849996
2016-01-19 14:26:38+00:00,30.698914,76.849997
2016-01-19 14:26:39+00:00,30.698915,76.849998
2016-01-19 14:26:40+00:00,30.698913,76.849997
2016-01-19 14:26:41+00:00,30.698903,76.849987
2016-01-19 14:26:42+00:00,30.698903,76.849987
2016-01-19 14:26:43+00:00,30.698903,76.849987
2016-01-19 14:26:44+00:00,30.698903,76.849987
2016-01-19 14:26:45+00:00,30.698903,76.849987
2016-01-19 14:26:46+00:00,30.698903,76.849987
2016-01-19 14:26:47+00:00,30.698927,76.849978
2016-01-19 14:26:48+00:00,30.698927,76.849979
2016-01-19 14:26:49+00:00,30.698927,76.849981
2016-01-19 14:26:50+00:00,30.698927,76.849983
2016-01-19 14:26:51+00:00,30.698925,76.849984
2016-01-19 14:26:52+00:00,30.698925,76.849984
2016-01-19 14:26:53+00:00,30.698914,76.849987
2016-01-19 14:26:54+00:00,30.698914,76.849987
2016-01-19 14:26:55+00:00,30.698914,76.849987
2016-01-19 14:26:56+00:00,30.698914,76.849987
2016-01-19 14:26:57+00:00,30.69891,76.84998
2016-01-19 14:26:58+00:00,30.69891,76.84998
2016-01-19 14:26:59+00:00,30.698912,76.849971
2016-01-19 14:27:00+00:00,30.69891,76.849968
2016-01-19 14:27:01+00:00,30.69891,76.849968
2016-01-19 14:27:02+00:00,30.698915,76.849969
2016-01-19 14:27:03+00:00,30.698915,76.849969
2016-01-19 14:27:04+00:00,30.698915,76.849969
2016-01-19 14:27:05+00:00,30.698921,76.849964
2016-01-19 14:27:06+00:00,30.698921,76.849964
2016-01-19 14:27:07+00:00,30.698926,76.84996
2016-01-19 14:27:08+00:00,30.698928,76.84996
2016-01-19 14:27:09+00:00,30.698928,76.84996
2016-01-19 14:27:10+00:00,30.698928,76.84996
2016-01-19 14:27:11+00:00,30.698929,76.849959
2016-01-19 14:27:12+00:00,30.698929,76.849954
2016-01-19 14:27:13+00:00,30.698931,76.849948
2016-01-19 14:27:14+00:00,30.698931,76.849944
2016-01-19 14:27:15+00:00,30.69893,76.849937
2016-01-19 14:27:16+00:00,30.698929,76.849933
2016-01-19 14:27:17+00:00,30.698928,76.84993
2016-01-19 14:27:18+00:00,30.698927,76.849926
2016-01-19 14:27:19+00:00,30.698927,76.849926
2016-01-19 14:27:20+00:00,30.69893,76.849924
2016-01-19 14:27:21+00:00,30.69893,76.849924
2016-01-19 14:27:22+00:00,30.69893,76.849924
2016-01-19 14:27:23+00:00,30.698923,76.849943
2016-01-19 14:27:24+00:00,30.698909,76.84995
2016-01-19 14:27:25+00:00,30.698886,76.849956
2016-01-19 14:27:26+00:00,30.698853,76.849963
2016-01-19 14:27:27+00:00,30.698813,76.849971
2016-01-19 14:27:28+00:00,30.69877,76.849979
2016-01-19 14:27:29+00:00,30.698725,76.849984
2016-01-19 14:27:30+00:00,30.698678,76.84999
2016-01-19 14:27:31+00:00,30.698631,76.849993
2016-01-19 14:27:32+00:00,30.698587,76.849996
2016-01-19 14:27:33+00:00,30.698543,76.849999
2016-01-19 14:27:34+00:00,30.6985,76.850001
2016-01-19 14:27:35+00:00,30.698459,76.850002
2016-01-19 14:27:36+00:00,30.698417,76.850001
2016-01-19 14:27:37+00:00,30.698349,76.850005
2016-01-19 14:27:38+00:00,30.69829,76.850009
2016-01-19 14:27:39+00:00,30.698241,76.850011
2016-01-19 14:27:40+00:00,30.698179,76.850013
2016-01-19 14:27:41+00:00,30.698114,76.850013
2016-01-19 14:27:42+00:00,30.698067,76.850018
2016-01-19 14:27:43+00:00,30.698007,76.850025
2016-01-19 14:27:44+00:00,30.69795,76.850036
2016-01-19 14:27:45+00:00,30.697886,76.850036
2016-01-19 14:27:46+00:00,30.697833,76.850054
2016-01-19 14:27:47+00:00,30.697782,76.850061
2016-01-19 14:27:48+00:00,30.697734,76.850064
2016-01-19 14:27:49+00:00,30.69768,76.850074
2016-01-19 14:27:50+00:00,30.69763,76.850079
2016-01-19 14:27:51+00:00,30.697579,76.850088
2016-01-19 14:27:52+00:00,30.697518,76.850096
2016-01-19 14:27:53+00:00,30.697472,76.850032
2016-01-19 14:27:54+00:00,30.697407,76.850078
2016-01-19 14:27:55+00:00,30.697404,76.849998
2016-01-19 14:27:56+00:00,30.697462,76.849935
2016-01-19 14:27:57+00:00,30.697482,76.849988
2016-01-19 14:27:58+00:00,30.697442,76.850041
2016-01-19 14:27:59+00:00,30.697427,76.850091
2016-01-19 14:28:00+00:00,30.697405,76.850045
2016-01-19 14:28:01+00:00,30.697404,76.850033
2016-01-19 14:28:02+00:00,30.697419,76.850064
2016-01-19 14:28:03+00:00,30.697411,76.850069
2016-01-19 14:28:04+00:00,30.697419,76.850049
2016-01-19 14:28:05+00:00,30.697451,76.850039
2016-01-19 14:28:06+00:00,30.69745,76.850047
2016-01-19 14:28:07+00:00,30.697448,76.850047
2016-01-19 14:28:08+00:00,30.697435,76.850047
2016-01-19 14:28:09+00:00,30.697414,76.850059
2016-01-19 14:28:10+00:00,30.697399,76.850064
2016-01-19 14:28:11+00:00,30.697399,76.850064
2016-01-19 14:28:12+00:00,30.697399,76.850064
2016-01-19 14:28:13+00:00,30.697399,76.850064
2016-01-19 14:28:14+00:00,30.697399,76.850064
2016-01-19 14:28:15+00:00,30.697399,76.850064
2016-01-19 14:28:16+00:00,30.697399,76.850064
2016-01-19 14:28:17+00:00,30.697399,76.850064
2016-01-19 14:28:18+00:00,30.697399,76.850064
2016-01-19 14:28:19+00:00,30.697399,76.850064
2016-01-19 14:28:20+00:00,30.697399,76.850064
2016-01-19 14:28:21+00:00,30.697399,76.850064
2016-01-19 14:28:22+00:00,30.697399,76.850064
2016-01-19 14:28:23+00:00,30.697363,76.850081
2016-01-19 14:28:24+00:00,30.697366,76.850081
2016-01-19 14:28:25+00:00,30.697371,76.85008
2016-01-19 14:28:26+00:00,30.697374,76.850081
2016-01-19 14:28:27+00:00,30.697374,76.850081
2016-01-19 14:28:28+00:00,30.697374,76.850081
2016-01-19 14:28:29+00:00,30.697374,76.850081
2016-01-19 14:28:30+00:00,30.697374,76.850081
2016-01-19 14:28:31+00:00,30.697374,76.850081
2016-01-19 14:28:32+00:00,30.697374,76.850081
2016-01-19 14:28:33+00:00,30.697374,76.850081
2016-01-19 14:28:34+00:00,30.697374,76.850081
2016-01-19 14:28:35+00:00,30.697374,76.850081
2016-01-19 14:28:36+00:00,30.697374,76.850081
2016-01-19 14:28:37+00:00,30.697374,76.850081
2016-01-19 14:28:38+00:00,30.697374,76.850081
2016-01-19 14:28:39+00:00,30.697374,76.850081
2016-01-19 14:28:40+00:00,30.697374,76.850081
2016-01-19 14:28:41+00:00,30.697374,76.850081
2016-01-19 14:28:42+00:00,30.697374,76.850081
2016-01-19 14:28:43+00:00,30.697374,76.850081
2016-01-19 14:28:44+00:00,30.697374,76.850081
2016-01-19 14:28:45+00:00,30.697374,76.850081
2016-01-19 14:28:46+00:00,30.697374,76.850081
2016-01-19 14:28:47+00:00,30.697374,76.850081
2016-01-19 14:28:48+00:00,30.697374,76.850081
2016-01-19 14:28:49+00:00,30.697374,76.850081
2016-01-19 14:28:50+00:00,30.697374,76.850081
2016-01-19 14:28:51+00:00,30.697374,76.850081
2016-01-19 14:28:52+00:00,30.697374,76.850081
2016-01-19 14:28:53+00:00,30.697374,76.850081
2016-01-19 14:28:54+00:00,30.697374,76.850081
2016-01-19 14:28:55+00:00,30.697374,76.850081
2016-01-19 14:28:56+00:00,30.697374,76.850081
2016-01-19 14:28:57+00:00,30.697374,76.850081
2016-01-19 14:28:58+00:00,30.697374,76.850081
2016-01-19 14:28:59+00:00,30.697374,76.850081
2016-01-19 14:29:00+00:00,30.697374,76.850081
2016-01-19 14:29:01+00:00,30.697374,76.850081
