RawGPS
Time (UTC),Latitude,Longitude
2016-01-11 22:47:47+00:00,39.917213,116.406612
2016-01-11 22:47:48+00:00,39.917226,116.406738
2016-01-11 22:47:49+00:00,39.917214,116.406861
2016-01-11 22:47:50+00:00,39.917224,116.406985
2016-01-11 22:47:53+00:00,39.917269,116.40734
2016-01-11 22:47:54+00:00,39.917272,116.40746
2016-01-11 22:47:55+00:00,39.917285,116.407581
2016-01-11 22:47:57+00:00,39.917303,116.407843
2016-01-11 22:47:58+00:00,39.917318,116.407987
2016-01-11 22:47:59+00:00,39.917325,116.408125
2016-01-11 22:48:00+00:00,39.91733,116.408252
2016-01-11 22:48:02+00:00,39.917341,116.408356
2016-01-11 22:48:03+00:00,39.917361,116.408532
2016-01-11 22:48:05+00:00,39.917368,116.408599
2016-01-11 22:48:06+00:00,39.917364,116.408675
2016-01-11 22:48:07+00:00,39.91737,116.40871
2016-01-11 22:48:08+00:00,39.91738,116.40875
2016-01-11 22:48:09+00:00,39.917354,116.408806
2016-01-11 22:48:10+00:00,39.917329,116.408868
2016-01-11 22:48:11+00:00,39.917339,116.408934
2016-01-11 22:48:12+00:00,39.917344,116.408987
2016-01-11 22:48:13+00:00,39.917344,116.409039
2016-01-11 22:48:14+00:00,39.917343,116.4091
2016-01-11 22:48:15+00:00,39.917355,116.409155
2016-01-11 22:48:16+00:00,39.917374,116.409224
2016-01-11 22:48:17+00:00,39.917352,116.409288
2016-01-11 22:48:18+00:00,39.917338,116.409358
2016-01-11 22:48:19+00:00,39.917358,116.409418
2016-01-11 22:48:20+00:00,39.917365,116.409476
2016-01-11 22:48:21+00:00,39.917361,116.409543
2016-01-11 22:48:22+00:00,39.91738,116.409604
2016-01-11 22:48:23+00:00,39.917382,116.409669
2016-01-11 22:48:24+00:00,39.917384,116.409709
2016-01-11 22:48:25+00:00,39.917385,116.40976
2016-01-11 22:48:26+00:00,39.917382,116.409838
2016-01-11 22:48:27+00:00,39.917371,116.409906
2016-01-11 22:48:28+00:00,39.917367,116.409963
2016-01-11 22:48:29+00:00,39.917362,116.409992
2016-01-11 22:48:30+00:00,39.917385,116.409997
2016-01-11 22:48:31+00:00,39.9174,116.41001
2016-01-11 22:48:32+00:00,39.9174,116.410027
2016-01-11 22:48:33+00:00,39.917405,116.410046
2016-01-11 22:48:34+00:00,39.917408,116.410082
2016-01-11 22:48:35+00:00,39.91741,116.410125
2016-01-11 22:48:36+00:00,39.917414,116.410177
2016-01-11 22:48:37+00:00,39.917406,116.410246
