RawGPS
Time (UTC),Latitude,Longitude
2016-02-02 04:58:57+00:00,30.183008,119.3065
2016-02-02 04:58:58+00:00,30.182975,119.306277
2016-02-02 04:58:59+00:00,30.182989,119.306021
2016-02-02 04:59:00+00:00,30.1829,119.305865
2016-02-02 04:59:01+00:00,30.182861,119.30557
2016-02-02 04:59:02+00:00,30.182849,119.305388
2016-02-02 04:59:03+00:00,30.182841,119.305075
2016-02-02 04:59:04+00:00,30.182852,119.304791
2016-02-02 04:59:05+00:00,30.182846,119.304543
2016-02-02 04:59:06+00:00,30.182815,119.304304
2016-02-02 04:59:07+00:00,30.182828,119.304043
2016-02-02 04:59:08+00:00,30.182796,119.303812
2016-02-02 04:59:09+00:00,30.182796,119.303571
2016-02-02 04:59:10+00:00,30.182765,119.303313
2016-02-02 04:59:11+00:00,30.182751,119.303078
2016-02-02 04:59:12+00:00,30.182765,119.302884
2016-02-02 04:59:13+00:00,30.18276,119.302662
2016-02-02 04:59:14+00:00,30.182743,119.302435
2016-02-02 04:59:15+00:00,30.182729,119.30223
2016-02-02 04:59:16+00:00,30.182717,119.30201
2016-02-02 04:59:17+00:00,30.182711,119.301804
2016-02-02 04:59:18+00:00,30.182722,119.301599
2016-02-02 04:59:19+00:00,30.182718,119.301399
2016-02-02 04:59:20+00:00,30.182722,119.301199
2016-02-02 04:59:21+00:00,30.182722,119.300948
2016-02-02 04:59:22+00:00,30.182729,119.300735
2016-02-02 04:59:23+00:00,30.182736,119.300508
2016-02-02 04:59:24+00:00,30.182753,119.300279
2016-02-02 04:59:25+00:00,30.182761,119.30006
2016-02-02 04:59:26+00:00,30.182784,119.299848
2016-02-02 04:59:27+00:00,30.182788,119.299613
2016-02-02 04:59:28+00:00,30.182808,119.299389
2016-02-02 04:59:29+00:00,30.182816,119.299153
2016-02-02 04:59:30+00:00,30.182836,119.298928
2016-02-02 04:59:31+00:00,30.182849,119.298685
2016-02-02 04:59:32+00:00,30.182869,119.298458
2016-02-02 04:59:33+00:00,30.18289,119.298245
2016-02-02 04:59:34+00:00,30.182916,119.298035
2016-02-02 04:59:35+00:00,30.182939,119.297794
2016-02-02 04:59:36+00:00,30.182963,119.297589
2016-02-02 04:59:37+00:00,30.182983,119.297395
2016-02-02 04:59:38+00:00,30.183013,119.297179
2016-02-02 04:59:39+00:00,30.183058,119.296984
