RawGPS
Time (UTC),Latitude,Longitude
2016-02-02 04:08:20+00:00,30.207416,119.531391
2016-02-02 04:08:21+00:00,30.207413,119.531396
2016-02-02 04:08:22+00:00,30.207414,119.531394
2016-02-02 04:08:23+00:00,30.207412,119.531391
2016-02-02 04:08:24+00:00,30.207408,119.531389
2016-02-02 04:08:25+00:00,30.207405,119.531382
2016-02-02 04:08:26+00:00,30.207409,119.531372
2016-02-02 04:08:27+00:00,30.207409,119.531372
2016-02-02 04:08:28+00:00,30.207424,119.531373
2016-02-02 04:08:29+00:00,30.207428,119.53136
2016-02-02 04:08:30+00:00,30.207428,119.53136
2016-02-02 04:08:31+00:00,30.207422,119.53134
2016-02-02 04:08:32+00:00,30.20742,119.531335
2016-02-02 04:08:33+00:00,30.207415,119.531337
2016-02-02 04:08:34+00:00,30.20741,119.531331
2016-02-02 04:08:35+00:00,30.207406,119.53132
2016-02-02 04:08:36+00:00,30.207406,119.53132
2016-02-02 04:08:37+00:00,30.207394,119.531306
2016-02-02 04:08:38+00:00,30.207389,119.531291
2016-02-02 04:08:39+00:00,30.207386,119.531277
2016-02-02 04:08:40+00:00,30.207386,119.531265
2016-02-02 04:08:41+00:00,30.207385,119.531253
2016-02-02 04:08:42+00:00,30.207382,119.531235
2016-02-02 04:08:43+00:00,30.207381,119.531219
2016-02-02 04:08:44+00:00,30.207378,119.531211
2016-02-02 04:08:45+00:00,30.207371,119.531212
2016-02-02 04:08:46+00:00,30.207363,119.531207
2016-02-02 04:08:47+00:00,30.207358,119.531199
2016-02-02 04:08:48+00:00,30.207355,119.531184
2016-02-02 04:08:49+00:00,30.20735,119.531162
2016-02-02 04:08:50+00:00,30.207347,119.531135
2016-02-02 04:08:51+00:00,30.207347,119.531108
2016-02-02 04:08:52+00:00,30.207349,119.531085
2016-02-02 04:08:53+00:00,30.207349,119.53107
2016-02-02 04:08:54+00:00,30.20735,119.531062
2016-02-02 04:08:55+00:00,30.20735,119.531054
2016-02-02 04:08:56+00:00,30.207349,119.53105
2016-02-02 04:08:57+00:00,30.207349,119.53105
2016-02-02 04:08:58+00:00,30.207342,119.531045
2016-02-02 04:08:59+00:00,30.207338,119.531024
2016-02-02 04:09:00+00:00,30.207337,119.531002
2016-02-02 04:09:01+00:00,30.207336,119.530975
2016-02-02 04:09:02+00:00,30.20734,119.530943
2016-02-02 04:09:03+00:00,30.207342,119.530916
2016-02-02 04:09:04+00:00,30.207343,119.530889
2016-02-02 04:09:05+00:00,30.207344,119.530864
2016-02-02 04:09:06+00:00,30.207341,119.530835
2016-02-02 04:09:07+00:00,30.207331,119.530806
2016-02-02 04:09:08+00:00,30.207332,119.530793
2016-02-02 04:09:09+00:00,30.207331,119.530783
2016-02-02 04:09:10+00:00,30.207326,119.530774
2016-02-02 04:09:11+00:00,30.20732,119.530756
2016-02-02 04:09:12+00:00,30.207312,119.530747
2016-02-02 04:09:13+00:00,30.207305,119.530738
2016-02-02 04:09:14+00:00,30.207296,119.530727
2016-02-02 04:09:15+00:00,30.20729,119.530711
2016-02-02 04:09:16+00:00,30.207287,119.53069
2016-02-02 04:09:17+00:00,30.207285,119.530672
2016-02-02 04:09:18+00:00,30.207283,119.530653
2016-02-02 04:09:19+00:00,30.207285,119.530635
2016-02-02 04:09:20+00:00,30.207286,119.530622
2016-02-02 04:09:21+00:00,30.207287,119.530612
2016-02-02 04:09:22+00:00,30.207289,119.530602
2016-02-02 04:09:23+00:00,30.20729,119.530586
2016-02-02 04:09:24+00:00,30.207292,119.530563
2016-02-02 04:09:25+00:00,30.207295,119.530531
2016-02-02 04:09:26+00:00,30.2073,119.530493
2016-02-02 04:09:27+00:00,30.207306,119.530464
2016-02-02 04:09:28+00:00,30.207315,119.530442
2016-02-02 04:09:29+00:00,30.207326,119.530429
2016-02-02 04:09:30+00:00,30.20734,119.53042
2016-02-02 04:09:31+00:00,30.207358,119.530418
2016-02-02 04:09:32+00:00,30.207378,119.530423
2016-02-02 04:09:33+00:00,30.207397,119.530429
2016-02-02 04:09:34+00:00,30.207415,119.530433
2016-02-02 04:09:35+00:00,30.207435,119.530434
2016-02-02 04:09:36+00:00,30.207454,119.530432
2016-02-02 04:09:37+00:00,30.20747,119.530424
2016-02-02 04:09:38+00:00,30.20748,119.530415
2016-02-02 04:09:39+00:00,30.207481,119.530406
2016-02-02 04:09:40+00:00,30.207479,119.530393
2016-02-02 04:09:41+00:00,30.207477,119.53038
2016-02-02 04:09:42+00:00,30.207475,119.53036
2016-02-02 04:09:43+00:00,30.207472,119.530339
2016-02-02 04:09:44+00:00,30.207466,119.530314
2016-02-02 04:09:45+00:00,30.207461,119.530287
2016-02-02 04:09:46+00:00,30.207453,119.530263
2016-02-02 04:09:47+00:00,30.207446,119.53025
2016-02-02 04:09:48+00:00,30.207438,119.530237
2016-02-02 04:09:49+00:00,30.207426,119.530229
2016-02-02 04:09:50+00:00,30.20742,119.530229
2016-02-02 04:09:51+00:00,30.207419,119.530227
2016-02-02 04:09:52+00:00,30.207419,119.530227
2016-02-02 04:09:53+00:00,30.207419,119.530227
2016-02-02 04:09:54+00:00,30.20742,119.530222
2016-02-02 04:09:55+00:00,30.207415,119.530198
2016-02-02 04:09:56+00:00,30.207417,119.530166
2016-02-02 04:09:57+00:00,30.207423,119.53013
2016-02-02 04:09:58+00:00,30.207428,119.530099
2016-02-02 04:09:59+00:00,30.207437,119.530077
