RawGPS
Time (UTC),Latitude,Longitude
2016-02-02 05:58:25+00:00,29.968431,118.68361
2016-02-02 05:58:26+00:00,29.968454,118.683345
2016-02-02 05:58:27+00:00,29.968439,118.683276
2016-02-02 05:58:28+00:00,29.968142,118.682817
2016-02-02 05:58:29+00:00,29.968004,118.682596
2016-02-02 05:58:30+00:00,29.967939,118.682473
2016-02-02 05:58:31+00:00,29.967744,118.682181
2016-02-02 05:58:33+00:00,29.967642,118.682017
2016-02-02 05:58:34+00:00,29.967339,118.681569
2016-02-02 05:58:35+00:00,29.967265,118.681471
2016-02-02 05:58:36+00:00,29.967151,118.681305
2016-02-02 05:58:37+00:00,29.966998,118.681113
2016-02-02 05:58:39+00:00,29.966708,118.680738
2016-02-02 05:58:40+00:00,29.96658,118.680596
2016-02-02 05:58:42+00:00,29.966234,118.680145
2016-02-02 05:58:44+00:00,29.965896,118.679737
2016-02-02 05:58:45+00:00,29.965719,118.679513
2016-02-02 05:58:47+00:00,29.965344,118.679055
2016-02-02 05:58:48+00:00,29.965158,118.678826
2016-02-02 05:58:49+00:00,29.964966,118.678584
2016-02-02 05:58:51+00:00,29.964845,118.678433
2016-02-02 05:58:52+00:00,29.964466,118.677961
2016-02-02 05:58:54+00:00,29.964116,118.677538
2016-02-02 05:58:55+00:00,29.963931,118.677314
2016-02-02 05:58:56+00:00,29.963749,118.677087
2016-02-02 05:58:57+00:00,29.963559,118.676862
2016-02-02 05:58:58+00:00,29.963384,118.676636
2016-02-02 05:58:59+00:00,29.963208,118.676416
2016-02-02 05:59:01+00:00,29.963014,118.67617
2016-02-02 05:59:02+00:00,29.962736,118.675726
2016-02-02 05:59:03+00:00,29.962571,118.67547
2016-02-02 05:59:04+00:00,29.962413,118.675219
2016-02-02 05:59:05+00:00,29.962287,118.674975
2016-02-02 05:59:06+00:00,29.962151,118.674698
2016-02-02 05:59:07+00:00,29.962025,118.674442
2016-02-02 05:59:09+00:00,29.961805,118.673879
2016-02-02 05:59:10+00:00,29.961694,118.673592
2016-02-02 05:59:11+00:00,29.961591,118.673301
2016-02-02 05:59:12+00:00,29.961496,118.673093
2016-02-02 05:59:13+00:00,29.961416,118.672796
2016-02-02 05:59:14+00:00,29.961336,118.672473
2016-02-02 05:59:15+00:00,29.961221,118.672185
2016-02-02 05:59:16+00:00,29.961124,118.671862
2016-02-02 05:59:17+00:00,29.961062,118.671548
2016-02-02 05:59:18+00:00,29.960969,118.671258
2016-02-02 05:59:19+00:00,29.960877,118.670936
2016-02-02 05:59:20+00:00,29.960765,118.67061
2016-02-02 05:59:21+00:00,29.960695,118.670286
2016-02-02 05:59:23+00:00,29.96051,118.669679
2016-02-02 05:59:25+00:00,29.960308,118.669084
2016-02-02 05:59:26+00:00,29.960194,118.668809
2016-02-02 05:59:27+00:00,29.96007,118.668519
2016-02-02 05:59:28+00:00,29.959925,118.668233
2016-02-02 05:59:29+00:00,29.959776,118.667956
