RawGPS
Time (UTC),Latitude,Longitude
2015-12-07 11:36:21+00:00,21.05114,105.8093
2015-12-07 11:36:22+00:00,21.05114,105.8093
2015-12-07 11:36:23+00:00,21.05114,105.8093
2015-12-07 11:36:24+00:00,21.05114,105.8093
2015-12-07 11:36:25+00:00,21.05114,105.8093
2015-12-07 11:36:26+00:00,21.05114,105.8093
2015-12-07 11:36:27+00:00,21.05114,105.8093
2015-12-07 11:36:28+00:00,21.05114,105.8093
2015-12-07 11:36:29+00:00,21.05114,105.8093
2015-12-07 11:36:30+00:00,21.05114,105.8093
2015-12-07 11:36:31+00:00,21.05114,105.8093
2015-12-07 11:36:32+00:00,21.05114,105.8093
2015-12-07 11:36:33+00:00,21.05114,105.8093
2015-12-07 11:36:34+00:00,21.05114,105.8093
2015-12-07 11:36:35+00:00,21.05114,105.8093
2015-12-07 11:36:36+00:00,21.05114,105.8093
2015-12-07 11:36:37+00:00,21.05114,105.8093
2015-12-07 11:36:38+00:00,21.05114,105.8093
2015-12-07 11:36:39+00:00,21.05114,105.8093
2015-12-07 11:36:40+00:00,21.05114,105.8093
2015-12-07 11:36:41+00:00,21.05114,105.8093
2015-12-07 11:36:42+00:00,21.05114,105.8093
2015-12-07 11:36:43+00:00,21.05114,105.8093
2015-12-07 11:36:44+00:00,21.05114,105.8093
2015-12-07 11:36:45+00:00,21.05114,105.8093
2015-12-07 11:36:46+00:00,21.05114,105.8093
2015-12-07 11:36:47+00:00,21.05114,105.8093
2015-12-07 11:36:48+00:00,21.05114,105.8093
2015-12-07 11:36:49+00:00,21.05114,105.8093
2015-12-07 11:36:50+00:00,21.05114,105.8093
2015-12-07 11:36:51+00:00,21.05114,105.8093
2015-12-07 11:36:52+00:00,21.05114,105.8093
2015-12-07 11:36:53+00:00,21.05114,105.8093
2015-12-07 11:36:54+00:00,21.05114,105.8093
2015-12-07 11:36:55+00:00,21.05114,105.8093
2015-12-07 11:36:56+00:00,21.05114,105.8093
2015-12-07 11:36:57+00:00,21.05114,105.8093
2015-12-07 11:36:58+00:00,21.05114,105.8093
2015-12-07 11:36:59+00:00,21.05114,105.8093
2015-12-07 11:37:00+00:00,21.05114,105.8093
2015-12-07 11:37:01+00:00,21.05114,105.8093
2015-12-07 11:37:02+00:00,21.05114,105.8093
2015-12-07 11:37:03+00:00,21.05114,105.8093
2015-12-07 11:37:04+00:00,21.05114,105.8093
2015-12-07 11:37:05+00:00,21.05114,105.8093
2015-12-07 11:37:06+00:00,21.05114,105.8093
2015-12-07 11:37:07+00:00,21.05114,105.8093
2015-12-07 11:37:08+00:00,21.05114,105.8093
2015-12-07 11:37:09+00:00,21.05114,105.8093
2015-12-07 11:37:10+00:00,21.05114,105.8093
2015-12-07 11:37:11+00:00,21.05114,105.8093
2015-12-07 11:37:12+00:00,21.05114,105.8093
2015-12-07 11:37:13+00:00,21.05114,105.8093
2015-12-07 11:37:14+00:00,21.05114,105.8093
2015-12-07 11:37:15+00:00,21.05114,105.8093
2015-12-07 11:37:16+00:00,21.05114,105.8093
2015-12-07 11:37:17+00:00,21.05114,105.8093
2015-12-07 11:37:18+00:00,21.05114,105.8093
2015-12-07 11:37:19+00:00,21.05114,105.8093
2015-12-07 11:37:20+00:00,21.05116,105.8093
2015-12-07 11:37:21+00:00,21.05116,105.8093
2015-12-07 11:37:22+00:00,21.05116,105.8093
2015-12-07 11:37:23+00:00,21.05116,105.8093
2015-12-07 11:37:24+00:00,21.05116,105.8093
2015-12-07 11:37:25+00:00,21.05115,105.8093
2015-12-07 11:37:26+00:00,21.05115,105.8093
2015-12-07 11:37:27+00:00,21.05115,105.8093
2015-12-07 11:37:28+00:00,21.05115,105.8093
2015-12-07 11:37:29+00:00,21.05115,105.8093
2015-12-07 11:37:30+00:00,21.05114,105.8093
2015-12-07 11:37:31+00:00,21.05114,105.8093
2015-12-07 11:37:32+00:00,21.05114,105.8093
2015-12-07 11:37:33+00:00,21.05113,105.8093
2015-12-07 11:37:34+00:00,21.05113,105.8093
2015-12-07 11:37:35+00:00,21.05113,105.8093
2015-12-07 11:37:36+00:00,21.05113,105.8093
2015-12-07 11:37:37+00:00,21.05113,105.8093
2015-12-07 11:37:38+00:00,21.05112,105.8093
2015-12-07 11:37:39+00:00,21.05112,105.8093
2015-12-07 11:37:40+00:00,21.05114,105.8094
2015-12-07 11:37:41+00:00,21.05115,105.8093
2015-12-07 11:37:42+00:00,21.05116,105.8093
2015-12-07 11:37:43+00:00,21.05116,105.8093
2015-12-07 11:37:44+00:00,21.05119,105.8091
2015-12-07 11:37:45+00:00,21.05121,105.8091
2015-12-07 11:37:46+00:00,21.05121,105.8091
2015-12-07 11:37:47+00:00,21.05121,105.8091
2015-12-07 11:37:48+00:00,21.05121,105.8091
2015-12-07 11:37:49+00:00,21.05122,105.8091
2015-12-07 11:37:50+00:00,21.05124,105.8092
2015-12-07 11:37:51+00:00,21.05125,105.8092
2015-12-07 11:37:52+00:00,21.05124,105.8092
2015-12-07 11:37:53+00:00,21.05125,105.8092
2015-12-07 11:37:54+00:00,21.05125,105.8092
2015-12-07 11:37:55+00:00,21.05126,105.8092
2015-12-07 11:37:56+00:00,21.05127,105.8092
2015-12-07 11:37:57+00:00,21.05131,105.8093
2015-12-07 11:37:58+00:00,21.05132,105.8093
2015-12-07 11:37:59+00:00,21.05132,105.8093
2015-12-07 11:38:00+00:00,21.05133,105.8093
2015-12-07 11:38:01+00:00,21.05135,105.8093
2015-12-07 11:38:02+00:00,21.05136,105.8093
2015-12-07 11:38:03+00:00,21.05138,105.8094
2015-12-07 11:38:04+00:00,21.05139,105.8094
2015-12-07 11:38:05+00:00,21.0514,105.8094
2015-12-07 11:38:06+00:00,21.05141,105.8094
2015-12-07 11:38:07+00:00,21.05142,105.8094
2015-12-07 11:38:08+00:00,21.05144,105.8094
2015-12-07 11:38:09+00:00,21.05146,105.8094
2015-12-07 11:38:10+00:00,21.05148,105.8094
2015-12-07 11:38:11+00:00,21.0515,105.8093
2015-12-07 11:38:12+00:00,21.05151,105.8093
2015-12-07 11:38:13+00:00,21.05151,105.8093
2015-12-07 11:38:14+00:00,21.0516,105.8096
2015-12-07 11:38:15+00:00,21.0516,105.8096
2015-12-07 11:38:16+00:00,21.05139,105.8092
2015-12-07 11:38:17+00:00,21.05139,105.8092
2015-12-07 11:38:18+00:00,21.05139,105.8092
2015-12-07 11:38:19+00:00,21.0514,105.8092
2015-12-07 11:38:20+00:00,21.0514,105.8092
2015-12-07 11:38:21+00:00,21.0514,105.8092
2015-12-07 11:38:22+00:00,21.05138,105.8091
2015-12-07 11:38:23+00:00,21.05138,105.8091
2015-12-07 11:38:24+00:00,21.05138,105.8091
2015-12-07 11:38:25+00:00,21.05137,105.8091
2015-12-07 11:38:26+00:00,21.05137,105.8091
2015-12-07 11:38:27+00:00,21.05137,105.8091
2015-12-07 11:38:28+00:00,21.05138,105.8091
2015-12-07 11:38:29+00:00,21.05138,105.8091
2015-12-07 11:38:30+00:00,21.0514,105.8091
2015-12-07 11:38:31+00:00,21.05142,105.8091
2015-12-07 11:38:32+00:00,21.05144,105.8091
