RawGPS
Time (UTC),Latitude,Longitude
2016-01-27 08:41:37+00:00,31.233126,121.544213
2016-01-27 08:41:38+00:00,31.233168,121.54434
2016-01-27 08:41:39+00:00,31.233217,121.544456
2016-01-27 08:41:40+00:00,31.233261,121.544572
2016-01-27 08:41:41+00:00,31.233298,121.544686
2016-01-27 08:41:42+00:00,31.233332,121.544795
2016-01-27 08:41:43+00:00,31.233373,121.544888
2016-01-27 08:41:44+00:00,31.233403,121.544977
2016-01-27 08:41:45+00:00,31.233421,121.545057
2016-01-27 08:41:46+00:00,31.233441,121.545111
2016-01-27 08:41:47+00:00,31.233468,121.545155
2016-01-27 08:41:48+00:00,31.233493,121.545197
2016-01-27 08:41:49+00:00,31.233497,121.545251
2016-01-27 08:41:50+00:00,31.233516,121.545294
2016-01-27 08:41:51+00:00,31.233535,121.545363
2016-01-27 08:41:52+00:00,31.233569,121.545439
2016-01-27 08:41:53+00:00,31.233593,121.545521
2016-01-27 08:41:54+00:00,31.233627,121.545592
2016-01-27 08:41:55+00:00,31.233649,121.545652
2016-01-27 08:41:56+00:00,31.233675,121.5457
2016-01-27 08:41:57+00:00,31.233693,121.545738
2016-01-27 08:41:58+00:00,31.233707,121.545769
2016-01-27 08:41:59+00:00,31.233723,121.545779
2016-01-27 08:42:00+00:00,31.233746,121.545786
2016-01-27 08:42:01+00:00,31.233754,121.545829
2016-01-27 08:42:02+00:00,31.233764,121.545863
2016-01-27 08:42:03+00:00,31.233776,121.545895
2016-01-27 08:42:04+00:00,31.233787,121.545921
2016-01-27 08:42:05+00:00,31.233799,121.545942
2016-01-27 08:42:06+00:00,31.233809,121.54597
2016-01-27 08:42:07+00:00,31.233817,121.546001
2016-01-27 08:42:08+00:00,31.233826,121.546026
2016-01-27 08:42:09+00:00,31.233832,121.546048
2016-01-27 08:42:10+00:00,31.233834,121.546071
2016-01-27 08:42:11+00:00,31.233839,121.546086
2016-01-27 08:42:12+00:00,31.233845,121.546093
2016-01-27 08:42:13+00:00,31.233851,121.546096
2016-01-27 08:42:14+00:00,31.233854,121.546098
2016-01-27 08:42:15+00:00,31.233854,121.546098
2016-01-27 08:42:16+00:00,31.233854,121.546098
2016-01-27 08:42:17+00:00,31.233847,121.546102
2016-01-27 08:42:18+00:00,31.233843,121.546104
2016-01-27 08:42:19+00:00,31.233841,121.546103
2016-01-27 08:42:20+00:00,31.233841,121.546103
2016-01-27 08:42:22+00:00,31.233867,121.546093
2016-01-27 08:42:23+00:00,31.233871,121.546092
2016-01-27 08:42:24+00:00,31.233871,121.546092
2016-01-27 08:42:25+00:00,31.233871,121.546092
2016-01-27 08:42:26+00:00,31.233871,121.546092
2016-01-27 08:42:27+00:00,31.233871,121.546092
2016-01-27 08:42:28+00:00,31.233871,121.546092
2016-01-27 08:42:29+00:00,31.233871,121.546092
2016-01-27 08:42:30+00:00,31.233851,121.546076
2016-01-27 08:42:31+00:00,31.233839,121.546078
2016-01-27 08:42:32+00:00,31.233814,121.546083
2016-01-27 08:42:33+00:00,31.233792,121.546085
2016-01-27 08:42:34+00:00,31.233792,121.546085
2016-01-27 08:42:35+00:00,31.233792,121.546085
2016-01-27 08:42:36+00:00,31.233792,121.546085
2016-01-27 08:42:37+00:00,31.233785,121.546082
2016-01-27 08:42:38+00:00,31.233792,121.546087
2016-01-27 08:42:39+00:00,31.233805,121.546092
2016-01-27 08:42:40+00:00,31.233812,121.546097
2016-01-27 08:42:41+00:00,31.23382,121.546102
2016-01-27 08:42:42+00:00,31.233828,121.546107
2016-01-27 08:42:43+00:00,31.233835,121.546112
2016-01-27 08:42:44+00:00,31.233842,121.546117
2016-01-27 08:42:45+00:00,31.233848,121.546124
2016-01-27 08:42:46+00:00,31.233856,121.546133
2016-01-27 08:42:47+00:00,31.233862,121.54614
2016-01-27 08:42:48+00:00,31.233862,121.54614
2016-01-27 08:42:49+00:00,31.233862,121.54614
2016-01-27 08:42:50+00:00,31.23387,121.546149
2016-01-27 08:42:51+00:00,31.233873,121.546155
2016-01-27 08:42:52+00:00,31.233879,121.546165
2016-01-27 08:42:53+00:00,31.233889,121.546178
2016-01-27 08:42:54+00:00,31.233912,121.546204
2016-01-27 08:42:55+00:00,31.233938,121.546255
2016-01-27 08:42:56+00:00,31.233958,121.546312
2016-01-27 08:42:57+00:00,31.233975,121.546364
2016-01-27 08:42:58+00:00,31.233992,121.546415
2016-01-27 08:42:59+00:00,31.234012,121.546461
2016-01-27 08:43:00+00:00,31.234033,121.546508
2016-01-27 08:43:01+00:00,31.234055,121.546568
2016-01-27 08:43:02+00:00,31.234074,121.546624
2016-01-27 08:43:03+00:00,31.234093,121.54668
2016-01-27 08:43:04+00:00,31.234117,121.546726
2016-01-27 08:43:05+00:00,31.234136,121.546784
2016-01-27 08:43:06+00:00,31.234158,121.546842
2016-01-27 08:43:07+00:00,31.23418,121.546894
2016-01-27 08:43:08+00:00,31.234213,121.546942
2016-01-27 08:43:09+00:00,31.234245,121.546975
2016-01-27 08:43:10+00:00,31.234261,121.547027
2016-01-27 08:43:11+00:00,31.234284,121.547088
2016-01-27 08:43:12+00:00,31.234315,121.547163
2016-01-27 08:43:13+00:00,31.234347,121.547249
2016-01-27 08:43:14+00:00,31.234382,121.547323
2016-01-27 08:43:15+00:00,31.234406,121.547394
2016-01-27 08:43:16+00:00,31.234421,121.547435
2016-01-27 08:43:17+00:00,31.234418,121.547452
2016-01-27 08:43:18+00:00,31.234426,121.547461
2016-01-27 08:43:19+00:00,31.234428,121.547475
2016-01-27 08:43:20+00:00,31.234425,121.547489
2016-01-27 08:43:21+00:00,31.23443,121.547512
2016-01-27 08:43:22+00:00,31.23444,121.547539
2016-01-27 08:43:23+00:00,31.234455,121.547574
2016-01-27 08:43:24+00:00,31.234472,121.547613
2016-01-27 08:43:25+00:00,31.23449,121.547659
2016-01-27 08:43:26+00:00,31.234503,121.547706
2016-01-27 08:43:27+00:00,31.234518,121.54775
2016-01-27 08:43:28+00:00,31.234533,121.547792
2016-01-27 08:43:29+00:00,31.234547,121.547836
2016-01-27 08:43:30+00:00,31.234571,121.547886
2016-01-27 08:43:31+00:00,31.234591,121.547942
2016-01-27 08:43:32+00:00,31.234611,121.547998
2016-01-27 08:43:33+00:00,31.234647,121.548032
2016-01-27 08:43:34+00:00,31.234661,121.548082
2016-01-27 08:43:35+00:00,31.234682,121.548119
2016-01-27 08:43:36+00:00,31.2347,121.54815
2016-01-27 08:43:37+00:00,31.234726,121.548178
2016-01-27 08:43:38+00:00,31.234745,121.548205
2016-01-27 08:43:39+00:00,31.234761,121.548236
2016-01-27 08:43:40+00:00,31.234779,121.548268
2016-01-27 08:43:41+00:00,31.234794,121.548297
