RawGPS
Time (UTC),Latitude,Longitude
2016-02-02 03:16:50+00:00,30.243719,119.91067
2016-02-02 03:16:51+00:00,30.243725,119.910354
2016-02-02 03:16:52+00:00,30.243795,119.910102
2016-02-02 03:16:53+00:00,30.243826,119.90976
2016-02-02 03:16:54+00:00,30.243869,119.909441
2016-02-02 03:16:55+00:00,30.243907,119.909133
2016-02-02 03:16:56+00:00,30.243967,119.908829
2016-02-02 03:16:57+00:00,30.244058,119.908497
2016-02-02 03:16:58+00:00,30.244142,119.908205
2016-02-02 03:16:59+00:00,30.244217,119.90792
2016-02-02 03:17:00+00:00,30.244246,119.907572
2016-02-02 03:17:01+00:00,30.244309,119.907305
2016-02-02 03:17:02+00:00,30.244436,119.907039
2016-02-02 03:17:03+00:00,30.244563,119.906756
2016-02-02 03:17:04+00:00,30.244678,119.906449
2016-02-02 03:17:05+00:00,30.244757,119.90614
2016-02-02 03:17:06+00:00,30.244861,119.905826
2016-02-02 03:17:07+00:00,30.244959,119.905537
2016-02-02 03:17:08+00:00,30.245077,119.905285
2016-02-02 03:17:09+00:00,30.245147,119.904994
2016-02-02 03:17:10+00:00,30.245228,119.904706
2016-02-02 03:17:11+00:00,30.245327,119.90443
2016-02-02 03:17:12+00:00,30.245399,119.90416
2016-02-02 03:17:13+00:00,30.24551,119.903868
2016-02-02 03:17:14+00:00,30.245626,119.903607
2016-02-02 03:17:15+00:00,30.245738,119.903316
2016-02-02 03:17:16+00:00,30.24584,119.903031
2016-02-02 03:17:17+00:00,30.245951,119.90273
2016-02-02 03:17:18+00:00,30.246075,119.902418
2016-02-02 03:17:19+00:00,30.246179,119.902123
2016-02-02 03:17:20+00:00,30.246291,119.901827
2016-02-02 03:17:21+00:00,30.246391,119.901541
2016-02-02 03:17:22+00:00,30.246499,119.901256
2016-02-02 03:17:23+00:00,30.246592,119.900977
2016-02-02 03:17:24+00:00,30.2467,119.900687
2016-02-02 03:17:25+00:00,30.246786,119.900416
2016-02-02 03:17:26+00:00,30.246864,119.900149
2016-02-02 03:17:27+00:00,30.246948,119.899874
2016-02-02 03:17:28+00:00,30.247089,119.899667
2016-02-02 03:17:29+00:00,30.247203,119.899418
2016-02-02 03:17:30+00:00,30.24731,119.899168
2016-02-02 03:17:31+00:00,30.247422,119.89894
2016-02-02 03:17:32+00:00,30.247507,119.898675
2016-02-02 03:17:33+00:00,30.247566,119.898433
2016-02-02 03:17:34+00:00,30.247611,119.898187
2016-02-02 03:17:35+00:00,30.247698,119.897942
