RawGPS
Time (UTC),Latitude,Longitude
2016-02-16 06:04:51+00:00,51.590796,-0.37659
2016-02-16 06:04:52+00:00,51.591188,-0.377657
2016-02-16 06:04:53+00:00,51.590945,-0.376972
2016-02-16 06:04:54+00:00,51.590936,-0.376724
2016-02-16 06:04:55+00:00,51.590835,-0.37649
2016-02-16 06:04:56+00:00,51.59071,-0.376199
2016-02-16 06:04:57+00:00,51.590601,-0.375945
2016-02-16 06:04:58+00:00,51.590505,-0.375722
2016-02-16 06:04:59+00:00,51.590412,-0.375504
2016-02-16 06:05:00+00:00,51.590315,-0.375278
2016-02-16 06:05:01+00:00,51.590232,-0.375084
2016-02-16 06:05:02+00:00,51.590139,-0.374869
2016-02-16 06:05:03+00:00,51.59004,-0.374637
2016-02-16 06:05:04+00:00,51.589959,-0.37445
2016-02-16 06:05:05+00:00,51.589959,-0.37445
2016-02-16 06:05:06+00:00,51.589739,-0.373937
2016-02-16 06:05:07+00:00,51.589638,-0.373701
2016-02-16 06:05:08+00:00,51.589537,-0.373465
2016-02-16 06:05:09+00:00,51.589432,-0.373221
2016-02-16 06:05:10+00:00,51.589328,-0.372982
2016-02-16 06:05:11+00:00,51.58922,-0.372734
2016-02-16 06:05:12+00:00,51.589108,-0.372479
2016-02-16 06:05:13+00:00,51.589012,-0.372259
2016-02-16 06:05:14+00:00,51.588905,-0.372014
2016-02-16 06:05:15+00:00,51.5888,-0.371775
2016-02-16 06:05:16+00:00,51.588691,-0.371526
2016-02-16 06:05:17+00:00,51.588584,-0.37128
2016-02-16 06:05:18+00:00,51.588472,-0.371025
2016-02-16 06:05:19+00:00,51.588365,-0.37078
2016-02-16 06:05:20+00:00,51.588258,-0.370536
2016-02-16 06:05:21+00:00,51.588155,-0.3703
2016-02-16 06:05:22+00:00,51.588046,-0.370052
2016-02-16 06:05:23+00:00,51.587941,-0.369811
2016-02-16 06:05:24+00:00,51.587843,-0.369588
2016-02-16 06:05:25+00:00,51.587746,-0.369367
2016-02-16 06:05:26+00:00,51.587655,-0.369155
2016-02-16 06:05:27+00:00,51.587564,-0.368944
2016-02-16 06:05:28+00:00,51.587468,-0.368719
2016-02-16 06:05:29+00:00,51.587386,-0.368528
2016-02-16 06:05:30+00:00,51.587303,-0.368336
2016-02-16 06:05:31+00:00,51.587218,-0.368138
2016-02-16 06:05:32+00:00,51.587137,-0.367949
2016-02-16 06:05:33+00:00,51.587057,-0.367762
2016-02-16 06:05:34+00:00,51.586976,-0.367574
2016-02-16 06:05:35+00:00,51.586897,-0.367391
2016-02-16 06:05:36+00:00,51.586819,-0.367209
2016-02-16 06:05:37+00:00,51.586741,-0.367028
2016-02-16 06:05:38+00:00,51.586666,-0.366851
2016-02-16 06:05:39+00:00,51.586588,-0.366671
2016-02-16 06:05:40+00:00,51.586517,-0.366504
2016-02-16 06:05:41+00:00,51.586448,-0.366343
2016-02-16 06:05:42+00:00,51.586386,-0.366197
2016-02-16 06:05:43+00:00,51.586327,-0.366061
2016-02-16 06:05:44+00:00,51.58626,-0.365903
2016-02-16 06:05:45+00:00,51.586197,-0.365757
2016-02-16 06:05:46+00:00,51.586136,-0.365613
2016-02-16 06:05:47+00:00,51.586067,-0.365452
2016-02-16 06:05:48+00:00,51.586002,-0.365301
2016-02-16 06:05:49+00:00,51.585949,-0.365178
2016-02-16 06:05:50+00:00,51.585893,-0.365043
2016-02-16 06:05:51+00:00,51.585837,-0.364899
2016-02-16 06:05:52+00:00,51.585788,-0.364772
2016-02-16 06:05:53+00:00,51.585737,-0.364641
2016-02-16 06:05:54+00:00,51.585695,-0.364533
2016-02-16 06:05:55+00:00,51.585652,-0.364422
2016-02-16 06:05:56+00:00,51.585609,-0.364311
2016-02-16 06:05:57+00:00,51.585568,-0.364205
2016-02-16 06:05:58+00:00,51.585532,-0.36411
2016-02-16 06:05:59+00:00,51.585496,-0.364018
2016-02-16 06:06:00+00:00,51.585464,-0.363936
2016-02-16 06:06:01+00:00,51.585429,-0.363847
2016-02-16 06:06:02+00:00,51.585394,-0.363758
2016-02-16 06:06:03+00:00,51.585367,-0.36369
2016-02-16 06:06:04+00:00,51.585336,-0.363609
2016-02-16 06:06:05+00:00,51.585303,-0.363527
2016-02-16 06:06:06+00:00,51.585275,-0.363456
2016-02-16 06:06:07+00:00,51.585258,-0.363412
2016-02-16 06:06:08+00:00,51.585246,-0.36338
2016-02-16 06:06:09+00:00,51.585231,-0.363342
2016-02-16 06:06:10+00:00,51.585223,-0.363323
2016-02-16 06:06:11+00:00,51.585213,-0.363298
2016-02-16 06:06:12+00:00,51.585204,-0.363273
2016-02-16 06:06:13+00:00,51.585192,-0.363244
2016-02-16 06:06:14+00:00,51.58518,-0.363213
2016-02-16 06:06:15+00:00,51.585168,-0.363182
2016-02-16 06:06:16+00:00,51.585162,-0.363168
2016-02-16 06:06:17+00:00,51.585161,-0.363165
2016-02-16 06:06:18+00:00,51.585161,-0.363165
2016-02-16 06:06:19+00:00,51.585156,-0.36315
2016-02-16 06:06:20+00:00,51.585156,-0.36315
2016-02-16 06:06:21+00:00,51.585155,-0.363148
2016-02-16 06:06:22+00:00,51.585156,-0.36315
2016-02-16 06:06:23+00:00,51.585143,-0.363117
2016-02-16 06:06:24+00:00,51.585143,-0.363117
2016-02-16 06:06:25+00:00,51.585143,-0.363118
2016-02-16 06:06:26+00:00,51.585143,-0.363117
2016-02-16 06:06:27+00:00,51.585143,-0.363117
2016-02-16 06:06:28+00:00,51.585143,-0.363117
2016-02-16 06:06:29+00:00,51.585142,-0.363116
2016-02-16 06:06:30+00:00,51.585143,-0.363117
2016-02-16 06:06:31+00:00,51.585143,-0.363117
2016-02-16 06:06:32+00:00,51.585143,-0.363117
2016-02-16 06:06:33+00:00,51.585144,-0.36312
2016-02-16 06:06:34+00:00,51.585128,-0.36308
2016-02-16 06:06:35+00:00,51.585128,-0.36308
2016-02-16 06:06:36+00:00,51.585128,-0.36308
2016-02-16 06:06:37+00:00,51.58512,-0.363059
2016-02-16 06:06:38+00:00,51.585107,-0.363027
2016-02-16 06:06:39+00:00,51.585092,-0.362989
2016-02-16 06:06:40+00:00,51.585069,-0.362929
2016-02-16 06:06:41+00:00,51.585039,-0.362853
2016-02-16 06:06:42+00:00,51.585007,-0.362771
2016-02-16 06:06:43+00:00,51.584977,-0.362694
2016-02-16 06:06:44+00:00,51.584948,-0.36262
2016-02-16 06:06:45+00:00,51.584948,-0.36262
2016-02-16 06:06:46+00:00,51.584948,-0.36262
2016-02-16 06:06:47+00:00,51.584948,-0.36262
2016-02-16 06:06:48+00:00,51.584781,-0.362151
2016-02-16 06:06:49+00:00,51.584743,-0.362046
2016-02-16 06:06:50+00:00,51.584691,-0.361901
2016-02-16 06:06:51+00:00,51.584684,-0.361881
2016-02-16 06:06:52+00:00,51.584684,-0.361881
2016-02-16 06:06:53+00:00,51.584543,-0.361482
2016-02-16 06:06:54+00:00,51.584493,-0.361344
2016-02-16 06:06:55+00:00,51.584436,-0.361183
2016-02-16 06:06:56+00:00,51.584378,-0.361018
2016-02-16 06:06:57+00:00,51.584322,-0.36086
2016-02-16 06:06:58+00:00,51.584265,-0.3607
2016-02-16 06:06:59+00:00,51.584202,-0.360523
2016-02-16 06:07:00+00:00,51.584143,-0.360358
2016-02-16 06:07:01+00:00,51.584083,-0.360188
2016-02-16 06:07:02+00:00,51.584021,-0.360006
2016-02-16 06:07:03+00:00,51.583962,-0.35983
2016-02-16 06:07:04+00:00,51.5839,-0.359649
2016-02-16 06:07:05+00:00,51.583836,-0.359462
2016-02-16 06:07:06+00:00,51.583768,-0.359262
2016-02-16 06:07:07+00:00,51.583702,-0.359068
2016-02-16 06:07:08+00:00,51.583633,-0.358867
2016-02-16 06:07:09+00:00,51.583564,-0.358665
2016-02-16 06:07:10+00:00,51.583502,-0.358483
2016-02-16 06:07:11+00:00,51.583432,-0.358277
2016-02-16 06:07:12+00:00,51.583361,-0.358069
2016-02-16 06:07:13+00:00,51.583287,-0.357852
2016-02-16 06:07:14+00:00,51.583213,-0.357633
2016-02-16 06:07:15+00:00,51.583125,-0.357376
2016-02-16 06:07:16+00:00,51.583053,-0.357165
2016-02-16 06:07:17+00:00,51.582981,-0.356953
2016-02-16 06:07:18+00:00,51.582906,-0.356735
2016-02-16 06:07:19+00:00,51.582836,-0.356529
2016-02-16 06:07:20+00:00,51.582756,-0.356293
2016-02-16 06:07:21+00:00,51.582679,-0.356069
2016-02-16 06:07:22+00:00,51.582604,-0.35585
2016-02-16 06:07:23+00:00,51.582524,-0.355621
2016-02-16 06:07:24+00:00,51.582445,-0.355397
2016-02-16 06:07:25+00:00,51.582365,-0.355168
2016-02-16 06:07:26+00:00,51.582285,-0.35494
2016-02-16 06:07:27+00:00,51.582207,-0.354717
2016-02-16 06:07:28+00:00,51.582127,-0.35449
2016-02-16 06:07:29+00:00,51.582045,-0.354256
2016-02-16 06:07:30+00:00,51.582019,-0.354182
2016-02-16 06:07:31+00:00,51.581916,-0.353778
2016-02-16 06:07:32+00:00,51.581843,-0.353555
2016-02-16 06:07:33+00:00,51.581762,-0.353334
2016-02-16 06:07:34+00:00,51.581651,-0.35313
2016-02-16 06:07:35+00:00,51.581574,-0.352904
2016-02-16 06:07:36+00:00,51.581494,-0.35267
2016-02-16 06:07:37+00:00,51.581418,-0.352442
2016-02-16 06:07:38+00:00,51.581348,-0.352206
2016-02-16 06:07:39+00:00,51.581284,-0.351992
2016-02-16 06:07:40+00:00,51.581221,-0.351779
2016-02-16 06:07:41+00:00,51.581154,-0.351536
2016-02-16 06:07:42+00:00,51.581096,-0.351308
2016-02-16 06:07:43+00:00,51.581042,-0.35109
2016-02-16 06:07:44+00:00,51.580991,-0.350855
2016-02-16 06:07:45+00:00,51.580944,-0.350635
2016-02-16 06:07:46+00:00,51.580893,-0.350399
2016-02-16 06:07:47+00:00,51.580848,-0.350188
2016-02-16 06:07:48+00:00,51.5808,-0.349965
2016-02-16 06:07:49+00:00,51.580758,-0.349771
2016-02-16 06:07:50+00:00,51.580713,-0.349561
2016-02-16 06:07:51+00:00,51.58067,-0.349358
2016-02-16 06:07:52+00:00,51.580623,-0.34914
2016-02-16 06:07:53+00:00,51.580572,-0.348901
2016-02-16 06:07:54+00:00,51.580522,-0.348671
2016-02-16 06:07:55+00:00,51.580471,-0.348432
2016-02-16 06:07:56+00:00,51.580463,-0.348225
2016-02-16 06:07:57+00:00,51.580425,-0.347992
2016-02-16 06:07:58+00:00,51.580395,-0.347757
2016-02-16 06:07:59+00:00,51.580366,-0.347543
2016-02-16 06:08:00+00:00,51.580325,-0.347317
2016-02-16 06:08:01+00:00,51.580296,-0.347104
2016-02-16 06:08:02+00:00,51.580169,-0.346917
2016-02-16 06:08:03+00:00,51.580138,-0.346675
2016-02-16 06:08:04+00:00,51.580112,-0.346431
2016-02-16 06:08:05+00:00,51.580083,-0.34616
2016-02-16 06:08:06+00:00,51.580058,-0.345943
2016-02-16 06:08:07+00:00,51.580033,-0.345733
2016-02-16 06:08:08+00:00,51.580008,-0.345508
2016-02-16 06:08:09+00:00,51.579994,-0.345294
2016-02-16 06:08:10+00:00,51.579984,-0.345125
2016-02-16 06:08:11+00:00,51.579972,-0.344932
2016-02-16 06:08:12+00:00,51.57996,-0.344748
2016-02-16 06:08:13+00:00,51.579947,-0.344513
2016-02-16 06:08:14+00:00,51.579941,-0.344391
2016-02-16 06:08:15+00:00,51.579929,-0.34412
2016-02-16 06:08:16+00:00,51.579917,-0.343865
2016-02-16 06:08:17+00:00,51.579914,-0.343799
2016-02-16 06:08:18+00:00,51.57991,-0.343696
2016-02-16 06:08:19+00:00,51.579894,-0.343341
2016-02-16 06:08:20+00:00,51.579886,-0.343164
2016-02-16 06:08:21+00:00,51.579876,-0.342955
2016-02-16 06:08:22+00:00,51.579867,-0.342752
2016-02-16 06:08:23+00:00,51.579855,-0.342486
2016-02-16 06:08:24+00:00,51.579847,-0.34231
2016-02-16 06:08:25+00:00,51.579847,-0.34231
2016-02-16 06:08:26+00:00,51.579823,-0.341771
2016-02-16 06:08:27+00:00,51.579823,-0.341771
2016-02-16 06:08:28+00:00,51.579823,-0.341771
2016-02-16 06:08:29+00:00,51.579792,-0.341187
