RawGPS
Time (UTC),Latitude,Longitude
2015-12-07 04:23:55+00:00,21.05115,105.8093
2015-12-07 04:23:56+00:00,21.05115,105.8093
2015-12-07 04:23:57+00:00,21.05115,105.8093
2015-12-07 04:23:58+00:00,21.05115,105.8093
2015-12-07 04:23:59+00:00,21.05115,105.8093
2015-12-07 04:24:00+00:00,21.05115,105.8093
2015-12-07 04:24:01+00:00,21.05115,105.8093
2015-12-07 04:24:02+00:00,21.05115,105.8093
2015-12-07 04:24:03+00:00,21.05115,105.8093
2015-12-07 04:24:04+00:00,21.05115,105.8093
2015-12-07 04:24:05+00:00,21.05115,105.8093
2015-12-07 04:24:06+00:00,21.05115,105.8093
2015-12-07 04:24:07+00:00,21.05115,105.8093
2015-12-07 04:24:08+00:00,21.05115,105.8093
2015-12-07 04:24:09+00:00,21.05115,105.8093
2015-12-07 04:24:10+00:00,21.05115,105.8093
2015-12-07 04:24:11+00:00,21.05115,105.8093
2015-12-07 04:24:12+00:00,21.05115,105.8093
2015-12-07 04:24:13+00:00,21.05115,105.8093
2015-12-07 04:24:14+00:00,21.05115,105.8093
2015-12-07 04:24:15+00:00,21.05115,105.8093
2015-12-07 04:24:16+00:00,21.05115,105.8093
2015-12-07 04:24:17+00:00,21.05115,105.8093
2015-12-07 04:24:18+00:00,21.05115,105.8093
2015-12-07 04:24:19+00:00,21.05115,105.8093
2015-12-07 04:24:20+00:00,21.05115,105.8093
2015-12-07 04:24:21+00:00,21.05115,105.8093
2015-12-07 04:24:22+00:00,21.05115,105.8093
2015-12-07 04:24:23+00:00,21.05115,105.8093
2015-12-07 04:24:24+00:00,21.05115,105.8093
2015-12-07 04:24:25+00:00,21.05115,105.8093
2015-12-07 04:24:26+00:00,21.05115,105.8093
2015-12-07 04:24:27+00:00,21.05115,105.8093
2015-12-07 04:24:28+00:00,21.05115,105.8093
2015-12-07 04:24:29+00:00,21.05115,105.8093
2015-12-07 04:24:30+00:00,21.05115,105.8093
2015-12-07 04:24:31+00:00,21.05115,105.8093
2015-12-07 04:24:32+00:00,21.05115,105.8093
2015-12-07 04:24:33+00:00,21.05115,105.8093
2015-12-07 04:24:34+00:00,21.05115,105.8093
2015-12-07 04:24:35+00:00,21.05115,105.8093
2015-12-07 04:24:36+00:00,21.05115,105.8093
2015-12-07 04:24:37+00:00,21.05115,105.8093
2015-12-07 04:24:38+00:00,21.05117,105.8093
2015-12-07 04:24:39+00:00,21.05117,105.8093
2015-12-07 04:24:40+00:00,21.05117,105.8093
2015-12-07 04:24:41+00:00,21.05117,105.8093
2015-12-07 04:24:42+00:00,21.05117,105.8093
2015-12-07 04:24:43+00:00,21.05117,105.8093
2015-12-07 04:24:44+00:00,21.05117,105.8093
2015-12-07 04:24:45+00:00,21.05117,105.8093
2015-12-07 04:24:46+00:00,21.05117,105.8093
2015-12-07 04:24:47+00:00,21.05117,105.8093
2015-12-07 04:24:48+00:00,21.05117,105.8093
2015-12-07 04:24:49+00:00,21.05117,105.8093
2015-12-07 04:24:50+00:00,21.05117,105.8093
2015-12-07 04:24:51+00:00,21.05117,105.8093
2015-12-07 04:24:52+00:00,21.05117,105.8093
2015-12-07 04:24:53+00:00,21.05117,105.8093
2015-12-07 04:24:54+00:00,21.05117,105.8093
2015-12-07 04:24:55+00:00,21.05117,105.8093
2015-12-07 04:24:56+00:00,21.05117,105.8093
2015-12-07 04:24:57+00:00,21.05117,105.8093
2015-12-07 04:24:58+00:00,21.05117,105.8093
2015-12-07 04:24:59+00:00,21.05117,105.8093
2015-12-07 04:25:00+00:00,21.05117,105.8093
2015-12-07 04:25:01+00:00,21.05117,105.8093
2015-12-07 04:25:02+00:00,21.05117,105.8093
2015-12-07 04:25:03+00:00,21.05117,105.8093
2015-12-07 04:25:04+00:00,21.05117,105.8093
2015-12-07 04:25:05+00:00,21.05117,105.8093
2015-12-07 04:25:06+00:00,21.05118,105.8093
2015-12-07 04:25:07+00:00,21.05119,105.8092
2015-12-07 04:25:08+00:00,21.0512,105.8092
2015-12-07 04:25:09+00:00,21.05121,105.8092
2015-12-07 04:25:10+00:00,21.05121,105.8092
2015-12-07 04:25:11+00:00,21.05122,105.8092
2015-12-07 04:25:12+00:00,21.05123,105.8092
2015-12-07 04:25:13+00:00,21.05124,105.8092
2015-12-07 04:25:14+00:00,21.05124,105.8092
2015-12-07 04:25:15+00:00,21.05121,105.8092
2015-12-07 04:25:16+00:00,21.05119,105.8092
2015-12-07 04:25:17+00:00,21.05095,105.8092
2015-12-07 04:25:18+00:00,21.05094,105.8092
2015-12-07 04:25:19+00:00,21.05093,105.8092
2015-12-07 04:25:20+00:00,21.05091,105.8092
2015-12-07 04:25:21+00:00,21.0509,105.8092
2015-12-07 04:25:22+00:00,21.05089,105.8091
2015-12-07 04:25:23+00:00,21.05127,105.8092
2015-12-07 04:25:24+00:00,21.05129,105.8092
2015-12-07 04:25:25+00:00,21.05134,105.8091
2015-12-07 04:25:26+00:00,21.0514,105.8091
2015-12-07 04:25:27+00:00,21.05144,105.8091
2015-12-07 04:25:28+00:00,21.05146,105.8091
2015-12-07 04:25:29+00:00,21.05149,105.8091
2015-12-07 04:25:30+00:00,21.05151,105.8091
2015-12-07 04:25:31+00:00,21.05153,105.8091
2015-12-07 04:25:32+00:00,21.05153,105.8091
2015-12-07 04:25:33+00:00,21.05154,105.8091
2015-12-07 04:25:34+00:00,21.05155,105.8091
2015-12-07 04:25:35+00:00,21.05157,105.8091
2015-12-07 04:25:36+00:00,21.05158,105.8091
2015-12-07 04:25:37+00:00,21.05159,105.8091
2015-12-07 04:25:38+00:00,21.05161,105.8091
2015-12-07 04:25:39+00:00,21.05162,105.8091
2015-12-07 04:25:40+00:00,21.05163,105.8091
2015-12-07 04:25:41+00:00,21.05164,105.8091
2015-12-07 04:25:42+00:00,21.05165,105.8091
2015-12-07 04:25:43+00:00,21.05165,105.8091
2015-12-07 04:25:44+00:00,21.05166,105.809
2015-12-07 04:25:45+00:00,21.05167,105.809
2015-12-07 04:25:46+00:00,21.05168,105.809
2015-12-07 04:25:47+00:00,21.05169,105.809
2015-12-07 04:25:48+00:00,21.05169,105.809
2015-12-07 04:25:49+00:00,21.05169,105.809
