RawGPS
Time (UTC),Latitude,Longitude
2016-02-01 05:35:59+00:00,30.296874,120.147566
2016-02-01 05:36:00+00:00,30.296893,120.147548
2016-02-01 05:36:01+00:00,30.296898,120.147545
2016-02-01 05:36:02+00:00,30.296898,120.147546
2016-02-01 05:36:03+00:00,30.296891,120.147554
2016-02-01 05:36:04+00:00,30.296891,120.147545
2016-02-01 05:36:05+00:00,30.296883,120.147532
2016-02-01 05:36:06+00:00,30.296873,120.147532
2016-02-01 05:36:07+00:00,30.296878,120.147528
2016-02-01 05:36:08+00:00,30.296879,120.14752
2016-02-01 05:36:09+00:00,30.296877,120.147511
2016-02-01 05:36:10+00:00,30.296875,120.147504
2016-02-01 05:36:11+00:00,30.29687,120.147495
2016-02-01 05:36:12+00:00,30.296862,120.147498
2016-02-01 05:36:13+00:00,30.29686,120.147497
2016-02-01 05:36:14+00:00,30.29686,120.147497
2016-02-01 05:36:15+00:00,30.296848,120.147518
2016-02-01 05:36:16+00:00,30.296848,120.147518
2016-02-01 05:36:17+00:00,30.296848,120.147518
2016-02-01 05:36:18+00:00,30.296844,120.147521
2016-02-01 05:36:19+00:00,30.296835,120.147527
2016-02-01 05:36:20+00:00,30.296835,120.147527
2016-02-01 05:36:21+00:00,30.296836,120.147521
2016-02-01 05:36:22+00:00,30.296836,120.147521
2016-02-01 05:36:23+00:00,30.296839,120.147512
2016-02-01 05:36:24+00:00,30.296837,120.147508
2016-02-01 05:36:25+00:00,30.296837,120.147506
2016-02-01 05:36:26+00:00,30.29684,120.147501
2016-02-01 05:36:27+00:00,30.296849,120.147499
2016-02-01 05:36:28+00:00,30.296847,120.147493
2016-02-01 05:36:29+00:00,30.296841,120.147491
2016-02-01 05:36:30+00:00,30.296829,120.147495
2016-02-01 05:36:31+00:00,30.296818,120.147502
2016-02-01 05:36:32+00:00,30.296812,120.147496
2016-02-01 05:36:33+00:00,30.296815,120.147479
2016-02-01 05:36:34+00:00,30.296811,120.147471
2016-02-01 05:36:35+00:00,30.296811,120.147458
2016-02-01 05:36:36+00:00,30.296805,120.147447
2016-02-01 05:36:37+00:00,30.296792,120.147436
2016-02-01 05:36:38+00:00,30.296771,120.147443
2016-02-01 05:36:39+00:00,30.296747,120.147455
2016-02-01 05:36:40+00:00,30.296726,120.147474
