RawGPS
Time (UTC),Latitude,Longitude
2016-01-27 08:57:48+00:00,31.242506,121.544602
2016-01-27 08:57:49+00:00,31.242519,121.544621
2016-01-27 08:57:50+00:00,31.242528,121.544634
2016-01-27 08:57:51+00:00,31.242534,121.544636
2016-01-27 08:57:52+00:00,31.242539,121.544636
2016-01-27 08:57:53+00:00,31.242543,121.544638
2016-01-27 08:57:54+00:00,31.24254,121.54464
2016-01-27 08:57:55+00:00,31.242538,121.544644
2016-01-27 08:57:56+00:00,31.242538,121.544652
2016-01-27 08:57:57+00:00,31.242541,121.544661
2016-01-27 08:57:58+00:00,31.242544,121.544671
2016-01-27 08:57:59+00:00,31.242546,121.544679
2016-01-27 08:58:00+00:00,31.242547,121.544684
2016-01-27 08:58:01+00:00,31.242553,121.544691
2016-01-27 08:58:02+00:00,31.242544,121.544695
2016-01-27 08:58:03+00:00,31.242524,121.54472
2016-01-27 08:58:04+00:00,31.242499,121.544754
2016-01-27 08:58:05+00:00,31.24246,121.54479
2016-01-27 08:58:06+00:00,31.242416,121.544834
2016-01-27 08:58:07+00:00,31.242352,121.544888
2016-01-27 08:58:08+00:00,31.242288,121.54494
2016-01-27 08:58:09+00:00,31.242204,121.545005
2016-01-27 08:58:10+00:00,31.242113,121.545061
2016-01-27 08:58:11+00:00,31.242048,121.545116
2016-01-27 08:58:12+00:00,31.241975,121.545159
2016-01-27 08:58:13+00:00,31.241929,121.545199
2016-01-27 08:58:14+00:00,31.241855,121.545254
2016-01-27 08:58:15+00:00,31.241775,121.545309
2016-01-27 08:58:16+00:00,31.24175,121.545286
2016-01-27 08:58:17+00:00,31.241717,121.545302
2016-01-27 08:58:18+00:00,31.241657,121.545332
2016-01-27 08:58:19+00:00,31.241629,121.545344
2016-01-27 08:58:20+00:00,31.241623,121.545349
2016-01-27 08:58:21+00:00,31.241594,121.545374
2016-01-27 08:58:22+00:00,31.241546,121.545398
2016-01-27 08:58:23+00:00,31.241515,121.545421
2016-01-27 08:58:24+00:00,31.241481,121.545445
2016-01-27 08:58:25+00:00,31.241444,121.545469
2016-01-27 08:58:26+00:00,31.241404,121.545493
2016-01-27 08:58:27+00:00,31.241379,121.545511
2016-01-27 08:58:28+00:00,31.24135,121.545512
2016-01-27 08:58:29+00:00,31.241343,121.545514
2016-01-27 08:58:30+00:00,31.241356,121.545513
2016-01-27 08:58:31+00:00,31.241356,121.545513
2016-01-27 08:58:32+00:00,31.241356,121.545513
2016-01-27 08:58:33+00:00,31.241356,121.545513
2016-01-27 08:58:34+00:00,31.241385,121.545472
2016-01-27 08:58:35+00:00,31.241385,121.545472
2016-01-27 08:58:36+00:00,31.241385,121.545472
2016-01-27 08:58:37+00:00,31.241385,121.545472
2016-01-27 08:58:38+00:00,31.241385,121.545472
2016-01-27 08:58:39+00:00,31.241385,121.545472
2016-01-27 08:58:40+00:00,31.241387,121.545487
2016-01-27 08:58:41+00:00,31.241395,121.545487
2016-01-27 08:58:42+00:00,31.241405,121.54548
2016-01-27 08:58:43+00:00,31.241405,121.54548
2016-01-27 08:58:44+00:00,31.241405,121.54548
2016-01-27 08:58:45+00:00,31.241405,121.54548
2016-01-27 08:58:46+00:00,31.241415,121.545484
2016-01-27 08:58:47+00:00,31.241417,121.545497
2016-01-27 08:58:48+00:00,31.241412,121.545491
2016-01-27 08:58:49+00:00,31.241412,121.545491
2016-01-27 08:58:50+00:00,31.241412,121.545491
2016-01-27 08:58:51+00:00,31.241412,121.545491
2016-01-27 08:58:52+00:00,31.241412,121.545491
2016-01-27 08:58:53+00:00,31.241362,121.545496
2016-01-27 08:58:54+00:00,31.241362,121.545496
2016-01-27 08:58:55+00:00,31.241362,121.545496
2016-01-27 08:58:56+00:00,31.241362,121.545496
2016-01-27 08:58:57+00:00,31.241362,121.545496
2016-01-27 08:58:58+00:00,31.241362,121.545496
2016-01-27 08:58:59+00:00,31.241362,121.545496
2016-01-27 08:59:00+00:00,31.241313,121.545506
2016-01-27 08:59:01+00:00,31.241313,121.545506
2016-01-27 08:59:02+00:00,31.241313,121.545506
2016-01-27 08:59:03+00:00,31.241316,121.545508
2016-01-27 08:59:04+00:00,31.241319,121.545505
2016-01-27 08:59:05+00:00,31.241319,121.545505
2016-01-27 08:59:06+00:00,31.241319,121.545505
2016-01-27 08:59:07+00:00,31.241319,121.545505
2016-01-27 08:59:08+00:00,31.241319,121.545505
2016-01-27 08:59:09+00:00,31.241319,121.545505
2016-01-27 08:59:10+00:00,31.241342,121.545491
2016-01-27 08:59:11+00:00,31.241346,121.545496
2016-01-27 08:59:12+00:00,31.241352,121.545503
2016-01-27 08:59:13+00:00,31.241359,121.545509
2016-01-27 08:59:14+00:00,31.241359,121.545509
2016-01-27 08:59:15+00:00,31.241359,121.545509
2016-01-27 08:59:16+00:00,31.241359,121.545509
2016-01-27 08:59:17+00:00,31.241359,121.545509
2016-01-27 08:59:18+00:00,31.241359,121.545509
2016-01-27 08:59:19+00:00,31.241359,121.545509
2016-01-27 08:59:20+00:00,31.241359,121.545509
2016-01-27 08:59:21+00:00,31.241359,121.545509
2016-01-27 08:59:22+00:00,31.241359,121.545509
2016-01-27 08:59:23+00:00,31.241359,121.545509
2016-01-27 08:59:24+00:00,31.241399,121.545534
2016-01-27 08:59:25+00:00,31.241399,121.545534
2016-01-27 08:59:26+00:00,31.241399,121.545534
2016-01-27 08:59:27+00:00,31.241399,121.545534
2016-01-27 08:59:28+00:00,31.241399,121.545534
2016-01-27 08:59:29+00:00,31.241399,121.545534
