RawGPS
Time (UTC),Latitude,Longitude
2016-02-02 05:05:00+00:00,30.170768,119.216055
2016-02-02 05:05:01+00:00,30.170668,119.215813
2016-02-02 05:05:02+00:00,30.170584,119.215514
2016-02-02 05:05:03+00:00,30.170524,119.215223
2016-02-02 05:05:04+00:00,30.170499,119.214964
2016-02-02 05:05:05+00:00,30.170462,119.214693
2016-02-02 05:05:06+00:00,30.170426,119.214418
2016-02-02 05:05:07+00:00,30.17041,119.214176
2016-02-02 05:05:08+00:00,30.170519,119.213907
2016-02-02 05:05:09+00:00,30.170509,119.21366
2016-02-02 05:05:10+00:00,30.170512,119.21342
2016-02-02 05:05:11+00:00,30.170538,119.213185
2016-02-02 05:05:12+00:00,30.170565,119.212944
2016-02-02 05:05:13+00:00,30.170588,119.21274
2016-02-02 05:05:14+00:00,30.170606,119.212507
2016-02-02 05:05:15+00:00,30.17063,119.212285
2016-02-02 05:05:16+00:00,30.170641,119.212051
2016-02-02 05:05:17+00:00,30.170642,119.211816
2016-02-02 05:05:18+00:00,30.170671,119.211603
2016-02-02 05:05:19+00:00,30.170695,119.211371
2016-02-02 05:05:20+00:00,30.170712,119.21115
2016-02-02 05:05:21+00:00,30.170731,119.21091
2016-02-02 05:05:22+00:00,30.170756,119.210665
2016-02-02 05:05:23+00:00,30.170763,119.210417
2016-02-02 05:05:24+00:00,30.170758,119.210185
2016-02-02 05:05:25+00:00,30.170765,119.209964
2016-02-02 05:05:26+00:00,30.170767,119.209755
2016-02-02 05:05:27+00:00,30.170794,119.209594
2016-02-02 05:05:28+00:00,30.170716,119.209341
2016-02-02 05:05:29+00:00,30.17072,119.209151
2016-02-02 05:05:30+00:00,30.170664,119.208906
2016-02-02 05:05:31+00:00,30.170653,119.208676
2016-02-02 05:05:32+00:00,30.170611,119.208437
2016-02-02 05:05:33+00:00,30.170608,119.208182
2016-02-02 05:05:34+00:00,30.170571,119.208007
2016-02-02 05:05:35+00:00,30.170533,119.207791
2016-02-02 05:05:36+00:00,30.170492,119.207579
2016-02-02 05:05:37+00:00,30.170474,119.207373
2016-02-02 05:05:38+00:00,30.170424,119.20717
2016-02-02 05:05:39+00:00,30.170405,119.206968
2016-02-02 05:05:40+00:00,30.170371,119.206757
2016-02-02 05:05:41+00:00,30.170329,119.206558
