RawGPS
Time (UTC),Latitude,Longitude
2016-02-01 03:00:53+00:00,30.624878,120.67288
2016-02-01 03:00:54+00:00,30.62487,120.672859
2016-02-01 03:00:55+00:00,30.62486,120.672839
2016-02-01 03:00:56+00:00,30.624848,120.672819
2016-02-01 03:00:57+00:00,30.624834,120.6728
2016-02-01 03:00:58+00:00,30.624818,120.672775
2016-02-01 03:00:59+00:00,30.624798,120.672747
2016-02-01 03:01:00+00:00,30.624779,120.672723
2016-02-01 03:01:01+00:00,30.624758,120.672701
2016-02-01 03:01:02+00:00,30.624734,120.67268
2016-02-01 03:01:03+00:00,30.624713,120.672664
2016-02-01 03:01:04+00:00,30.624696,120.672652
2016-02-01 03:01:05+00:00,30.624675,120.672648
2016-02-01 03:01:06+00:00,30.624648,120.672653
2016-02-01 03:01:07+00:00,30.624618,120.672668
2016-02-01 03:01:08+00:00,30.624593,120.67269
2016-02-01 03:01:09+00:00,30.62457,120.672715
2016-02-01 03:01:10+00:00,30.624549,120.672736
2016-02-01 03:01:11+00:00,30.624531,120.672752
2016-02-01 03:01:12+00:00,30.624516,120.672772
2016-02-01 03:01:13+00:00,30.624506,120.672794
2016-02-01 03:01:14+00:00,30.624481,120.672824
2016-02-01 03:01:15+00:00,30.624442,120.672855
2016-02-01 03:01:16+00:00,30.624412,120.672872
2016-02-01 03:01:17+00:00,30.624387,120.672859
2016-02-01 03:01:18+00:00,30.624362,120.672863
2016-02-01 03:01:19+00:00,30.624346,120.672876
2016-02-01 03:01:20+00:00,30.624333,120.672913
2016-02-01 03:01:21+00:00,30.624318,120.672948
2016-02-01 03:01:22+00:00,30.624299,120.672961
2016-02-01 03:01:23+00:00,30.62428,120.672949
2016-02-01 03:01:24+00:00,30.624254,120.672933
2016-02-01 03:01:25+00:00,30.624221,120.672905
2016-02-01 03:01:26+00:00,30.624184,120.672864
2016-02-01 03:01:27+00:00,30.624144,120.67282
2016-02-01 03:01:28+00:00,30.624036,120.672723
2016-02-01 03:01:29+00:00,30.623977,120.672674
2016-02-01 03:01:30+00:00,30.623929,120.672582
2016-02-01 03:01:31+00:00,30.623868,120.672505
2016-02-01 03:01:32+00:00,30.623803,120.67242
2016-02-01 03:01:33+00:00,30.623732,120.672312
2016-02-01 03:01:34+00:00,30.623668,120.672215
2016-02-01 03:01:35+00:00,30.623597,120.672119
2016-02-01 03:01:36+00:00,30.623532,120.672019
2016-02-01 03:01:37+00:00,30.623462,120.6719
2016-02-01 03:01:38+00:00,30.623381,120.671783
2016-02-01 03:01:39+00:00,30.623298,120.671671
2016-02-01 03:01:40+00:00,30.623234,120.671554
2016-02-01 03:01:41+00:00,30.623155,120.671427
2016-02-01 03:01:42+00:00,30.623053,120.671284
2016-02-01 03:01:43+00:00,30.622965,120.671143
2016-02-01 03:01:44+00:00,30.622872,120.670995
2016-02-01 03:01:45+00:00,30.622775,120.670872
2016-02-01 03:01:46+00:00,30.622679,120.67074
2016-02-01 03:01:47+00:00,30.622574,120.670605
2016-02-01 03:01:48+00:00,30.622484,120.67047
2016-02-01 03:01:49+00:00,30.622346,120.670328
2016-02-01 03:01:50+00:00,30.622226,120.670183
2016-02-01 03:01:51+00:00,30.622143,120.670041
2016-02-01 03:01:52+00:00,30.622025,120.669915
2016-02-01 03:01:53+00:00,30.621972,120.669824
2016-02-01 03:01:54+00:00,30.621871,120.669686
2016-02-01 03:01:55+00:00,30.621755,120.669564
2016-02-01 03:01:56+00:00,30.621635,120.669434
2016-02-01 03:01:57+00:00,30.621531,120.669283
2016-02-01 03:01:58+00:00,30.621422,120.669138
2016-02-01 03:01:59+00:00,30.621295,120.668995
2016-02-01 03:02:00+00:00,30.621168,120.668825
2016-02-01 03:02:01+00:00,30.621051,120.668652
2016-02-01 03:02:02+00:00,30.620931,120.668485
2016-02-01 03:02:03+00:00,30.620797,120.668313
2016-02-01 03:02:04+00:00,30.620665,120.668145
2016-02-01 03:02:05+00:00,30.620517,120.667963
2016-02-01 03:02:06+00:00,30.620368,120.667782
2016-02-01 03:02:07+00:00,30.620238,120.66761
2016-02-01 03:02:08+00:00,30.620084,120.667431
2016-02-01 03:02:09+00:00,30.61993,120.667226
2016-02-01 03:02:10+00:00,30.619788,120.667039
2016-02-01 03:02:11+00:00,30.619643,120.666853
2016-02-01 03:02:12+00:00,30.619499,120.666676
2016-02-01 03:02:13+00:00,30.619337,120.666498
2016-02-01 03:02:14+00:00,30.619159,120.66631
2016-02-01 03:02:15+00:00,30.618971,120.66612
2016-02-01 03:02:16+00:00,30.618815,120.665924
2016-02-01 03:02:17+00:00,30.618635,120.66573
2016-02-01 03:02:18+00:00,30.618469,120.665518
2016-02-01 03:02:19+00:00,30.618299,120.665312
2016-02-01 03:02:20+00:00,30.618134,120.665122
2016-02-01 03:02:21+00:00,30.617978,120.664926
2016-02-01 03:02:22+00:00,30.617811,120.664732
2016-02-01 03:02:23+00:00,30.617645,120.664529
2016-02-01 03:02:24+00:00,30.617466,120.664331
2016-02-01 03:02:25+00:00,30.617288,120.664144
2016-02-01 03:02:26+00:00,30.61711,120.663938
2016-02-01 03:02:27+00:00,30.616926,120.663729
2016-02-01 03:02:28+00:00,30.616744,120.663523
2016-02-01 03:02:29+00:00,30.616566,120.663317
2016-02-01 03:02:30+00:00,30.616381,120.663107
2016-02-01 03:02:31+00:00,30.616194,120.662906
2016-02-01 03:02:32+00:00,30.616001,120.662705
2016-02-01 03:02:33+00:00,30.615813,120.662505
2016-02-01 03:02:34+00:00,30.615638,120.662314
2016-02-01 03:02:35+00:00,30.615456,120.662112
2016-02-01 03:02:36+00:00,30.61528,120.661911
2016-02-01 03:02:37+00:00,30.615108,120.661722
2016-02-01 03:02:38+00:00,30.614932,120.66152
2016-02-01 03:02:39+00:00,30.614751,120.661325
2016-02-01 03:02:40+00:00,30.61458,120.661133
2016-02-01 03:02:41+00:00,30.614404,120.660933
2016-02-01 03:02:42+00:00,30.614226,120.660739
2016-02-01 03:02:43+00:00,30.614058,120.660556
2016-02-01 03:02:44+00:00,30.61388,120.660365
2016-02-01 03:02:45+00:00,30.613704,120.66017
2016-02-01 03:02:46+00:00,30.613527,120.659969
2016-02-01 03:02:47+00:00,30.613353,120.659767
2016-02-01 03:02:48+00:00,30.613169,120.659568
2016-02-01 03:02:49+00:00,30.612983,120.659366
2016-02-01 03:02:50+00:00,30.612796,120.659154
2016-02-01 03:02:51+00:00,30.612609,120.658941
2016-02-01 03:02:52+00:00,30.612416,120.658731
2016-02-01 03:02:53+00:00,30.61222,120.658521
2016-02-01 03:02:54+00:00,30.612043,120.658314
2016-02-01 03:02:55+00:00,30.61186,120.658101
2016-02-01 03:02:56+00:00,30.611683,120.657904
2016-02-01 03:02:57+00:00,30.611491,120.657693
2016-02-01 03:02:58+00:00,30.611307,120.657481
2016-02-01 03:02:59+00:00,30.611108,120.65725
2016-02-01 03:03:00+00:00,30.610928,120.657049
2016-02-01 03:03:01+00:00,30.610737,120.656839
2016-02-01 03:03:02+00:00,30.610536,120.656608
2016-02-01 03:03:03+00:00,30.610358,120.656403
2016-02-01 03:03:04+00:00,30.610158,120.656189
2016-02-01 03:03:05+00:00,30.609951,120.655967
2016-02-01 03:03:06+00:00,30.609749,120.655737
2016-02-01 03:03:07+00:00,30.609553,120.655517
2016-02-01 03:03:08+00:00,30.609347,120.655295
2016-02-01 03:03:09+00:00,30.609134,120.655072
2016-02-01 03:03:10+00:00,30.608931,120.654858
2016-02-01 03:03:11+00:00,30.608728,120.654634
2016-02-01 03:03:12+00:00,30.608537,120.654376
2016-02-01 03:03:13+00:00,30.608334,120.654173
2016-02-01 03:03:14+00:00,30.608137,120.653954
2016-02-01 03:03:15+00:00,30.607942,120.653729
2016-02-01 03:03:16+00:00,30.607745,120.653516
2016-02-01 03:03:17+00:00,30.607543,120.653297
2016-02-01 03:03:18+00:00,30.607347,120.653086
2016-02-01 03:03:19+00:00,30.607158,120.652868
2016-02-01 03:03:20+00:00,30.606971,120.65265
2016-02-01 03:03:21+00:00,30.606779,120.652428
2016-02-01 03:03:22+00:00,30.606577,120.652235
2016-02-01 03:03:23+00:00,30.606401,120.652011
2016-02-01 03:03:24+00:00,30.606227,120.651825
2016-02-01 03:03:25+00:00,30.606059,120.651607
2016-02-01 03:03:26+00:00,30.60588,120.651403
2016-02-01 03:03:27+00:00,30.605692,120.651181
2016-02-01 03:03:28+00:00,30.605508,120.650986
2016-02-01 03:03:29+00:00,30.60531,120.650778
2016-02-01 03:03:30+00:00,30.605107,120.650563
2016-02-01 03:03:31+00:00,30.604901,120.650352
2016-02-01 03:03:32+00:00,30.604709,120.650126
2016-02-01 03:03:33+00:00,30.604509,120.6499
2016-02-01 03:03:34+00:00,30.604298,120.649673
2016-02-01 03:03:35+00:00,30.604085,120.649452
2016-02-01 03:03:36+00:00,30.60386,120.649248
2016-02-01 03:03:37+00:00,30.603656,120.649014
2016-02-01 03:03:38+00:00,30.603459,120.648767
2016-02-01 03:03:39+00:00,30.603259,120.648545
2016-02-01 03:03:40+00:00,30.603052,120.648306
2016-02-01 03:03:41+00:00,30.602849,120.648067
2016-02-01 03:03:42+00:00,30.60265,120.647827
2016-02-01 03:03:43+00:00,30.602449,120.647602
2016-02-01 03:03:44+00:00,30.602247,120.647385
2016-02-01 03:03:45+00:00,30.602042,120.647153
2016-02-01 03:03:46+00:00,30.601838,120.646924
2016-02-01 03:03:47+00:00,30.601637,120.646699
2016-02-01 03:03:48+00:00,30.601447,120.646492
2016-02-01 03:03:49+00:00,30.60125,120.646277
2016-02-01 03:03:50+00:00,30.601045,120.646059
2016-02-01 03:03:51+00:00,30.600846,120.645828
2016-02-01 03:03:52+00:00,30.600659,120.645618
2016-02-01 03:03:53+00:00,30.600459,120.645409
2016-02-01 03:03:54+00:00,30.600261,120.645195
2016-02-01 03:03:55+00:00,30.600061,120.644983
2016-02-01 03:03:56+00:00,30.59986,120.644774
2016-02-01 03:03:57+00:00,30.59965,120.644567
2016-02-01 03:03:58+00:00,30.599441,120.644347
2016-02-01 03:03:59+00:00,30.599224,120.644129
2016-02-01 03:04:00+00:00,30.599005,120.643918
2016-02-01 03:04:01+00:00,30.598785,120.643711
2016-02-01 03:04:02+00:00,30.598568,120.643502
2016-02-01 03:04:03+00:00,30.598357,120.6433
2016-02-01 03:04:04+00:00,30.598141,120.643114
2016-02-01 03:04:05+00:00,30.597938,120.642913
2016-02-01 03:04:06+00:00,30.597731,120.642708
2016-02-01 03:04:07+00:00,30.597523,120.642511
2016-02-01 03:04:08+00:00,30.597309,120.642323
2016-02-01 03:04:09+00:00,30.597098,120.642128
2016-02-01 03:04:10+00:00,30.596882,120.641938
2016-02-01 03:04:11+00:00,30.596668,120.64175
2016-02-01 03:04:12+00:00,30.596447,120.641565
2016-02-01 03:04:13+00:00,30.596232,120.641376
2016-02-01 03:04:14+00:00,30.596012,120.641185
2016-02-01 03:04:15+00:00,30.595795,120.641003
2016-02-01 03:04:16+00:00,30.595568,120.640814
