RawGPS
Time (UTC),Latitude,Longitude
2016-02-19 06:08:38+00:00,51.585427,-0.380557
2016-02-19 06:08:39+00:00,51.585489,-0.380681
2016-02-19 06:08:40+00:00,51.585554,-0.380755
2016-02-19 06:08:41+00:00,51.585603,-0.380858
2016-02-19 06:08:42+00:00,51.585634,-0.380911
2016-02-19 06:08:43+00:00,51.585654,-0.380988
2016-02-19 06:08:44+00:00,51.58567,-0.38105
2016-02-19 06:08:45+00:00,51.585674,-0.381084
2016-02-19 06:08:46+00:00,51.585685,-0.381136
2016-02-19 06:08:47+00:00,51.585676,-0.381158
2016-02-19 06:08:48+00:00,51.585688,-0.381068
2016-02-19 06:08:49+00:00,51.585698,-0.381043
2016-02-19 06:08:50+00:00,51.585686,-0.381034
2016-02-19 06:08:51+00:00,51.585686,-0.381034
2016-02-19 06:08:52+00:00,51.585686,-0.381034
2016-02-19 06:08:53+00:00,51.585686,-0.381034
2016-02-19 06:08:54+00:00,51.585686,-0.381034
2016-02-19 06:08:55+00:00,51.585673,-0.381045
2016-02-19 06:08:56+00:00,51.585679,-0.381066
2016-02-19 06:08:57+00:00,51.585685,-0.381091
2016-02-19 06:08:58+00:00,51.585699,-0.381133
2016-02-19 06:08:59+00:00,51.585732,-0.381205
2016-02-19 06:09:00+00:00,51.585787,-0.381308
2016-02-19 06:09:01+00:00,51.585848,-0.381411
2016-02-19 06:09:02+00:00,51.5859,-0.381485
2016-02-19 06:09:03+00:00,51.585957,-0.381599
2016-02-19 06:09:04+00:00,51.586016,-0.381714
2016-02-19 06:09:05+00:00,51.586062,-0.381819
2016-02-19 06:09:06+00:00,51.586081,-0.381875
2016-02-19 06:09:07+00:00,51.586111,-0.381947
2016-02-19 06:09:08+00:00,51.586151,-0.382004
2016-02-19 06:09:09+00:00,51.586225,-0.381989
2016-02-19 06:09:10+00:00,51.586287,-0.381947
2016-02-19 06:09:11+00:00,51.586355,-0.381919
2016-02-19 06:09:12+00:00,51.586445,-0.381888
2016-02-19 06:09:13+00:00,51.58653,-0.381899
2016-02-19 06:09:14+00:00,51.586631,-0.38189
2016-02-19 06:09:15+00:00,51.586728,-0.381878
2016-02-19 06:09:16+00:00,51.586841,-0.381879
2016-02-19 06:09:17+00:00,51.586973,-0.381866
2016-02-19 06:09:18+00:00,51.587082,-0.381845
2016-02-19 06:09:19+00:00,51.587204,-0.381853
2016-02-19 06:09:20+00:00,51.587315,-0.38187
2016-02-19 06:09:21+00:00,51.587421,-0.381904
2016-02-19 06:09:22+00:00,51.587532,-0.381949
2016-02-19 06:09:23+00:00,51.587648,-0.382003
2016-02-19 06:09:24+00:00,51.587775,-0.382065
2016-02-19 06:09:25+00:00,51.587891,-0.38212
2016-02-19 06:09:26+00:00,51.588007,-0.382177
2016-02-19 06:09:27+00:00,51.588106,-0.382227
2016-02-19 06:09:28+00:00,51.588213,-0.382281
2016-02-19 06:09:29+00:00,51.588312,-0.382332
2016-02-19 06:09:30+00:00,51.588381,-0.382367
2016-02-19 06:09:31+00:00,51.588465,-0.382411
2016-02-19 06:09:32+00:00,51.588531,-0.382456
2016-02-19 06:09:33+00:00,51.588585,-0.382494
2016-02-19 06:09:34+00:00,51.588619,-0.382522
2016-02-19 06:09:35+00:00,51.588646,-0.382543
2016-02-19 06:09:36+00:00,51.58868,-0.38257
2016-02-19 06:09:37+00:00,51.58871,-0.382594
2016-02-19 06:09:38+00:00,51.588726,-0.382609
2016-02-19 06:09:39+00:00,51.588729,-0.382608
2016-02-19 06:09:40+00:00,51.588768,-0.382535
2016-02-19 06:09:41+00:00,51.588822,-0.382436
2016-02-19 06:09:42+00:00,51.588872,-0.382343
2016-02-19 06:09:43+00:00,51.588921,-0.382253
2016-02-19 06:09:44+00:00,51.588978,-0.382164
2016-02-19 06:09:45+00:00,51.58905,-0.382077
2016-02-19 06:09:46+00:00,51.589152,-0.382006
2016-02-19 06:09:47+00:00,51.589245,-0.381957
2016-02-19 06:09:48+00:00,51.589351,-0.381901
2016-02-19 06:09:49+00:00,51.589389,-0.381881
2016-02-19 06:09:50+00:00,51.58954,-0.38179
2016-02-19 06:09:51+00:00,51.589635,-0.38172
2016-02-19 06:09:52+00:00,51.589733,-0.381641
2016-02-19 06:09:53+00:00,51.589816,-0.381549
2016-02-19 06:09:54+00:00,51.589891,-0.381425
2016-02-19 06:09:55+00:00,51.589941,-0.381332
2016-02-19 06:09:56+00:00,51.589983,-0.381255
2016-02-19 06:09:57+00:00,51.590096,-0.381023
2016-02-19 06:09:58+00:00,51.590164,-0.380883
2016-02-19 06:09:59+00:00,51.590217,-0.380773
2016-02-19 06:10:00+00:00,51.590266,-0.380668
2016-02-19 06:10:01+00:00,51.59027,-0.380661
2016-02-19 06:10:02+00:00,51.590291,-0.380615
2016-02-19 06:10:03+00:00,51.590285,-0.380628
2016-02-19 06:10:04+00:00,51.590288,-0.380622
2016-02-19 06:10:05+00:00,51.590288,-0.380621
2016-02-19 06:10:06+00:00,51.590287,-0.380624
2016-02-19 06:10:07+00:00,51.590287,-0.380625
2016-02-19 06:10:08+00:00,51.590285,-0.380628
2016-02-19 06:10:09+00:00,51.590286,-0.380626
2016-02-19 06:10:10+00:00,51.590281,-0.380637
2016-02-19 06:10:11+00:00,51.590277,-0.380645
2016-02-19 06:10:12+00:00,51.590276,-0.380647
2016-02-19 06:10:13+00:00,51.590276,-0.380649
2016-02-19 06:10:14+00:00,51.590277,-0.380645
2016-02-19 06:10:15+00:00,51.590279,-0.380641
2016-02-19 06:10:16+00:00,51.590283,-0.380633
2016-02-19 06:10:17+00:00,51.590292,-0.380614
2016-02-19 06:10:18+00:00,51.590309,-0.380575
2016-02-19 06:10:19+00:00,51.590341,-0.380506
2016-02-19 06:10:20+00:00,51.590367,-0.380448
2016-02-19 06:10:21+00:00,51.590393,-0.380392
2016-02-19 06:10:22+00:00,51.590418,-0.380338
2016-02-19 06:10:23+00:00,51.590442,-0.380284
2016-02-19 06:10:24+00:00,51.590545,-0.380155
2016-02-19 06:10:25+00:00,51.590514,-0.380167
2016-02-19 06:10:26+00:00,51.59068,-0.380248
2016-02-19 06:10:27+00:00,51.590742,-0.380309
2016-02-19 06:10:28+00:00,51.591062,-0.380771
2016-02-19 06:10:29+00:00,51.591062,-0.380767
2016-02-19 06:10:30+00:00,51.591064,-0.380785
2016-02-19 06:10:31+00:00,51.591062,-0.380771
2016-02-19 06:10:32+00:00,51.591065,-0.380791
2016-02-19 06:10:33+00:00,51.591071,-0.380805
2016-02-19 06:10:34+00:00,51.591089,-0.381023
2016-02-19 06:10:35+00:00,51.591187,-0.381097
2016-02-19 06:10:36+00:00,51.591296,-0.381194
2016-02-19 06:10:37+00:00,51.591385,-0.381289
2016-02-19 06:10:38+00:00,51.591547,-0.381269
2016-02-19 06:10:39+00:00,51.591654,-0.381389
2016-02-19 06:10:40+00:00,51.591757,-0.381505
2016-02-19 06:10:41+00:00,51.591843,-0.381603
2016-02-19 06:10:42+00:00,51.591934,-0.381707
2016-02-19 06:10:43+00:00,51.59201,-0.381788
2016-02-19 06:10:44+00:00,51.592068,-0.381803
2016-02-19 06:10:45+00:00,51.592132,-0.381811
2016-02-19 06:10:46+00:00,51.592132,-0.381811
2016-02-19 06:10:47+00:00,51.592256,-0.382145
2016-02-19 06:10:48+00:00,51.592282,-0.382168
2016-02-19 06:10:49+00:00,51.592298,-0.382184
2016-02-19 06:10:50+00:00,51.592298,-0.382184
2016-02-19 06:10:51+00:00,51.592292,-0.382176
2016-02-19 06:10:52+00:00,51.592292,-0.382176
2016-02-19 06:10:53+00:00,51.592292,-0.382176
2016-02-19 06:10:54+00:00,51.592302,-0.382196
2016-02-19 06:10:55+00:00,51.592305,-0.382208
2016-02-19 06:10:56+00:00,51.592309,-0.382217
2016-02-19 06:10:57+00:00,51.592315,-0.382226
2016-02-19 06:10:58+00:00,51.592322,-0.382234
2016-02-19 06:10:59+00:00,51.592322,-0.382234
2016-02-19 06:11:00+00:00,51.592322,-0.382234
2016-02-19 06:11:01+00:00,51.592322,-0.382234
2016-02-19 06:11:02+00:00,51.592326,-0.382244
2016-02-19 06:11:03+00:00,51.592323,-0.382253
2016-02-19 06:11:04+00:00,51.592322,-0.382257
2016-02-19 06:11:05+00:00,51.592331,-0.382264
2016-02-19 06:11:06+00:00,51.592342,-0.382272
2016-02-19 06:11:07+00:00,51.592355,-0.382276
2016-02-19 06:11:08+00:00,51.592379,-0.382276
2016-02-19 06:11:09+00:00,51.59241,-0.382266
2016-02-19 06:11:10+00:00,51.59244,-0.382246
2016-02-19 06:11:11+00:00,51.592468,-0.382224
2016-02-19 06:11:12+00:00,51.592495,-0.382203
2016-02-19 06:11:13+00:00,51.592524,-0.382186
2016-02-19 06:11:14+00:00,51.592556,-0.382171
2016-02-19 06:11:15+00:00,51.592586,-0.382159
2016-02-19 06:11:16+00:00,51.592575,-0.382082
2016-02-19 06:11:17+00:00,51.592578,-0.382084
2016-02-19 06:11:18+00:00,51.592578,-0.382084
2016-02-19 06:11:19+00:00,51.592578,-0.382084
2016-02-19 06:11:20+00:00,51.592578,-0.382084
2016-02-19 06:11:21+00:00,51.592578,-0.382084
2016-02-19 06:11:22+00:00,51.592578,-0.382084
